Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
P06149	1	1	1	3	F1 | ;9,43E+01 | ;1,22 | ;1,22 | ; | 
P06282	0	1	1	2	B | ;0 | ; | 
P06610	0	1	1	2	A | ;1,36 | ; | 
P06611	0	1	1	2	F1 | ;0,51 | ; | 
P06612	1	1	1	3	A | ;5,56E+02 | ;0,82 | ;0,82 | ; | 
P06616	0	1	1	2	F1 | ;1 | ;1 | ; | 
P06709	0	1	1	2	B | ;0,39 | ;0,39 | ; | 
P06710	0	1	1	2	A_trl | ;2,11 | ;2,11 | ; | 
P06715	1	1	1	3	A | ;7,63E+02 | ;1 | ; | 
P06720	0	0	1	1	A | ; | 
P06721	0	0	1	1	A | ;1893,17 | 
P06722	0	0	1	1	A | ; | 
P06846	0	0	1	1	A | ; | 
P06864	0	0	1	1	A | ; | 
P06961	0	1	1	2	A | ;0,19 | ; | 
P06968	1	1	1	3	A | ;2,66E+03 | ;1 | ; | 
P06983	1	1	1	3	A | ;2,84E+02 | ;- | ;- | ; | 
P06986	1	0	1	2	A | ;2,12E+02 | ;1248,03 | 
P06987	0	1	1	2	A | ;- | ; | 
P06988	1	0	1	2	A | ;4,94E+02 | ;879,83 | 
P06992	1	1	1	3	A_trl | ;5,46E+02 | ;1,64 | ; | 
P06999	1	1	1	3	A | ;3,48E+02 | ;3,08 | ; | 
P07000	0	0	1	1	F1 | ; | 
P07001	1	1	1	3	B | ;1,67E+02 | ;0,96 | ;0,96 | ; | 
P07003	1	1	1	3	F1 | ;1,24E+02 | ;1,86 | ; | 
P07004	1	1	1	3	A | ;4,53E+02 | ;- | ; | 
P07014	1	1	1	3	F1 | ;3,68E+02 | ;7,62 | ;7,62 | ; | 
P07021	0	1	1	2	I | ;0,25 | ; | 
P07023	0	0	1	1	A | ;770,66 | 
P07102	0	0	1	1	G | ; | 
P07109	0	0	1	1	F1 | ; | 
P07118	1	1	1	3	A_trl | ;1,62E+03 | ;1 | ;1 | ;1119,34 | 
P07330	0	0	1	1	A | ; | 
P07364	0	0	1	1	A | ; | 
