Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
P0A8W5	1	1	1	3	A | ;3,48E+02 | ;0,85 | ; | 
P0A8W8	1	1	1	3	A | ;1,04E+03 | ;1,36 | ; | 
P0A8X0	1	1	1	3	A | ;2,11E+03 | ;1,34 | ; | 
P0A8X2	1	0	1	2	G | ;2,12E+02 | ; | 
P0A8X4	0	0	1	1	G | ; | 
P0A8Y1	0	1	1	2	A | ;0,65 | ; | 
P0A8Y3	0	1	1	2	A | ;- | ;- | ; | 
P0A8Y5	1	1	1	3	A | ;3,82E+02 | ;- | ; | 
P0A8Y8	1	0	1	2	A | ;3,68E+02 | ; | 
P0A8Z0	0	1	1	2	A | ;0,46 | ;0,46 | ; | 
P0A8Z3	0	0	1	1	F1 | ; | 
P0A8Z7	0	0	1	1	A | ; | 
P0A901	0	1	1	2	I | ;0,34 | ;0,34 | ; | 
P0A908	1	1	1	3	H | ;4,53E+02 | ;2,54 | ;2,54 | ; | 
P0A912	1	1	1	3	I | ;5,06E+03 | ;8,69 | ;8,69 | ; | 
P0A917	1	0	1	2	H | ;3,12E+04 | ; | 
P0A921	0	1	1	2	H | ;0,59 | ;0,59 | ; | 
P0A924	0	0	1	1	B | ; | 
P0A930	0	0	1	1	I | ; | 
P0A935	1	1	1	3	I | ;3,33E+02 | ;0,46 | ;0,46 | ; | 
P0A937	1	1	1	3	I | ;1,04E+03 | ;0,41 | ; | 
P0A940	1	1	1	3	H | ;1,04E+03 | ;2,46 | ;2,46 | ; | 
P0A944	0	0	1	1	A | ; | 
P0A948	1	0	1	2	A | ;1,98E+02 | ; | 
P0A951	1	1	1	3	A | ;1,86E+02 | ;0,71 | ;0,71 | ; | 
P0A953	1	1	1	3	A | ;1,43E+04 | ;17,01 | ;17,01 | ;16042,49 | 
P0A955	1	1	1	3	A | ;6,92E+03 | ;0,96 | ; | 
P0A959	0	1	1	2	A | ;0,49 | ;0,49 | ; | 
P0A962	0	1	1	2	A | ;0,36 | ; | 
P0A988	1	1	1	3	A | ;4,53E+02 | ;- | ;- | ;582,61 | 
P0A993	1	1	1	3	A | ;4,53E+02 | ;1,11 | ;1198,22 | 
P0A996	0	0	1	1	F1 | ; | 
P0A998	1	1	1	3	A | ;1,91E+03 | ;8,55 | ;0,95 | ;8,55 | ; | 
P0A9A2	0	0	1	1	A | ; | 
P0A9A9	1	1	1	3	A | ;5,71E+02 | ;1,49 | ;1682,82 | 
P0A9B2	1	1	1	3	A | ;1,70E+05 | ;8,91 | ;8,91 | ;49090,58 | 
P0A9B6	1	1	1	3	A | ;1,53E+02 | ;2,31 | ;2,31 | ; | 
P0A9C0	0	1	1	2	F1 | ;- | ;- | ; | 
P0A9C5	1	1	1	3	A | ;7,65E+03 | ;4,78 | ;4,78 | ;12717,43 | 
P0A9C9	0	1	1	2	A | ;1,11 | ; | 
P0A9D2	0	1	1	2	A | ;0,89 | ; | 
P0A9D4	1	1	1	3	A | ;3,15E+02 | ;1,07 | ;1,07 | ;1280,92 | 
P0A9D8	1	1	1	3	A | ;1,25E+04 | ;2,68 | ;2,68 | ;11485,99 | 
P0A9E9	0	0	1	1	A | ; | 
P0A9F1	0	1	1	2	A | ;0,21 | ; | 
P0A9F3	1	1	1	3	A | ;3,48E+02 | ;0,32 | ;0,32 | ; | 
P0A9F6	0	0	1	1	A | ; | 
P0A9G2	0	0	1	1	A | ; | 
P0A9G4	0	0	1	1	A | ; | 
P0A9G6	0	1	1	2	A | ;2,55 | ;2,55 | ; | 
P0A9H3	0	1	1	2	A | ;0,18 | ;0,18 | ; | 
P0A9H7	1	1	1	3	A | ;1,67E+02 | ;3,37 | ;3,37 | ; | 
P0A9H9	0	0	1	1	A | ; | 
P0A9I1	0	0	1	1	A | ; | 
P0A9I3	1	0	1	2	A | ;5,46E+02 | ; | 
P0A9I5	0	0	1	1	A | ; | 
P0A9I8	0	0	1	1	A | ; | 
P0A9J0	0	1	1	2	A | ;1 | ; | 
P0A9J4	0	0	1	1	G | ; | 
P0A9J6	1	1	1	3	A | ;4,20E+02 | ;2,34 | ; | 
P0A9J8	0	1	1	2	A | ;0,11 | ;0,11 | ; | 
P0A9K3	1	1	1	3	A | ;1,13E+03 | ;1,77 | ;1,77 | ; | 
P0A9K7	0	1	1	2	F1 | ;0,43 | ;0,43 | ;175,95 | 
P0A9K9	1	1	1	3	A | ;5,85E+03 | ;3,43 | ;6525,25 | 
P0A9L5	0	1	1	2	A | ;0,63 | ;0,63 | ; | 
P0A9L8	1	1	1	3	A | ;7,04E+02 | ;5,53 | ;402,91 | 
P0A9M0	1	1	1	3	A | ;1,55E+03 | ;2,17 | ;2,17 | ;499,84 | 
P0A9M2	1	1	1	3	A | ;1,04E+03 | ;1,61 | ; | 
P0A9M5	1	1	1	3	F1 | ;1,39E+03 | ;0,49 | ; | 
P0A9N0	0	0	1	1	A | ; | 
P0A9N4	0	1	1	2	A | ;1,29 | ; | 
P0A9N8	0	0	1	1	A | ; | 
P0A9P0	1	1	1	3	F1 | ;2,24E+04 | ;22,38 | ;22,38 | ;7569,96 | 
P0A9P4	1	1	1	3	G | ;4,18E+03 | ;4 | ;3011,39 | 
P0A9P6	1	1	1	3	A | ;1,99E+03 | ;0,21 | ;0,21 | ; | 
P0A9Q1	1	1	1	3	A | ;2,66E+03 | ;0,38 | ;0,38 | ;1063,82 | 
P0A9Q5	1	1	1	3	A_trl | ;8,05E+02 | ;2,63 | ;0,53 | ;2,63 | ;0,53 | ;1187,54 | 
P0A9Q7	1	1	1	3	A | ;5,43E+03 | ;14,52 | ;14,52 | ;4361,85 | 
P0A9Q9	1	1	1	3	B | ;5,34E+03 | ;1,21 | ;1,21 | ;14970,8 | 
P0A9R4	1	1	1	3	A | ;2,11E+03 | ;4,72 | ; | 
P0A9R7	0	1	1	2	F1 | ;0,69 | ;0,69 | ; | 
P0A9S1	0	1	1	2	A | ;0,37 | ; | 
P0A9S5	0	0	1	1	A | ; | 
P0A9S7	0	0	1	1	F1 | ; | 
P0A9T0	1	1	1	3	A | ;4,63E+03 | ;1,07 | ;23461,62 | 
P0A9T4	1	1	1	3	A | ;2,89E+02 | ;0,57 | ; | 
P0A9U1	0	0	1	1	F1 | ; | 
P0A9U3	1	1	1	3	F1 | ;2,41E+02 | ;0,39 | ;0,39 | ;230,21 | 
P0A9V1	1	1	1	3	F1 | ;1,76E+02 | ;0,31 | ;0,31 | ; | 
P0A9V5	0	0	1	1	A | ; | 
P0A9W0	0	0	1	1	A | ; | 
P0A9W3	1	1	1	3	F1 | ;8,05E+02 | ;2,24 | ;2,24 | ;2167,32 | 
P0A9W6	1	1	1	3	A | ;1,04E+03 | ;0,78 | ; | 
P0A9W9	0	0	1	1	A | ; | 
P0A9X1	0	1	1	2	F1 | ;- | ; | 
P0A9X4	1	1	1	3	F1 | ;1,49E+03 | ;2,31 | ;2,31 | ; | 
P0AA10	1	1	1	3	A_trl | ;6,10E+04 | ;7,51 | ;7,51 | ;22513,86 | 
P0AA16	1	1	1	3	A | ;6,13E+02 | ;1,43 | ;1,43 | ; | 
P0AA37	0	0	1	1	A_trl | ; | 
P0AA39	1	1	1	3	A_trl | ;7,92E+02 | ;1,28 | ;1,28 | ; | 
P0AA41	1	0	1	2	A | ;3,82E+02 | ; | 
P0AA43	1	1	1	3	A_trl | ;5,71E+02 | ;- | ; | 
P0AA47	1	1	1	3	B | ;3,92E+02 | ;- | ;- | ; | 
P0AA49	0	0	1	1	B | ; | 
P0AA53	0	1	1	2	B | ;1,16 | ; | 
P0AA63	0	0	1	1	B | ; | 
P0AA73	0	0	1	1	B | ; | 
P0AA84	0	0	1	1	F1 | ; | 
P0AA91	0	1	1	2	I | ;0,48 | ; | 
P0AA93	0	0	1	1	B | ; | 
P0AA95	0	0	1	1	G | ; | 
P0AA97	0	1	1	2	A | ;1 | ; | 
P0AA99	0	0	1	1	G | ; | 
P0AAB2	0	0	1	1	A | ; | 
P0AAB4	1	1	1	3	F1 | ;2,60E+02 | ;2,35 | ;2,35 | ; | 
P0AAB6	1	1	1	3	B | ;5,61E+02 | ;1,57 | ;1,57 | ;417,34 | 
P0AAB8	0	0	1	1	A | ; | 
P0AAC0	1	1	1	3	A | ;2,12E+02 | ;- | ;- | ;528,64 | 
P0AAC4	0	0	1	1	B | ; | 
P0AAC6	0	0	1	1	B | ; | 
P0AAD2	0	0	1	1	B | ; | 
P0AAD6	1	1	1	3	B | ;6,64E+02 | ;5,46 | ;5,46 | ; | 
P0AAD8	0	1	1	2	B | ;0,11 | ; | 
P0AAE0	0	1	1	2	B | ;0,18 | ; | 
P0AAE5	0	0	1	1	B | ; | 
P0AAE8	0	0	1	1	B | ; | 
P0AAF3	0	0	1	1	F1 | ; | 
P0AAF6	1	1	1	3	F1 | ;3,68E+02 | ;1,09 | ; | 
P0AAG5	0	1	1	2	B | ;0 | ; | 
P0AAH0	0	1	1	2	F1 | ;0 | ;0 | ; | 
P0AAH4	0	0	1	1	F1 | ; | 
P0AAH8	0	1	1	2	F1 | ;1,17 | ; | 
P0AAI5	1	1	1	3	A | ;1,28E+03 | ;2,02 | ;2,02 | ;1131,79 | 
P0AAI9	1	1	1	3	A | ;1,02E+04 | ;7,77 | ;4223,37 | 
P0AAJ1	0	0	1	1	F2 | ; | 
P0AAJ5	1	1	1	3	B | ;2,95E+02 | ;4 | ;4 | ; | 
P0AAJ8	0	0	1	1	F2 | ; | 
P0AAK1	0	0	1	1	A | ; | 
P0AAK4	0	0	1	1	A | ; | 
P0AAK7	0	0	1	1	G | ; | 
P0AAL3	0	0	1	1	G | ; | 
P0AAL6	0	0	1	1	B | ; | 
P0AAM1	0	0	1	1	B | ; | 
P0AAM3	0	0	1	1	A | ; | 
P0AAN1	0	0	1	1	A | ; | 
P0AAN3	0	1	1	2	A | ;2,25 | ; | 
P0AAN9	0	0	1	1	A | ; | 
P0AAP1	0	0	1	1	B | ; | 
P0AAP3	0	0	1	1	A | ; | 
P0AAP7	0	0	1	1	B | ; | 
P0AAQ0	0	0	1	1	B | ; | 
P0AAQ2	0	0	1	1	A | ; | 
P0AAQ6	0	0	1	1	A | ; | 
P0AAS0	0	1	1	2	B | ;0,51 | ;0,51 | ; | 
P0AAS5	0	0	1	1	A | ; | 
P0AAT2	0	0	1	1	A | ; | 
P0AAT4	0	1	1	2	B | ;0 | ;0 | ; | 
P0AAT9	0	1	1	2	A | ;2,37 | ; | 
P0AAV0	0	0	1	1	B | ; | 
P0AAV4	0	0	1	1	A | ; | 
P0AAW1	0	0	1	1	A | ; | 
P0AAX6	0	0	1	1	G | ; | 
P0AAX8	1	1	1	3	G | ;8,77E+02 | ;0,51 | ;0,51 | ;530,31 | 
P0AAY4	0	0	1	1	G | ; | 
P0AAY6	0	0	1	1	A | ; | 
P0AAZ0	0	0	1	1	B | ; | 
P0AAZ4	0	0	1	1	A | ; | 
P0AB03	0	1	1	2	A | ;1,28 | ; | 
P0AB06	0	1	1	2	G | ;1,45 | ; | 
P0AB10	0	1	1	2	E | ;0,24 | ;0,24 | ; | 
P0AB12	0	1	1	2	B | ;0,19 | ; | 
P0AB18	0	1	1	2	A | ;0,83 | ; | 
P0AB20	0	0	1	1	A | ; | 
P0AB24	1	0	1	2	G | ;3,28E+02 | ; | 
P0AB26	0	1	1	2	I | ;0,42 | ;0,42 | ; | 
P0AB33	0	0	1	1	A | ; | 
P0AB38	1	1	1	3	I | ;4,53E+02 | ;1,15 | ;1,15 | ; | 
P0AB40	0	0	1	1	G | ; | 
P0AB43	0	0	1	1	A | ; | 
P0AB52	1	1	1	3	A | ;1,04E+03 | ;1,05 | ; | 
P0AB55	0	1	1	2	A | ;- | ; | 
P0AB58	0	1	1	2	G | ;0,24 | ;0,24 | ; | 
P0AB61	1	1	1	3	A | ;7,63E+02 | ;1,31 | ; | 
P0AB67	1	1	1	3	B | ;1,98E+02 | ;0,16 | ;0,16 | ; | 
P0AB71	1	1	1	3	A | ;4,78E+04 | ;2,84 | ;2,84 | ;16325,84 | 
P0AB74	1	0	1	2	A | ;2,12E+02 | ; | 
P0AB77	1	1	1	3	A | ;9,39E+02 | ;- | ;- | ; | 
P0AB80	1	1	1	3	A | ;4,53E+02 | ;- | ; | 
P0AB83	0	0	1	1	A | ; | 
P0AB85	0	1	1	2	E | ;0,36 | ; | 
P0AB89	1	1	1	3	A | ;2,98E+03 | ;3,51 | ;3,51 | ;3289,78 | 
P0AB91	1	1	1	3	A | ;9,32E+02 | ;0,72 | ;0,72 | ;5073,35 | 
P0AB96	0	0	1	1	A | ; | 
P0AB98	0	1	1	2	B | ;3,33 | ;3,33 | ; | 
P0ABA6	1	1	1	3	F1 | ;7,79E+02 | ;4,66 | ;4,66 | ;182,82 | 
P0ABB4	1	1	1	3	F1 | ;3,11E+03 | ;3 | ;3 | ;4552,23 | 
P0ABB8	1	1	1	3	B | ;4,24E+02 | ;0,11 | ;0,11 | ; | 
P0ABE2	1	1	1	3	A | ;7,04E+02 | ;0,75 | ; | 
P0ABF1	1	1	1	3	B | ;1,92E+02 | ;1 | ;1 | ; | 
P0ABF6	1	1	1	3	B | ;9,15E+02 | ;- | ; | 
P0ABF8	0	0	1	1	B | ; | 
P0ABG1	0	0	1	1	B | ; | 
P0ABH0	0	1	1	2	F1 | ;4,44 | ;4,44 | ; | 
P0ABH4	0	0	1	1	B | ; | 
P0ABH7	1	1	1	3	A | ;1,36E+03 | ;11,49 | ;11,49 | ;8268,3 | 
P0ABI4	1	1	1	3	B | ;2,12E+02 | ;0,75 | ;0,75 | ; | 
P0ABI8	1	1	1	3	B | ;3,56E+02 | ;5,12 | ;5,12 | ; | 
P0ABJ1	1	1	1	3	B | ;8,77E+02 | ;- | ;- | ; | 
P0ABJ3	0	0	1	1	B | ; | 
P0ABJ6	0	0	1	1	B | ; | 
P0ABJ9	1	1	1	3	B | ;5,18E+02 | ;3,72 | ;3,72 | ; | 
P0ABK5	1	1	1	3	A | ;1,45E+03 | ;7,28 | ;1,31 | ;24399,67 | 
P0ABK7	0	0	1	1	F4 | ; | 
P0ABK9	1	0	1	2	G | ;1,17E+02 | ; | 
P0ABL3	0	0	1	1	G | ; | 
P0ABL5	0	0	1	1	B | ; | 
P0ABM9	0	1	1	2	B | ;- | ; | 
P0ABP8	1	1	1	3	A | ;4,58E+04 | ;3 | ;3 | ; | 
P0ABQ2	0	1	1	2	A | ;12,19 | ;12,19 | ; | 
P0ABQ4	0	1	1	2	A | ;0,85 | ;0,85 | ; | 
P0ABR1	0	0	1	1	A | ; | 
P0ABS1	1	1	1	3	A | ;3,19E+03 | ;11,17 | ;5606,51 | 
P0ABS5	0	1	1	2	B | ;0,55 | ;0,55 | ; | 
P0ABT2	1	1	1	3	A | ;3,73E+03 | ;13,68 | ;13,68 | ; | 
P0ABT5	0	0	1	1	A_trl | ; | 
P0ABT8	0	0	1	1	B | ; | 
P0ABU0	1	1	1	3	A | ;2,11E+03 | ;2,67 | ; | 
P0ABU2	1	1	1	3	A | ;1,12E+03 | ;1,41 | ;1,41 | ;193,12 | 
P0ABU5	1	1	0	2	A | ;8,59E+02 | ;0,93 | 
P0ABU7	1	1	1	3	B | ;6,64E+02 | ;0,14 | ;0,14 | ; | 
P0ABU9	1	1	1	3	B | ;4,05E+02 | ;0,86 | ;0,86 | ; | 
P0ABV2	0	1	1	2	B | ;0,26 | ;0,26 | ; | 
P0ABV6	0	1	1	2	B | ;0,56 | ; | 
P0ABW3	0	0	1	1	A | ; | 
P0ABW9	0	0	1	1	G | ; | 
P0ABX2	0	0	1	1	G | ; | 
P0ABX5	0	0	1	1	G | ; | 
P0ABY4	0	0	1	1	A | ; | 
P0ABZ4	1	1	1	3	F1 | ;4,53E+02 | ;0,24 | ; | 
P0AC02	1	1	1	3	I | ;8,59E+02 | ;0,84 | ;0,84 | ; | 
P0AC13	1	1	1	3	A | ;1,76E+02 | ;0,28 | ;0,28 | ; | 
P0AC19	1	1	1	3	A | ;7,04E+02 | ;2,38 | ;884,06 | 
P0AC23	0	1	1	2	B | ;1,33 | ; | 
P0AC26	0	0	1	1	B | ; | 
P0AC28	0	0	0	0	A | 
P0AC30	0	1	1	2	B | ;0,69 | ;0,69 | ; | 
P0AC33	1	1	1	3	A | ;3,15E+02 | ;5,89 | ;5,89 | ;859,63 | 
P0AC35	0	0	1	1	A | ; | 
P0AC38	1	1	1	3	A | ;5,26E+02 | ;9 | ;9 | ; | 
P0AC41	1	1	1	3	F1 | ;3,92E+02 | ;6,87 | ;6,87 | ;114,05 | 
P0AC44	0	1	1	2	B | ;3,87 | ;3,87 | ; | 
P0AC51	0	1	1	2	A | ;- | ; | 
P0AC53	1	1	1	3	A | ;8,77E+02 | ;- | ;- | ; | 
P0AC55	0	1	1	2	F1 | ;7,18 | ;7,18 | ; | 
P0AC59	1	1	1	3	A | ;5,30E+02 | ;1,82 | ;1,82 | ; | 
P0AC69	1	1	1	3	A | ;2,98E+03 | ;2,24 | ;2,24 | ;4664,32 | 
P0AC73	0	0	1	1	A | ; | 
P0AC75	1	1	1	3	B | ;1,53E+02 | ;0,49 | ; | 
P0AC81	1	1	1	3	A | ;5,18E+02 | ;9,54 | ; | 
P0AC84	0	1	1	2	A | ;1,39 | ; | 
P0AC86	0	1	1	2	A | ;1,59 | ; | 
P0AC88	0	0	1	1	A | ;2858,2 | 
P0AC98	0	0	1	1	B | ; | 
P0ACA3	1	1	1	3	A | ;1,96E+03 | ;3 | ;3 | ;3002,72 | 
P0ACB0	0	1	1	2	A | ;2,54 | ;2,54 | ; | 
P0ACB2	1	1	1	3	A | ;9,24E+02 | ;7 | ;7 | ; | 
P0ACB4	0	1	1	2	A | ;1,72 | ; | 
P0ACB7	0	1	1	2	B | ;0,62 | ;0,62 | ; | 
P0ACC1	0	0	1	1	A | ; | 
P0ACC3	1	1	1	3	A | ;1,04E+03 | ;2,68 | ;1599,64 | 
P0ACC7	1	1	1	3	A | ;7,37E+02 | ;1,06 | ; | 
P0ACC9	0	0	1	1	A | ; | 
P0ACD2	0	0	1	1	A | ; | 
P0ACD4	1	1	1	3	A | ;2,33E+03 | ;10,56 | ; | 
P0ACE0	0	1	1	2	F2 | ;0,51 | ;0,51 | ; | 
P0ACE7	1	1	1	3	A | ;2,11E+03 | ;4,03 | ;4,03 | ; | 
P0ACF0	1	1	1	3	A | ;6,10E+04 | ;22,49 | ;22,49 | ;15025,7 | 
P0ACF8	1	1	1	3	A | ;2,32E+05 | ;19,14 | ;19,14 | ;17549,26 | 
P0ACH1	0	0	1	1	A | ; | 
P0ACH5	0	0	1	1	A | ; | 
P0ACH8	0	0	1	1	A | ; | 
P0ACI0	1	1	1	3	A | ;1,98E+02 | ;0,81 | ;0,81 | ; | 
P0ACI3	0	0	1	1	A | ; | 
P0ACI6	0	0	1	1	A | ; | 
P0ACJ0	1	1	1	3	B | ;1,43E+03 | ;1,88 | ;1,88 | ;1974,17 | 
P0ACJ5	0	0	1	1	B | ; | 
P0ACJ8	1	1	1	3	A | ;1,98E+03 | ;3,52 | ;3,52 | ;1872,6 | 
P0ACK2	0	0	1	1	A | ; | 
P0ACK5	0	1	1	2	A | ;- | ; | 
P0ACK8	0	0	1	1	A | ; | 
P0ACL0	0	1	1	2	A | ;0,26 | ;0,26 | ; | 
P0ACL2	0	1	1	2	A | ;0,58 | ; | 
P0ACL7	0	0	1	1	A | ; | 
P0ACL9	0	1	1	2	A | ;0,31 | ; | 
P0ACM2	0	0	1	1	A | ;717,97 | 
P0ACM5	0	0	1	1	A | ; | 
P0ACN2	0	0	1	1	B | ; | 
P0ACN7	1	0	1	2	A | ;1,67E+02 | ; | 
P0ACP5	1	1	1	3	A | ;2,12E+02 | ;- | ; | 
P0ACQ4	1	1	1	3	A | ;1,60E+02 | ;0,41 | ;0,41 | ;329,79 | 
P0ACQ7	0	0	1	1	A | ; | 
P0ACR2	0	0	1	1	A | ; | 
P0ACR4	0	1	1	2	A | ;- | ; | 
P0ACS2	0	0	1	1	A | ; | 
P0ACS5	0	0	1	1	A | ; | 
P0ACS9	0	0	1	1	B | ; | 
P0ACT2	0	0	1	1	A | ; | 
P0ACT6	0	1	1	2	A | ;- | ; | 
P0ACU2	0	0	1	1	A | ; | 
P0ACV0	0	1	1	2	B | ;0,54 | ; | 
P0ACV2	0	0	1	1	B | ; | 
P0ACX0	0	0	1	1	B | ; | 
P0ACY1	1	0	1	2	A | ;8,59E+02 | ;1108,74 | 
P0ACZ8	0	1	1	2	A | ;- | ; | 
P0AD03	0	0	1	1	B | ; | 
P0AD05	0	1	1	2	A | ;1,27 | ; | 
P0AD12	1	1	1	3	G | ;2,36E+02 | ;1,97 | ;1,97 | ;795,12 | 
P0AD14	0	1	1	2	B | ;1,43 | ; | 
P0AD17	0	0	1	1	B | ; | 
P0AD19	0	0	1	1	B | ; | 
P0AD27	0	1	1	2	B | ;- | ; | 
P0AD30	0	0	1	1	B | ; | 
P0AD37	0	0	1	1	A | ; | 
P0AD53	0	0	1	1	A | ; | 
P0AD57	1	1	1	3	A | ;2,29E+02 | ;0,33 | ;0,33 | ; | 
P0AD59	0	0	1	1	G | ;7170,32 | 
P0AD61	1	1	1	3	A | ;1,10E+04 | ;2,07 | ;2,07 | ;3525,86 | 
P0AD65	0	1	1	2	B | ;- | ; | 
P0AD68	0	1	1	2	B | ;5,46 | ;5,46 | ; | 
P0AD70	0	1	1	2	G | ;0,73 | ; | 
P0AD96	1	0	1	2	G | ;4,14E+02 | ; | 
P0AD99	0	0	1	1	B | ; | 
P0ADA5	1	1	1	3	I | ;2,11E+03 | ;- | ;- | ; | 
P0ADB1	0	1	1	2	I | ;3,11 | ;3,11 | ; | 
P0ADC6	0	1	1	2	B | ;0 | ;0 | ; | 
P0ADD2	0	0	1	1	B | ; | 
P0ADD5	0	0	1	1	B | ; | 
P0ADD7	0	0	1	1	A | ; | 
P0ADE4	0	1	1	2	H | ;0,53 | ; | 
P0ADE6	1	1	1	3	A | ;4,14E+02 | ;2,73 | ; | 
P0ADE8	1	1	1	3	A | ;9,39E+02 | ;2,73 | ;2,73 | ;2058,97 | 
P0ADF6	0	0	1	1	A | ; | 
P0ADF8	0	1	1	2	A | ;0,91 | ; | 
P0ADI4	1	0	1	2	F1 | ;8,21E+02 | ; | 
P0ADI7	1	0	1	2	A | ;2,50E+02 | ; | 
P0ADK0	1	1	1	3	E | ;4,53E+02 | ;- | ;- | ; | 
P0ADL1	0	0	1	1	B | ; | 
P0ADL3	0	1	1	2	B | ;- | ; | 
P0ADM4	0	1	1	2	E | ;- | ; | 
P0ADM8	0	0	1	1	B | ; | 
P0ADN0	1	0	1	2	A | ;1,17E+02 | ; | 
P0ADN2	1	1	1	3	A | ;1,28E+04 | ;3,39 | ;2743,74 | 
P0ADP2	0	1	1	2	B | ;- | ;- | ; | 
P0ADP7	0	1	1	2	A | ;0,73 | ;0,73 | ; | 
P0ADP9	1	1	1	3	A | ;7,63E+02 | ;1,13 | ;3277,68 | 
P0ADR0	0	0	1	1	B | ; | 
P0ADR2	0	0	1	1	B | ; | 
P0ADR6	0	1	1	2	A_trl | ;0,19 | ; | 
P0ADR8	1	1	1	3	A | ;1,62E+02 | ;2,42 | ;2,42 | ; | 
P0ADS2	1	1	1	3	A | ;3,15E+02 | ;0,61 | ; | 
P0ADS6	1	1	1	3	G | ;2,51E+03 | ;0,98 | ;0,98 | ; | 
P0ADS9	1	0	1	2	G | ;3,82E+02 | ; | 
P0ADT2	0	1	1	2	A | ;- | ;- | ; | 
P0ADT5	0	1	1	2	A | ;1,14 | ;1,14 | ; | 
P0ADU5	1	1	1	3	G | ;4,53E+02 | ;2,38 | ; | 
P0ADU7	0	0	1	1	A | ; | 
P0ADV1	0	1	1	2	G | ;1,28 | ; | 
P0ADV5	1	1	1	3	A | ;1,98E+02 | ;0,46 | ;0,46 | ; | 
P0ADV7	1	1	1	3	G | ;1,32E+03 | ;0,49 | ;0,49 | ;270,52 | 
P0ADV9	0	1	1	2	B | ;0,51 | ; | 
P0ADW6	0	0	1	1	A | ; | 
P0ADX1	0	1	1	2	A | ;0,48 | ; | 
P0ADX9	0	0	1	1	A_trl | ; | 
P0ADY1	1	1	1	3	B | ;6,86E+02 | ;1,01 | ;1,01 | ; | 
P0ADY3	1	1	1	3	A_trl | ;2,09E+04 | ;9,48 | ;9,48 | ;5656,03 | 
P0ADY7	1	1	1	3	A_trl | ;1,14E+04 | ;5,43 | ;5,43 | ;9058,83 | 
P0ADZ4	1	1	1	3	A_trl | ;4,53E+05 | ;2,94 | ;2,94 | ;12562,91 | 
P0ADZ7	1	1	1	3	B | ;1,68E+03 | ;1,51 | ;1,51 | ; | 
P0AE01	1	1	1	3	A | ;8,59E+02 | ;4 | ;4 | ; | 
P0AE08	1	1	1	3	A | ;1,97E+05 | ;15,63 | ;15,63 | ;25610,33 | 
P0AE12	1	1	1	3	A | ;1,47E+02 | ;0,39 | ; | 
P0AE14	0	1	1	2	B | ;- | ; | 
P0AE18	1	1	1	3	A | ;5,71E+02 | ;0,85 | ;241,88 | 
P0AE28	0	0	1	1	B | ; | 
P0AE34	0	0	1	1	B | ; | 
P0AE37	0	0	1	1	A | ; | 
P0AE39	0	0	1	1	A | ;191,71 | 
P0AE45	0	1	1	2	B | ;0 | ;0 | ; | 
P0AE48	1	1	1	3	A | ;4,53E+02 | ;0,65 | ; | 
P0AE52	1	1	1	3	A | ;3,09E+03 | ;1,86 | ;8687,12 | 
P0AE58	0	0	1	1	A | ; | 
P0AE60	0	0	1	1	A | ; | 
P0AE74	0	0	1	1	B | ; | 
P0AE76	0	0	1	1	A | ; | 
P0AE78	1	1	1	3	A | ;2,63E+02 | ;1,74 | ; | 
P0AE82	0	1	1	2	B | ;0,11 | ; | 
P0AE91	1	1	1	3	G | ;4,53E+02 | ;0,48 | ; | 
P0AE95	0	0	1	1	G | ; | 
P0AEA2	0	0	1	1	I | ; | 
P0AEA5	0	0	1	1	B | ; | 
P0AEA8	0	0	1	1	A | ; | 
P0AEB2	1	1	1	3	F2 | ;6,29E+02 | ;1,19 | ;1,19 | ; | 
P0AEB5	0	1	1	2	B | ;1 | ; | 
P0AEB7	1	1	1	3	A | ;1,04E+03 | ;6,99 | ; | 
P0AEC0	0	1	1	2	B | ;- | ; | 
P0AEC3	1	1	1	3	B | ;9,99E+01 | ;1,13 | ;1,13 | ; | 
P0AED0	1	1	1	3	F1 | ;1,49E+03 | ;2,56 | ;2,56 | ;3355,84 | 
P0AED7	1	1	1	3	A | ;2,84E+02 | ;- | ; | 
P0AEE1	1	1	1	3	E | ;5,04E+02 | ;2,83 | ;2,83 | ; | 
P0AEE8	0	0	1	1	A | ; | 
P0AEF0	0	1	1	2	A | ;0,41 | ; | 
P0AEF4	0	0	1	1	A | ; | 
P0AEF8	0	0	1	1	B | ; | 
P0AEG6	1	1	1	3	G | ;1,25E+03 | ;0,35 | ;312,01 | 
P0AEH1	0	1	1	2	B | ;1,34 | ; | 
P0AEI1	1	1	1	3	A | ;6,58E+02 | ;1,89 | ;1,89 | ;553,96 | 
P0AEI4	1	1	1	3	A_trl | ;3,15E+02 | ;0,35 | ;0,35 | ; | 
P0AEI6	0	0	1	1	A | ; | 
P0AEJ0	0	0	1	1	B | ; | 
P0AEJ2	1	0	1	2	A | ;9,50E+02 | ; | 
P0AEJ4	0	1	1	2	B | ;- | ; | 
P0AEJ8	0	0	1	1	A | ; | 
P0AEK0	0	0	1	1	A | ; | 
P0AEK4	1	1	1	3	F1 | ;1,25E+04 | ;1,54 | ;1,54 | ;5184,69 | 
P0AEK7	0	0	1	1	B | ; | 
P0AEL0	1	1	1	3	B | ;3,68E+02 | ;2,61 | ; | 
