Merge ID	TableS3_K12_ProteomeV13	Ishihama2008_fin	Masuda2009_fin	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Ishihama2008_fin Duplicates	Masuda2009_fin Duplicates	Taniguchi2010_fin_mmol Duplicates	PengTable_fin Duplicates	Thein_MergeMethods Duplicates	OurStudy_Feb2011_Common Duplicates	Subcellular Location(this study)	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization	
P00914	1			1	1			3	1			1	1			A	PHR_ECOLI								0.0014021	140.21																		
P00934	1	1	1		1		1	5	1	1	2		1		1	A	THRC_ECOLI	1	9.00E+00	1.04E+03	0.37	1.75	1	81.25			12922.78	958.84																A
P00935	1			1	1		1	4	1			1	1		1	A	METB_ECOLI								0.0091196	911.96	160.84																	A
P00944	1				1		1	3	1				1		1	A	XYLA_ECOLI																											A
P00946	1	1	1	1	1		1	6	1	1	1	1	1		1	A	MANA_ECOLI	0.88	6.50E+00	8.59E+02	0.36	1	1	47.23	0.0091504	915.04																		A
P00954	1	1	1	1	1		1	6	1	1	1	1	1		1	A	SYW_ECOLI	1.67	4.54E+01	2.66E+03		7.86	1	348.59	0.050634	5063.4	1305.5	8278.02																A
P00956	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	SYI_ECOLI	1.51	3.15E+01	2.15E+03		10.31	1	453.48	0.026309	2630.9	789.49		0.15	 	0.15	0.42	0.02	  	 	 	0.02	 	 	  	 			A
P00959	1	1	1	1	1		1	6	1	1	2	1	1		1	A	SYM_ECOLI	1.18	1.42E+01	1.35E+03		9	1	398	0.031792	3179.2	1070.76																	A
P00961	1	1	1		1	1	1	6	1	1	2		1	1	1	A	SYGB_ECOLI	1.6	3.88E+01	2.42E+03		24.88	1	1065.31			1560.93	1757.88	0.06	 	0.04	 	 	0.09	0.04									A
P00962	1	1	1	1	1		1	6	1	1	1	1	1		1	A	SYQ_ECOLI	1.33	2.05E+01	1.68E+03		7.41	1	329.22	0.026685	2668.5	1158.08	2588.88																A
P00963	1	1	1		1	1	1	6	1	1	2		1	1	1	A	ASNA_ECOLI	1.08	1.09E+01	1.16E+03		2.16	1	99.64			1572.09	1182.57	0.09	 	0.09	 	0.09	  	 									A
P00968	1	1	1		1	1	1	6	1	1	2		1	1	1	A	CARB_ECOLI	0.96	8.05E+00	9.72E+02		30.62	1	1302.81			1601.52	2013.57	0.9	2.16	3.39	1.68	 	0.21	0.03	0.03	0.21	0.31	0.06	  	 			A
P02358	1	1	1		1	1	1	6	1	1	2		1	1	1	A	RS6_ECOLI	3.43	2.68E+03	2.84E+04		176.83	1	7.132			13860.74	43339.73	0.83	0.5	2.35	1.74	 	0.05	0.1	 	1.24	0.5	0.5	0.5	0.83			A
P02359	1	1	1		1	1	1	6	1	1	2		1	1	1	A	RS7_ECOLI	4.56	3.59E+04	1.28E+05		162.79	1	6582.23			20417.8		3.49	4.82	13.05	5.94	 	  	0.75	0.42	8.88	0.7	1.88	1.41	3.09	 	0.7	A
P02413	1	1	1		1	1	1	6	1	1	2		1	1	1	A	RL15_ECOLI	3.67	4.64E+03	3.90E+04		24.12	1	1033.75			6638.93		2.61	5.3	4.13	4.13	 	  	0.07	2.41	4.13	1.78	2.41	1.78	3.18	0.23	1.78	A
P02916	1		1		1	1		4	1		2		1	1		B	MALF_ECOLI					1	1	24.12					0.18	 	0.56	 	 	0.06	0.12	 	0.12	 	0.12	  	0.12			
P02918	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	B	PBPA_ECOLI	0.05	1.10E-01	8.04E+01		3.86		2	0.00057933	57.933			0.27	 	0.8	0.22	 	  	0.03	0.03	  	 						B
P02920	1				1			2	1				1			B	LACY_ECOLI																											
P02924	1	1			1			3	1	1			1			G	ARAF_ECOLI	0.11	2.74E-01	1.37E+02	0.47																							
P02925	1	1	1	1	1		1	6	1	1	2	1	1		1	G	RBSB_ECOLI	2.08	1.18E+02	4.63E+03	0.48	8	1	346.01	9.60E-05	9.5967	1044.57	3515.76																G
P02930	1	1	1		1	1	1	6	1	1	2		1	1	1	H	TOLC_ECOLI	0.89	6.85E+00	8.85E+02	0.39	12.04	1	527.07					0.71	0.81	0.71	0.71	 	  	0.48	1.44	0.71	0.81	0.92	1.04	0.61	0.27	0.27	H
P02931	1	1	1		1	1	1	6	1	1	2		1	1	1	H	OMPF_ECOLI	1.13	1.23E+01	1.25E+03	0.66	37.75	1	1595.96				5081.87	2.59	1.64	2.65	2.65	0.12	  	 	3.29	6.55	2.36	2.65	2.95	1.86	1.64	2.95	H
P02932	1		1		1	1		4	1		1		1	1		H	PHOE_ECOLI					0.26		12.79					0.06	 	0.06	 												
P02943	1	1	1		1	1		5	1	1	2		1	1		H	LAMB_ECOLI	0.19	5.40E-01	2.02E+02		2.31	1	106.35					1.86	0.78	1.78	1.78	0.09	  	 	3.08	1.45	1.96	1.3	3.08	1.3	2.59	1.02	
P03007	1		1		1		1	4	1		1		1		1	A	DPO3E_ECOLI					0.47	1	22.71																				A
P03018	1	1	1	1	1		1	6	1	1	2	1	1		1	A	UVRD_ECOLI	0.06	1.41E-01	9.26E+01	0.39	0.33	1	16.12	0.0080519	805.19																		A
P03024	1				1		1	3	1				1		1	A	GALR_ECOLI																											A
P03030	1				1		1	3	1				1		1	A	LYSR_ECOLI																											A
P03813	1				1			2	1				1			A	YGEA_ECOLI																											
P03817	1	1	1		1		1	5	1	1	1		1		1	A	MIOC_ECOLI	0.67	3.64E+00	6.13E+02		5.81	1	260.06																				A
P03959	1				1			2	1				1			B	ATKA_ECOLI																											
P03961	1		1		1		1	4	1		1		1		1	B	ATKC_ECOLI					2.16	1	1.54																				B
P04036	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	A	DAPB_ECOLI	0.53	2.41E+00	4.83E+02		0.67	1	32.03	0.021979	2197.9	871.74		0.12	 	  	0.12												A
P04079	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	GUAA_ECOLI	1.81	6.32E+01	3.22E+03		31.82	1	1352.28	0.13645	13645	3935.07		0.49	0.09	0.55	0.84												A
P04152	1				1			2	1				1			A	UMUC_ECOLI																											
P04335	1		1	1	1		1	5	1		2	1	1		1	A	FRSA_ECOLI					0.63	1	30.18	0.0019669	196.69																		A
P04425	1	1	1		1		1	5	1	1	1		1		1	A	GSHB_ECOLI	1.13	1.26E+01	1.26E+03		4.46	1	201.25				1598.07																A
P04693	1	1	1		1		1	5	1	1	2		1		1	A	TYRB_ECOLI	0.56	2.65E+00	5.10E+02	0.29	1.85	1	85.75			2734.66	2237.3																A
P04805	1	1	1		1	1	1	6	1	1	2		1	1	1	A	SYE_ECOLI	1.55	3.41E+01	2.25E+03		15.82	1	687			2538.9	2524.95	0.16	  	   	0.06	 	0.36	 	 	  	0.06						A
P04816	1	1			1			3	1	1			1			G	LIVK_ECOLI	0.47	1.93E+00	4.24E+02	0.41						1613.28	2748.68																
P04825	1	1	1	1	1		1	6	1	1	2	1	1		1	F1	AMPN_ECOLI	0.86	6.26E+00	8.40E+02	0.43	3.12	1	142.33	0.053725	5372.5	485.85																	F1
P04951	1	1	1	1	1		1	6	1	1	2	1	1		1	A	KDSB_ECOLI	0.67	3.64E+00	6.13E+02		2.87	1	131.26	0.014755	1475.5																		A
P04968	1			1	1		1	4	1			1	1		1	B	THD1_ECOLI								0.0046776	467.76																		B
P04983	1		1		1		1	4	1		2		1		1	F1	RBSA_ECOLI					0.28	0	13.75																				F1
P04993	1			1	1		1	4	1			1	1		1	A	EX5A_ECOLI								0.001988	198.8																		A
P04995	1			1	1		1	4	1			1	1		1	A	EX1_ECOLI								0.0012466	124.66																		A
P05020	1	1	1		1		1	5	1	1	1		1		1	A	PYRC_ECOLI	0.71	4.18E+00	6.64E+02		20.54	1	884.64			2192.48	447.46																A
P05042	1		1	1	1	1	1	6	1		2	1	1	1	1	A	FUMC_ECOLI					3.12	1	142.33	0.0087032	870.32			0.06	0.06	  	 												A
P05050	1				1			2	1				1			B	ALKB_ECOLI																											
P05055	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	PNP_ECOLI	2.23	1.69E+02	5.70E+03		10.84	1	476.06	0.39199	39199			0.17	  	0.13	0.13	 	0.28	 	 	0.28	0.04	0.09	  	0.23			A
P05194	1	1			1		1	4	1	1			1		1	A	AROD_ECOLI	0.29	9.31E-01	2.78E+02								1406.3																A
P05458	1				1		1	3	1				1		1	G	PTRA_ECOLI											2397.11																G
P05459	1	1	1		1		1	5	1	1	1		1		1	A	PDXB_ECOLI	0.38	1.40E+00	3.53E+02		3.92	1	177.58			127.32	671.19																A
P05523	1			1	1		1	4	1			1	1		1	A	FPG_ECOLI								0.00049017	49.017																		A
P05637	1		1		1		1	4	1		1		1		1	A	APAH_ECOLI					1	1	33.42																				A
P05793	1	1	1		1		1	5	1	1	1		1		1	A	ILVC_ECOLI	0.52	2.31E+00	4.71E+02		0.32	1	15.65			21100.49																	A
P05804	1				1			2	1				1			A	BGLR_ECOLI																											
P05824	1			1	1			3	1			1	1			B	RECN_ECOLI								0.0048333	483.33																		
P05827	1				1		1	3	1				1		1	A	ILVY_ECOLI																											A
P05847	1				1		1	3	1				1		1	A	TTDA_ECOLI																											A
P05852	1		1	1	1		1	5	1		2	1	1		1	A	GCP_ECOLI					1	1	24.12	0.00062689	62.689		926.88																A
P06136	1		1		1		1	4	1		1		1		1	B	FTSQ_ECOLI					4.41	1	1.74																				B
P06149	1	1	1		1	1	1	6	1	1	2		1	1	1	F1	DLD_ECOLI	0.06	1.45E-01	9.43E+01	0.36	0.78	1	37.12					0.22	 	0.34	 	0.1	  	 									F1
P06282	1		1		1		1	4	1		1		1		1	B	CDH_ECOLI					5.66	0	1.81																				B
P06610	1		1		1		1	4	1		1		1		1	A	BTUE_ECOLI					1.15	1	54.08				2045.53																A
P06611	1		1		1		1	4	1		1		1		1	F1	BTUD_ECOLI					0.36	1																					F1
P06612	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	TOP1_ECOLI	0.61	3.07E+00	5.56E+02	0.44	1.18	1	55.45	0.024597	2459.7			0.1	  	0.1	  												A
P06616	1		1	1	1	1	1	6	1		2	1	1	1	1	F1	ERA_ECOLI					1.96	1	90.69	0.00031688	31.688			0.1	 	  	0.1												F1
P06709	1		1	1	1		1	5	1		2	1	1		1	B	BIRA_ECOLI					0.27	1	13.27	0.0039122	391.22																		B
P06710	1		1	1	1		1	5	1		2	1	1		1	A	DPO3X_ECOLI					0.16	1	7.99	0.0058808	588.08																		A
P06715	1	1	1	1	1		1	6	1	1	1	1	1		1	A	GSHR_ECOLI	0.8	5.31E+00	7.63E+02		2.67	1	122.38	0.00062508	62.508		1214.54																A
P06720	1				1		1	3	1				1		1	A	AGAL_ECOLI																											A
P06721	1				1		1	3	1				1		1	A	METC_ECOLI										1893.17																	A
P06722	1			1	1		1	4	1			1	1		1	A	MUTH_ECOLI								0.00046888	46.888																		A
P06846	1				1		1	3	1				1		1	A	EBGR_ECOLI																											A
P06864	1				1			2	1				1			A	BGA2_ECOLI																											
P06961	1		1	1	1		1	5	1		1	1	1		1	A	CCA_ECOLI					0.19	1	9.44	0.0055267	552.67																		A
P06968	1	1	1	1	1		1	6	1	1	1	1	1		1	A	DUT_ECOLI	1.67	4.54E+01	2.66E+03		2.16	1	99.64	0.078557	7855.7		5177.75																A
P06983	1	1	1		1	1	1	6	1	1	2		1	1	1	A	HEM3_ECOLI	0.29	9.68E-01	2.84E+02		5.16		232					0.07	 	0.06	0.06	 	  	0.1									A
P06986	1	1		1	1		1	5	1	1		1	1		1	A	HIS8_ECOLI	0.2	5.85E-01	2.12E+02					0.0085692	856.92	1248.03																	A
P06987	1		1		1	1	1	5	1		1		1	1	1	A	HIS7_ECOLI					0.41		20					0.13	  	   	0.08	 	0.17	 									A
P06988	1	1			1		1	4	1	1			1		1	A	HISX_ECOLI	0.55	2.51E+00	4.94E+02							879.83	3228.11																A
P06992	1	1	1		1		1	5	1	1	1		1		1	A	RSMA_ECOLI	0.6	2.98E+00	5.46E+02		3.39	1	154.25																				A
P06999	1	1	1	1	1		1	6	1	1	1	1	1		1	A	K6PF2_ECOLI	0.38	1.37E+00	3.48E+02	0.31	1.05	1	49.52	0.015889	1588.9																		A
P07000	1			1	1		1	4	1			1	1		1	F1	PLDB_ECOLI								0.0031506	315.06																		F1
P07001	1	1	1		1	1	1	6	1	1	2		1	1	1	B	PNTA_ECOLI	0.14	3.89E-01	1.67E+02	0.35	0.58	1	27.85					0.2	  	   	0.12	 	0.18	 	0.12	0.12	0.42	 	0.12	0.12	 	0.34	B
P07003	1	1	1		1		1	5	1	1	1		1		1	F1	POXB_ECOLI	0.09	2.33E-01	1.24E+02	0.34	0.29	1	14.22																				F1
P07004	1	1	1	1	1		1	6	1	1	1	1	1		1	A	PROA_ECOLI	0.5	2.16E+00	4.53E+02		1.89		87.54	0.021814	2181.4		3100.26																A
P07014	1	1	1		1	1	1	6	1	1	2		1	1	1	F1	DHSB_ECOLI	0.4	1.51E+00	3.68E+02	0.33	18.95	1	9524.82					0.3	0.23	0.88	0.52	 	  	0.26	 	0.12	0.12	 	0.12	0.12			F1
P07021	1		1		1			3	1		1		1			I	YFIB_ECOLI					9	1																					
P07023	1			1	1		1	4	1			1	1		1	A	TYRA_ECOLI								0.0053229	532.29	770.66																	A
P07102	1				1			2	1				1			G	PPA_ECOLI																											
P07109	1				1		1	3	1				1		1	F1	HISP_ECOLI																											F1
P07118	1	1	1	1	1		1	6	1	1	2	1	1		1	A	SYV_ECOLI	1.31	1.94E+01	1.62E+03	0.61	6	1	263.96	0.040924	4092.4	1119.34																	A
P07330	1				1			2	1				1			A	CHEB_ECOLI																											
P07364	1				1			2	1				1			A	CHER_ECOLI																											
P07604	1	1	1	1	1		1	6	1	1	2	1	1		1	A	TYRR_ECOLI	0.12	3.04E-01	1.45E+02	0.28	0.47	1	22.71	0.0041794	417.94		575.31																A
P07623	1				1	1	1	4	1				1	1	1	A	META_ECOLI										1492.17		0.09	0.09	   	  												A
P07639	1		1	1	1		1	5	1		2	1	1		1	A	AROB_ECOLI					1.64	1	76.29	0.013233	1323.3	601.54																	A
P07648	1				1		1	3	1				1		1	A	EX5C_ECOLI																											A
P07649	1			1	1		1	4	1			1	1		1	A	TRUA_ECOLI								0.0022645	226.45																		A
P07650	1	1	1		1		1	5	1	1	1		1		1	B	TYPH_ECOLI	2.65	4.48E+02	1.00E+04	0.47	1.33	1	62.27																				B
P07654	1				1		1	3	1				1		1	B	PSTA_ECOLI																											B
P07762	1	1	1		1		1	5	1	1	1		1		1	A	GLGB_ECOLI	0.06	1.60E-01	9.99E+01		0.44	1	21.31																				A
P07813	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	SYL_ECOLI	1.64	4.28E+01	2.56E+03		14	1	626.95	0.037294	3729.4	1138.73		0.07	 	  	0.07												A
P07821	1		1	1	1		1	5	1		1	1	1		1	F1	FHUC_ECOLI					1			0.0046236	462.36																		F1
P07822	1				1		1	3	1				1		1	G	FHUD_ECOLI																											G
P07862	1	1	1		1		1	5	1	1	1		1		1	A	DDLB_ECOLI	0.43	1.68E+00	3.92E+02		0.67	1	32.03																				A
P07913	1	1	1		1	1	1	6	1	1	2		1	1	1	A	TDH_ECOLI	0.55	2.51E+00	4.94E+02		9	1	398					0.09	0.09	  	 												A
P08142	1		1	1	1		1	5	1		2	1	1		1	A	ILVB_ECOLI					1.37	1	64.08	0.0062205	622.05	3487.21																	A
P08178	1	1	1		1		1	5	1	1	1		1		1	A	PUR5_ECOLI	1.22	1.57E+01	1.43E+03		1.89	1	87.54			207.05	7031.52																A
P08179	1	1			1		1	4	1	1			1		1	A	PUR3_ECOLI	0.18	5.20E-01	1.98E+02	0.34																							A
P08192	1		1	1	1		1	5	1		2	1	1		1	A	FOLC_ECOLI					2.16	1	99.64	0.0063886	638.86																		A
P08200	1	1	1		1		1	5	1	1	2		1		1	B	IDH_ECOLI	2.5	3.15E+02	8.19E+03		77.14	1	3190.93			19479.77																	B
P08201	1		1		1		1	4	1		1		1		1	A	NIRB_ECOLI					0.87	1	41.26																				A
P08244	1	1	1		1		1	5	1	1	2		1		1	A	PYRF_ECOLI	0.2	5.85E-01	2.12E+02		6.36	1	283.89				4506.56																A
P08312	1	1	1		1		1	5	1	1	2		1		1	A	SYFA_ECOLI	1.35	2.15E+01	1.72E+03		10	1	444.52			2019.67	3931.26																A
P08331	1	1	1		1		1	5	1	1	1		1		1	G	CPDB_ECOLI	0.18	5.09E-01	1.95E+02	0.35	0	1	19.43				1022.77																G
P08337	1			1	1			3	1			1	1			A	MUTT_ECOLI								0.0027423	274.23																		
P08368	1				1		1	3	1				1		1	A	CREB_ECOLI																											A
P08370	1				1			2	1				1			G	YGDB_ECOLI																											
P08371	1				1			2	1				1			B	PPDB_ECOLI																											
P08373	1	1	1	1	1			5	1	1	2	1	1			A	MURB_ECOLI	0.2	5.85E-01	2.12E+02		2.16	1	99.64	0.0073799	737.99																		
P08394	1			1	1		1	4	1			1	1		1	A	EX5B_ECOLI								0.00024504	24.504																		A
P08395	1		1		1	1	1	5	1		2		1	1	1	B	SPPA_ECOLI					0.42	1	20.37					0.1	 	0.03	 	 	  	0.15	 	0.05	 	 	0.21	0.05			B
P08400	1			1	1		1	4	1			1	1		1	B	PHOR_ECOLI								0.0042354	423.54	244.15																	B
P08401	1				1		1	3	1				1		1	B	CREC_ECOLI																											B
P08506	1		1		1	1	1	5	1		2		1	1	1	F2	DACC_ECOLI					1.61	1	74.94					0.29	0.07	0.21	0.14	 	  	0.08	 	0.67	 	0.44	  	0.44			F2
P08550	1				1			2	1				1			B	CVPA_ECOLI																											
P08839	1	1	1		1	1	1	6	1	1	2		1	1	1	F1	PT1_ECOLI	2.23	1.69E+02	5.70E+03	0.5	16.48	2	627.12			4259.89	12496.93	0.11	 	  	 	 	0.11	 	0.11	  	 						F1
P08997	1		1		1		1	4	1		2		1		1	A	MASY_ECOLI					2.38	1	228			116.68																	A
P09029	1	1			1			3	1	1			1			A	PURK_ECOLI	0.67	3.64E+00	6.13E+02	0.38						601.22																	
P09030	1	1	1	1	1		1	6	1	1	1	1	1		1	A	EX3_ECOLI	0.4	1.51E+00	3.68E+02	0.4	2.98	1	136.13	0.0026292	262.92		2365.15																A
P09053	1	1	1		1		1	5	1	1	2		1		1	A	AVTA_ECOLI	0.3	9.95E-01	2.89E+02	0.35	0.29	1	14.22																				A
P09126	1		1		1		1	4	1		1		1		1	A	HEM4_ECOLI					0.47	1																					A
P09152	1	1	1	1	1		1	6	1	1	2	1	1		1	F1	NARG_ECOLI	0.07	1.63E-01	1.01E+02	0.52	2.11	1	97.41	0.0011744	117.44																		F1
P09155	1		1	1	1			4	1		1	1	1			A	RND_ECOLI					0.27	1		0.0020128	201.28																		
P09158	1	1	1		1	1	1	6	1	1	1		1	1	1	A	SPEE_ECOLI	0.86	6.20E+00	8.35E+02		1.51	1	70.42			1796.68	3771.45	0.06	 	  	0.06												A
P09163	1				1		1	3	1				1		1	A	YJAB_ECOLI																											A
P09348	1				1			2	1				1			B	MOTA_ECOLI																											
P09377	1				1		1	3	1				1		1	A	RHAS_ECOLI																											A
P09391	1	1	1		1		1	5	1	1	1		1		1	B	GLPG_ECOLI	0.29	9.31E-01	2.78E+02	0.28	0.93	1	1.31																				B
P09394	1		1		1		1	4	1		1		1		1	G	GLPQ_ECOLI					3.49	1	158.66				17195.26																G
P09424	1	1	1		1			4	1	1	1		1			A	MTLD_ECOLI	0.6	2.98E+00	5.46E+02		1.85	1	85.75																				
P09546	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	F1	PUTA_ECOLI	0.35	1.25E+00	3.29E+02	0.37	5.74	1	257.02	0.0053439	534.39			0.07	 	  	0.07	 	  	0.07									F1
P09549	1		1	1	1		1	5	1		1	1	1		1	B	DEDD_ECOLI					22.71	1	2.19	0.00031834	31.834																		B
P09832	1	1		1	1		1	5	1	1		1	1		1	A	GLTD_ECOLI	0.58	2.83E+00	5.30E+02	0.51				0.11285	11285	2596.25																	A
P09836	1				1			2	1				1			B	UHPC_ECOLI																											
P09980	1			1		1	1	4	1			1		1	1	A	REP_ECOLI								0.0013367	133.67			0.09	  	0.09	  												A
P09996	1		1		1			3	1		1		1			A	YIDB_ECOLI					2.16	1	99.64																				
P0A6A0	1				1		1	3	1				1		1	B	UBIB_ECOLI																											B
P0A6A3	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	ACKA_ECOLI	2.71	5.17E+02	1.09E+04		14.51	1	5090.85	0.084861	8486.1	1837.39	1662	0.08	 	  	0.08												A
P0A6B4	1		1	1	1		1	5	1		1	1	1		1	A	ALR1_ECOLI					0.35	1	17.07	0.0033119	331.19																		A
P0A6B7	1	1	1	1	1	1	1	7	1	1	2	1	1	1	1	A	ISCS_ECOLI	1.9	7.84E+01	3.65E+03		18.57	1	802.26	0.33902	33902			0.24	 	0.42	0.42	 	0.24	 	 	  	0.07	 	  	0.07			A
P0A6C5	1				1	1	1	4	1				1	1	1	A	ARGA_ECOLI										117.42		0.11	0.07	  	0.14												A
P0A6C8	1				1		1	3	1				1		1	A	ARGB_ECOLI																											A
P0A6D0	1		1		1		1	4	1		1		1		1	A	ARGR_ECOLI					13.68	1	596.53			521.29																	A
P0A6D5	1			1	1			3	1			1	1			A	YDIB_ECOLI								0.00015467	15.467																		
P0A6D7	1	1	1		1		1	5	1	1	1		1		1	A	AROK_ECOLI	1.4	2.41E+01	1.84E+03		11.59		507.96																				A
P0A6E1	1				1		1	3	1				1		1	A	AROL_ECOLI																											A
