A		3.22	7.7	4.53	4.94	P0A7B8
A		1	4.48	3.23	1.25	P0A7C2
A		17.59	6.98	4.77	3.46	P0A7D4
A		5.31	13.56	9.53	8.37	P0A7D7
F1		9.96	4.63	3.58	2.44	P0A7E1
B		13.03	11.9	6.15	9.96	P0A7E5
A		7.58	12.52	8.9	10.15	P0A7E9
A		150.99	29.37	29.35	45.69	P0A7F3
A_trl		3.64	3.65	1.97	1.88	P0A7G2
A		0.53	2.25	1.09	0.78	P0A7I0
A_trl		9	2.74	1.43	1.39	P0A7I4
A_trl		19.31	25.6	53.72	42.79	P0A7J3
A_trl		99	12.28	24	4.19	P0A7K6
A_trl		58.95	29.79	46.24	51.32	P0A7R5
A_trl		20.54	26.56	60.03	60.77	P0A7R9
A_trl		137.95	30.08	55.18	57.31	P0A7S9
A_trl		67.13	18.99	28.75	23.82	P0A7T3
A_trl		397.11	42.64	37.35	53.55	P0A7U3
A_trl		340.45	22.51	29.56	27.65	P0A7V0
A_trl		83.83	21.59	57.44	40.71	P0A7V8
A_trl		40.25	25.7	37.44	34.9	P0A7W1
A_trl		16.78	33.38	41.99	50.92	P0A7W7
A_trl		38.81	20.76	24.02	19.74	P0A7X3
A_trl		5.58		56.93	46.4	P0A7X6
A		7.48	4.68	2.86	2.24	P0A7Y0
A		14.85	9.11	2.85	2.84	P0A7Z0
A		70.97	25.84	59.73	42.2	P0A7Z4
A		33.55	7.78	5.17	4.58	P0A805
A		0.62	1.79		0.79	P0A812
A		12.69	9.58	5.89	3.45	P0A817
A		19.81	21.17	10.14	13.41	P0A825
A		4.99	5.38	2.21	1.99	P0A832
A		10.72	30.22	15.55	51.01	P0A836
A_trl		67.13	12.85	14.29	9.41	P0A850
G	0.44	6.85	13.91	9.04	7.79	P0A855
A		45.42	10.28	5.59	9.54	P0A858
A		0.56	10.53	1.16	9.98	P0A867
A	0.59	53.84	19.38	15.14	25.64	P0A870
A_trl		4.88	6.45	3.32	3.31	P0A884
A		10.79	4.77	2.92	2.69	P0A887
A_trl	0.41	2.16		6.25	7.26	P0A8A8
A		9		5.05	8.18	P0A8C4
A		7.38		2.86	5.11	P0A8E1
A		22	10.31	5.44	4.77	P0A8E7
A		176.83	15.04	12.61	8.51	P0A8F0
A		2.73	2.07	1.12	0.82	P0A8F4
A	0.46	14.85	5.03	2.27	1.23	P0A8J4
A		1.21	8.49	4.22	2.71	P0A8J8
A_trl		12.04	3.17	3.01	0.8	P0A8L1
A_trl		8.26	3.51	2.01	0.84	P0A8M0
A_trl		11.07	17.35	11.32	10.23	P0A8M3
A_trl		21.64	3.36	1.75	1.87	P0A8N3
A_trl		17.12	1.12	0.46	0.49	P0A8N5
A		30.62		5.26	3.45	P0A8P3
A		28.29	4.22	2.17	1.49	P0A8T7
A		27.41	15.77	9.72	11.08	P0A8V2
A		2.38	1.51	0.97	0.72	P0A8V6
A		1.15		1.68	1.45	P0A8W5
A		7.38			11.03	P0A8W8
A	0.41	2.16		1.88	1.89	P0A8X0
A	0.42	2.98		1.26	0.63	P0A8Y5
H		7.25		9.94	11.42	P0A908
I		4.34	22.1	17.78	17.01	P0A912
I	0.41	1.07	2.57	1.3	0.59	P0A935
I		99	3.16	5.97	1.33	P0A937
H		4.36	9.03	4.86	5.46	P0A940
A	0.34	1.03	7.09	2.85	4.53	P0A951
A		33	14.32	7.77	9.84	P0A953
A	0.59	9	5.19	2.95	2.28	P0A955
A		1.45	4.17	2.26	2.77	P0A988
A	0.47	22.71	8.13	3.73	3.25	P0A993
A		99	5.82	7.21	3.56	P0A998
A	0.48	11.92	8.05	9	5.76	P0A9A9
A	0.83	109.07	33.24	58.51	51.46	P0A9B2
A	0.3	0.39	3.88	3.33	2.05	P0A9B6
A		90.52	10.83	5.52	4.6	P0A9C5
A	0.38	0.93	4.65	2.89	3.53	P0A9D4
A		45.42	13.15	11.65	5.19	P0A9D8
A	0.27	1.08	1.96	1.13	0.71	P0A9F3
A	0.32	0.86	8.23	2.3	3.71	P0A9H7
A		4.38	9.2	4.33	3.85	P0A9K3
A	0.68	16.78	8.82	8.55	6.52	P0A9K9
A	0.38	1.51	3.23	1.11	1.4	P0A9L8
