A	6.13E+02	238.33		0.032016	P0AA16
A_trl	7.92E+02	113.93		0.0052339	P0AA39
B	5.61E+02	295.57	417.34	0.09582	P0AAB6
A	2.12E+02	175.38	528.64	0.034944	P0AAC0
F1	3.68E+02	54.08		0.014668	P0AAF6
A	1.28E+03	398	1131.79	0.032093	P0AAI5
A	1.02E+04	563.11	4223.37	0.0023342	P0AAI9
G	8.77E+02	83	530.31	0.0039972	P0AAX8
A	4.78E+04	3043.33	16325.84	0.28809	P0AB71
A	9.39E+02	1033.75		0.0097452	P0AB77
A	2.98E+03	623.57	3289.78	0.040896	P0AB89
F1	7.79E+02	1562.34	182.82	0.027269	P0ABA6
F1	3.11E+03	2674.21	4552.23	0.28794	P0ABB4
B	4.24E+02	8.96		0.00646	P0ABB8
B	1.92E+02	18.96		0.010659	P0ABF1
A	1.36E+03	1577.84	8268.3	0.036019	P0ABH7
B	2.12E+02	177.58		0.012192	P0ABI4
B	5.18E+02	165.27		0.19755	P0ABJ9
A	4.58E+04	2087.68		0.15759	P0ABP8
A	3.73E+03	1302.81		0.0049175	P0ABT2
A	2.11E+03	289.95		0.0091194	P0ABU0
F1	4.53E+02	37.12		0.01942	P0ABZ4
A	5.26E+02	398		0.0084338	P0AC38
A	8.77E+02	119.92		0.046197	P0AC53
A	2.98E+03	238.33	4664.32	0.36847	P0AC69
B	1.53E+02	-		0.0042705	P0AC75
A	5.18E+02	32.03		0.070027	P0AC81
A	1.96E+03	177.58	3002.72	0.10494	P0ACA3
A	1.04E+03	238.33	1599.64	0.17434	P0ACC3
A	7.37E+02	171.87		0.017531	P0ACC7
A	2.33E+03	521.98		0.3532	P0ACD4
A	2.11E+03	398		0.058486	P0ACE7
A	6.10E+04	4064.14	15025.7	1.0443	P0ACF0
A	1.60E+02	165.27	329.79	0.031944	P0ACQ4
A	1.10E+04	1113.95	3525.86	6.3873e-005	P0AD61
I	2.11E+03	300.32		0.0048273	P0ADA5
E	4.53E+02	540		8.4625e-005	P0ADK0
G	2.51E+03	1446.53		0.0012477	P0ADS6
G	1.32E+03	58.63	270.52	0.00094203	P0ADV7
B	1.68E+03	1302.81		1.3695	P0ADZ7
A	5.71E+02	295.57	241.88	0.051445	P0AE18
A	4.53E+02	70.42		0.024223	P0AE48
A	2.63E+02	118.82		0.017344	P0AE78
F2	6.29E+02	359.76		0.0021441	P0AEB2
B	9.99E+01	31.57		0.021952	P0AEC3
E	5.04E+02	308.96		0.0027357	P0AEE1
G	1.25E+03	22.71	312.01	0.00042587	P0AEG6
F1	1.25E+04	4064.14	5184.69	0.14585	P0AEK4
A	1.21E+03	252.24	1218.22	0.028595	P0AES4
G	1.04E+03	54.08	8230.56	0.001017	P0AEU0
A	1.04E+03	70.42		0.010582	P0AF03
A	6.54E+03	540		0.90549	P0AF93
I	1.76E+02	17.54		0.0018244	P0AFB1
A	1.86E+02	21.31		0.01138	P0AFB5
B	1.04E+03	165.27		0.070659	P0AFC3
F1	1.04E+03	199.06		0.019762	P0AFC7
F1	5.46E+02	563.11		0.040065	P0AFD1
A	2.51E+03	1252.04	1454.89	0.18517	P0AFF6
A	1.33E+03	628.64	4022.02	0.063527	P0AFG3
B	1.45E+04	3842.58	6045.75	0.33982	P0AFG8
F1	1.74E+02	37.12	338.13	0.010523	P0AFI2
A	3.15E+02	140.56		0.010568	P0AFI7
A	2.12E+02	39.42		0.0028944	P0AFQ7
F1	1.22E+03	507.96	259.56	0.026038	P0AFY8
A	1.04E+03	125.04		0.026351	P0AFZ3
A	9.43E+01	16.12		0.011422	P0AG24
B	1.04E+03	791.36		0.0087534	P0AG27
A	4.45E+03	1414.45	4608.22	0.88692	P0AG30
B	9.79E+01	1.61		0.0030663	P0AG71
F1	3.19E+03	2585.84	13475.06	0.4122	P0AG86
A	2.39E+02	64.08	155.34	0.037399	P0AGG8
A	3.33E+02	86.65		0.0073575	P0AGJ5
A	2.66E+03	146.75		0.14623	P0C054
A_trl	2.29E+02	20.84		0.0047117	P0C0R7
F1	5.18E+02	232.24	616.88	0.028944	P10408
A	1.35E+02	-		0.0033995	P10443
F1	1.17E+02	66		0.00043816	P11349
A	1.98E+02	16.12		0.008253	P11880
A	2.78E+02	260.06	288.44	0.0097959	P12281
A	8.53E+02	444.52	1702.49	0.0065919	P13029
A	3.78E+02	319.74	131.52	0.041147	P15034
A	9.79E+01	13.75	277.94	0.0089286	P15042
A	6.94E+02	37.58		0.015984	P15254
A	2.36E+03	941.79	308.94	0.069545	P15288
A	4.53E+02	49		0.0057867	P15770
A	1.49E+02	37.12	100.16	0.0065146	P15977
F1	1.60E+02	12.79		0.0053294	P17443
A	3.39E+02	99.64	1003.63	0.0076549	P17993
A	7.46E+02	185	992.26	0.012897	P18843
A	1.06E+02	41.26		0.0037553	P20083
A	6.90E+02	233.11	1320.43	0.020075	P21165
A	2.83E+02	51.34		0.036361	P21499
A	6.79E+02	404.41	389.04	0.050419	P21599
A	5.77E+02	289.95		0.032122	P21888
F1	1.09E+03	398	1675.34	0.071289	P21889
A	3.26E+02	38.96		0.015536	P22523
A	5.74E+03	172.75	8305.57	0.078687	P23721
F1	1.76E+02	99.64		0.036911	P23830
G	5.65E+02	27.85	2045.15	0.00011962	P23847
A	1.04E+03	165.27		0.010791	P23882
B	2.78E+02	115.26		0.0095725	P23894
A	5.54E+02	94.72	344.77	0.013442	P24171
B	1.86E+02	16.12		0.009926	P24205
A	4.53E+02	73.59		0.012477	P25437
A	5.11E+03	656.74		0.12073	P27302
A	2.50E+02	83		0.039415	P28248
E	8.05E+02	-	171.31	0.0065742	P28635
