Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
C6EHH5_ECOBD	18	12		818.689159444444	-0.0683389921911594
C6EKC9_ECOBD	19	9		760.630766666667	-0.566938673617595
C6EHD4_ECOBD	15	9		860.311355833333	-0.235115805581492
C6EHM1_ECOBD	18	11		841.426377395833	-0.221382994500782
C6ED44_ECOBD	14	9		852.083570705128	-0.0551367589525484
C6EAH3_ECOBD	16	9		1012.12707316667	-0.207364910698244
C6ECP9_ECOBD	15	9		768.663771071429	-0.168514571847905
C6ED49_ECOBD	16	5		933.134857976191	-0.0527272727272727
C6EFV1_ECOBD	4	2		1334.915125	0.851363636363637
C6EHI4_ECOBD	22	13		889.911778676471	-0.482795104131137
C6EAP5_ECOBD	20	11		927.294417820513	-0.3154657177839
C6EA91_ECOBD	18	12		891.587758555556	-0.119624467527693
C6EA74_ECOBD	21	14		777.26868	-0.410906059043931
C6EKW6_ECOBD	12	4		817.307428055556	0.235726637492942
C6EJQ2_ECOBD	11	7		694.31405875	-0.412493867243867
C6EJP5_ECOBD	16	8		753.539001666667	-0.709746156621157
C6EHG2_ECOBD	5	3		1124.47910266667	0.501904761904762
C6EFS2_ECOBD	23	8		788.120276	-0.14989360516934
C6EEW6_ECOBD	5	3		1139.63686958333	0.439267676767677
C6EEM6_ECOBD	21	12		858.236565	-0.0681282110132729
C6EBF5_ECOBD	7	4		906.403893229167	0.3934375
C6EBD3_ECOBD	13	8		724.521993333333	-0.284092261904762
C6EAI9_ECOBD	17	8		739.68799875	0.213627729500891
C6EKK4_ECOBD	13	7		857.810459285714	0.120304473304473
C6EJY7_ECOBD	13	7		918.319326481482	-0.196531385281385
C6EGJ3_ECOBD	4	3		1133.98549916667	0.399010217113666
C6EFK7_ECOBD	6	2		818.960914583333	0.496726190476191
C6ED74_ECOBD	21	9		783.605627569445	-0.309833135274312
C6EDZ7_ECOBD	18	9		806.271364545455	-0.434586740420074
C6EL92_ECOBD	9	5		886.360449	0.0426188540755604
C6EHX9_ECOBD	10	4		793.9080725	0.0802710333145116
C6EEB8_ECOBD	10	5		818.213631309524	-0.403211875843455
C6EDI8_ECOBD	18	12		881.535060892857	-0.412083124342546
C6EEZ8_ECOBD	17	11		910.627050416667	-0.258135558180415
C6EFM3_ECOBD	19	6		808.742630952381	0.183511904761905
C6EJF9_ECOBD	21	8		631.762654259259	-0.360877976190476
C6EG83_ECOBD	20	11		789.829032222222	-0.572194232970095
C6EBR6_ECOBD	16	12		900.980366282051	-0.0583582150772241
C6EFI5_ECOBD	20	10		981.489738777778	-0.126522874127976
C6EAE5_ECOBD	15	11		745.985442361111	-0.526847086522009
C6EDY6_ECOBD	18	9		1084.10367402778	-0.29046083795709
C6EFR3_ECOBD	17	14		839.030491574074	-0.697672818573105
