Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z	
YFGL_ECOLI	8	0	0		
YFGL_ECOLI	9	1	11.1111111111111	567.27818	-0.811111111111111
YFGL_ECOLI	9	0	0		
YFGL_ECOLI	10	1	10	505.24635	-0.355555555555555
YFGL_ECOLI	12	2	16.6666666666667	926.4444925	-0.0537500000000001
YFGL_ECOLI	12	0	0		
YFGL_ECOLI	13	1	7.69230769230769	1386.942575	-0.0300000000000001
YFGL_ECOLI	13	0	0		
YFGL_ECOLI	14	0	0		
YFGL_ECOLI	16	1	6.25	803.36844	-0.4875
YFGL_ECOLI	16	0	0		
YFGL_ECOLI	16	0	0		
YFGL_ECOLI	16	0	0		
YFGL_ECOLI	18	1	5.55555555555556	1631.77982333333	-0.110869565217391
YFGL_ECOLI	18	0	0		
YFGL_ECOLI	18	0	0		
YFGL_ECOLI	18	0	0		
YFGL_ECOLI	18	0	0		
YFGL_ECOLI	18	0	0		
YFGL_ECOLI	19	1	5.26315789473684	765.387935	0.0923076923076923
YFGL_ECOLI	20	1	5	1058.14082208333	0.211111111111111
YFGL_ECOLI	21	1	4.76190476190476	975.976685	-0.322222222222222
YFGL_ECOLI	21	0	0		
YFGL_ECOLI	21	0	0		
YFHG_ECOLI	2	1	50	745.355345	-1.05384615384615
YFHG_ECOLI	3	1	33.3333333333333	550.77801	-0.788888888888889
YFHG_ECOLI	4	1	25	463.76417	0.488888888888889
YFHG_ECOLI	5	1	20	1306.13632	0.0652173913043479
YFHG_ECOLI	6	1	16.6666666666667	689.33877	-0.9
YFHG_ECOLI	7	1	14.2857142857143	743.810575	-1.89166666666667
YFHG_ECOLI	8	1	12.5	734.868415	-0.838461538461539
YFHG_ECOLI	8	0	0		
BORD_ECOLI	2	1	50	660.436183333333	-0.3125
BORD_ECOLI	3	1	33.3333333333333	494.24529	0.55
BORD_ECOLI	4	1	25	1440.755975	0.238461538461538
BORD_ECOLI	4	0	0		
BORD_ECOLI	4	0	0		
BORD_ECOLI	4	0	0		
RLPA_ECOLI	1	1	100	479.766715	0.3
RLPA_ECOLI	2	1	50	406.711945	-0.742857142857143
RLPA_ECOLI	4	0	0		
RLPA_ECOLI	5	0	0		
RLPA_ECOLI	7	1	14.2857142857143	832.88206	-1.35
RLPA_ECOLI	8	1	12.5	501.249425	-1.01111111111111
RLPA_ECOLI	9	1	11.1111111111111	428.73067	-0.3125
RLPA_ECOLI	10	1	10	514.7625	-0.366666666666667
RLPA_ECOLI	10	0	0		
RLPA_ECOLI	11	1	9.09090909090909	659.3262	-1.90909090909091
RLPA_ECOLI	13	1	7.69230769230769	445.2176	-1.6
RLPA_ECOLI	14	1	7.14285714285714	1740.873515	-0.169444444444444
RLPA_ECOLI	15	1	6.66666666666667	1505.40267333333	-0.090909090909091
RLPA_ECOLI	16	0	0		
RLPA_ECOLI	16	0	0		
RLPA_ECOLI	18	1	5.55555555555556	1171.585405	0.570833333333333
RLPA_ECOLI	18	0	0		
RLPA_ECOLI	18	0	0		
LPTE_ECOLI	3	1	33.3333333333333	953.414315	-1.52222222222222
LPTE_ECOLI	4	1	25	452.737625	-0.0375
LPTE_ECOLI	6	0	0		
LPTE_ECOLI	8	0	0		
LPTE_ECOLI	8	0	0		
LPTE_ECOLI	10	1	10	683.821895	-0.158333333333333
LPTE_ECOLI	12	1	8.33333333333333	499.774735	0.0888888888888888
LPTE_ECOLI	14	1	7.14285714285714	545.24295	-1.2
LPTE_ECOLI	15	0	0		
LPTE_ECOLI	17	2	11.7647058823529	669.0721775	-0.545
LPTE_ECOLI	17	0	0		
LPTE_ECOLI	17	0	0		
LPTE_ECOLI	17	0	0		
LPTE_ECOLI	17	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	18	0	0		
LPTE_ECOLI	20	1	5	1203.096485	0.0363636363636363
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
LPTE_ECOLI	21	0	0		
YFIO_ECOLI	2	1	50	776.1959125	-0.56
YFIO_ECOLI	6	2	33.3333333333333	617.2809775	-0.918181818181818
YFIO_ECOLI	7	1	14.2857142857143	532.731065	-1.94444444444444
YFIO_ECOLI	10	0	0		
YFIO_ECOLI	12	0	0		
YFIO_ECOLI	13	1	7.69230769230769	785.833715	-1.30833333333333
YFIO_ECOLI	13	0	0		
YFIO_ECOLI	13	0	0		
YFIO_ECOLI	14	1	7.14285714285714	443.707195	-1.78571428571429
YFIO_ECOLI	15	1	6.66666666666667	683.35494	-0.0615384615384616
YFIO_ECOLI	15	0	0		
YFIO_ECOLI	16	1	6.25	1062.999825	0.1
YFIO_ECOLI	16	0	0		
YFIO_ECOLI	16	0	0		
YFIO_ECOLI	16	0	0		
YFIO_ECOLI	16	0	0		
YFIO_ECOLI	17	1	5.88235294117647	485.26213	0.766666666666667
YFIO_ECOLI	17	0	0		
YFIO_ECOLI	17	0	0		
YFIO_ECOLI	19	2	10.5263157894737	956.476055	-0.489166666666667
YFIO_ECOLI	20	1	5	435.6985	0.025
YFIO_ECOLI	20	0	0		
YFIO_ECOLI	21	0	0		
YFIO_ECOLI	21	0	0		
YFIO_ECOLI	21	0	0		
YFIO_ECOLI	21	0	0		
YFIO_ECOLI	21	0	0		
YFIO_ECOLI	23	1	4.34782608695652	722.318235	-1.54615384615385
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	23	0	0		
YFIO_ECOLI	24	1	4.16666666666667	1020.974335	-1.46666666666667
YFIO_ECOLI	24	0	0		
YFIO_ECOLI	24	0	0		
YFIO_ECOLI	24	0	0		
YFIL_ECOLI	2	1	50	516.23651	-0.88
SMPA_ECOLI	2	1	50	943.8034875	-0.64
SMPA_ECOLI	3	1	33.3333333333333	1221.93931	-0.574285714285714
SMPA_ECOLI	3	0	0		
MLTB_ECOLI	2	1	50	642.346595	-0.754545454545454
MLTB_ECOLI	4	1	25	796.422825	0.457142857142857
MLTB_ECOLI	5	1	20	897.800633888889	0.00454545454545449
MLTB_ECOLI	6	0	0		
MLTB_ECOLI	7	1	14.2857142857143	1369.14914	-0.547826086956522
MLTB_ECOLI	8	1	12.5	592.77038	-1.89
MLTB_ECOLI	9	1	11.1111111111111	1015.088075	-0.704347826086956
MLTB_ECOLI	10	1	10	1192.2934125	-0.237037037037037
MLTB_ECOLI	10	0	0		
MLTB_ECOLI	11	1	9.09090909090909	1147.62604	0.680952380952381
MLTB_ECOLI	12	1	8.33333333333333	937.948545	0.26875
MLTB_ECOLI	13	1	7.69230769230769	942.403455	-0.144444444444444
MLTB_ECOLI	13	0	0		
MLTB_ECOLI	14	1	7.14285714285714	984.978695	-0.195
PAL_ECOLI	3	2	66.6666666666667	614.909906458333	-0.270952380952381
PAL_ECOLI	5	0	0		
PAL_ECOLI	5	0	0		
PAL_ECOLI	6	1	16.6666666666667	894.459715	1.29444444444444
PAL_ECOLI	8	0	0		
PAL_ECOLI	8	0	0		
PAL_ECOLI	10	2	20	611.5378175	-0.950833333333333
PAL_ECOLI	10	0	0		
PAL_ECOLI	11	0	0		
PAL_ECOLI	11	0	0		
PAL_ECOLI	11	0	0		
PAL_ECOLI	11	0	0		
PAL_ECOLI	13	1	7.69230769230769	1118.55224	-0.661111111111111
PAL_ECOLI	13	0	0		
PAL_ECOLI	13	0	0		
PAL_ECOLI	13	0	0		
PAL_ECOLI	14	1	7.14285714285714	722.835083333333	-0.133333333333333
PAL_ECOLI	14	0	0		
PAL_ECOLI	14	0	0		
PAL_ECOLI	14	0	0		
PAL_ECOLI	14	0	0		
PAL_ECOLI	15	1	6.66666666666667	1592.62872	-1.01212121212121
YBHC_ECOLI	2	2	100	533.4768825	-2.21507936507937
YBHC_ECOLI	4	1	25	626.79673	-0.0272727272727272
YBHC_ECOLI	4	0	0		
YBHC_ECOLI	4	0	0		
YBHC_ECOLI	6	1	16.6666666666667	786.87264	-0.0666666666666668
YBHC_ECOLI	7	1	14.2857142857143	1461.222305	0.0923076923076923
YBHC_ECOLI	7	0	0		
YBHC_ECOLI	9	2	22.2222222222222	965.394828888889	-0.835561497326203
YBHC_ECOLI	10	1	10	675.328725	0.0769230769230769
YBHC_ECOLI	11	1	9.09090909090909	799.90553	-0.0800000000000001
YBHC_ECOLI	11	0	0		
