GN	Comment	EG	ECK	SP	WISC	CG
ydaQ	Prophage (EcoGene)		EG13359	P76057	b1346	Null
racR	Prophage (EcoGene)		EG13360	P76062	b1356	Null
ydaS	Prophage (EcoGene)		EG13361	P76063	b1357	Null
ydaT	Prophage (EcoGene)		EG13362	P76064	b1358	Null
ydaU	Prophage (EcoGene)		EG13363	P76065	b1359	Null
ydaV	Prophage (EcoGene)		EG13364	P77546	b1360	Null
stfR	Prophage (EcoGene)		EG13370	P76072	b1372	Null
tfaR	Prophage (EcoGene)		EG13371	P77163	b1373	Null
pinR	Prophage (EcoGene)		EG13372	P0ADI0	b1374	Null
ynaE	Prophage (EcoGene)		EG13373	P76073	b1375	Null
yeeR	Prophage (EcoGene)		EG13385	P76361	b2001	Null
yeeS	Prophage (EcoGene)		EG13386	P76362	b2002	Null
yeeT	Prophage (EcoGene)		EG13387	P64521	b2003	Null
yeeU	Prophage (EcoGene)		EG13388	P76364	b2004	Null
yeeV	Prophage (EcoGene)		EG13389	P64524	b2005	Null
flxA	Prophage (EcoGene)		EG13429	P77609	b1566	Null
ymfD	Prophage (EcoGene)		EG13448	P75967	b1137	CG86210
ymfE	Prophage (EcoGene)		EG13449	P75968	b1138	Null
ykfB	Prophage (EcoGene)		EG13548	P77162	b0250	Null
yagK	Prophage (EcoGene)		EG13550	P77657	b0277	Null
yagL	Prophage (EcoGene)		EG13551	P77607	b0278	Null
yagM	Prophage (EcoGene)		EG13552	P71296	b0279	Null
yagN	Prophage (EcoGene)		EG13553	P71297	b0280	Null
intF	Prophage (EcoGene)		EG13554	P71298	b0281	Null
ybcK	Prophage (EcoGene)		EG13627	P77698	b0544	Null
ybcL	Prophage (EcoGene)		EG13628	P77368	b0545	Null
ybcM	Prophage (EcoGene)		EG13629	P77634	b0546	Null
ybcN	Prophage (EcoGene)		EG13630	Q47269	b0547	Null
ybcO	Prophage (EcoGene)		EG13631	P68661	b0549	Null
quuD	Prophage (EcoGene)		EG13633	Q47274	b0551	Null
essD	Prophage (EcoGene)		EG13634	P0A9R2	b0554	Null
arrD	Prophage (EcoGene)		EG13635	P78285	b0555	Null
rzpD	Prophage (EcoGene)		EG13636	P75719	b0556	Null
borD	Prophage (EcoGene)		EG13637	P77330	b0557	Null
ybcV	Prophage (EcoGene)		EG13638	P77598	b0558	Null
ybcW	Prophage (EcoGene)		EG13639	P64435	b0559	Null
ydfK	Prophage (EcoGene)		EG13823	P76154	b1544	Null
pinQ	Prophage (EcoGene)		EG13824	P77170	b1545	Null
tfaQ	Prophage (EcoGene)		EG13825	P76155	b1546	Null
stfQ	Prophage (EcoGene)		EG13826	P77515	b1547	Null
ydfO	Prophage (EcoGene)		EG13827	P76156	b1549	Null
rzpQ	Prophage (EcoGene)		EG13828	P76158	b1553	Null
arrQ	Prophage (EcoGene)		EG13829	P76159	b1554	Null
ydfR	Prophage (EcoGene)		EG13830	P76160	b1555	Null
essQ	Prophage (EcoGene)		EG13831	P77237	b1556	Null
quuQ	Prophage (EcoGene)		EG13832	P76161	b1559	Null
ydfU	Prophage (EcoGene)		EG13833	P76162	b1560	Null
ydfV	Prophage (EcoGene)		EG13834	P76163	b1565	Null
gnsB	Prophage (EcoGene)		EG13837	P77695	b1550	Null
cspI	Prophage (EcoGene)		EG13877	P0A986	b1552	Null
