Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	P24182	Q9S4X5	P00350	P31119	P60560	P0AG44	P0A9P0	P08660	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P00363	P00634	P0A910	C1P619	P0ACV0	Q46798	A5A615	P00561	P0AFG8	P25714	P00350	Accession
P0C960	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	I	EMTA_ECOLI							P0C960						P0C960													P0C960	P0C960			P0C960				P0C960
P0CB39	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	12	B	CPTA_ECOLI						P0CB39					P0CB39	P0CB39	P0CB39	P0CB39		P0CB39					P0CB39		P0CB39			P0CB39	P0CB39			P0CB39				P0CB39
P10121	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	9	F1	FTSY_ECOLI			P10121			P10121	P10121	P10121					P10121													P10121	P10121			P10121				P10121
P10346	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	15	F1	GLNQ_ECOLI			P10346		P10346	P10346	P10346		P10346		P10346	P10346		P10346		P10346					P10346		P10346			P10346	P10346			P10346				P10346
P10378	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	F1	ENTE_ECOLI						P10378		P10378					P10378																	P10378				P10378
P10408	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	14	F1	SECA_ECOLI			P10408		P10408	P10408	P10408	P10408		P10408			P10408			P10408	P10408									P10408	P10408			P10408		P10408		P10408
P10423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	F2	IAP_ECOLI																														P10423				
P10441	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	9	F1	LPXB_ECOLI			P10441				P10441	P10441					P10441								P10441					P10441	P10441			P10441				P10441
P10905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	UGPA_ECOLI																																		P10905
P10906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	UGPE_ECOLI																																		P10906
P10907	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	F1	UGPC_ECOLI						P10907																					P10907			P10907				P10907
P11289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	I	YFIL_ECOLI																														P11289				P11289
P11349	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	13	F1	NARH_ECOLI			P11349		P11349		P11349	P11349	P11349				P11349				P11349				P11349					P11349	P11349			P11349	P11349			P11349
P11350	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	7	B	NARI_ECOLI								P11350													P11350					P11350	P11350			P11350	P11350			P11350
P11454	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	6	F1	ENTF_ECOLI						P11454		P11454					P11454													P11454				P11454				P11454
P12008	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	AROC_ECOLI						P12008	P12008		P12008																	P12008	P12008			P12008				P12008
P12996	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	B	BIOB_ECOLI								P12996	P12996																									
P13033	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	10	F1	GLPB_ECOLI			P13033		P13033	P13033	P13033	P13033	P13033																	P13033	P13033			P13033		P13033		
P13518	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	B	YHDA_ECOLI								P13518																		P13518	P13518			P13518				P13518
P14376	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	RCSC_ECOLI			P14376					P14376								P14376					P14376					P14376	P14376			P14376				P14376
P15877	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	15	B	DHG_ECOLI						P15877	P15877	P15877	P15877		P15877	P15877	P15877	P15877		P15877					P15877		P15877			P15877	P15877			P15877				P15877
P15993	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	B	AROP_ECOLI							P15993																				P15993					P15993		P15993
P16095	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	8	B	SDHL_ECOLI			P16095				P16095						P16095										P16095			P16095	P16095			P16095				P16095
P16430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	HYCD_ECOLI																																		
P16431	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	B	HYCE_ECOLI			P16431		P16431			P16431					P16431													P16431	P16431							
P16676	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	6	F1	CYSA_ECOLI						P16676		P16676								P16676											P16676			P16676				P16676
P16677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	F1	PHNC_ECOLI																										P16677								
P16678	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	F1	PHNK_ECOLI													P16678																					
P16679	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	F1	PHNL_ECOLI													P16679																					
P16682	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	G	PHND_ECOLI													P16682																	P16682				
P16700	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	7	G	CYSP_ECOLI						P16700		P16700					P16700											P16700	P16700					P16700				P16700
P17334	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B	PTQC_ECOLI								P17334																										
P17443	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	10	F1	MURG_ECOLI						P17443	P17443	P17443	P17443							P17443					P17443					P17443	P17443			P17443				P17443
P18200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	PGPA_ECOLI																																		
P18390	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	G	YJJA_ECOLI							P18390																				P18390			P18390				
P18392	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	RSTB_ECOLI						P18392							P18392			P18392										P18392	P18392			P18392				P18392
P18776	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	5	F2	DMSB_ECOLI					P18776		P18776																				P18776			P18776				P18776
P18956	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	G	GGT_ECOLI						P18956		P18956																						P18956				
P19318	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	F1	NARY_ECOLI							P19318	P19318					P19318													P19318	P19318			P19318				P19318
P19319	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	12	F1	NARZ_ECOLI			P19319					P19319				P19319	P19319	P19319			P19319			P19319	P19319					P19319	P19319			P19319				P19319
P21338	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	G	RNI_ECOLI								P21338					P21338													P21338	P21338			P21338				P21338
P21345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	B	GLTP_ECOLI																											P21345							P21345
P21503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YCAD_ECOLI																																		
P21889	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	11	F1	SYD_ECOLI			P21889		P21889	P21889	P21889	P21889					P21889				P21889									P21889	P21889			P21889				P21889
P21893	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	6	B	RECJ_ECOLI								P21893					P21893			P21893											P21893			P21893				P21893
P22525	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	YCBB_ECOLI								P22525					P22525													P22525	P22525			P22525				P22525
P22731	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	6	F1	LIVF_ECOLI						P22731							P22731			P22731										P22731						P22731		P22731
P23256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	B	MALY_ECOLI			P23256																											P23256				
P23524	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	B	GLXK2_ECOLI								P23524					P23524																	P23524				
P23830	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	10	F1	PSS_ECOLI					P23830	P23830	P23830	P23830					P23830			P23830										P23830	P23830			P23830				P23830
P23837	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	7	B	PHOQ_ECOLI													P23837			P23837										P23837	P23837			P23837		P23837		P23837
P23843	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	18	G	OPPA_ECOLI		P23843	P23843	P23843	P23843	P23843	P23843		P23843			P23843		P23843						P23843	P23843	P23843	P23843	P23843		P23843	P23843			P23843				P23843
P23847	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	17	G	DPPA_ECOLI		P23847	P23847			P23847	P23847	P23847	P23847			P23847	P23847	P23847								P23847	P23847	P23847		P23847	P23847			P23847		P23847		P23847
P23865	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	12	F2	PRC_ECOLI			P23865		P23865	P23865	P23865	P23865	P23865							P23865			P23865							P23865	P23865			P23865				P23865
P23878	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	F1	FEPC_ECOLI													P23878																					P23878
P23886	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	11	B	CYDC_ECOLI							P23886					P23886	P23886	P23886		P23886					P23886					P23886	P23886			P23886		P23886		P23886
P23894	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	HTPX_ECOLI						P23894	P23894									P23894					P23894					P23894	P23894			P23894				P23894
P23898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	I	NLPC_ECOLI																											P23898	P23898						
P23909	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	MUTS_ECOLI			P23909				P23909	P23909					P23909													P23909	P23909			P23909				P23909
P23917	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	MAK_ECOLI						P23917	P23917																			P23917	P23917			P23917				P23917
P23930	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	10	B	LNT_ECOLI						P23930	P23930	P23930								P23930					P23930					P23930	P23930			P23930		P23930		P23930
P24177	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	B	ACRD_ECOLI								P24177																		P24177	P24177			P24177				P24177
P24205	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	MSBB_ECOLI							P24205	P24205					P24205			P24205										P24205	P24205			P24205				P24205
P24228	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	F2	DACB_ECOLI					P24228				P24228				P24228													P24228	P24228			P24228				P24228
P25522	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	F1	MNME_ECOLI						P25522	P25522	P25522													P25522					P25522	P25522			P25522				P25522
P25527	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	B	GABP_ECOLI								P25527																						P25527				
P25534	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	9	F1	UBIH_ECOLI			P25534		P25534		P25534	P25534					P25534													P25534	P25534			P25534				P25534
P25535	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	VISC_ECOLI					P25535		P25535						P25535													P25535	P25535			P25535				P25535
P25714	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	17	B	OXAA_ECOLI			P25714			P25714	P25714			P25714	P25714	P25714		P25714		P25714	P25714			P25714	P25714		P25714			P25714	P25714			P25714		P25714		P25714
P25718	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	9	G	AMY1_ECOLI			P25718		P25718			P25718				P25718		P25718						P25718			P25718			P25718				P25718				
P25737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	5	B	LYSP_ECOLI																					P25737					P25737	P25737			P25737				P25737
P25743	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	B	YCHE_ECOLI			P25743				P25743																			P25743								
P25746	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	6	F1	HFLD_ECOLI							P25746														P25746					P25746	P25746			P25746				P25746
P26365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	G	AMIB_ECOLI																											P26365			P26365				P26365
P26458	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	B	APPB_ECOLI													P26458													P26458								
P26459	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	APPC_ECOLI			P26459													P26459	P26459				P26459					P26459	P26459			P26459				P26459
P26647	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	7	F1	PLSC_ECOLI													P26647			P26647					P26647					P26647	P26647			P26647				P26647
P26648	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	7	G	SUFI_ECOLI			P26648			P26648			P26648													P26648					P26648			P26648				P26648
P27278	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	F1	NADR_ECOLI			P27278				P27278						P27278													P27278	P27278			P27278				P27278
P27297	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	G	BAX_ECOLI													P27297																					
P27829	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	H	WECC_ECOLI			P27829																							P27829	P27829			P27829				P27829
P27844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	RARD_ECOLI																																		
P27896	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	B	NARQ_ECOLI								P27896																		P27896	P27896			P27896				P27896
P28224	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	5	I	MLIC_ECOLI								P28224																		P28224	P28224			P28224				P28224
P28249	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	9	B	ASMA_ECOLI			P28249			P28249	P28249						P28249			P28249										P28249	P28249			P28249				P28249
P28306	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	YCEG_ECOLI													P28306			P28306										P28306	P28306			P28306				P28306
P28635	1	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	17	E	METQ_ECOLI	P28635			P28635	P28635	P28635		P28635	P28635			P28635		P28635	P28635	P28635					P28635		P28635			P28635	P28635			P28635		P28635		P28635
P28696	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	G	YAAI_ECOLI													P28696																					
P29018	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	12	B	CYDD_ECOLI						P29018	P29018			P29018		P29018	P29018	P29018		P29018					P29018					P29018	P29018			P29018				P29018
P29217	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	YCEH_ECOLI			P29217			P29217	P29217	P29217																		P29217	P29217			P29217				P29217
P29744	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	F4	FLGL_ECOLI									P29744			P29744	P29744	P29744						P29744							P29744							
P30136	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	B	THIC_ECOLI						P30136							P30136													P30136								
P30138	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	B	THIF_ECOLI						P30138							P30138																	P30138				P30138
P30143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	B	YAAJ_ECOLI																										P30143								
P30750	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	10	F1	METN_ECOLI						P30750	P30750	P30750					P30750			P30750										P30750	P30750			P30750		P30750		P30750
P30844	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	BASS_ECOLI								P30844													P30844					P30844	P30844			P30844				P30844
P30845	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	7	B	EPTA_ECOLI								P30845			P30845	P30845		P30845		P30845							P30845											P30845
P30847	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	BAES_ECOLI													P30847		P30847	P30847										P30847	P30847			P30847				P30847
P30859	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	15	G	ARTI_ECOLI			P30859	P30859		P30859	P30859		P30859			P30859	P30859	P30859									P30859	P30859	P30859		P30859			P30859		P30859		P30859
P30864	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	B	YAFC_ECOLI								P30864					P30864			P30864														P30864				P30864
P31069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	4	B	KCH_ECOLI																										P31069	P31069			P31069				P31069
P31119	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	9	B	AAS_ECOLI			P31119					P31119					P31119			P31119					P31119					P31119	P31119			P31119				P31119
P31125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	EAMA_ECOLI																																		
P31133	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	G	POTF_ECOLI				P31133					P31133															P31133								P31133		
P31134	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	F1	POTG_ECOLI													P31134			P31134														P31134				P31134
P31433	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	8	B	YICH_ECOLI						P31433	P31433									P31433					P31433					P31433	P31433			P31433				P31433
P31435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YICJ_ECOLI																																		
P31440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YICO_ECOLI																																		
P31462	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	B	MDTL_ECOLI								P31462																						P31462				
P31466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	4	B	YIEG_ECOLI																					P31466					P31466				P31466				P31466
P31474	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B	HSRA_ECOLI								P31474																										
P31545	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	G	YCDB_ECOLI													P31545																					P31545
P31553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	CAIT_ECOLI																																		
P31554	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	21	H	LPTD_ECOLI		P31554	P31554	P31554	P31554	P31554	P31554	P31554	P31554		P31554	P31554	P31554	P31554	P31554	P31554				P31554		P31554				P31554	P31554	P31554		P31554				P31554
P31666	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	4	G	YADE_ECOLI													P31666													P31666				P31666				P31666
P31679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YAAU_ECOLI																																		
P31979	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	17	F1	NUOF_ECOLI			P31979		P31979	P31979	P31979			P31979		P31979	P31979	P31979		P31979				P31979	P31979		P31979			P31979	P31979			P31979	P31979			P31979
P32057	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B	WCAI_ECOLI								P32057																										
P32108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YIBI_ECOLI																																		
P32125	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	B	MOBB_ECOLI								P32125					P32125																	P32125				
