P00968	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	13	A	CARB_ECOLI	0	P00968
P02358	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	14	A	RS6_ECOLI	0	P02358
P02359	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	13	A	RS7_ECOLI	0	P02359
P02413	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	14	A	RL15_ECOLI	0	P02413
P03007	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	6	A	DPO3E_ECOLI	0	P03007
P03018	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	8	A	UVRD_ECOLI	0	P03018
P03024	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	A	GALR_ECOLI	0	P03024
P03030	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	A	LYSR_ECOLI	0	P03030
P03813	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	A	YGEA_ECOLI	0	
P03817	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	5	A	MIOC_ECOLI	0	P03817
