Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6ELC4_ECOBD	0	1	1	B
C6ECR4_ECOBD	0	1	1	A
C6EGI5_ECOBD	0	1	1	A
C6EJZ1_ECOBD	0	1	1	A
C6EJJ0_ECOBD	0	1	1	A
C6ECQ2_ECOBD	1	1	2	A
C6EFI6_ECOBD	0	1	1	A
C6ELJ9_ECOBD	0	1	1	A
C6ELJ7_ECOBD	0	1	1	B
C6EAU5_ECOBD	0	1	1	B
C6EEI2_ECOBD	0	0	0	B
C6EEI1_ECOBD	0	0	0	A
C6EIB8_ECOBD	0	1	1	G
C6EIC1_ECOBD	0	1	1	G
C6EIC0_ECOBD	0	1	1	B
C6EIB7_ECOBD	1	1	2	F1
C6EIB9_ECOBD	1	1	2	B
C6EJR5_ECOBD	0	0	0	A
C6EJR7_ECOBD	0	1	1	A
C6EG14_ECOBD	0	0	0	G
C6EG15_ECOBD	0	1	1	A
C6EAP3_ECOBD	1	1	2	B
C6EG59_ECOBD	1	1	2	A
C6EJR1_ECOBD	0	1	1	A
C6EG60_ECOBD	0	1	1	A
C6ECY6_ECOBD	1	1	2	A
C6ECJ0_ECOBD	0	0	0	A
C6EIF4_ECOBD	0	0	0	G
C6EDQ1_ECOBD	0	0	0	G
C6EH54_ECOBD	1	1	2	A
C6ECL1_ECOBD	0	1	1	A
C6ECL3_ECOBD	0	0	0	A
C6ECL0_ECOBD	1	1	2	A
C6ECL2_ECOBD	0	1	1	A
C6ECL4_ECOBD	0	0	0	A
C6EDR4_ECOBD	1	1	2	A
C6EJN6_ECOBD	0	0	0	B
C6EJN7_ECOBD	0	1	1	B
C6EJN8_ECOBD	0	1	1	B
C6ECA6_ECOBD	1	1	2	B
C6E9X8_ECOBD	0	0	0	A
C6E9X6_ECOBD	0	0	0	A
C6E9Y0_ECOBD	1	0	1	A
C6E9X9_ECOBD	0	0	0	A
C6E9X7_ECOBD	0	0	0	B
C6E9Y1_ECOBD	0	0	0	B
C6EG65_ECOBD	0	1	1	B
C6EG69_ECOBD	1	1	2	F1
C6EG71_ECOBD	1	1	2	F1
C6EG68_ECOBD	1	1	2	F1
C6EG72_ECOBD	0	1	1	F1
C6EG67_ECOBD	1	1	2	B
C6EG70_ECOBD	1	1	2	F1
C6EG66_ECOBD	1	1	2	B
C6EG64_ECOBD	0	0	0	B
C6EFA5_ECOBD	1	1	2	B
C6EEA7_ECOBD	0	1	1	A
C6EEV1_ECOBD	0	1	1	A
C6EAM6_ECOBD	0	1	1	A
C6EAM7_ECOBD	0	1	1	B
C6EJ86_ECOBD	1	1	2	B
C6ED11_ECOBD	0	1	1	A
C6ED12_ECOBD	1	1	2	B
C6EEA9_ECOBD	0	0	0	G
C6EGK5_ECOBD	1	1	2	A
C6EKN1_ECOBD	0	1	1	A
C6EA15_ECOBD	0	1	1	B
C6EEF0_ECOBD	0	0	0	B
C6EEF1_ECOBD	1	1	2	B
C6EEF3_ECOBD	1	1	2	G
C6EEN6_ECOBD	0	0	0	A
C6ELS0_ECOBD	0	1	1	F1
C6ELR9_ECOBD	0	1	1	A
C6ELR8_ECOBD	0	1	1	A
C6ELR7_ECOBD	0	1	1	B
C6EGC9_ECOBD	0	0	0	A
C6EGD0_ECOBD	0	1	1	A
C6EHS0_ECOBD	0	0	0	A
C6ELN6_ECOBD	0	1	1	A
C6EIK7_ECOBD	0	1	1	A
C6EG82_ECOBD	0	0	0	A
C6EG80_ECOBD	0	0	0	A
C6EG83_ECOBD	0	0	0	H
C6EBK4_ECOBD	0	0	0	A
C6EDN0_ECOBD	0	0	0	A
C6EAH9_ECOBD	0	1	1	G
C6EGY0_ECOBD	0	0	0	G
C6EJ08_ECOBD	0	0	0	A
C6EJ07_ECOBD	0	0	0	B
C6EJ05_ECOBD	0	0	0	A
C6EJ04_ECOBD	0	0	0	A
C6EDQ5_ECOBD	0	0	0	B
C6EJ06_ECOBD	0	0	0	A
C6EFG2_ECOBD	0	1	1	A
C6EE41_ECOBD	0	1	1	B
C6EED0_ECOBD	0	0	0	A
C6ECX4_ECOBD	1	1	2	I
C6EDM2_ECOBD	0	0	0	B
C6EL31_ECOBD	0	1	1	A
C6ELI3_ECOBD	0	1	1	B
C6ECG0_ECOBD	1	1	2	I
C6EIU7_ECOBD	0	0	0	A
C6EHF3_ECOBD	0	0	0	A
C6ECP6_ECOBD	0	0	0	B
C6ECP8_ECOBD	0	1	1	F1
C6ECP7_ECOBD	0	1	1	A
C6EAC6_ECOBD	0	1	1	G
C6EFW7_ECOBD	0	1	1	A
C6EEU4_ECOBD	0	0	0	B
C6EB94_ECOBD	0	1	1	B
C6EHF6_ECOBD	0	1	1	B
C6EKC0_ECOBD	0	0	0	A
C6ECZ2_ECOBD	0	0	0	B
C6ECZ1_ECOBD	0	1	1	B
C6EB14_ECOBD	0	1	1	A
C6EB15_ECOBD	0	0	0	A
C6EB16_ECOBD	0	0	0	A
C6EB17_ECOBD	0	0	0	A
C6EB18_ECOBD	0	0	0	A
C6EB13_ECOBD	0	0	0	B
C6EAT1_ECOBD	0	1	1	A
C6EE53_ECOBD	1	1	2	A
C6EB20_ECOBD	1	1	2	A
C6EB19_ECOBD	1	1	2	A
C6ECM6_ECOBD	0	1	1	A
C6EB84_ECOBD	0	0	0	A
C6EHK7_ECOBD	0	1	1	A
C6EHK8_ECOBD	0	0	0	A
C6ED80_ECOBD	0	0	0	A
C6EG87_ECOBD	0	0	0	B
C6EG86_ECOBD	0	0	0	A
C6EHT9_ECOBD	0	1	1	A
C6E9Z9_ECOBD	0	1	1	F1
C6EA00_ECOBD	0	0	0	B
C6EA01_ECOBD	0	1	1	B
C6EA02_ECOBD	0	1	1	B
C6EA03_ECOBD	0	1	1	B
C6EA04_ECOBD	0	1	1	B
C6EA06_ECOBD	0	1	1	B
C6EAC2_ECOBD	0	1	1	A
C6EAG9_ECOBD	0	1	1	B
C6EEY0_ECOBD	0	1	1	B
C6EAB0_ECOBD	0	0	0	B
C6ECM7_ECOBD	0	0	0	A
C6ECU2_ECOBD	1	1	2	A
C6ECY3_ECOBD	1	1	2	A
C6ECY2_ECOBD	1	1	2	A
C6EGP8_ECOBD	0	1	1	B
C6EGP7_ECOBD	0	0	0	A
C6EGP6_ECOBD	0	1	1	A
C6ECM4_ECOBD	0	0	0	A
C6ECM5_ECOBD	0	0	0	A
C6ECM3_ECOBD	0	0	0	A
C6EBT9_ECOBD	0	0	0	A
C6EBU4_ECOBD	0	0	0	A
C6EBU3_ECOBD	0	0	0	A
C6EBU0_ECOBD	0	0	0	A
C6EBU5_ECOBD	0	0	0	A
C6EBU6_ECOBD	0	1	1	A
C6EGC7_ECOBD	0	0	0	G
C6ECL7_ECOBD	0	1	1	A
C6EJ90_ECOBD	0	0	0	A
C6EJ89_ECOBD	0	0	0	A
C6EK79_ECOBD	0	0	0	A
C6E9V1_ECOBD	0	1	1	A
C6EAF8_ECOBD	1	1	2	H
C6EJL8_ECOBD	1	1	2	A
C6EK76_ECOBD	0	0	0	A
C6EK77_ECOBD	0	0	0	A
C6EK78_ECOBD	0	1	1	A
C6EK81_ECOBD	0	0	0	B
C6EK82_ECOBD	0	0	0	B
C6EK80_ECOBD	0	0	0	A
C6EAC9_ECOBD	0	1	1	B
C6EDQ6_ECOBD	0	0	0	B
C6EI99_ECOBD	1	0	1	A
C6EJZ8_ECOBD	1	1	2	A
C6EL28_ECOBD	1	1	2	A
C6EIA0_ECOBD	0	1	1	A
C6EL27_ECOBD	1	1	2	A
C6EFY7_ECOBD	1	1	2	B
C6EBV7_ECOBD	0	1	1	A
C6EBV6_ECOBD	0	0	0	A
C6EDM1_ECOBD	0	0	0	A
C6EE40_ECOBD	0	0	0	A
C6EDF2_ECOBD	0	1	1	A
C6EDF7_ECOBD	0	1	1	A
C6EAV3_ECOBD	0	1	1	A
C6EK55_ECOBD	0	0	0	A
C6EB80_ECOBD	0	1	1	B
C6EB81_ECOBD	0	0	0	A
C6EB79_ECOBD	0	1	1	A
C6ELP3_ECOBD	0	1	1	A
C6ELP4_ECOBD	0	1	1	B
C6EL17_ECOBD	0	1	1	A
C6EKY0_ECOBD	0	1	1	B
C6EFZ7_ECOBD	1	1	2	B
C6EK37_ECOBD	0	1	1	A
C6ECD1_ECOBD	0	1	1	G
C6EE54_ECOBD	1	1	2	B
C6EEY6_ECOBD	1	1	2	B
C6EEY4_ECOBD	0	1	1	F2
C6EEY5_ECOBD	0	1	1	F1
C6EK70_ECOBD	0	1	1	H
C6EK68_ECOBD	0	1	1	B
C6EBH4_ECOBD	0	1	1	G
C6EBH3_ECOBD	0	1	1	A
C6EBH2_ECOBD	0	1	1	B
C6EBH1_ECOBD	0	0	0	B
C6EA47_ECOBD	0	1	1	A
C6EGA6_ECOBD	1	1	2	A
C6EJ56_ECOBD	0	1	1	A
C6EHH0_ECOBD	0	0	0	F4
C6EHH1_ECOBD	0	0	0	F4
C6EHG9_ECOBD	0	0	0	G
C6EHH2_ECOBD	0	0	0	A
C6EHH3_ECOBD	0	0	0	G
C6EHH4_ECOBD	0	0	0	G
C6EHH5_ECOBD	0	0	0	I
C6EJW6_ECOBD	0	1	1	A
C6EKH2_ECOBD	0	1	1	A
C6EEC4_ECOBD	0	0	0	A
C6EC07_ECOBD	0	1	1	A
C6EIA1_ECOBD	0	0	0	A
C6EK69_ECOBD	0	0	0	A
C6EHL8_ECOBD	0	0	0	A
C6EHL9_ECOBD	0	0	0	A
C6EJT5_ECOBD	0	1	1	A
C6EGK8_ECOBD	0	1	1	B
C6EAT4_ECOBD	0	1	1	G
C6EKX7_ECOBD	0	0	0	A
C6EKC6_ECOBD	1	0	1	B
C6EKC7_ECOBD	1	0	1	F2
C6EKC9_ECOBD	1	0	1	I
C6EKC8_ECOBD	0	0	0	G
C6EKD0_ECOBD	0	1	1	A
C6EKD1_ECOBD	0	1	1	B
C6ECY8_ECOBD	0	0	0	A
C6EBV3_ECOBD	0	0	0	A
C6ELE0_ECOBD	0	0	0	B
C6EGS6_ECOBD	0	1	1	B
C6EG09_ECOBD	0	1	1	A
C6EG08_ECOBD	0	1	1	A
C6EHN4_ECOBD	0	0	0	B
C6ECD6_ECOBD	0	1	1	B
C6EJK5_ECOBD	1	1	2	B
C6EJK4_ECOBD	1	1	2	B
C6EI96_ECOBD	1	1	2	B
C6EI95_ECOBD	1	1	2	B
C6ELP2_ECOBD	0	1	1	A
C6ELP0_ECOBD	0	0	0	A
C6ELP1_ECOBD	0	0	0	A
C6ELN9_ECOBD	0	0	0	B
C6EL34_ECOBD	1	1	2	B
C6EL35_ECOBD	1	1	2	B
C6EL36_ECOBD	0	1	1	B
