Join Name	Arifuzzaman2006.txt	Baars2006.txt	Butland2005.txt	Cirulli2007.txt	Corbin2003.txt	Fountoulakis2003.txt	Gevaert2002.txt	Hemm2010.txt	Huang2006.txt	Iwasaki2009.txt	Iwasaki2010.txt	Jarchow2008.txt	Lasserre2006.txt	Lopez2005.txt	Marani2006.txt	Masuda2009.txt	Molloy1999.txt	Molloy2000.txt	Peng2010.txt	Price2010.txt	Qian2008.txt	Spelbrink2005.txt	Stenberg2005.txt	Taoka2004.txt	Vertommen2009.txt	Wagner2005.txt	Wagner2007.txt	Wagner2008.txt	Wickstrom2010.txt	Xia2008.txt	Yan2002.txt	Zhang2007.txt
P64554 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P0AD65 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	
P0A978 	+ 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37016 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0A7V0 	+ 	+ 	+ 	 	+ 	+ 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	 	+ 	+ 	
P76245 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P30750 	+ 	 	+ 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P0ACE7 	+ 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P0AAV8 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0ACS9 	+ 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P08400 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0A754 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P75678 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P00547 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	
P0ABX2 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Q46833 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37636 	+ 	+ 	 	 	 	 	 	 	+ 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	+ 	 	+ 	 	 	 	+ 	
P24180 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P64585 	+ 	 	 	 	 	 	+ 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P0AA93 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P60632 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P67601 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76228 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77473 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0ADD5 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AEH8 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	
P39284 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P39277 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P32701 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P31448 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AGM2 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P37908 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P46139 	+ 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AD30 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFU2 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76445 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P76343 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76339 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P46125 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFT2 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P0AD03 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76237 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P75870 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P75835 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFQ2 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFP9 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P77307 	+ 	 	 	+ 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	
P77726 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AG00 	+ 	+ 	 	 	+ 	 	+ 	 	 	+ 	+ 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	+ 	+ 	+ 	 	 	 	+ 	
P76387 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0A6A0 	+ 	 	+ 	 	 	+ 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P02942 	+ 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P07017 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P07018 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P56579 	+ 	 	 	+ 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Q46755 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AG90 	+ 	+ 	+ 	 	+ 	 	+ 	 	+ 	+ 	+ 	 	+ 	 	 	+ 	 	 	 	 	 	+ 	+ 	+ 	 	+ 	 	 	 	 	 	+ 	
P18392 	+ 	 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P39838 	+ 	 	+ 	 	 	 	+ 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P40719 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P07654 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P32696 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFL9 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AAF1 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P60782 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P23837 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	
P24207 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	
P0ABF8 	+ 	+ 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	+ 	 	+ 	 	 	 	+ 	
P75905 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFE4 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P0AFD4 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	+ 	
P0AFA5 	+ 	 	+ 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AFA2 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AF16 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P60752 	+ 	 	+ 	 	+ 	 	+ 	 	 	+ 	+ 	 	+ 	+ 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	
P09348 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P0AF01 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P64606 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	+ 	
P32715 	+ 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P69210 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P69367 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P76399 	+ 	 	 	+ 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0AAG5 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	
P77265 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P75831 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
P0ADC6 	+ 	 	 	 	+ 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	+ 	
P75958 	+ 	 	 	 	 	 	 	 	 	+ 	+ 	 	 	 	 	+ 	 	 	 	+ 	 	 	 	 	 	 	 	 	 	 	 	+ 	
