Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6EEY4_ECOBD	0	0	0	F2
C6EEY5_ECOBD	0	0	0	F1
C6EK70_ECOBD	0	0	0	H
C6EK68_ECOBD	0	0	0	B
C6EBH4_ECOBD	0	0	0	G
C6EBH2_ECOBD	0	0	0	B
C6EBH1_ECOBD	0	0	0	B
C6EHH0_ECOBD	0	0	0	F4
C6EHH1_ECOBD	0	0	0	F4
C6EHG9_ECOBD	0	0	0	G
C6EHH3_ECOBD	0	0	0	G
C6EHH4_ECOBD	0	0	0	G
C6EHH5_ECOBD	0	0	0	I
C6EGK8_ECOBD	0	0	0	B
C6EAT4_ECOBD	0	0	0	G
C6EKC6_ECOBD	1	0	1	B
C6EKC7_ECOBD	1	0	1	F2
C6EKC9_ECOBD	1	0	1	I
C6EKC8_ECOBD	0	0	0	G
C6EKD1_ECOBD	0	0	0	B
C6ELE0_ECOBD	0	0	0	B
C6EGS6_ECOBD	0	0	0	B
C6EHN4_ECOBD	0	0	0	B
C6ECD6_ECOBD	0	0	0	B
C6EJK5_ECOBD	1	0	1	B
C6EJK4_ECOBD	1	0	1	B
C6EI96_ECOBD	1	0	1	B
C6EI95_ECOBD	1	0	1	B
C6ELN9_ECOBD	0	0	0	B
C6EL34_ECOBD	1	0	1	B
C6EL35_ECOBD	1	0	1	B
C6EL36_ECOBD	0	0	0	B
C6EL37_ECOBD	0	0	0	B
C6EL38_ECOBD	0	0	0	B
C6EL55_ECOBD	1	0	1	F1
C6EJB7_ECOBD	0	0	0	B
C6EL52_ECOBD	0	0	0	G
C6ECD0_ECOBD	0	0	0	F1
C6EL53_ECOBD	0	0	0	B
C6EL54_ECOBD	0	0	0	B
C6EL65_ECOBD	0	0	0	B
C6EK61_ECOBD	1	0	1	F2
C6EH45_ECOBD	1	0	1	F2
C6EIU4_ECOBD	1	0	1	F2
C6EB73_ECOBD	0	0	0	F2
C6EGS8_ECOBD	1	0	1	F1
C6EFI8_ECOBD	1	0	1	B
C6EFA2_ECOBD	1	0	1	E
C6EEF5_ECOBD	1	0	1	B
