Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P33218	1						1			1			1			4	1						1			1			1			P33218	
P23908	1															1	1															P23908	
P42596	1															1	1															P42596	
P46837	1															1	1															P46837	
P37634	1															1	1															P37634	
P37650	1															1	1															P37650	
P23839	1				1											2	1				1											P23839	
P32132	1			1			1								1	4	1			1			1								1	P32132	
P39406	1															1	1															P39406	
P13979	1															1	1															P13979	
P14565	1															1	1															P14565	
P34210	1			1												2	1			1												P34210	
P0ABD5	1									1						2	1									1						P0ABD5	
P0A9Q5	1				1					1						3	1				1					1						P0A9Q5	
P0A9G6	1				1						1				1	4	1				1						1				1	P0A9G6	
P0A6A3	1			1	1					1						4	1			1	1					1						P0A6A3	
P0AE06	1		1	1						1						4	1		1	1						1						P0AE06	
P22333	1															1	1															P22333	
P0A9Q7	1			1	1											3	1			1	1											P0A9Q7	
P0AE08	1			1	1								1	1		5	1			1	1								1	1		P0AE08	
P0A9Q1	1						1								1	3	1						1								1	P0A9Q1	
P0AC38	1			1	1											3	1			1	1											P0AC38	
P0ABB0	1	1	1	1	1		1			1				1		8	1	1	1	1	1		2			1				1		P0ABB0	
P0ABA4	1	1					1			1			1			5	2	1					1			1			1			P0ABA4	
P0ABA6	1		1		1		1			1				1		6	1		1		1		1			1				1		P0ABA6	
P0ABF6	1			1	1											3	1			1	1											P0ABF6	
P0ABH9	1															1	1															P0ABH9	
P63284	1			1	1		1			1					1	6	1			1	1		1			1					1	P63284	
P0A6H1	1						1								1	3	1						1								1	P0A6H1	
P0ACJ8	1												1			2	2												1			P0ACJ8	
P0ABK5	1				1					1	1			1		5	1				1					1	1			1		P0ABK5	
P0AEB2	1									1				1		3	1									1				1		P0AEB2	
P0A6J5	1			1						1						3	1			1						1						P0A6J5	
P0A6L2	1				1											2	1				1											P0A6L2	
P0A9D8	1				1					1						3	1				1					1						P0A9D8	
P0A6K1	1															1	1															P0A6K1	
P0A9P6	1															1	1															P0A9P6	
P0A6K6	1			1	1		1			1						5	1			1	1		1			1						P0A6K6	
P0A6L0	1				1											2	1				1											P0A6L0	
P0ABP8	1				1										1	3	1				1										1	P0ABP8	
