Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P37647					1											1					1												
P75691					1					1						2					1					1							
Q46829					1											1					1												
P12281					1											1					1												
P00582					1											1					1												
P27298					1											1					1												
P37759					1											1					1												
P0A6L7					1											1					1												
P77454					1											1					1												
P41409					1											1					1												
Q46851					1											1					1												
P39279					1											1					1												
P68066					1						1		1			3					1						1		1				
P37769					1										1	2					1										1		
P40191					1											1					1												
P64581					1								1			2					1								1				
P61517					1										1	2					1										1		
P0A6F1					1											1					1												
P25524					1											1					1												
P76015					1											1					1												
P06968					1								1			2					1								1				
P33195					1											1					1												
Q46938					1										1	2					1										1		
P76558					1											1					1												
P69924					1											1					1												
Q93K97					1										1	2					1										1		
P37744					1											1					1												
P09158					1											1					1												
P21367					1								1		1	3					1								1		1		
P07650					1											1					1												
P0ABM9						1										1						1											
P76175						1										1						1											
P0A8Q6						1										1						1											
P0AEA2						1										1						1											
P0AEB0						1										1						1											
P0AAG0						1				1						2						1				1							
P33128						1										1						1											
P24077						1										1						1											
P0AEL3						1										1						1											
P16869						1										1						1											
P76297						1										1						1											
P52612						1										1						1											
P39180						1										1						1											
P0AC96						1										1						1											
P33129						1										1						1											
P09151						1										1						1											
P0A9S7						1										1						1											
P76399						1										1						1											
P23200						1										1						1											
P41036						1										1						1											
P33593						1	1									2						1	1										
P42641						1										1						1											
P75906						1										1						1											
P0AFK6						1										1						1											
P06615						1										1						1											
P0AEH1						1										1						1											
P0A9T0						1										1						1											
P56579						1										1						1											
P0AGI8						1										1						1											
P02942						1										1						1											
P76055						1										1						1											
P0AGC0						1										1						1											
P30868						1										1						1											
P0AAS3						1										1						1											
P77307						1										1						1											
P75750						1										1						1											
P0AA84						1										1						1											
P75810						1										1						1											
P64451						1						1	1			3						1						1	1				
P76186						1										1						1											
P77529						1										1						1											
P33015						1										1						1											
P76361						1										1						1											
P33924						1										1						1											
P77196						1										1						1											
P76578						1										1						1											
P46139						1										1						1											
P52138						1										1						1											
P45420						1										1						1											
P45537						1										1						1											
P37663						1										1						1											
P37669						1										1						1											
P32128						1										1						1											
P39308						1										1						1											
P43531						1										1						1											
P77315						1										1						1											
P0CE44						1										1						1											
P0CE45						1										1						1											
P0ADT8							1			1			1			3							1			1			1				
P0AB98							1			1						2							1			1							
P0ABC7							1									1							2										
P0ABI8							1			1						2							1			1							
P0AC44							1									1							1										
P0AFH2							1			1						2							1			1							
P0AG00							1			1						2							1			1							
P33607							1			1						2							1			1							
P39285							1									1							1										
P76027							1			1					1	3							1			1					1		
P77338							1									1							1										
P77757							1			1						2							1			1							
P45799							1								1	2							1								1		
P0A6E6							1			1			1			3							1			1			1				
P0AB33							1									1							1										
P77611							1									1							1										
P0A9A2							1									1							1										
P0ABW9							1									1							1										
P33235							1									1							1										
P29744							1									1							1										
P0A6U8							1								1	2							1								1		
P0A812							1								1	2							1								1		
P06993							1								1	2							1								1		
P76017							1									1							1										
P23305							1									1							1										
P77475							1									1							1										
P0A8J4							1			1			1		1	4							1			1			1		1		
P05704							1									1							1										
P0A9K3							1			1					1	3							1			1					1		
P00864							1								1	2							1								1		
P0AEX5							1									1							1										
P75809							1									1							1										
P21363							1			1						2							1			1							
P69828							1						1			2							1						1				
P11290							1									1							1										
P0A8R0							1						1			2							1						1				
P0A9E2							1									1							1										
P0ACB0							1								1	2							1								1		
P09155							1									1							1										
P00803							1			1						2							1			1							
P0AFZ3							1						1			2							1						1				
P63204							1									1							1										
P0A8W0							1								1	2							1								1		
P30843							1									1							1										
P52108							1								1	2							1								1		
P05719							1									1							1										
P76373							1			1						2							1			1							
P0C054							1			1			1		1	4							1			1			1		1		
P0C058							1								1	2							1								1		
P75933							1									1							1										
P0AFM2							1			1						2							1			1							
P0AEU0							1		1	1	1					4							1		1	1	1						
P33668							1									1							1										
P0A8X2							1		1		1		1			4							1		1		1		1				
P26218							1									1							1										
P0A7R5							1						1			2							1						1				
P0ADY3							1				1		1			3							1				1		1				
P0AEE5								1							1	2								1							1		
P23847								1		1	1					3								1		1	1						
P26648								1								1								1									
P33940								1							1	2								1							1		
P37648								1								1								1									
P46883								1								1								1									
P66948								1								1								1									
P75780								1				1				2								1				1					
P76045								1								1								1									
P09551									1	1	1					3									1	1	1						
P30859									1	1	1					3									1	1	1						
P30860									1		1					2									1		1						
P16700									1		1					2									1		1						
P61316									1		1		1			3									1		1		1				
P0AFK9									1		1					2									1		1						
P77214									1		1					2									1		1						
P0AET5									1		1					2									1		1						
P0AFH8									1	1	1		1			4									1	1	1		1				
P0AFL3									1		1		1			3									1		1		1				
P0AB24									1		1					2									1		1						
P02358										1			1		1	3										1			1		1		
P02916										1						1										1							
P02924										1						1										1							
P04982										1			1			2										1			1				
P05042										1						1										1							
P06988										1						1										1							
P07001										1						1										1							
P0A6B7										1						1										1							
P0A6L4										1						1										1							
P0A800										1			1			2										1			1				
P0A8K1										1				1		2										1				1			
P0AA53										1					1	2										1					1		
P0AAB6										1						1										1							
P0AAD6										1						1										1							
P0AAF6										1						1										1							
P0AAT9										1			1			2										1			1				
P0AB91										1						1										1							
P0ABF8										1						1										1							
P0ABJ3										1						1										1							
P0ABJ6										1						1										1							
P0ABU2										1						1										1							
P0ACB7										1						1										1							
P0ADC6										1						1										1							
P0AEF8										1						1										1							
P0AEQ6										1						1										1							
P0AEU3										1						1										1							
P0AF54										1						1										1							
P0AFC3										1						1										1							
P0AFD4										1						1										1							
P0AFH6										1						1										1							
P0AG80										1	1					2										1	1						
P0AGI1										1						1										1							
P0C0L2										1			1			2										1			1				
P13656										1						1										1							
P15640										1						1										1							
P16095										1						1										1							
P23522										1						1										1							
P27848										1						1										1							
P32703										1						1										1							
P37313										1						1										1							
P37330										1						1										1							
P39325										1						1										1							
P39835										1						1										1							
P52094										1						1										1							
P62620										1						1										1							
P68183										1						1										1							
P69054										1						1										1							
P75777										1						1										1							
P75937										1						1										1							
P76108										1	1					2										1	1						
P76128										1						1										1							
P76658										1						1										1							
P77581										1						1										1							
Q47146										1						1										1							
P0ABQ2										1						1										1							
P0AFI0										1						1										1							
P00634											1					1											1						
P00893											1					1											1						
P04128											1		1			2											1		1				
P08189											1					1											1						
P08997											1				1	2											1				1		
P0AA04											1		1			2											1		1				
P0AAX8											1					1											1						
P0ABZ6											1					1											1						
P0AD59											1		1			2											1		1				
P0AD96											1					1											1						
P0ADA1											1		1			2											1		1				
P0ADU5											1		1			2											1		1				
P0ADV1											1		1			2											1		1				
P0ADV7											1		1			2											1		1				
P0AEB7											1		1			2											1		1				
P0AG82											1					1											1						
P23827											1		1			2											1		1				
P31130											1		1			2											1		1				
P31133											1					1											1						
P31550											1					1											1						
P33362											1					1											1						
P37329											1					1											1						
P45464											1	1				2											1	1					
P45524											1					1											1						
P45955											1					1											1						
P64506											1		1			2											1		1				
P75694											1		1			2											1		1				
P75797											1					1											2						
P76116											1					1											1						
P76177											1					1											1						
P76341											1		1			2											1		1				
P76471											1					1											1						
Q46798												1				1												1					
P77717												1				1												1					
P76206												1				1												1					
P75820												1				1												1					
P69411												1				1												1					
P65294												1				1												1					
P65292												1				1												1					
P63883												1				1												1					
P46122												1				1												1					
P43674												1				1												1					
P40710												1				1												1					
P37665												1	1			2												1	1				
P31827												1				1												1					
P31063												1	1			2												1	1				
P23898												1				1												1					
P10100												1				1												1					
P0C066												1				1												1					
P0AFB1												1				1												1					
P0ADS9												1				1												1					
P0ADN6												1				1												1					
P0ADC1												1	1			2												1	1				
P0ADB7												1				1												1					
P0ADA3												1				1												1					
P0AA91												1				1												1					
P0A937												1				1												1					
P0A901												1				1												1					
P00448													1			1													1				
P03817													1			1													1				
P08245													1			1													1				
P09996													1			1													1				
P0A6D7													1			1													1				
P0A6G3													1			1													1				
P0A6I0													1			1													1				
P0A6L9													1			1													1				
P0A6N4													1			1													1				
P0A6N8													1			1													1				
P0A6P7													1			1													1				
P0A6Q3													1			1													1				
P0A6R3													1			1													1				
P0A6T9													1			1													1				
P0A6V5													1			1													1				
P0A6X7													1			1													1				
P0A6Y1													1			1													1				
P0A6Z6													1			1													1				
P0A703													1			1													1				
P0A720													1		1	2													1		1		
P0A729													1			1													1				
P0A731													1			1													1				
P0A734													1			1													1				
P0A744													1			1													1				
P0A746													1			1													1				
P0A763													1			1													1				
P0A780													1			1													1				
P0A784													1			1													1				
P0A7A5													1			1													1				
P0A7D1													1			1													1				
P0A7G2													1			1													1				
P0A7I7													1			1													1				
P0A7J7													1			1													1				
P0A7K2													1			1													1				
P0A7K6													1			1													1				
P0A7L3													1			1													1				
P0A7L8													1			1													1				
P0A7M2													1			1													1				
P0A7R9													1			1													1				
P0A7S3													1			1													1				
P0A7S9													1			1													1				
P0A7T3													1			1													1				
P0A7T7													1			1													1				
P0A7U3													1			1													1				
P0A7U7													1			1													1				
P0A7W7													1			1													1				
P0A7X6													1			1													1				
P0A832													1			1													1				
P0A881													1			1													1				
P0A890													1			1													1				
P0A8B2													1			1													1				
P0A8B5													1			1													1				
P0A8C4													1			1													1				
P0A8D0													1			1													1				
P0A8D3													1			1													1				
P0A8D6													1			1													1				
P0A8E5													1			1													1				
P0A8G9													1			1													1				
P0A8I1													1			1													1				
P0A8J2													1			1													1				
P0A8M6													1			1													1				
P0A8N0													1			1													1				
P0A8P3													1			1													1				
P0A8U6													1			1													1				
P0A8W2													1			1													1				
P0A8X0													1			1													1				
P0A8Y3													1			1													1				
P0A9D2													1			1													1				
P0A9F1													1			1													1				
P0A9H5													1			1													1				
P0A9I8													1			1													1				
P0A9L5													1			1													1				
P0A9M2													1			1													1				
P0A9N0													1			1													1				
P0A9R4													1			1													1				
P0A9W6													1			1													1				
P0A9W9													1		1	2													1		1		
P0A9Z1													1			1													1				
P0AA25													1			1													1				
P0AA57													1			1													1				
P0AAA9													1			1													1				
P0AAB8													1			1													1				
P0AAC8													1			1													1				
P0AAN9													1			1													1				
P0AAP3													1			1													1				
P0AAQ2													1			1													1				
P0AAQ6													1			1													1				
P0AAR3													1			1													1				
P0AAT6													1			1													1				
P0AAV4													1			1													1				
P0AB18													1			1													1				
P0AB20													1			1													1				
P0AB28													1			1													1				
P0AB38													1			1													1				
P0AB43													1			1													1				
P0AB46													1			1													1				
P0AB52													1			1													1				
P0AB55													1			1													1				
P0AB61													1			1													1				
P0AB65													1			1													1				
P0AB96													1			1													1				
P0ABD8													1			1													1				
P0ABE2													1			1													1				
P0ABF4													1			1													1				
P0ABL3													1			1													1				
P0ABR1													1			1													1				
P0ABS8													1			1													1				
P0ABV2													1			1													1				
P0ABV6													1			1													1				
P0ABY4													1			1													1				
P0ABZ4													1			1													1				
P0AC51													1			1													1				
P0AC59													1			1													1				
P0AC62													1			1													1				
P0AC69													1			1													1				
P0AC81													1			1													1				
P0ACA1													1			1													1				
P0ACC3													1			1													1				
P0ACD4													1			1													1				
P0ACE7													1			1													1				
P0ACF4													1			1													1				
P0ACG1													1			1													1				
P0ACG8													1			1													1				
P0ACJ0													1			1													1				
P0ACR9													1			1													1				
P0ACV8													1			1													1				
P0ACW6													1			1													1				
P0ACX3													1			1													1				
P0ACY1													1			1													1				
P0AD10													1			1													1				
P0AD33													1			1													1				
P0AD49													1			1													1				
P0ADF8													1			1													1				
P0ADI7													1			1													1				
P0ADK8													1			1													1				
P0ADN2													1			1													1				
P0ADP9													1			1													1				
P0ADS2													1			1													1				
P0ADU2													1			1													1				
P0ADX1													1			1													1				
P0ADX7													1			1													1				
P0ADY7													1			1													1				
P0ADZ0													1			1													1				
P0ADZ4													1			1													1				
P0AE48													1			1													1				
P0AE52													1			1													1				
P0AE60													1			1													1				
P0AE70													1			1													1				
P0AE85													1			1													1				
P0AE91													1			1													1				
P0AED5													1			1													1				
P0AEH5													1			1													1				
P0AEM0													1			1													1				
P0AEM4													1			1													1				
P0AEN8													1			1													1				
P0AEQ1													1			1													1				
P0AES9													1			1													1				
P0AET2													1			1													1				
P0AEY5													1			1													1				
P0AF28													1			1													1				
P0AF36													1			1													1				
P0AF50													1			1													1				
P0AF61													1			1													1				
P0AF67													1			1													1				
P0AF96													1			1													1				
P0AFG0													1			1													1				
P0AFJ1													1			1													1				
P0AFR4													1			1													1				
P0AFU8													1			1													1				
P0AFW4													1			1													1				
P0AFW8													1			1													1				
P0AFX0													1			1													1				
P0AFY8													1			1													1				
P0AG48													1			1													1				
P0AG59													1			1													1				
P0AG63													1			1													1				
P0AG86													1			1													1				
P0AGD1													1			1													1				
P0AGG4													1			1													1				
P0AGK4													1			1													1				
P0AGK8													1			1													1				
P0AGL2													1			1													1				
P0C018													1			1													1				
P0C037													1			1													1				
P0C079													1			1													1				
P12994													1			1													1				
P16681													1			1													1				
P18390													1			1													1				
P21362													1			1													1				
P21369													1			1													1				
P23857													1			1													1				
P23869													1			1													1				
P24178													1			1													1				
P25536													1			1													1				
P25738													1			1													1				
P27838													1			1													1				
P30748													1			1													1				
P30749													1			1													1				
P31131													1			1													1				
P31992													1			1													1				
P32156													1			1													1				
P32160													1			1													1				
P32162													1			1													1				
P33012													1			1													1				
P33219													1			1													1				
P37182													1			1													1				
P37188													1			1													1				
P37590													1			1													1				
P37903													1			1													1				
P38521													1			1													1				
P39177													1			1													1				
P39187													1			1													1				
P39274													1			1													1				
P39310													1			1													1				
P39332													1			1													1				
P41407													1			1													1				
P42616													1			1													1				
P43340													1			1													1				
P45470													1			1													1				
P45578													1			1													1				
P45748													1			1													1				
P45771													1			1													1				
P51024													1			1													1				
P52060													1			1													1				
P52061													1			1													1				
P52102													1			1													1				
P52119													1			1													1				
P60546													1			1													1				
P60624													1			1													1				
P61175													1			1													1				
P61714													1			1													1				
P61949													1			1													1				
P62395													1			1													1				
P62768													1			1													1				
P63020													1			1													1				
P63228													1			1													1				
P63417													1			1													1				
P64455													1			1													1				
P64461													1			1													1				
P64476													1			1													1				
P64479													1			1													1				
P64483													1			1													1				
P64488													1			1													1				
P64503													1			1													1				
P64530													1			1													1				
P64534													1			1													1				
P64540													1			1													1				
P64559													1			1													1				
P64602													1			1													1				
P65367													1			1													1				
P65556													1			1													1				
P67095													1			1													1				
P67603													1			1													1				
P68688													1			1													1				
P68739													1			1													1				
P68919													1			1													1				
P69488													1			1													1				
P69822													1			1													1				
P69829													1			1													1				
P75734													1			1													1				
P75849													1			1													1				
P75874													1			1													1				
P76001													1			1													1				
P76002													1			1													1				
P76076													1			1													1				
P76170													1			1													1				
P76172													1			1													1				
P76227													1			1													1				
P76243													1			1													1				
P76270													1			1													1				
P76364													1			1													1				
P76402													1			1													1				
P76537													1			1													1				
P76549													1			1													1				
P76569													1			1													1				
P77285													1			1													1				
P77368													1			1													1				
P77667													1			1													1				
P77754													1			1													1				
P77791													1			1													1				
Q2M7X4													1			1													1				
Q46864													1			1													1				
Q46868													1			1													1				
Q47150													1			1													1				
P0AEK7														1		1														1			
P0AEL0														1		1														1			
P11350														1		1														1			
P00370															1	1															1		
P07762															1	1															1		
P09424															1	1															1		
P0A7E9															1	1															1		
P0A8A4															1	1															1		
P0A9H9															1	1															1		
P0AAS0															1	1															1		
P0ABZ1															1	1															1		
P0AC19															1	1															1		
P0AEN1															1	1															1		
P0AFB5															1	1															1		
P13445															1	1															1		
P31802															1	1															1		
P32155															1	1															1		
P33360															1	1															1		
P33570															1	1															1		
P37617															1	1															1		
P37626															1	1															1		
P37646															1	1															1		
P39353															1	1															1		
P43533															1	1															1		
P45463															1	1															1		
P50456															1	1															1		
P60869															1	1															1		
P60955															1	1															1		
P76491															1	1															1		
P77302															1	1															1		
P77712															1	1															1		
