Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	ORList_Wide_8(over_500)_LB	ORList_Focused_16(below_500)_LB	K12_outofrange	OurStudy_Feb2011_Common	# Studies	TableS6_MatchingK12_BL21(DE3)_V2_basicProteome Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P0AAL3	0	0	0	1	0	1	0	0	0	2	G	NAPG_ECOLI																										
P33934	0	0	0	1	0	1	0	0	0	2	B	NAPH_ECOLI																										
P0ABL3	0	0	0	1	0	1	1	0	0	3	G	NAPB_ECOLI																										
P0ABL5	0	0	0	1	0	1	0	0	0	2	B	NAPC_ECOLI																										
P69490	0	0	0	1	0	1	0	0	1	3	B	CCME_ECOLI																										
P33927	0	0	0	1	0	1	0	0	1	3	B	CCMF_ECOLI									353.33																	
P0ABM9	0	0	0	1	0	1	1	0	1	4	B	CCMH_ECOLI																										
P31802	0	1	0	1	1	1	1	0	1	6	A	NARP_ECOLI					2.51	115.26					0.03		0.03				0.03									
P0AD27	0	0	0	1	1	1	0	0	1	4	B	YEJM_ECOLI											0.1			0.1												
P33920	0	1	0	1	0	1	0	0	1	4	A	NDPA_ECOLI					5.95	266.13																				
P33919	0	0	1	1	0	1	0	0	0	3	A	YEJH_ECOLI							0.00033865	33.865																		
P0AA43	1	1	1	1	1	1	1	0	1	8	A	RSUA_ECOLI	0.63	3.22E+00	5.71E+02		2.51	115.26	0.01175	1175		1853.76	0.13	0.13														
P33916	1	0	0	1	0	1	0	0	1	4	F1	YEJF_ECOLI	0.07	1.79E-01	1.06E+02	0.23																						
P33915	0	0	0	1	0	1	0	0	1	3	B	YEJE_ECOLI																										
P0AFU0	0	0	0	1	0	1	0	0	0	2	B	YEJB_ECOLI																										
P76446	0	0	1	1	0	1	0	0	1	4	B	RTN_ECOLI							0.0038853	388.53																		
P0AFV4	0	0	0	1	0	1	0	0	1	3	I	SPR_ECOLI																										
P76445	0	0	0	1	1	1	0	0	1	4	B	YEIU_ECOLI											0.36			0.12	0.45	1.11	0.45			0.12		0.12			0.12	
P07004	1	1	1	1	0	1	0	0	1	6	A	PROA_ECOLI	0.5	2.16E+00	4.53E+02		1.89	87.54	0.021814	2181.4		3100.26																
P0A7B5	1	1	0	1	1	1	0	0	1	6	A	PROB_ECOLI	0.29	9.31E-01	2.78E+02		2.63	121			714.43		0.18		0.27		0.08		0.18									
P02932	0	1	0	1	1	1	0	0	0	4	H	PHOE_ECOLI					0.26	12.79					0.06		0.06													
P04335	0	1	1	1	0	1	0	0	1	5	A	FRSA_ECOLI					0.63	30.18	0.0019669	196.69																		
P0A9M5	1	1	0	1	0	1	1	0	1	6	F1	XGPT_ECOLI	1.2	1.48E+01	1.39E+03	0.51	25.83	1104.73																				
P15288	1	1	1	1	1	1	1	0	1	8	A	PEPD_ECOLI	1.58	3.69E+01	2.36E+03	0.52	21.91	941.79	0.069545	6954.5	308.94	4154.99	0.06		0.06				0.06									
Q47155	0	0	0	1	0	1	0	0	0	2	A	DPO4_ECOLI																										
Q47151	0	0	0	1	0	1	0	0	0	2	G	YAFL_ECOLI																										
P0AA99	0	0	0	1	0	1	0	0	0	2	G	YAFK_ECOLI																										
Q47147	0	0	0	1	0	1	0	0	1	3	A	YAFJ_ECOLI																										
P63224	1	1	0	1	0	1	1	0	1	6	A	GMHA_ECOLI	1.1	1.16E+01	1.20E+03	0.48	11.12	487.98			4155.67	2492.99																
Q47146	0	1	1	1	0	1	1	0	1	6	B	FADE_ECOLI					0.17	8.47	0.004858	485.8																		
P0AD59	0	0	0	1	0	1	1	0	0	3	G	IVY_ECOLI									7170.32																	
Q47679	0	0	1	1	0	1	0	0	0	3	A	YAFV_ECOLI							0.020042	2004.2																		
P03007	0	1	0	1	0	1	0	0	1	4	A	DPO3E_ECOLI					0.47	22.71																				
P0A7Y4	0	0	0	1	0	1	0	0	1	3	A	RNH_ECOLI																										
P75672	0	0	0	1	0	1	0	0	1	3	A	YAFS_ECOLI																										
P0AC84	0	1	1	1	0	1	0	0	1	5	A	GLO2_ECOLI					0.52	25.05	0.0029668	296.68																		
P0AEZ7	0	0	1	1	0	1	0	0	1	4	I	MLTD_ECOLI							0.00031653	31.653																		
P30866	0	0	0	1	0	1	0	0	0	2	A	YAFE_ECOLI																										
P0A8U2	0	0	1	1	0	1	0	0	1	4	A	YAFD_ECOLI							0.0032101	321.01																		
P30864	0	0	1	1	0	1	0	0	1	4	B	YAFC_ECOLI							0.0076028	760.28																		
P30863	0	1	0	1	0	1	0	0	1	4	A	DKGB_ECOLI					1.05	49.52																				
P63228	1	1	0	1	0	1	1	0	0	5	A	GMHB_ECOLI	0.29	9.31E-01	2.78E+02		1	47.23				799.04																
P30750	0	0	0	1	0	1	0	0	1	3	F1	METN_ECOLI																										
P28635	1	0	1	1	1	1	1	0	1	7	E	METQ_ECOLI	0.83	5.81E+00	8.05E+02				0.0065742	657.42	171.31	1438.27	0.27	0.15	0.23	0.4		0.24		0.38		0.24						
P28634	0	0	0	1	0	1	0	0	0	2	A	YAEB_ECOLI																										
P16659	1	1	0	1	1	1	1	0	1	7	A	SYP_ECOLI	1.58	3.68E+01	2.35E+03		17.96	776.69			3361.71	5880.91	0.37		0.66			0.35	0.5	0.11		0.22						
P40710	0	0	0	1	1	1	1	0	1	5	I	NLPE_ECOLI											0.27	0.21	0.4	0.47		0.13				0.13						
P40711	0	0	1	1	0	1	0	0	0	3	A	YAEJ_ECOLI							0.0003563	35.63																		
P0AA97	0	0	1	1	0	1	0	0	1	4	A	YAEQ_ECOLI							0.0042952	429.52																		
P0AFW8	0	0	0	1	0	1	1	0	0	3	A	ROF_ECOLI																										
P52095	0	0	1	1	0	1	0	0	0	3	A	DCLZ_ECOLI							0.0035755	357.55																		
P10443	1	0	1	1	1	1	0	0	1	6	A	DPO3A_ECOLI	0.1	2.69E-01	1.35E+02	0.38			0.0033995	339.95			0.03		0.03													
P10442	0	0	0	1	0	1	0	0	1	3	A	RNH2_ECOLI																										
P10441	0	1	1	1	0	1	0	0	1	5	F1	LPXB_ECOLI					0.45	21.78	0.0053436	534.36																		
P0A722	1	1	0	1	0	1	0	0	1	5	A	LPXA_ECOLI	0.71	4.18E+00	6.64E+02		1.51	70.42			405.3																	
P0A6Q6	1	1	1	1	1	1	1	0	1	8	F1	FABZ_ECOLI	1.83	6.71E+01	3.33E+03		50.79	2.128	0.10519	10519	801.61		0.51	0.43	0.43	1.47		0.13	0.23		0.22		0.72		0.43			
P21645	1	1	1	1	0	1	0	0	1	6	A	LPXD_ECOLI	0.5	2.16E+00	4.53E+02		1	33.42	0.041892	4189.2																		
P0A940	1	1	0	1	1	1	1	0	1	7	H	YAET_ECOLI	1	9.00E+00	1.04E+03		4.36	196.87				4666.37	0.98	0.28	0.77	0.77			0.19	0.04	0.53	1.61	0.33	2.47	0.38	1.7	0.64	3
P0AEH1	0	0	0	1	0	1	1	0	1	4	B	RSEP_ECOLI																										
P0ABG1	0	0	0	1	0	0	0	0	0	1	B	CDSA_ECOLI																										
P60472	1	0	1	1	0	1	0	0	0	4	A	UPPS_ECOLI	0.4	1.51E+00	3.68E+02				0.0085251	852.51																		
P0A805	1	1	1	1	0	1	1	0	1	7	A	RRF_ECOLI	2.89	7.73E+02	1.38E+04		33.55	1.424	0.0045929	459.29	4237.62	13615.58																
P0A7E9	1	1	1	1	1	1	1	0	1	8	A	PYRH_ECOLI	0.91	7.11E+00	9.05E+02		7.58	336.54	0.058036	5803.6	581.31	2524.95	0.27			0.27												
P0A7V0	1	1	0	1	1	1	1	0	1	7	A	RS2_ECOLI	4.36	2.31E+04	9.92E+04		340.45	13.459			13099.68	31929.49	0.77	0.8	0.8	1.02		0.36		0.26	1.88	0.42	1.02	1.02		0.6	0.42	0.6
P0AE18	1	1	1	1	0	1	1	0	1	7	A	AMPM_ECOLI	0.63	3.22E+00	5.71E+02		6.63	295.57	0.051445	5144.5	241.88	3132.22																
P27249	0	1	1	1	1	1	0	0	1	6	A	GLND_ECOLI					0.26	12.79	0.0031365	313.65			0.03		0.03				0.03									
P0A9D8	1	1	0	1	1	1	1	0	1	7	A	DAPD_ECOLI	2.82	6.57E+02	1.25E+04		45.42	1909.42			11485.99	11378.28	0.11		0.11													
P62768	1	1	1	1	1	1	1	0	1	8	A	YAEH_ECOLI	0.86	6.20E+00	8.35E+02	0.38	9	398	0.10524	10524			0.22			0.22												
P37047	0	0	1	1	0	1	0	0	1	4	A	CDAR_ECOLI							0.00026284	26.284																		
P15723	0	0	0	1	1	1	0	0	0	3	A	DGTP_ECOLI											0.06			0.06												
P0AF12	1	1	0	1	0	1	1	0	1	6	A	MTNN_ECOLI	0.75	4.62E+00	7.04E+02		9	398			2179.75	4442.64																
P37028	0	0	0	1	0	1	0	0	1	3	G	BTUF_ECOLI																										
P0ACC3	1	1	1	1	0	1	1	0	1	7	A	ERPA_ECOLI	1	9.00E+00	1.04E+03	0.63	5.31	238.33	0.17434	17434	1599.64	1086.69																
P23893	1	1	0	1	1	1	1	0	1	7	A	GSA_ECOLI	0.8	5.31E+00	7.63E+02		14.85	645.93			288.09		0.28		0.63		0.23		0.32	0.15		0.07						
P07822	0	0	0	1	0	1	0	0	1	3	G	FHUD_ECOLI																										
P07821	0	0	1	1	0	1	0	0	1	4	F1	FHUC_ECOLI							0.0046236	462.36																		
P37024	0	0	0	1	0	1	0	0	1	3	A	HRPB_ECOLI																										
P37025	0	0	1	1	0	1	0	0	1	4	A	LIGT_ECOLI							0.00082661	82.661																		
P0A823	0	0	0	1	0	1	0	0	1	3	A	SFSA_ECOLI																										
P0ABS1	1	1	0	1	0	1	1	0	1	6	A	DKSA_ECOLI	1.8	6.21E+01	3.19E+03		9	398			5606.51	7574.86																
P27305	0	1	1	1	0	1	0	0	1	5	A	GLUQ_ECOLI					0.29	14.22	0.00089702	89.702																		
P0ABF1	1	1	1	1	1	1	0	0	1	7	B	PCNB_ECOLI	0.17	4.92E-01	1.92E+02		0.39	18.96	0.010659	1065.9			0.2	0.19	0.43	0.34		0.06	0.06		0.13							
P33024	0	0	0	1	0	1	0	0	0	2	B	PSUT_ECOLI																										
P0A9E9	0	0	0	1	0	1	0	0	0	2	A	NSR_ECOLI																										
P33022	0	0	0	1	0	1	0	0	0	2	A	RIHB_ECOLI																										
P0ACR4	0	1	0	1	0	1	0	0	1	4	A	YEIE_ECOLI					1.15	54.08																				
P25737	0	0	0	1	0	1	0	0	1	3	B	LYSP_ECOLI																										
P33018	0	0	0	1	0	1	0	0	0	2	A	SFGH2_ECOLI																										
P25748	0	0	0	1	0	1	0	0	0	2	A	GALS_ECOLI																										
P25889	0	0	1	1	0	1	1	0	0	4	A	YEIA_ECOLI							0.0046814	468.14																		
P76440	0	1	0	1	0	1	1	0	0	4	A	YEIT_ECOLI					0.43	20.84																				
P0AFY2	0	0	0	1	1	1	0	0	1	4	B	SANA_ECOLI											0.12			0.12												
P0ABF6	1	1	0	1	0	1	1	0	1	6	B	CDD_ECOLI	0.92	7.25E+00	9.15E+02	0.34	0.72	34.35																				
P0AD19	0	0	0	1	0	0	0	0	0	1	B	YOHK_ECOLI																										
P33371	0	0	1	1	0	1	0	0	0	3	A	DUSC_ECOLI							4.76E-05	4.7566																		
P33368	0	0	1	1	0	1	0	0	1	4	A	YOHF_ECOLI							0.0078068	780.68																		
P0AD17	0	0	0	1	0	1	0	0	0	2	B	YOHC_ECOLI																										
P0AFI5	0	1	1	1	1	1	0	0	0	5	G	PBP7_ECOLI					0.25	12.32	0.0004419	44.19			0.1	0.1	0.1	0.1												
P06149	1	1	0	1	1	1	1	0	1	7	F1	DLD_ECOLI	0.06	1.45E-01	9.43E+01	0.36	0.78	37.12					0.22		0.34		0.1											
P33363	1	1	0	1	0	1	1	0	1	6	G	BGLX_ECOLI	0.27	8.74E-01	2.68E+02	0.4	0.49	23.65			75.51	6232.48																
P33362	1	0	0	1	0	1	1	0	1	5	G	OSMF_ECOLI	0.13	3.59E-01	1.60E+02	0.31																						
P33360	0	0	0	1	0	1	1	0	1	4	F1	YEHX_ECOLI																										
P33358	0	0	1	1	0	1	0	0	1	4	B	MLRA_ECOLI							0.0052621	526.21																		
P0AD14	0	0	0	1	1	1	0	0	1	4	B	YEHU_ECOLI											0.05		0.05													
P0AFT5	0	0	0	1	0	1	0	0	1	3	A	YEHT_ECOLI																										
P33355	0	0	0	1	0	1	0	0	1	3	A	YEHS_ECOLI																										
P00959	1	1	1	1	0	1	1	0	1	7	A	SYM_ECOLI	1.18	1.42E+01	1.35E+03		9	398	0.031792	3179.2	1070.76																	
P0AF08	1	1	0	1	0	1	0	0	1	5	A	MRP_ECOLI	0.67	3.64E+00	6.13E+02		7	289.95																				
P76422	1	0	0	1	1	1	0	0	1	5	A	THID_ECOLI	0.17	4.68E-01	1.86E+02								0.25			0.25												
P76421	0	0	0	1	0	0	0	0	0	1	B	YEGX_ECOLI																										
P0ACM5	0	0	0	1	0	1	0	0	1	3	A	YEGW_ECOLI																										
P76418	0	0	1	1	0	1	0	0	0	3	A	YEGU_ECOLI							0.00026257	26.257																		
P76406	0	0	1	1	0	1	0	0	1	4	I	YEGR_ECOLI							0.00094429	94.429																		
P76403	1	1	0	1	0	1	0	0	1	5	A	YEGQ_ECOLI	0.33	1.15E+00	3.15E+02		1.65	76.75																				
P76402	0	0	0	1	0	1	1	0	0	3	A	YEGP_ECOLI																										
P69228	1	0	1	1	0	1	0	0	1	5	A	BAER_ECOLI	0.14	3.89E-01	1.67E+02	0.39			0.0048571	485.71																		
P30847	0	0	0	1	0	1	1	0	1	4	B	BAES_ECOLI																										
P76398	0	1	0	1	0	1	0	0	1	4	B	MDTB_ECOLI					0.23	11.36																				
P76397	0	0	1	1	1	1	0	0	1	5	F2	MDTA_ECOLI							0.00077386	77.386			0.03		0.03	0.03												
P76393	0	0	0	1	0	1	0	0	0	2	B	YEGI_ECOLI									152.84																	
P36928	0	0	0	1	1	1	0	0	1	4	A	YEGD_ECOLI											0.11		0.14				0.07									
P0A8F4	1	1	0	1	1	1	0	0	1	6	A	URK_ECOLI	0.17	4.68E-01	1.86E+02		2.73	125.04				1789.84	0.29		0.29													
P28248	1	1	1	1	0	1	0	0	1	6	A	DCD_ECOLI	0.25	7.78E-01	2.50E+02		1.78	83	0.039415	3941.5																		
P28249	0	0	1	1	1	1	0	0	1	5	B	ASMA_ECOLI							0.00069466	69.466			1.32	1.17	1.04	1.75												
P76389	0	0	1	1	0	1	0	0	1	4	B	YEGH_ECOLI							0.0027537	275.37																		
P0A930	0	0	0	1	0	1	0	0	0	2	I	WZA_ECOLI																										
P0AAB2	0	0	0	1	0	1	0	0	0	2	A	WZB_ECOLI																										
P76387	0	0	0	1	0	1	0	0	0	2	B	WZC_ECOLI																										
P77414	0	0	0	1	0	0	0	0	0	1	A	WCAA_ECOLI																										
P0ACC9	0	0	0	1	0	0	0	0	0	1	A	WCAB_ECOLI																										
P71237	0	0	0	1	0	0	0	0	0	1	A	WCAC_ECOLI																										
P71239	0	0	0	1	0	0	0	0	0	1	A	WCAE_ECOLI																										
P0ACD2	0	0	0	1	0	1	0	0	0	2	A	WCAF_ECOLI																										
P0AC88	0	0	0	1	0	1	0	0	0	2	A	GM4D_ECOLI									2858.2																	
P32055	0	1	0	1	0	1	0	0	1	4	A	FCL_ECOLI					0.36	17.54			238.73																	
P32056	0	0	0	1	0	0	0	0	0	1	A	NUDD_ECOLI																										
P32057	0	0	0	1	0	0	0	0	0	1	B	WCAI_ECOLI																										
P24174	0	0	0	1	0	1	0	0	1	3	A	MANC_ECOLI									89.27																	
P24175	0	0	0	1	0	1	0	0	1	3	A	MANB_ECOLI																										
P71241	0	0	0	1	0	0	0	0	0	1	B	WCAJ_ECOLI																										
P77377	0	0	0	1	0	0	0	0	0	1	B	WZXC_ECOLI																										
P71242	0	1	0	1	0	1	0	0	1	4	A	WCAK_ECOLI					0.21	10																				
P71243	0	0	0	1	0	1	0	0	0	2	A	WCAL_ECOLI																										
P71244	0	0	0	1	0	1	0	0	0	2	G	WCAM_ECOLI																										
P0AAB6	1	1	1	1	0	1	1	0	1	7	B	GALF_ECOLI	0.62	3.12E+00	5.61E+02	0.38	6.63	295.57	0.09582	9582	417.34	5625.22																
P31663	1	1	1	1	0	1	1	0	1	7	A	PANC_ECOLI	0.86	6.20E+00	8.35E+02		3.47	157.78	0.021756	2175.6	734.92	3292.03																
P0A790	1	1	0	1	0	1	0	0	1	5	A	PAND_ECOLI	1.5	3.06E+01	2.11E+03		16.78	727.17																				
P31666	0	0	1	1	1	1	0	0	1	5	G	YADE_ECOLI							0.00079202	79.202			0.07			0.07												
P36881	0	0	0	1	0	1	0	0	0	2	F1	YADI_ECOLI																										
P36879	1	0	1	1	1	1	1	0	1	7	F1	YADG_ECOLI	0.13	3.34E-01	1.53E+02	0.32			0.0046328	463.28			0.25	0.2		0.44	0.1											
P61517	1	1	0	1	0	1	1	0	1	6	A	CAN_ECOLI	2.13	1.32E+02	4.94E+03		16.78	727.17			4442.37																	
P0A9M2	1	1	0	1	0	1	1	0	1	6	A	HPRT_ECOLI	1	9.00E+00	1.04E+03		25	1074.44																				
P15877	1	0	0	1	1	1	1	0	1	6	B	DHG_ECOLI	0.52	2.28E+00	4.67E+02	0.41							0.15		0.18	0.18			0.12		0.16			0.16	0.12			
P0AA95	0	0	0	1	0	1	0	0	1	3	G	YACC_ECOLI																										
P09158	1	1	0	1	1	1	1	0	1	7	A	SPEE_ECOLI	0.86	6.20E+00	8.35E+02		1.51	70.42			1796.68	3771.45	0.06			0.06												
P0A7F6	1	1	1	1	0	1	0	0	1	6	A	SPED_ECOLI	0.77	4.88E+00	7.27E+02	0.4	4.82	216.98	0.019384	1938.4	1187.33																	
P0A8E5	0	0	1	1	0	1	1	0	1	5	A	YACL_ECOLI							0.0029355	293.55																		
P36683	1	1	1	1	1	1	1	0	1	8	A	ACON2_ECOLI	1.32	1.97E+01	1.63E+03	0.56	33.55	739.77	0.097198	9719.8	9926.15	13711.46	0.08		0.04			0.11	0.03	0.03	0.11	0.15	0.11		0.07			
P0A9P0	1	1	1	1	1	1	1	0	1	8	F1	DLDH_ECOLI	3.25	1.78E+03	2.24E+04		49.55	2077.52	0.20595	20595	7569.96	42572.65	0.23		0.46	0.06	0.06	0.46	0.28	0.06		0.21						
P0AFG8	1	1	1	1	1	1	1	0	1	8	B	ODP1_ECOLI	2.93	8.47E+02	1.45E+04		47.33	3842.58	0.33982	33982	6045.75	990.8	0.18		0.07	0.07		0.06	0.06		0.21	0.1		0.52	0.07	0.34		0.25
P0ACL9	0	1	0	1	1	1	0	0	1	5	A	PDHR_ECOLI					0.52	25.05				639.23	0.11			0.11												
P15993	0	0	0	1	0	1	0	0	1	3	B	AROP_ECOLI																										
P0AE14	0	0	0	1	1	1	0	0	1	4	B	AMPE_ECOLI											0.1		0.1													
P13016	0	0	0	1	0	1	0	0	1	3	A	AMPD_ECOLI																										
P30011	0	1	1	1	0	1	0	0	1	5	A	NADC_ECOLI					0.44	21.31	0.016265	1626.5		2045.53																
P36647	0	0	0	1	0	0	0	0	0	1	B	PPDD_ECOLI																										
P36645	0	0	1	1	0	1	0	0	0	3	A	HOFB_ECOLI							0.00032412	32.412																		
P60560	1	1	1	1	0	1	0	0	1	6	B	GUAC_ECOLI	0.69	3.92E+00	6.40E+02		28.76	1226.02	0.028706	2870.6	257.09	4762.26																
P0A6I9	0	0	0	1	0	1	0	0	1	3	A	COAE_ECOLI										767.07																
P36680	1	1	0	1	0	1	0	0	1	5	A	YACF_ECOLI	0.22	6.68E-01	2.29E+02		1.68	78																				
P08337	0	0	1	1	0	1	0	0	0	3	A	MUTT_ECOLI							0.0027423	274.23																		
P10408	1	1	1	1	1	1	1	0	1	8	F1	SECA_ECOLI	0.57	2.73E+00	5.18E+02	0.53	5.17	232.24	0.028944	2894.4	616.88		0.07		0.03	0.07		0.12	0.12		0.1			0.03	0.07	0.03	0.07	0.03
P62395	0	0	0	1	0	1	1	0	0	3	G	SECM_ECOLI																										
P0A725	0	1	0	1	1	1	0	0	1	5	A	LPXC_ECOLI					0.54	25.99					0.1		0.1													
