Merge ID	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Wang2007_fin	OurStudyLoose	# Studies	DB_NoveV12 Duplicates	CAI	emPAI Value	Covert	Blattner	Corbin	0BS_C0LL	P46482	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Taniguchi2010_fin_mmol	OurStudyLoose	# Studies	DB_NoveV12 Duplicates	emPAI-derived copy no/cell (see Figure 2)	Copy number per cell	APEX	2D mol/cell	mMol	P46482
P76299	0	0	1	1	0	2	B				2.25		2		0	0	1	0	0	1	B						
P76308	0	0	1	1	0	2	I						2		0	0	1	0	0	1	I						
P76334	0	0	1	1	0	2	B					0.31	2		0	0	1	0	0	1	B						
P76342	0	0	1	1	0	2	F2					0.51	0		0	0	1	0	0	1	F2						
P76417	0	0	1	1	0	2	B				0.34	0.19	2		0	0	1	0	0	1	B						
P76423	1	0	1	1	0	3	B			6	2.17	3.58	2		1	0	1	0	0	2	B	2.78E+02					
P76460	0	0	1	1	0	2	B				0.36		0		0	0	1	0	0	1	B						
P76469	0	0	1	1	0	2	B					0.21	2		0	0	1	0	0	1	B						
P76471	0	1	1	1	0	3	H		13.68				0		0	1	1	0	0	2	H		-				
P76498	0	0	1	1	0	2	G					0.52	2		0	0	1	0	0	1	G						
P76500	0	0	1	1	0	2	G			0.3			2		0	0	1	0	0	1	G						
P76501	0	0	1	1	0	2	G					0.19	1		0	0	1	0	0	1	G						
P76520	0	0	1	1	0	2	G					0.19	2		0	0	1	0	0	1	G						
P76521	0	0	1	1	0	2	B					0.98	2		0	0	1	0	0	1	B						
P76538	0	0	1	1	0	2	B					0.67	2		0	0	1	0	0	1	B						
P76551	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P76657	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
P76773	0	0	1	1	0	2	H						0		0	0	1	0	0	1	H						
P77031	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77156	0	0	1	1	0	2	B					0.48	0		0	0	1	0	0	1	B						
P77165	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77188	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77196	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77231	0	0	1	1	0	2	B						0		0	0	1	1	0	2	B					0.00019368	
P77249	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77263	0	0	1	1	0	2	G			0.47			2		0	0	1	0	0	1	G						
P77268	0	0	1	1	0	2	F1						0		0	0	1	0	0	1	F1						
P77272	0	0	1	1	0	2	B					0.32	2		0	0	1	0	0	1	B						
P77288	0	0	1	1	0	2	G						2		0	0	1	0	0	1	G						
P77308	0	0	1	1	0	2	B					0.25	0		0	0	1	0	0	1	B						
P77315	0	0	1	1	0	2	B				0.54	0.22	2		0	0	1	0	0	1	B						
P77316	0	0	1	1	0	2	B			0.62	0.32	0.34	2		0	0	1	0	0	1	B						
P77324	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77333	0	0	1	1	0	2	B				0.4	0.25	2		0	0	1	0	0	1	B						
P77375	0	0	1	1	0	2	G					0.2	2		0	0	1	0	0	1	G						
P77389	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
P77400	0	0	1	1	0	2	B			2.86		0.61	2		0	0	1	0	0	1	B						
P77409	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77437	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77439	0	0	1	1	0	2	F1						0		0	0	1	0	0	1	F1						
P77463	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77468	0	0	1	1	0	2	H						0		0	0	1	0	0	1	H						
P77489	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77506	0	0	1	1	0	2	B			0.66	0.44		2		0	0	1	0	0	1	B						
P77541	0	0	1	0	0	1	B				0.85	0.29			0	0	1	0	0	1	B						
P77554	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77589	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77599	0	0	1	1	0	2	G				0.61		2		0	0	1	0	0	1	G						
P77610	0	0	1	1	0	2	B			0.24			0		0	0	1	0	0	1	B						
P77622	0	0	1	1	0	2	F1					0.31	2		0	0	1	0	0	1	F1						
P77694	0	0	1	1	0	2	H			1.15	1.01	0.48	2		0	0	1	0	0	1	H						
P77716	0	0	1	1	0	2	B				0.99		0		0	0	1	0	0	1	B						
P77733	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77754	0	0	1	1	0	2	G			1.16	0.54	0.83	2		0	0	1	1	0	2	G					6.5538e-005	
P77795	0	0	1	1	0	2	F1					0.84	2		0	0	1	0	0	1	F1						
P77802	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
Q2EES1	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
Q2EES6	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
Q2EET2	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
Q2M7M3	0	0	0	0	0	0	I								0	0	0	0	0	0	I						
Q46831	0	0	1	1	0	2	B				0.57	0.21	2		0	0	1	0	0	1	B						
Q46832	0	0	1	1	0	2	B				0.73	0.2	2		0	0	1	0	0	1	B						
Q46834	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
Q46835	0	0	1	1	0	2	I						0		0	0	1	1	0	2	I					0.00070262	
Q46836	0	0	1	1	0	2	B					0.44	0		0	0	1	0	0	1	B						
Q46839	0	0	1	1	0	2	B					0.61	0		0	0	1	0	0	1	B						
Q46841	1	0	1	1	0	3	B						0		1	0	1	0	0	2	B	1.86E+02					
Q46843	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
Q46844	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
Q46863	1	1	1	1	0	4	G		0.17			0.55	2		1	1	1	0	0	3	G	1.67E+02	8.47				
Q46888	0	0	1	1	0	2	B					0.22	2		0	0	1	0	0	1	B						
Q46909	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
Q47534	0	0	1	1	0	2	G			0.48			0		0	0	1	0	0	1	G						
Q47537	0	0	1	1	0	2	G					0.32	0		0	0	1	0	0	1	G						
Q47539	0	0	1	1	0	2	B			0.89	1.27	0.4	0		0	0	1	0	0	1	B						
Q47706	0	0	1	1	0	2	H						0		0	0	1	0	0	1	H						
Q6BEX0	0	0	1	1	0	2	F1					0.42	1		0	0	1	0	0	1	F1						
Q7DFV3	0	0	1	1	0	2	B					1.22	2		0	0	1	0	0	1	B						
P77667	0	0	1	1	0	2	F1				1.26	4.14	2		0	0	1	0	0	1	F1						
P27242	0	1	1	1	0	3	F1		0.17	1.32	0.39	0.22	2		0	1	1	0	0	2	F1		8.47				
C1P603	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P06993	0	1	1	1	0	3	F1		0.33	2.06	0.69	0.82	2		0	1	1	0	0	2	F1		16.12				
P52696	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P15078	0	1	1	1	0	3	B		0.78	4.08	3.83	16.29	2		0	1	1	0	0	2	B		1.27				
P77672	0	0	1	1	0	2	B				0.85		2		0	0	1	0	0	1	B						
P0AFS1	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P0AF01	0	0	1	1	0	2	B			1.25	1.59	0.71	2		0	0	1	0	0	1	B						
P76425	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P37746	0	0	1	1	0	2	B			4.18	2.81	0.86	2		0	0	1	0	0	1	B						
P37748	0	0	1	1	0	2	B			2.62	1.48	0.66	2		0	0	1	0	0	1	B						
P45562	0	0	1	1	0	2	B			0.19	0.29		2		0	0	1	0	0	1	B						
P76197	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P39284	0	0	1	1	0	2	B				0.36		2		0	0	1	0	0	1	B						
P39357	0	0	1	1	0	2	B				0.27	0.16	2		0	0	1	0	0	1	B						
P39838	0	1	1	1	0	3	B		0		7.43	6.14	2		0	1	1	1	0	3	B		5.07			0.0053264	
P75910	0	0	1	1	0	2	B				0.19	0.14	0		0	0	1	0	0	1	B						
A5A624	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P77494	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P0AAW9	0	0	1	1	0	2	B					1.43	2		0	0	1	0	0	1	B						
P76482	0	0	1	1	0	2	B				0.51		0		0	0	1	0	0	1	B						
A5A615	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
A5A618	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P76239	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
C1P602	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
C1P609	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
C1P610	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P77381	0	0	1	1	0	2	B			0.18			0		0	0	1	0	0	1	B						
P77359	0	0	1	1	0	2	B			0.36		0.19	0		0	0	1	0	0	1	B						
P37747	1	1	1	1	0	4	B		2.43	6.13	1.98	1.74	2		1	1	1	1	0	4	B	9.59E+02	112	1298.92	1853.76	0.07643	
P76083	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
Q47536	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P75711	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
A5A617	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
Q46901	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
P45545	0	0	1	1	0	2	B					0.34	2		0	0	1	0	0	1	B						
P75800	0	0	1	1	0	2	B					0.22	0		0	0	1	0	0	1	B			347.37			
P75786	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
Q46942	0	0	1	1	0	2	B						2		0	0	1	0	0	1	B						
P0AAG3	0	0	1	1	0	2	F1			2.71	1.59	1.19	2		0	0	1	0	0	1	F1						
P09833	0	0	1	1	0	2	F1			0.95	1.2	0.33	2		0	0	1	0	0	1	F1						
P31060	0	0	1	1	0	2	F1			1.66	0.98	0.62	2		0	0	1	0	0	1	F1						
C1P605	0	0	0	0	0	0	F1								0	0	0	0	0	0	F1						
P0ACG4	0	0	0	1	0	1	G						2		0	0	0	0	0	0	G						
P28721	0	0	1	1	0	2	G			0.97	0.9	0.23	2		0	0	1	0	0	1	G						
Q46943	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P0AEE5	0	1	1	1	0	3	G		5.42	3.94	2.51	9.44	1		0	1	1	0	0	2	G		243.12	676.77	1693.96		
P37329	1	0	1	1	0	3	G	0.42		1.44	3.15	1.25	2		1	0	1	0	0	2	G	4.79E+02			3739.49		
P28722	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P37325	0	1	1	1	0	3	G		1				0		0	1	1	0	0	2	G		1.31				
P76394	0	0	1	1	0	2	G			0.25	0.24	0.2	2		0	0	1	0	0	1	G						
P33340	0	0	1	1	0	2	G				0.34		0		0	0	1	0	0	1	G						
P33343	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P33344	0	0	1	1	0	2	G				0.92	1.1	2		0	0	1	0	0	1	G						
P77619	0	0	1	1	0	2	G						2		0	0	1	0	0	1	G						
P64534	1	0	1	1	0	3	G					0.56	2		1	0	1	0	0	2	G	4.53E+02					
P06996	1	1	1	1	0	4	H		77.48	23.81	13.34	49.83	2		1	1	1	1	0	4	H	3.56E+03	3204.57		3419.88	0.00034637	
P33341	0	0	1	1	0	2	H						0		0	0	1	0	0	1	H						
P45564	0	0	1	1	0	2	H				0.59	0.45	2		0	0	1	0	0	1	H						
P0ADB4	0	1	0	0	0	1	I		3.64						0	1	0	0	0	1	I		-				
P77296	0	0	1	1	0	2	I			0.19		0.14	0		0	0	1	0	0	1	I						
P23857	0	0	1	1	0	2	G			1.53	1.18	0.83	2		0	0	1	0	0	1	G						
P27840	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P31450	0	0	1	1	0	2	F1			0.55		0.25	2		0	0	1	0	0	1	F1						
P32696	0	0	1	1	0	2	B				0.62	0.23	2		0	0	1	0	0	1	B						
P33669	0	0	1	1	0	2	B			0.11	0.11		2		0	0	1	0	0	1	B						
P52137	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P75684	0	0	1	1	0	2	B			0.26	0.31	0.19	2		0	0	1	0	0	1	B						
P75936	0	0	1	1	0	2	F4			1.1	13.44	0.27	2		0	0	1	0	0	1	F4				3483.8		
P76147	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P76628	0	0	0	1	0	1	B						2		0	0	0	0	0	0	B						
P76692	0	0	1	1	0	2	B				0.49		2		0	0	1	0	0	1	B						
P77199	0	0	1	1	0	2	H			0.37	0.4		2		0	0	1	0	0	1	H						
P77228	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P77481	0	0	1	1	0	2	F1						0		0	0	1	0	0	1	F1						
Q46797	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
Q46817	0	0	1	1	0	2	B				0.48	0.26	2		0	0	1	0	0	1	B						
Q47153	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P23895	0	0	1	1	0	2	B			0.62	0.47	0.2	2		0	0	1	0	0	1	B						
P0A9R2	0	0	1	1	0	2	B			0.24		0.12	0		0	0	1	0	0	1	B						
P0ACG6	0	0	1	1	0	2	G			0.43	0.45	0.26	2		0	0	1	0	0	1	G						
P38392	0	0	1	1	0	2	B			0.06			0		0	0	1	0	0	1	B						
P23849	0	0	1	1	0	2	B			0.25	0.27	0.12	0		0	0	1	0	0	1	B						
P77368	0	0	1	1	0	2	G			0.3	0.22		0		0	0	1	0	0	1	G						
P28916	0	0	1	1	0	2	B			0.11	0.13		2		0	0	1	0	0	1	B						
P28917	0	0	1	0	0	1	B								0	0	1	0	0	1	B						
P28912	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P76119	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P39355	0	0	1	1	0	2	B				0.2	0.12	0		0	0	1	0	0	1	B						
P45421	0	0	1	1	0	2	G				0.4		2		0	0	1	0	0	1	G						
P75681	0	0	1	1	0	2	B			0.46	0.37		0		0	0	1	0	0	1	B						
P76335	0	0	0	0	0	0	H								0	0	0	0	0	0	H						
Q46790	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
Q47718	0	0	1	1	0	2	B					0.16	2		0	0	1	0	0	1	B						
P09169	1	1	1	1	0	4	H		2.16	31.53	45.09	58.74	2		1	1	1	0	0	3	H	2.59E+03	99.64	208.81			
P32053	0	0	1	1	0	2	B			1.36	0.59	0.35	2		0	0	1	0	0	1	B						
P37009	0	0	1	1	0	2	F1						0		0	0	1	0	0	1	F1						
P52138	0	0	1	1	0	2	B				0.18		2		0	0	1	0	0	1	B						
P77365	0	0	1	1	0	2	E			0.5	0.34	0.28	2		0	0	1	0	0	1	E						
Q47689	0	0	1	1	0	2	B				1.21	0.62	2		0	0	1	0	0	1	B						
P75683	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P76063	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P76361	0	0	1	1	0	2	B						2		0	0	1	1	0	2	B					0.00072503	
P75968	1	0	1	1	0	3	B				0.16	0.26	2		1	0	1	0	0	2	B	3.68E+02					
P77162	0	0	1	1	0	2	G				1.87	0.67	2		0	0	1	0	0	1	G						
P77607	0	0	1	1	0	2	B			0.11			2		0	0	1	0	0	1	B						
P78285	0	0	1	1	0	2	G			0.64	0.54	0.29	0		0	0	1	0	0	1	G						
P75719	0	0	1	1	0	2	G			0.32			0		0	0	1	0	0	1	G						
P76159	0	0	1	1	0	2	G						0		0	0	1	0	0	1	G						
P77237	0	0	1	1	0	2	B						0		0	0	1	0	0	1	B						
P77682	0	0	1	1	0	2	B					0.62	2		0	0	1	0	0	1	B						
P77293	1	1	1	1	0	4	B		0.54			1.87	2		1	1	1	0	0	3	B	2.29E+02	25.99				
P76507	0	1	1	1	0	3	B		0.44				2		0	1	1	0	0	2	B		1.11				
P75741	0	0	1	1	0	2	B			0.09	0.33		2		0	0	1	0	0	1	B						
P41067	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P41066	0	0	0	0	0	0	E								0	0	0	0	0	0	E						
P24082	0	0	0	0	0	0	H								0	0	0	0	0	0	H						
P13979	0	0	0	0	0	0	I								0	0	0	0	0	0	I						
P18471	0	0	0	0	0	0	G								0	0	0	0	0	0	G						
P18472	0	0	0	0	0	0	G								0	0	0	0	0	0	G						
P18035	0	0	0	0	0	0	G								0	0	0	0	0	0	G						
P18006	0	0	0	0	0	0	B								0	0	0	0	0	0	B						
P47737	0	0	1	1	0	2	G						2		0	0	1	0	0	1	G						
Q9JMT7	0	0	0	1	0	1	B						2		0	0	0	0	0	0	B						
P08868	0	0	0	1	0	1	F1						2		0	0	0	0	0	0	F1						
Q9JMR4	0	1	1	1	0	3	E		0.52		0.91	0.84	2		0	1	1	0	0	2	E		25.05				
