Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P76364	1																					1					2	1																					1					A		
P77657	1																										1	1																										A		
P71296	1			1																							2	1			1																							A		
P71297	1			1																							2	1			1																							A		
Q47274	1			1																							2	1			1																							A		
P76155	1																										1	1																										A		
P77515	1																										1	1																										A		
P76156	1			1																							2	1			1																							A		
P76163	1			1																							2	1			1																							A		
P77695	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P0A986	1			1																							2	1			1																							A		
P77656	1																										1	1																										A		
P76512	1			1																							2	1			1																							A		
P76513	1			1																							2	1			1																							A		
P76514	1							1																			2	1							1																			A		
P76515	1			1																							2	1			1																							A		
P76516	1							1																			2	1							1																			A		
P76543	1																										1	1																										A		
P76544	1																										1	1																										A		
P76545	1																										1	1																										A		
P76546	1																										1	1																										A		
P76547	1																										1	1																										A		
P76549	1				1																	1					3	1				1																	1					A		
P76550	1																										1	1																										A		
P75970	1			1																							2	1			1																							A		
P75972	1			1																							2	1			1																							A		
P75973	1			1		1																					3	1			1		1																					A		
P75976	1																										1	1																										A		
P75977	1			1				1																			3	1			1				1																			A		
P75982	1																										1	1																										A		
P75677	1																										1	1																										A		
Q46953	1																										1	1																										A		
P58033	1																										1	1																										A		
Q47685	1			1																							2	1			1																							A		
Q9XB42	1																										1	1																										A		
P09154	1			1																							2	1			1																							A		
P76157	1																										1	1																										A		
P75975	1																										1	1																										A		
P37007	1	1		1				1																			4	1	1		1				1																			A		
P0CF60	1	1																									2	1	1																									A		
P76362	1																										1	1																										A		
P16916	1			1																							2	1			1																							A		
P16917	1																									1	2	1																									1	A		
P16919	1			1		1		1																			4	1			1		1		1																			A		
P16918	1		1	1				1																			4	1		1	1				1																			A		
P76056	1			1																							2	1			1																							A		
P75969	1			1																							2	1			1																							A		
P37326	1			1		1		1																			4	1			1		1		1																			A		
P71298	1			1				1																			3	1			1				1																			A		
P76542	1																										1	1																										A		
P07330	1					1		1																			3	1					1		1																			A		
P07364	1																										1	1																										A		
P0A8M6	1		1	1		1	1	1	1													1					8	1		1	1		1	1	1	1													1					A		
P0A9G2	1																										1	1																										A		
P0A9H9	1			1			1																	1			4	1			1			1																	1			A		
P0AAB2	1			1																							2	1			1																							A		
P0AAT2	1							1																			2	1							1																			A		
P0AC88	1			1																							2	1			1																							A		
P0ACC9	1																										1	1																										A		
P0ACD2	1			1																							2	1			1																							A		
P0ACM2	1	1		1				1																			4	1	1		1				1																			A		
P21693	1			1	1	1		1																			5	1			1	1	1		1																			A		
P24174	1			1																							2	1			1																							A		
P24175	1			1		1																					3	1			1		1																					A		
P32055	1						1																				2	1						1																				A		
P32056	1																										1	1																										A		
P37610	1			1																							2	1			1																							A		
P37903	1		1			1	1	1														1					6	1		1			1	1	1														1					A		
P38489	1	1	1	1			1	1		1				1								1					9	1	1	1	1			1	1		1				1								1					A		
P43533	1																							1			2	1																							1			A		
P51024	1	1	1				1	1														1					6	1	1	1				1	1														1					A		
P52643	1	1	1			1	1	1		1				1													8	1	1	1			1	1	1		1				1													A		
P52647	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			A		
P71237	1																										1	1																										A		
P71239	1																										1	1																										A		
P71242	1					1	1	1																			4	1					1	1	1																			A		
P71243	1					1		1																			3	1					1		1																			A		
P75942	1			1																							2	1			1																							A		
P76053	1			1				1																			3	1			1				1																			A		
P76055	1	1		1		1	1	1							1												7	1	1		1		1	1	1							1												A		
P76402	1	1	1	1				1														1					6	1	1	1	1				1														1					A		
P76403	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P77213	1	1					1	1																			4	1	1					1	1																			A		
P77260	1																										1	1																										A		
P77414	1																										1	1																										A		
A5A607	1																										1	1																										A		
A8DYQ1	1																										1	1																										A		
P00722	1	1	1	1		1				1						1											7	1	1	1	1		1				1						1											A		
P00816	1																										1	1																										A		
P03023	1	1	1	1			1	1	1	1				1		1										1	11	1	1	1	1			1	1	1	1				1		1										1	A		
P07363	1		1	1			1																				4	1		1	1			1																				A		
P07464	1		1	1																							3	1		1	1																							A		
P08956	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		A		
P08957	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P0A7N1	1			1																							2	1			1																							A		
P0A8S9	1			1																							2	1			1																							A		
P0A964	1						1																				2	1						1																				A		
P0AA31	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0AAP5	1			1																							2	1			1																							A		
P0ABD3	1	1	1			1	1	1						1		1						1		1			10	1	1	1			1	1	1						1		1						1		1			A		
P0ABE9	1																										1	1																										A		
P0ABR9	1																										1	1																										A		
P0ABY2	1			1																							2	1			1																							A		
P0ABY7	1																										1	1																										A		
P0ACL5	1			1			1	1																			4	1			1			1	1																			A		
P0ACV6	1			1				1																			3	1			1				1																			A		
P0ACZ2	1																										1	1																										A		
P0ADC8	1			1																							2	1			1																							A		
P0ADK6	1			1				1																			3	1			1				1																			A		
P0AE56	1			1																							2	1			1																							A		
P0AE67	1			1				1																			3	1			1				1																			A		
P0AEM4	1			1				1														1					4	1			1				1														1					A		
P0AEM6	1			1																							2	1			1																							A		
P0AEP9	1	1		1	1			1																			5	1	1		1	1			1																			A		
P0AEQ1	1						1	1														1					4	1						1	1														1					A		
P0C8J6	1		1		1	1	1	1		1						1								1			9	1		1		1	1	1	1		1						1								2			A		
P0C8J8	1		1	1	1	1	1	1	1	1						1	1		1							1	13	1		1	1	1	1	1	1	1	1						1	1		1							1	A		
P15005	1			1			1	1																			4	1			1			1	1																			A		
P15006	1																										1	1																										A		
P21514	1	1						1																			3	1	1						1																			A		
P23484	1			1																							2	1			1																							A		
P24202	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			A		
P24203	1	1	1		1	1	1	1																			7	1	1	1		1	1	1	1																			A		
P25524	1		1	1		1	1	1						1													7	1		1	1		1	1	1						1													A		
P26608	1																										1	1																										A		
P26612	1	1				1		1																			4	1	1				1		1																			A		
P27111	1			1																							2	1			1																							A		
P31068	1	1																									2	1	1																									A		
P31660	1	1				1	1	1																			5	1	1				1	1	1																			A		
P31992	1							1														1					3	1							1														1					A		
P37330	1	1	1	1		1	1	1											1								8	1	1	1	1		1	1	1											1								A		
P37745	1		1			1	1	1																			5	1		1			1	1	1																			A		
P37750	1			1		1	1	1																			5	1			1		1	1	1																			A		
P37759	1		1			1	1	1						1													6	1		1			1	1	1						1													A		
P37760	1					1	1	1	1																		5	1					1	1	1	1																		A		
P39353	1		1	1			1	1																1			6	1		1	1			1	1																1			A		
P39361	1																										1	1																										A		
P39362	1																										1	1																										A		
P39363	1							1																			2	1							1																			A		
P39364	1																										1	1																										A		
P39366	1			1				1																			3	1			1				1																			A		
P39367	1		1	1																							3	1		1	1																							A		
