Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P0AB71	1		1			1	1	1	1	1			1														8	1		1			1	1	1	1	1			1														A		
P0AB74	1																										1	1																										A		
P0AB77	1	1	1	1		1	1	1	1	1			1													1	11	1	1	1	1		1	1	1	1	1			1													1	A		
P0AB80	1						1	1																			3	1						1	1																			A		
P0AB83	1		1					1																			3	1		1					1																			A		
P0AB89	1	1	1	1	1	1	1	1						1													9	1	1	1	1	1	1	1	1						1													A		
P0AB91	1		1	1		1	1	1											1								7	1		1	1		1	1	1											1								A		
P0AB96	1		1					1														1					4	1		1					1														1					A		
P0ABE2	1		1				1	1														1					5	1		1				1	1														1					A		
P0ABH7	1	1	1	1	1	1	1	1	1					1		1								1		1	13	1	1	1	1	1	1	1	1	1					1		1								1		1	A		
P0ABK5	1	1	1	1	1	1	1	1		1				1					1	1			1				13	1	1	1	1	1	1	1	1		1				1					1	1			1				A		
P0ABP8	1	1	1	1		1	1	1		1				1										1		1	11	1	1	1	1		1	1	1		1				1										1		1	A		
P0ABQ2	1	1	1	1		1	1	1											1								8	1	1	1	1		1	1	1											1								A		
P0ABQ4	1		1				1	1	1																		5	1		1				1	1	1																		A		
P0ABR1	1																					1					2	1																					1					A		
P0ABS1	1		1	1			1	1						1								1					7	1		1	1			1	1						1								1					A		
P0ABT2	1	1	1	1	1	1	1	1	1	1			1	1		1			1			1					15	1	1	1	1	1	1	1	1	1	1			1	1		1			1			1					A		
P0ABT5	1			1				1																			3	1			1				1																			A		
P0ABU0	1	1	1	1		1	1	1					1														8	1	1	1	1		1	1	1					1														A		
P0ABU2	1		1		1	1	1	1	1										1								8	1		1		1	1	1	1	1										1								A		
P0ABU5	1		1			1	1	1						1													6	1		1			1	1	1						1													A		
P0ABW3	1																										1	1																										A		
P0ABY4	1			1				1														1					4	1			1				1														1					A		
P0AC13	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P0AC19	1	1	1	1			1	1																1			7	1	1	1	1			1	1																1			A		
P0AC28	1																										1	1																										A		
P0AC33	1	1	1	1		1	1	1		1				1					1					1			11	1	1	1	1		1	1	1		1				1					1					1			A		
P0AC35	1			1																							2	1			1																							A		
P0AC38	1	1	1			1	1	1	1	1			1	1												1	11	1	1	1			1	1	1	1	1			1	1												1	A		
P0AC51	1		1	1			1	1														1					6	1		1	1			1	1														1					A		
P0AC53	1	1	1	1		1	1	1	1	1				1													10	1	1	1	1		1	1	1	1	1				1													A		
P0AC59	1	1	1	1		1	1	1														1					8	1	1	1	1		1	1	1														1					A		
P0AC69	1	1	1				1	1														1					6	1	1	1				1	1														1					A		
P0AC73	1			1																							2	1			1																							A		
P0AC81	1			1			1	1														1					5	1			1			1	1														1					A		
P0AC84	1	1	1				1	1																			5	1	1	1				1	1																			A		
P0AC86	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0ACA3	1	1	1		1	1	1	1		1			1	1										1			11	1	1	1		1	1	1	1		1			1	1										1			A		
P0ACB0	1	1	1	1		1	1	1	1							1								1		1	11	1	1	1	1		1	1	1	1							1								1		1	A		
P0ACB2	1	1	1	1		1	1	1	1					1													9	1	1	1	1		1	1	1	1					1													A		
P0ACB4	1		1	1	1	1	1	1	1																	1	9	1		1	1	1	1	1	1	1																	1	A		
P0ACC1	1			1				1																			3	1			1				1																			A		
P0ACC3	1		1				1	1														1					5	1		1				1	1														1					A		
P0ACC7	1	1	1	1		1	1	1	1					1													9	1	1	1	1		1	1	1	1					1													A		
P0ACD4	1		1	1			1	1														1					6	1		1	1			1	1														1					A		
P0ACE7	1		1	1			1	1														1					6	1		1	1			1	1														1					A		
P0ACF0	1		1	1		1	1	1	1					1								1				1	10	1		1	1		1	1	1	2					1								1				2	A		
P0ACF8	1		1	1		1	1	1	1					1		1						1				1	11	1		1	1		1	1	1	1					1		1						1				1	A		
P0ACH1	1			1																							2	1			1																							A		
P0ACH5	1			1																							2	1			1																							A		
P0ACH8	1			1																							2	1			1																							A		
P0ACI0	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P0ACI3	1					1		1																			3	1					1		1																			A		
P0ACI6	1							1																			2	1							1																			A		
P0ACJ8	1	1	1			1	1	1	1	1												1					9	1	1	1			1	1	1	1	2												1					A		
P0ACK2	1					1		1																			3	1					1		1																			A		
P0ACK5	1	1		1			1	1																			5	1	1		1			1	1																			A		
P0ACK8	1							1																			2	1							1																			A		
P0ACL0	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P0ACL2	1		1	1			1	1																			5	1		1	1			1	1																			A		
P0ACL7	1			1																							2	1			1																							A		
P0ACL9	1			1			1	1	1																		5	1			1			1	1	1																		A		
P0ACM5	1			1				1																			3	1			1				1																			A		
P0ACN7	1	1		1				1																			4	1	1		1				1																			A		
P0ACP5	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P0ACQ4	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		A		
P0ACQ7	1							1																			2	1							1																			A		
P0ACR2	1			1				1																			3	1			1				1																			A		
P0ACR4	1					1	1	1																			4	1					1	1	1																			A		
P0ACS2	1																										1	1																										A		
P0ACS5	1			1				1																			3	1			1				1																			A		
P0ACT2	1																										1	1																										A		
P0ACT6	1	1		1			1	1																			5	1	1		1			1	1																			A		
P0ACU2	1			1				1																			3	1			1				1																			A		
P0ACY1	1						1	1														1					4	1						1	1														1					A		
P0ACZ8	1			1		1	1	1																			5	1			1		1	1	1																			A		
P0AD05	1	1	1				1	1																			5	1	1	1				1	1																			A		
P0AD37	1																										1	1																										A		
P0AD53	1			1																							2	1			1																							A		
P0AD57	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P0AD61	1	1	1	1		1	1	1		1				1					1								10	1	1	1	1		1	1	1		1				1					1								A		
P0ADD7	1					1		1																			3	1					1		1																			A		
P0ADE6	1		1		1	1	1	1	1				1						1			1				1	11	1		1		1	1	1	1	1				1						1			1				1	A		
P0ADE8	1	1	1	1		1	1	1		1			1														9	1	1	1	1		1	1	1		1			1														A		
P0ADF6	1			1		1		1																			4	1			1		1		1																			A		
P0ADF8	1			1			1	1														1					5	1			1			1	1														1					A		
P0ADI7	1		1					1														1					4	1		1					1														1					A		
P0ADN0	1	1		1		1		1																			5	1	1		1		1		1																			A		
P0ADN2	1		1	1		1	1	1														1				1	8	1		1	1		1	1	1														1				1	A		
P0ADP7	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0ADP9	1		1				1	1														1					5	1		1				1	1														1					A		
P0ADR6	1	1	1	1			1	1	1																		7	1	1	1	1			1	1	1																		A		
P0ADR8	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		A		
P0ADS2	1		1	1			1	1														1					6	1		1	1			1	1														1					A		
P0ADT2	1			1		1	1	1	1																	1	7	1			1		1	1	1	1																	1	A		
P0ADT5	1		1		1		1	1																			5	1		1		1		1	1																			A		
P0ADU7	1			1																							2	1			1																							A		
P0ADV5	1		1	1		1	1	1		1						1											8	1		1	1		1	1	1		1						1											A		
P0ADW6	1																										1	1																										A		
P0ADX1	1			1			1	1														1					5	1			1			1	1														1					A		
P0ADX9	1		1	1				1																			4	1		1	1				1																			A		
P0ADY3	1	1	1	1	1	1	1	1	1							1				1		1				1	13	1	1	1	1	1	1	1	1	1							1				1		1				1	A		
P0ADY7	1	1	1	1	1	1	1	1	1													1				1	11	1	1	1	1	1	1	1	1	1													1				1	A		
P0ADZ4	1		1	1			1	1	1													1				1	8	1		1	1			1	1	1													1				1	A		
P0AE01	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P0AE08	1	1	1	1	1	1	1	1	1	1			1	1								1	1				14	1	1	1	1	1	1	1	1	1	1			1	1								1	1				A		
P0AE12	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P0AE18	1		1	1		1	1	1		1																1	8	1		1	1		1	1	1		1																1	A		
P0AE37	1			1		1		1																			4	1			1		1		1																			A		
P0AE39	1							1																			2	1							1																			A		
P0AE48	1		1				1	1														1					5	1		1				1	1														1					A		
P0AE52	1		1				1	1														1					5	1		1				1	1														1					A		
P0AE58	1			1																							2	1			1																							A		
P0AE60	1			1				1														1					4	1			1				1														1					A		
P0AE76	1							1																			2	1							1																			A		
P0AE78	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P0AEA8	1	1	1					1																			4	1	1	1					1																			A		
P0AEB7	1			1			1	1												1		1					6	1			1			1	1												1		1					A		
P0AED7	1			1		1	1	1																			5	1			1		1	1	1																			A		
P0AEE8	1			1		1		1																			4	1			1		1		1																			A		
P0AEF0	1			1		1	1	1																			5	1			1		1	1	1																			A		
P0AEF4	1	1																									2	1	1																									A		
P0AEI1	1	1	1	1	1	1	1	1	1																		9	1	1	1	1	1	1	1	1	1																		A		
P0AEI4	1	1	1		1	1	1	1	1																		8	1	1	1		1	1	1	1	1																		A		
P0AEI6	1		1	1				1																			4	1		1	1				1																			A		
P0AEJ2	1			1																							2	1			1																							A		
P0AEJ8	1																										1	1																										A		
P0AEK0	1				1	1		1																			4	1				1	1		1																			A		
P0AEM0	1						1	1														1					4	1						1	1														1					A		
P0AEN1	1	1		1	1		1	1																1			7	1	1		1	1		1	1																1			A		
P0AEN8	1					1		1														1					4	1					1		1														1					A		
P0AES0	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P0AES2	1	1					1	1						1													5	1	1					1	1						1													A		
P0AES4	1	1	1	1		1	1	1	1					1													9	1	1	1	1		1	1	1	1					1													A		
P0AET8	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P0AEV1	1	1				1	1	1																			5	1	1				1	1	1																			A		
P0AEV4	1							1																			2	1							1																			A		
P0AEV7	1						1																				2	1						1																				A		
P0AEV9	1		1					1																			3	1		1					1																			A		
P0AEW4	1					1		1																			3	1					1		1																			A		
P0AEW6	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P0AEX5	1						1	1								1											4	1						1	1								1											A		
P0AEY3	1			1			1	1																			4	1			1			1	1																			A		
P0AEZ1	1			1	1			1																			4	1			1	1			1																			A		
P0AEZ9	1	1	1	1		1	1	1						1					1			1		1			11	1	1	1	1		1	1	1						1					1			1		1			A		
P0AF03	1	1	1				1	1						1								1					7	1	1	1				1	1						1								1					A		
P0AF08	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P0AF10	1							1																			2	1							1																			A		
P0AF12	1	1	1	1		1	1	1						1								1					9	1	1	1	1		1	1	1						1								1					A		
P0AF18	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P0AF24	1		1			1	1	1	1																		6	1		1			1	1	1	1																		A		
P0AF26	1						1	1																			3	1						1	1																			A		
P0AF28	1	1	1	1		1	1	1														1					8	1	1	1	1		1	1	1														1					A		
P0AF48	1	1						1																			3	1	1						1																			A		
P0AF50	1	1	1					1														1					5	1	1	1					1														1					A		
P0AF63	1		1					1																			3	1		1					1																			A		
P0AF67	1		1				1	1														1					5	1		1				1	1														1					A		
P0AF76	1																										1	1																										A		
P0AF93	1		1			1	1	1						1					1	1		1					9	1		1			1	1	1						1					1	1		1					A		
P0AFB5	1					1	1	1																1			5	1					1	1	1																1			A		
P0AFB8	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P0AFC0	1						1	1																			3	1						1	1																			A		
P0AFF6	1	1	1	1	1	1	1	1	1	1				1												1	12	1	1	1	1	1	1	1	1	1	1				1												1	A		
P0AFG0	1	1	1	1		1	1	1														1				1	9	1	1	1	1		1	1	1														1				1	A		
P0AFG3	1	1	1		1	1	1	1	1	1	1			1		1	1							1		1	15	1	1	1		1	1	1	1	1	1	1			1		1	1							1		1	A		
P0AFG6	1	1	1	1		1	1	1	1	1	1					1										1	12	1	1	1	1		1	1	1	1	1	1					1										1	A		
P0AFI0	1			1															1								3	1			1															1								A		
P0AFI7	1	1	1	1	1	1	1	1	1	1																1	11	1	1	1	1	1	1	1	1	1	1																1	A		
P0AFJ5	1	1	1	1				1																			5	1	1	1	1				1																			A		
P0AFK0	1	1	1	1		1	1	1		1																	8	1	1	1	1		1	1	1		1																	A		
P0AFP2	1							1																			2	1							1																			A		
P0AFP6	1		1			1	1	1						1													6	1		1			1	1	1						1													A		
P0AFQ7	1	1	1		1		1	1		1																	7	1	1	1		1		1	1		1																	A		
P0AFR0	1						1	1																			3	1						1	1																			A		
P0AFR4	1		1	1			1	1														1					6	1		1	1			1	1														1					A		
P0AFS3	1							1																			2	1							1																			A		
P0AFT5	1		1	1				1																			4	1		1	1				1																			A		
P0AFU4	1					1	1	1																			4	1					1	1	1																			A		
P0AFU8	1	1		1		1	1	1														1					7	1	1		1		1	2	1														1					A		
P0AFW0	1			1				1																			3	1			1				1																			A		
P0AFW4	1	1					1	1														1					5	1	1					1	1														1					A		
P0AFW8	1		1	1				1														1					5	1		1	1				1														1					A		
P0AFX0	1			1		1		1														1					5	1			1		1		1														1					A		
P0AFX4	1		1				1	1																			4	1		1				1	1																			A		
P0AFZ1	1						1	1																			3	1						1	1																			A		
P0AFZ3	1		1				1	1								1						1					6	1		1				1	1								1						1					A		
P0AG03	1			1			1																				3	1			1			1																				A		
P0AG07	1		1			1	1	1		1												1					7	1		1			1	1	1		1												1					A		
P0AG16	1	1	1			1	1	1						1													7	1	1	1			1	1	1						1													A		
P0AG24	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P0AG30	1	1	1	1	1	1	1	1	1	1				1												1	12	1	1	1	1	1	1	1	1	1	1				1												1	A		
P0AG40	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0AG44	1	1	1	1	1	1	1	1	1		1											1				1	12	1	1	1	1	1	1	1	1	1		1											1				1	A		
P0AG55	1	1	1	1		1	1	1	1	1												1				1	11	1	1	1	1		1	1	1	1	1												1				1	A		
P0AG59	1		1	1	1	1	1	1	1													1				1	10	1		1	1	1	1	1	1	1													1				1	A		
P0AG63	1		1	1		1	1	1	1													1				1	9	1		1	1		1	1	1	1													1				1	A		
P0AG76	1		1					1																			3	1		1					1																			A		
P0AG84	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P0AGA6	1		1					1																			3	1		1					1																			A		
P0AGB3	1	1	1	1				1																			5	1	1	1	1				1																			A		
P0AGD3	1		1			1	1	1		1				1		1				1		1	1				11	1		1			1	1	1		1				1		1				1		1	1				A		
P0AGE0	1			1		1	1	1					1			1						1		1			9	1			1		1	1	1					1			1						1		1			A		
P0AGE6	1		1				1	1																			4	1		1				1	1																			A		
P0AGF2	1		1				1	1																			4	1		1				1	1																			A		
P0AGG0	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0AGG2	1		1				1	1																			4	1		1				1	1																			A		
P0AGG4	1		1	1			1	1	1													1					7	1		1	1			1	1	1													1					A		
P0AGG8	1		1			1	1	1																			5	1		1			1	1	1																			A		
P0AGJ2	1		1	1				1																			4	1		1	1				1																			A		
P0AGJ5	1	1	1		1	1	1	1	1	1																1	10	1	1	1		1	1	1	1	1	1																1	A		
P0AGJ7	1		1	1				1																			4	1		1	1				1																			A		
P0AGK8	1		1				1	1														1					5	1		1				1	1														1					A		
P0AGL2	1		1	1				1														1					5	1		1	1				1														1					A		
P0AGL5	1	1	1	1				1																			5	1	1	1	1				1																			A		
P0AGL7	1		1	1				1																			4	1		1	1				1																			A		
P0C037	1							1														1					3	1							1														1					A		
P0C054	1		1	1	1		1	1	1							1			1			1		1			11	1		1	1	1		1	1	1							1			1			1		1			A		
P0C058	1			1	1											1								1			5	1			1	1											1								1			A		
P0C093	1		1	1			1	1																			5	1		1	1			1	1																			A		
P0C0K3	1		1	1				1																			4	1		1	1				1																			A		
P0C0L2	1		1				1	1											1			1					6	1		1				1	1											1			1					A		
P0C0R7	1	1	1	1		1	1	1	1																	1	9	1	1	1	1		1	1	1	1																	1	A		
P0C0U4	1			1				1																			3	1			1				1																			A		
P0C8K0	1			1				1																			3	1			1				1																			A		
P10442	1							1																			2	1							1																			A		
P10443	1		1	1	1	1	1	1	1																		8	1		1	1	1	1	1	1	1																		A		
P11071	1			1		1	1	1																			5	1			1		1	1	1																			A		
P11290	1															1											2	1															1											A		
P11446	1							1																			2	1							1																			A		
P11447	1		1					1																		1	4	1		1					1																		1	A		
P11458	1							1																			2	1							1																			A		
P11663	1																										1	1																										A		
P11875	1	1	1	1		1	1	1	1	1																	9	1	1	1	1		1	1	1	1	1																	A		
P11880	1		1			1	1	1																			5	1		1			1	1	1																			A		
P12281	1		1	1			1	1						1													6	1		1	1			1	1						1													A		
P12282	1		1	1				1																			4	1		1	1				1																			A		
P12295	1	1	1				1	1																			5	1	1	1				1	1																			A		
P12758	1	1	1	1		1	1	1		1			1	1						1			1	1			13	1	1	1	1		1	1	1		1			1	1						1			1	1			A		
P12994	1	1						1														1					4	1	1						1														1					A		
P12995	1																										1	1																										A		
P12999	1			1																							2	1			1																							A		
P13000	1																										1	1																										A		
P13001	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P13009	1		1	1	1	1	1	1	1																	1	9	1		1	1	1	1	1	1	1																	1	A		
P13016	1							1																			2	1							1																			A		
P13024	1		1	1			1	1																			5	1		1	1			1	1																			A		
P13029	1	1	1	1	1	1	1	1		1				1										1			11	1	1	1	1	1	1	1	1		1				1										1			A		
P13039	1			1																							2	1			1																							A		
P14081	1		1	1			1	1		1																	6	1		1	1			1	1		1																	A		
P14294	1			1		1	1	1																			5	1			1		1	1	1																			A		
P14407	1	1	1	1		1	1	1		1				1													9	1	1	1	1		1	1	1		1				1													A		
P15034	1	1	1			1	1	1						1													7	1	1	1			1	1	1						1													A		
P15038	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P15042	1		1	1			1	1	1																		6	1		1	1			1	1	1																		A		
P15067	1	1						1																			3	1	1						1																			A		
P15254	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P15288	1	1	1	1		1	1	1	1	1				1													10	1	1	1	1		1	1	1	1	1				1													A		
P15639	1	1	1	1		1	1	1					1	1													9	1	1	1	1		1	1	1					1	1													A		
P15640	1			1			1	1											1								5	1			1			1	1											1								A		
P15723	1			1				1	1																		4	1			1				1	1																		A		
P15770	1		1				1	1																			4	1		1				1	1																			A		
P15977	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P16384	1	1	1		1	1		1																			6	1	1	1		1	1		1																			A		
P16432	1			1																							2	1			1																							A		
P16433	1									1																	2	1									1																	A		
P16456	1	1	1	1	1	1	1	1	1	1																	10	1	1	1	1	1	1	1	1	1	1																	A		
P16525	1					1		1																			3	1					1		1																			A		
P16528	1	1	1	1				1	1																		6	1	1	1	1				1	1																		A		
P16659	1	1	1	1		1	1	1	1	1				1		1								1		1	13	1	1	1	1		1	1	1	1	1				1		1								1		1	A		
P16684	1			1																							2	1			1																							A		
P16685	1																										1	1																										A		
P16686	1																										1	1																										A		
P16687	1			1																							2	1			1																							A		
P16689	1			1																							2	1			1																							A		
P16691	1							1																			2	1							1																			A		
P16703	1	1		1																							3	1	1		1																							A		
P17109	1	1					1	1																			4	1	1					1	1																			A		
P17115	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P17410	1																										1	1																										A		
P17411	1			1				1																			3	1			1				1																			A		
P17802	1							1																			2	1							1																			A		
P17854	1		1	1	1			1																			5	1		1	1	1			1																			A		
P17888	1			1		1		1																			4	1			1		1		1																			A		
P17952	1		1		1	1	1	1	1	1																	8	1		1		1	1	1	1	1	1																	A		
P17993	1	1	1	1		1	1	1		1																	8	1	1	1	1		1	1	1		1																	A		
P18196	1		1					1																			3	1		1					1																			A		
P18335	1		1					1						1													4	1		1					1						1													A		
P18843	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P19323	1			1		1	1	1																			5	1			1		1	1	1																			A		
P19624	1	1		1				1																			4	1	1		1				1																			A		
P19931	1			1				1																			3	1			1				1																			A		
P19932	1							1																			2	1							1																			A		
P20083	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P21151	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P21156	1			1	1			1																			4	1			1	1			1																			A		
P21165	1	1	1			1	1	1		1				1													8	1	1	1			1	1	1		1				1													A		
P21169	1			1			1	1																			4	1			1			1	1																			A		
P21170	1	1	1	1	1	1	1	1			1																9	1	1	1	1	1	1	1	1			1																A		
P21177	1	1	1	1		1	1	1																		1	8	1	1	1	1		1	1	1																		1	A		
P21179	1		1			1	1	1		1				1					1								8	1		1			1	1	1		1				1					1								A		
P21369	1							1														1					3	1							1														1					A		
P21499	1	1	1	1	1	1	1	1	1	1																1	11	1	1	1	1	1	1	1	1	1	1																1	A		
P21517	1			1				1																			3	1			1				1																			A		
P21599	1	1	1			1	1	1	1	1				1												1	10	1	1	1			1	1	1	1	1				1												1	A		
P21645	1	1				1	1	1																			5	1	1				1	1	1																			A		
P21866	1			1				1																			3	1			1				1																			A		
P21888	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P22106	1		1	1	1	1	1	1																			7	1		1	1	1	1	1	1																			A		
P22256	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P22259	1		1			1	1	1	1	1				1													8	1		1			1	1	1	1	1				1													A		
P22333	1		1		1	1	1	1	1	1																1	9	1		1		1	1	1	1	1	1																1	A		
P22523	1	1	1	1	1	1	1	1	1																	1	10	1	1	1	1	1	1	1	1	1																	1	A		
P22524	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P22634	1		1	1			1	1	1																		6	1		1	1			1	1	1																		A		
P22787	1			1																							2	1			1																							A		
P22939	1		1			1	1	1																			5	1		1			1	1	1																			A		
P23003	1	1	1				1	1																			5	1	1	1				1	1																			A		
P23331	1		1	1			1	1																			5	1		1	1			1	1																			A		
P23367	1			1		1	1	1																			5	1			1		1	1	1																			A		
P23522	1	1		1			1	1											1								6	1	1		1			1	1											1								A		
P23538	1	1	1	1	1	1	1	1	1	1						1										1	12	1	1	1	1	1	1	1	1	1	1						1										1	A		
P23721	1	1	1	1		1	1	1		1									1								9	1	1	1	1		1	1	1		1									1								A		
P23836	1		1	1		1	1	1		1						1								1			9	1		1	1		1	1	1		1						1								1			A		
P23839	1	1	1	1		1	1	1		1				1													9	1	1	1	1		1	1	1		1				1													A		
P23845	1				1			1																			3	1				1			1																			A		
P23862	1			1				1																			3	1			1				1																			A		
P23871	1		1				1	1																		1	5	1		1				1	1																		1	A		
P23872	1	1						1																			3	1	1						1																			A		
P23882	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P23893	1	1	1		1	1	1	1	1					1													9	1	1	1		1	1	1	1	1					1													A		
P23908	1		1				1	1		1																1	6	1		1				1	1		1																1	A		
P24171	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P24173	1			1		1	1	1																			5	1			1		1	1	1																			A		
P24178	1			1			1	1														1					5	1			1			1	1														1					A		
P24182	1	1	1	1		1	1	1	1	1																1	10	1	1	2	1		1	1	1	1	1																1	A		
P24186	1				1	1	1	1																			5	1				1	1	1	1																			A		
P24188	1						1	1																			3	1						1	1																			A		
P24192	1					1	1	1																			4	1					1	1	1																			A		
P24193	1	1	1				1	1																			5	1	1	1				1	1																			A		
P24197	1																										1	1																										A		
P24230	1	1	1	1		1		1																			6	1	1	1	1		1		1																			A		
P24232	1	1	1				1	1	1																		6	1	1	1				1	1	1																		A		
P24238	1																										1	1																										A		
P24252	1			1				1																			3	1			1				1																			A		
P24554	1		1			1	1	1	1																		6	1		1			1	1	1	1																		A		
P24555	1			1		1		1																			4	1			1		1		1																			A		
P25437	1	1	1				1	1						1													6	1	1	1				1	1						1													A		
P25519	1		1			1	1	1	1	1														1		1	9	1		1			1	1	1	1	1														1		1	A		
P25531	1																										1	1																										A		
P25536	1		1	1				1	1													1					6	1		1	1				1	1													1					A		
P25539	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P25550	1																										1	1																										A		
P25665	1			1	1			1	1																		5	1			1	1			1	1																		A		
P25728	1			1		1																					3	1			1		1																					A		
P25738	1	1	1					1														1					5	1	1	1					1														1					A		
P25745	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P25748	1			1			1	1																			4	1			1			1	1																			A		
P25772	1			1				1																			3	1			1				1																			A		
P25888	1		1	1			1	1																		1	6	1		1	1			1	1																		1	A		
P25889	1	1	1			1		1						1													6	1	1	1			1		1						1													A		
P26616	1	1	1	1		1	1	1		1																	8	1	1	1	1		1	1	1		1																	A		
P27238	1			1				1																			3	1			1				1																			A		
P27245	1			1		1	1																				4	1			1		1	1																				A		
P27249	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P27294	1		1	1	1				1																		5	1		1	1	1				1																		A		
P27296	1			1				1																			3	1			1				1																			A		
P27298	1	1	1			1	1	1						1												1	8	1	1	1			1	1	1						1												1	A		
P27302	1	1	1	1		1	1	1	1	1				1		1											11	1	1	1	1		1	1	1	1	1				1		1											A		
P27305	1						1	1																			3	1						1	1																			A		
P27306	1	1	1	1		1	1	1		1																1	9	1	1	1	1		1	1	1		1																1	A		
P27431	1	1	1					1																			4	1	1	1					1																			A		
P27550	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P27828	1			1			1	1																			4	1			1			1	1																			A		
P27830	1	1	1				1	1																			5	1	1	1				1	1																			A		
P27833	1		1				1	1																			4	1		1				1	1																			A		
P27836	1		1	1	1	1	1	1	1																	1	9	1		1	1	1	1	1	1	1																	1	A		
P27838	1		1					1														1					4	1		1					1														1					A		
P27848	1		1			1	1	1											1								6	1		1			1	1	1											1								A		
P27862	1			1																							2	1			1																							A		
P28248	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P28305	1			1				1																			3	1			1				1																			A		
P28634	1	1		1				1																			4	1	1		1				1																			A		
P28638	1			1																							2	1			1																							A		
P28861	1	1		1			1	1																			5	1	1		1			1	1																			A		
P28903	1		1	1		1	1	1	1																		7	1		1	1		1	1	1	1																		A		
P28904	1	1	1		1	1	1	1	1	1				1		1										1	12	1	1	1		1	1	1	1	1	1				1		1										1	A		
P28905	1							1																			2	1							1																			A		
P29012	1		1				1	1																			4	1		1				1	1																			A		
P29013	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P29208	1	1		1			1	1																			5	1	1		1			1	1																			A		
P29680	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P29745	1	1	1	1		1	1	1						1													8	1	1	1	1		1	1	1						1													A		
P30011	1		1	1			1	1																			5	1		1	1			1	1																			A		
