A	PYRH_ECOLI	7.11E+00	9.05E+02	7.58	336.54	0.058036	5803.6
A	SPED_ECOLI	4.88E+00	7.27E+02	4.82	216.98	0.019384	1938.4
A	RBFA_ECOLI	4.62E+00	7.04E+02	3.64	165.27	0.058436	5843.6
A	RF1_ECOLI	5.85E-01	2.12E+02	0.53	25.52	0.010384	1038.4
A	RF3_ECOLI	4.48E+00	6.92E+02	9	398	0.013706	1370.6
F1	RIBB_ECOLI	5.89E+01	3.09E+03	4.01	181.53	0.080874	8087.4
A	RS5_ECOLI	5.99E+03	4.53E+04	40.25	1698.32	0.6295	62950
A	RNC_ECOLI	1.61E+00	3.82E+02	7.48	332.24	0.028753	2875.3
A	RRF_ECOLI	7.73E+02	1.38E+04	33.55	1.424	0.0045929	459.29
A	METK_ECOLI	2.54E+01	1.89E+03	12.69	554.63	0.14432	14432
A	GLYA_ECOLI	4.86E+02	1.05E+04	19.81	854.14	0.68109	68109
A	SSRP_ECOLI	5.31E+00	7.63E+02	4.99	224.39	0.0084621	846.21
A	TIG_ECOLI	3.16E+03	3.12E+04	67.13	2788.66	0.30357	30357
A	TNAA_ECOLI	6.20E+00	8.35E+02	43.17	1817.64	0.14285	14285
G	TOLB_ECOLI	1.08E+01	1.15E+03	6.85	305.07	0.0014268	142.68
A	TPIS_ECOLI	2.78E+03	2.90E+04	45.42	1906.06	0.32767	32767
A	TYSY_ECOLI	2.16E+00	4.53E+02	4.88	220	0.018541	1854.1
A	UBIE_ECOLI	3.64E+00	6.13E+02	10.79	473.93	0.00014544	14.544
A	RIMP_ECOLI	5.31E+00	7.63E+02	2.16	99.64	0.02857	2857
A	YGFB_ECOLI	9.00E+00	1.04E+03	9	398	0.021267	2126.7
A	YCFP_ECOLI	1.31E+00	3.39E+02	7.38	327.93	0.02575	2575
A	YAJQ_ECOLI	6.21E+01	3.19E+03	22	950	0.073987	7398.7
A	YBED_ECOLI	4.54E+01	2.66E+03	14.85	645.93	0.2296	22960
A	RHLB_ECOLI	7.30E-01	2.41E+02	1.21	56.81	0.016836	1683.6
A	SYS_ECOLI	2.58E+01	1.91E+03	12.04	527.07	0.068116	6811.6
