Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0AD17	0	1	1	1	0	0	0	3	B	YOHC_ECOLI			0	1	0			
P0AD19	0	1	1	1	0	0	0	3	B	YOHK_ECOLI			2	0	0			
P0AD59	0	1	1	1	0	0	0	3	G	IVY_ECOLI			2	2	2			
P0AD70	0	1	1	1	0	0	0	3	G	AMPH_ECOLI			2	1	2			
P0ADD2	0	1	1	1	0	0	0	3	B	YJJB_ECOLI			2	2	2			
P0ADD5	0	1	1	1	0	0	0	3	B	YJJP_ECOLI			2	2	2			
P0ADI4	0	1	1	1	0	0	0	3	F1	ENTB_ECOLI			1	1	2			
P0ADR0	0	1	1	1	0	0	0	3	B	YQAA_ECOLI			2	2	2			
P0ADR2	0	1	1	1	0	0	0	3	B	YGDD_ECOLI			2	2				
P0ADU5	1	1	1	1	0	0	0	4	G	YGIW_ECOLI	2.38	2	2	2	2			
P0AE74	0	1	1	1	0	0	0	3	B	CITT_ECOLI			0	0				
P0AE95	0	1	1	1	0	0	0	3	G	CSGE_ECOLI			0	0	0			
P0AEA2	0	1	1	1	1	1	0	5	I	CSGG_ECOLI			0	0	0	0	1.555210437	
P0AEA5	0	1	1	1	0	1	0	4	B	CYOE_ECOLI			2	2	2		8.189593179	
P0AEK7	0	1	1	1	1	0	0	4	B	FDNI_ECOLI			0	0	2	0		
P0AES9	1	1	1	1	1	1	0	6	G	HDEA_ECOLI		2	2	2	2	0	134.8617851	
P0AET2	0	1	1	1	1	1	0	5	G	HDEB_ECOLI			2	2	2	0	53.81901624	
P0AF06	0	1	1	1	0	0	0	3	B	MOTB_ECOLI			2	2	0			
P0AF56	0	1	1	1	0	0	0	3	G	YJCO_ECOLI			0	2				
P0AF80	0	1	1	1	0	0	0	3	B	YJFL_ECOLI			0	2				
P0AF82	0	1	1	1	0	0	0	3	G	YJFN_ECOLI			0	2	2			
P0AFI5	1	1	1	1	0	1	0	5	G	PBP7_ECOLI	0.42	2	2	2	2		1.619175982	
P0AFL9	0	1	1	1	0	0	0	3	B	PQIA_ECOLI			2	2				
P0AFQ5	0	1	1	1	0	1	0	4	G	RUTC_ECOLI			2	2	0			
P0AFU0	0	1	1	1	0	0	0	3	B	YEJB_ECOLI			2	2	2			
P0AFV0	0	1	1	1	1	0	0	4	B	YIBH_ECOLI			2	2	2	0		
P0AFV2	0	1	1	1	0	0	0	3	B	YHID_ECOLI			0	0	0			
P0AG78	0	1	1	1	0	0	0	3	G	SUBI_ECOLI			2	0				
P0AGC0	0	1	1	1	1	0	0	4	B	UHPT_ECOLI			2	2		0		
P0AGF6	1	1	1	1	0	0	0	4	B	THD2_ECOLI	0.66	2	0	2	2			
P0AGM0	0	1	1	1	0	0	0	3	B	YHHT_ECOLI			2	2				
P0AGM7	1	1	1	1	0	0	0	4	B	URAA_ECOLI	0.72	2	2	0	0			
P0AGM9	0	1	1	1	0	0	0	3	B	XANP_ECOLI			0	0	0			
P10423	0	1	1	1	0	0	0	3	F2	IAP_ECOLI			2	0				
P12996	0	0	1	1	0	0	0	2	B	BIOB_ECOLI				2	2			
P13033	0	1	1	1	0	0	0	3	F1	GLPB_ECOLI			2	0	2			
P16430	0	1	1	1	1	0	0	4	B	HYCD_ECOLI			2	0	0	0		
P16431	1	1	1	1	0	1	0	5	B	HYCE_ECOLI		2	0	0	0			
P16677	0	1	1	1	1	0	0	4	F1	PHNC_ECOLI			0	0	0	0		
P16678	0	1	1	1	1	1	0	5	F1	PHNK_ECOLI			0	0	0	0		
P16679	0	1	1	1	1	0	0	4	F1	PHNL_ECOLI			0	0	0	0		
P16682	0	1	1	1	1	1	0	5	G	PHND_ECOLI			2	2	2	0	8.732777343	
P17334	0	1	1	1	0	0	0	3	B	PTQC_ECOLI			2	2	2			
P18200	0	1	1	1	0	0	0	3	B	PGPA_ECOLI			2	2	2			
P18390	1	1	1	1	0	0	0	4	G	YJJA_ECOLI	0.65	2	2	2	2			
P18956	0	1	1	1	0	1	0	4	G	GGT_ECOLI			2	0	0			
P21503	0	1	1	1	0	0	0	3	B	YCAD_ECOLI			2	0	0			
P23256	0	1	1	1	0	0	0	3	B	MALY_ECOLI			2	2	2			
P23524	0	1	1	1	0	1	0	4	B	GLXK2_ECOLI			2	0	2			
P23898	0	1	1	1	1	0	0	4	I	NLPC_ECOLI			2	2	2	0		
P25527	0	1	1	1	1	0	0	4	B	GABP_ECOLI			0	2	0	0		
P25718	0	1	1	1	0	0	0	3	G	AMY1_ECOLI			2	2	2			
P25743	0	1	1	1	0	0	0	3	B	YCHE_ECOLI			0	0	0			
P26458	0	1	1	1	0	0	0	3	B	APPB_ECOLI			0	0	0			
P27297	0	1	1	1	0	0	0	3	G	BAX_ECOLI			2	2	2			
P27844	0	1	1	1	1	0	0	4	B	RARD_ECOLI			2	0	2	0		
P28696	0	1	1	1	0	0	0	3	G	YAAI_ECOLI			0	0	0			
P29744	0	1	1	1	1	0	0	4	F4	FLGL_ECOLI			2	2		0		
P30136	0	1	1	1	0	0	0	3	B	THIC_ECOLI			2	0	0			
P30143	0	1	1	1	0	0	0	3	B	YAAJ_ECOLI			2	2	2			
P31125	0	1	1	1	0	0	0	3	B	EAMA_ECOLI			2	2	2			
P31133	0	1	1	1	1	0	0	4	G	POTF_ECOLI			2	2		0		
P31435	0	1	1	1	0	0	0	3	B	YICJ_ECOLI			0	0	0			
P31440	0	1	1	1	0	0	0	3	B	YICO_ECOLI			0	0	0			
P31462	0	1	1	1	0	0	0	3	B	MDTL_ECOLI			2	0	0			
P31474	0	1	1	1	0	0	0	3	B	HSRA_ECOLI			2	2	2			
P31553	0	1	1	1	0	0	0	3	B	CAIT_ECOLI			0	0	0			
P31679	0	1	1	1	0	0	0	3	B	YAAU_ECOLI			0	0	0			
P32057	0	1	1	1	0	0	0	3	B	WCAI_ECOLI			2	2	0			
P32108	0	1	1	1	0	0	0	3	B	YIBI_ECOLI			0	0	0			
P32125	0	1	1	1	0	1	0	4	B	MOBB_ECOLI			2	1			1.711740891	
P32670	0	1	1	1	0	0	0	3	F1	PTFX2_ECOLI			2	2	2			
P32676	0	1	1	1	1	0	0	4	F1	PTFB3_ECOLI			0	0	0	0		
