Accession	Entry name	Gene Name	ABS_CALL	ABS_CALL	Info
P17854	CYSH_ECOLI	cysH	0	A	Not Expressed at LB
P38038	CYSJ_ECOLI	cysJ	0	A	Not Expressed at LB
P16701	CYST_ECOLI	cysU	0	A	Not Expressed at LB
P0AEB0	CYSW_ECOLI	cysW	0	A	Not Expressed at LB
P0AEE8	DMA_ECOLI	dam	0	A	Not Expressed at LB
P0ABP6	DEDA_ECOLI	dedA	0	A	Not Expressed at LB
P0ACK5	DEOR_ECOLI	deoR	0	A	Not Expressed at LB
P0ABN1	KDGL_ECOLI	dgkA	0	A	Not Expressed at LB
P09557	DICB_ECOLI	dicB	0	A	Not Expressed at LB
P06965	DICC_ECOLI	dicC	0	A	Not Expressed at LB
P0ABR1	DINI_ECOLI	dinI	0	A	Not Expressed at LB
Q47150	DINJ_ECOLI	dinJ	0	A	Not Expressed at LB
P18776	DMSB_ECOLI	dmsB	0	A	Not Expressed at LB
P18777	DMSC_ECOLI	dmsC	0	A	Not Expressed at LB
P0AEZ7	MLTD_ECOLI	dniR	0	A	Not Expressed at LB
P0AEF8	DPPB_ECOLI	dppB	0	A	Not Expressed at LB
P0AEG1	DPPC_ECOLI	dppC	0	A	Not Expressed at LB
P0AA86	DSBE_ECOLI	dsbE	0	A	Not Expressed at LB
P46068	DSDC_ECOLI	dsdC	0	A	Not Expressed at LB
P08555	DSDX_ECOLI	dsdX	0	A	Not Expressed at LB
P0AEG8	DSRB_ECOLI	dsrB	0	A	Not Expressed at LB
P36943	EAEH_ECOLI	eaeH	0	A	Not Expressed at LB
P0AC73	EBGC_ECOLI	ebgC	0	A	Not Expressed at LB
P33128	ECPD_ECOLI	ecpD	0	A	Not Expressed at LB
P52600	EMRY_ECOLI	emrY	0	A	Not Expressed at LB
P25736	END1_ECOLI	endA	0	A	Not Expressed at LB
P19925	ENTD_ECOLI	entD	0	A	Not Expressed at LB
P10378	ENTE_ECOLI	entE	0	A	Not Expressed at LB
P0ACT2	ENVR_ECOLI	envR	0	A	Not Expressed at LB
P10805	ENVY_ECOLI	envY	0	A	Not Expressed at LB
P39176	ERFK_ECOLI	erfK	0	A	Not Expressed at LB
P0ACZ4	EVGA_ECOLI	evgA	0	A	Not Expressed at LB
P30855	EVGS_ECOLI	evgS	0	A	Not Expressed at LB
P0ABU7	EXBB_ECOLI	exbB	0	A	Not Expressed at LB
P13669	MNGR_ECOLI	farR	0	A	Not Expressed at LB
P0AEK7	FDNI_ECOLI	fdnI	0	A	Not Expressed at LB
P23484	FECI_ECOLI	fecI	0	A	Not Expressed at LB
P23485	FECR_ECOLI	fecR	0	A	Not Expressed at LB
P0AEL3	FEOA_ECOLI	feoA	0	A	Not Expressed at LB
P0AEL6	FEPB_ECOLI	fepB	0	A	Not Expressed at LB
P23876	FEPD_ECOLI	fepD	0	A	Not Expressed at LB
P26266	FEPE_ECOLI	fepE	0	A	Not Expressed at LB
P13039	FES_ECOLI	fes	0	A	Not Expressed at LB
P20605	FIC_ECOLI	fic	0	A	Not Expressed at LB
P30130	FIMD_ECOLI	fimD	0	A	Not Expressed at LB
P08189	FIMF_ECOLI	fimF	0	A	Not Expressed at LB
P08190	FIMG_ECOLI	fimG	0	A	Not Expressed at LB
P0AEL8	FIMZ_ECOLI	fimZ	0	A	Not Expressed at LB
P68646	FIXX_ECOLI	fixX	0	A	Not Expressed at LB
P75933	FLGA_ECOLI	flgA	0	A	Not Expressed at LB
P0ABX2	FLGC_ECOLI	flgC	0	A	Not Expressed at LB
P0ABX5	FLGG_ECOLI	flgG	0	A	Not Expressed at LB
