Accession	Entry name	GeneName	ppm (100)	ABS_CALL	Type
P0AGD1	SODC_ECOLI	sodC	0	0	Not Expressed at LB
P15373	SOHA_ECOLI	sohA	0	0	Not Expressed at LB
P0ACS2	SOXR_ECOLI	soxR	0	0	Not Expressed at LB
P0A9E2	SOXS_ECOLI	soxS	0	0	Not Expressed at LB
P60651	SPEB_ECOLI	speB	0	0	Not Expressed at LB
P21169	DCOR_ECOLI	speC	0	0	Not Expressed at LB
P39902	SPRT_ECOLI	sprT	0	0	Not Expressed at LB
P05706	PTHA_ECOLI	srlB	0	0	Not Expressed at LB
P0AFZ3	SSPB_ECOLI	sspB	0	0	Not Expressed at LB
P69937	SUGE_ECOLI	sugE	0	0	Not Expressed at LB
P0AFZ5	SULA_ECOLI	sulA	0	0	Not Expressed at LB
P0A840	SURE_ECOLI	surE	0	0	Not Expressed at LB
P0A8U0	SYDP_ECOLI	syd	0	0	Not Expressed at LB
P32669	FSAB_ECOLI	talC	0	0	Not Expressed at LB
P07018	MCP4_ECOLI	tap	0	0	Not Expressed at LB
P0AAD8	TDCC_ECOLI	tdcC	0	0	Not Expressed at LB
P11866	TDCR_ECOLI	tdcR	0	0	Not Expressed at LB
P23331	KITH_ECOLI	tdk	0	0	Not Expressed at LB
P25397	TEHB_ECOLI	tehB	0	0	Not Expressed at LB
P0AGG2	TESB_ECOLI	tesB	0	0	Not Expressed at LB
P30137	THIE_ECOLI	thiE	0	0	Not Expressed at LB
P30140	THIH_ECOLI	thiH	0	0	Not Expressed at LB
P0AD86	LPT_ECOLI	thrL	0	0	Not Expressed at LB
P0A8M3	SYT_ECOLI	thrS	0	0	Not Expressed at LB
P33225	TORA_ECOLI	torA	0	0	Not Expressed at LB
P36662	TORD_ECOLI	torD	0	0	Not Expressed at LB
P38684	TORR_ECOLI	torR	0	0	Not Expressed at LB
P38683	TORT_ECOLI	torT	0	0	Not Expressed at LB
P02338	PRTL_ECOLI	tpr	0	0	Not Expressed at LB
P36673	TRER_ECOLI	treR	0	0	Not Expressed at LB
P23849	TRKG_ECOLI	trkG	0	0	Not Expressed at LB
P0AD92	LPW_ECOLI	trpL	0	0	Not Expressed at LB
P0AG03	UBIX_ECOLI	ubiX	0	0	Not Expressed at LB
P10906	UGPE_ECOLI	ugpE	0	0	Not Expressed at LB
P0AGC0	UHPT_ECOLI	uhpT	0	0	Not Expressed at LB
P05804	BGLR_ECOLI	uidA	0	0	Not Expressed at LB
P0AG11	UMUD_ECOLI	umuD	0	0	Not Expressed at LB
P12295	UNG_ECOLI	ung	0	0	Not Expressed at LB
P0A9Q5	ACCD_ECOLI	usg	0	0	Not Expressed at LB
P0A6L7	UXAB_ECOLI	uxaB	0	0	Not Expressed at LB
P0A8G3	UXAC_ECOLI	uxaC	0	0	Not Expressed at LB
P09184	VSR_ECOLI	vsr	0	0	Not Expressed at LB
P0ACC9	WCAB_ECOLI	wcaB	0	0	Not Expressed at LB
P23841	XAPR_ECOLI	xapR	0	0	Not Expressed at LB
P63235	GADC_ECOLI	xasA	0	0	Not Expressed at LB
P0A8P8	XERD_ECOLI	xerD	0	0	Not Expressed at LB
P37387	XYLF_ECOLI	xylF	0	0	Not Expressed at LB
P0AGI4	XYLH_ECOLI	xylH	0	0	Not Expressed at LB
P0AES6	GYRB_ECOLI	acrB	0	0	Not Detectable Signal
P42910	PTPC1_ECOLI	agaC	0	0	Not Detectable Signal
P0AEC3	ARCB_ECOLI	arcB	0	0	Not Detectable Signal
P0ABJ9	CYDA_ECOLI	cydA	0	0	Not Detectable Signal
P24228	DACB_ECOLI	dacB	0	0	Not Detectable Signal
P0A8J2	DNAT_ECOLI	dnaT	0	0	Not Detectable Signal
P0AEJ2	ENTC_ECOLI	entC	0	0	Not Detectable Signal
P11454	ENTF_ECOLI	entF	0	0	Not Detectable Signal
P38506	XNI_ECOLI	exo	0	0	Not Detectable Signal
P0ADF0	LPFS_ECOLI	fruL	0	0	Not Detectable Signal
P62522	LPID_ECOLI	ilvL	0	0	Not Detectable Signal
P0AD79	LPL_ECOLI	leuL	0	0	Not Detectable Signal
P62623	ISPH_ECOLI	lytB	0	0	Not Detectable Signal
P0AD72	LPF_ECOLI	pheL	0	0	Not Detectable Signal
P0AFJ1	PHNA_ECOLI	phnA	0	0	Not Detectable Signal
P31135	POTH_ECOLI	potH	0	0	Not Detectable Signal
P09546	PUTA_ECOLI	putA	0	0	Not Detectable Signal
P04982	RBSD_ECOLI	rbsD	0	0	Not Detectable Signal
P27127	RFAB_ECOLI	rfaB	0	0	Not Detectable Signal
P0A8J8	RHLB_ECOLI	rhlB	0	0	Not Detectable Signal
P0ADF3	LPRH_ECOLI	rhoL	0	0	Not Detectable Signal
P69054	DHSC_ECOLI	sdhC	0	0	Not Detectable Signal
P14081	SELB_ECOLI	selB	0	0	Not Detectable Signal
P0ACQ7	TDCA_ECOLI	tdcA	0	0	Not Detectable Signal
P0AD89	LPTN_ECOLI	tnaL	0	0	Not Detectable Signal
P0A940	YAET_ECOLI	b0177	0	0	Not Detectable Signal
P77162	YKFB_ECOLI	b0250	0	0	Not Detectable Signal
P77596	YAGF_ECOLI	b0269	0	0	Not Detectable Signal
P77713	YAGH_ECOLI	b0271	0	0	Not Detectable Signal
P77802	YAGX_ECOLI	b0291	0	0	Not Detectable Signal
Q2EEQ3	YAHH_ECOLI	b0322	0	0	Not Detectable Signal
P77239	CUSB_ECOLI	b0574	0	0	Not Detectable Signal
P77559	YNFL_ECOLI	b1595	0	0	Not Detectable Signal
P64508	YOBF_ECOLI	b1824	0	0	Not Detectable Signal
P76347	YEEJ_ECOLI	b1978	0	0	Not Detectable Signal
P38097	YEGE_ECOLI	b2067	0	0	Not Detectable Signal
P76407	YEGS_ECOLI	b2086	0	0	Not Detectable Signal
P0CF70	INSE5_ECOLI	b2088	0	0	Not Detectable Signal
P0A991	ALF1_ECOLI	b2097	0	0	Not Detectable Signal
P76481	YFBK_ECOLI	b2270	0	0	Not Detectable Signal
P0AFU2	YFBS_ECOLI	b2292	0	0	Not Detectable Signal
P52129	YFJN_ECOLI	b2630	0	0	Not Detectable Signal
P52137	YFJV_ECOLI	b2641	0	0	Not Detectable Signal
Q46787	YGEG_ECOLI	b2851	0	0	Not Detectable Signal
Q46811	YGFK_ECOLI	b2878	0	0	Not Detectable Signal
P64606	MLAE_ECOLI	b3194	0	0	Not Detectable Signal
P32106	YIBG_ECOLI	b3596	0	0	Not Detectable Signal
P0AFV0	YIBH_ECOLI	b3597	0	0	Not Detectable Signal
P03061	LPIV_ECOLI	b3672	0	0	Not Detectable Signal
P31447	YIDJ_ECOLI	b3678	0	0	Not Detectable Signal
P0ADM6	YIDX_ECOLI	b3696	0	0	Not Detectable Signal
P0A8Y5	YIDA_ECOLI	b3697	0	0	Not Detectable Signal
P25714	OXAA_ECOLI	b3705	0	0	Not Detectable Signal
P0AAA9	ZRAP_ECOLI	b4002	0	0	Not Detectable Signal
P39336	YJGL_ECOLI	b4253	0	0	Not Detectable Signal
P39353	YJHC_ECOLI	b4280	0	0	Not Detectable Signal
