ID REF	VALUE	ABS_CALL
IG 61 111434 113443 fwd at	154.411	0
b0100 at	483.495	2
yacG b0101 at	170.795	2
yacF b0102 at	344.08	2
yacE b0103 at	306.047	
IG 62 113220 114406 rev at	834.177	2
guaC b0104 at	803.222	2
b0105 at	137.283	
IG 63 114488 118732 fwd at	265.262	2
hofC b0106 at	670.788	
hofB b0107 at	361.821	0
ppdD b0108 at	126.526	0
IG 64 117550 117751 rev at	843.212	0
nadC b0109 at	230.388	
IG 65 118646 120177 rev at	928.006	2
ampD b0110 at	333.252	2
ampE b0111 at	346.945	2
IG 66 120136 122091 fwd at	447.064	0
aroP b0112 at	815.816	2
IG 67 121552 129406 rev at	862.363	2
pdhR b0113 at	630.724	2
IG 68 122857 123016 fwd at	450.495	2
aceE b0114 at	2509.54	2
aceF b0115 at	2004.71	2
IG 69 127588 127911 fwd f at	3184.06	2
lpdA b0116 at	1461.95	2
IG 70 129337 131614 fwd at	365.572	
yacH b0117 at	713.226	2
IG 71 131261 134787 rev at	548.309	0
acnB b0118 at	732.961	2
IG 72 134213 134339 fwd at	272.875	2
yacL b0119 at	731.429	2
IG 73 134751 137082 fwd at	107.229	2
speD b0120 at	490.611	2
speE b0121 at	400.498	2
IG 74 136465 136569 rev at	780.938	2
yacC b0122 at	365.538	2
IG 75 137041 138834 rev at	234.148	0
yacK b0123 at	713.371	2
IG 76 138634 141418 fwd at	212.847	0
gcd b0124 at	546.269	0
IG 77 141226 142007 rev f at	290.659	
hpt b0125 at	415.033	2
IG 78 141968 142778 fwd f at	142.888	2
yadF b0126 at	441.225	2
IG 79 142671 146313 rev at	476.934	2
yadG b0127 at	356.412	2
yadH b0128 at	184.991	2
IG 80 144473 144576 fwd at	691.775	2
yadI b0129 at	214.392	2
IG 81 145018 145080 fwd at	635.457	2
yadE b0130 at	103.475	2
IG 82 146311 146967 fwd at	972.583	0
panD b0131 at	533.297	2
IG 83 146695 147943 rev at	969.253	
yadD b0132 at	889.501	2
IG 84 147871 162059 fwd at	715.146	2
panC b0133 at	343.125	2
panB b0134 at	656.054	2
IG 85 149602 149714 rev at	726.244	
yadC b0135 at	687.829	
IG 86 150954 151002 rev at	258.569	0
yadK b0136 at	371.019	0
yadL b0137 at	893.626	0
yadM b0138 at	517.516	0
htrE b0139 at	620.363	0
IG 87 155427 155460 rev at	171.029	0
ecpD b0140 at	12.745	0
IG 88 156202 156298 rev at	-0.838956	0
yadN b0141 at	253.438	0
IG 89 156884 157252 rev at	162.676	0
folK b0142 at	666.765	2
pcnB b0143 at	381.783	2
IG 90 159094 159185 rev at	529.363	2
yadB b0144 at	387.947	0
IG 91 160113 160148 rev at	335.082	2
dksA b0145 at	988.957	2
IG 92 160605 160781 rev at	1519.05	2
sfsA b0146 at	1106.01	2
yadP b0147 at	202.312	
IG 93 162041 173601 rev at	751.662	
hrpB b0148 at	341.823	2
IG 94 164535 164729 fwd at	187.889	2
mrcB b0149 at	360.052	0
IG 95 167265 167483 fwd at	492.075	2
fhuA b0150 at	940.861	2
IG 96 169728 169777 fwd at	573.943	2
fhuC b0151 at	119.031	2
fhuD b0152 at	144.629	0
fhuB b0153 at	407.506	2
IG 97 173445 175106 fwd at	166.365	2
hemL b0154 at	249.914	
IG 98 174883 177000 rev at	76.741	2
yadQ b0155 at	294.171	2
IG 99 176529 176609 fwd at	841.972	2
yadR b0156 at	456.257	2
IG 100 176955 179236 fwd at	41.383	
yadS b0157 at	413.648	0
IG 101 177625 177661 rev at	486.647	1
yadT b0158 at	200.013	0
pfs b0159 at	353.378	2
IG 102 179154 183708 rev at	343.725	2
dgt b0160 at	504.222	0
IG 103 180755 180883 fwd at	145.158	2
htrA b0161 at	141.093	2
IG 104 182309 182444 fwd at	216.876	
yaeG b0162 at	280.336	2
IG 105 183621 189873 fwd at	43.669	2
yaeH b0163 at	801.884	2
IG 106 184096 184256 rev at	369.416	2
yaeI b0164 at	992.552	
b0165 at	165.942	
dapD b0166 at	681.021	2
IG 107 185948 185977 rev at	549.152	2
glnD b0167 at	331.921	2
IG 108 188651 188711 rev at	115.477	0
map b0168 at	535.991	2
IG 109 189507 213677 rev f at	235.612	2
rpsB b0169 at	3603.26	2
IG 110 190600 190856 fwd at	2996.05	2
tsf b0170 at	3099.37	2
IG 111 191709 191854 fwd at	522.075	2
pyrH b0171 at	916.207	2
IG 112 192581 192871 fwd at	1214.32	2
frr b0172 at	978.137	2
IG 113 193430 193520 fwd at	954.928	2
yaeM b0173 at	147.573	2
IG 114 194718 194902 fwd at	281.901	2
yaeS b0174 at	378.547	2
IG 115 195665 195784 fwd at	218.5	2
cdsA b0175 at	186.043	2
yaeL b0176 at	693.368	2
yaeT b0177 at	947.872	2
IG 116 200361 200481 fwd at	2663.08	2
hlpA b0178 at	2470.73	2
lpxD b0179 at	915.8	2
IG 117 201997 202100 fwd at	847.788	2
fabZ b0180 at	840.642	2
lpxA b0181 at	522.009	2
lpxB b0182 at	178.645	2
rnhB b0183 at	442.48	2
IG 118 205090 205125 fwd at	107.358	2
dnaE b0184 at	664.705	2
accA b0185 at	501.962	2
IG 119 209581 209678 fwd at	683.086	2
ldcC b0186 at	319.83	
yaeR b0187 at	170.426	2
IG 120 212267 212330 fwd at	109.994	2
mesJ b0188 at	411.684	2
IG 121 213630 214290 fwd f at	316.514	2
yaeO b0189 at	238.391	
IG 122 213939 216178 rev at	728.825	2
yaeQ b0190 at	408.224	2
yaeJ b0191 at	537.324	2
cutF b0192 at	176.083	2
IG 123 215980 222832 fwd at	298.739	2
yaeF b0193 at	394.186	0
proS b0194 at	777.357	2
IG 124 218776 218886 rev at	790.911	2
yaeB b0195 at	177.575	2
rcsF b0196 at	638.778	2
IG 125 219996 220112 rev at	224.346	2
yaeC b0197 at	457.274	2
IG 126 220929 220967 rev at	178.45	2
yaeE b0198 at	308.899	2
abc b0199 at	153.854	0
IG 127 222646 229966 rev f at	92.482	2
yaeD b0200 at	620.691	2
IG 128 223409 223770 fwd f at	474.58	2
rrsH b0201 f at	10838.5	2
IG 129 225313 225380 fwd s at	2113.68	2
IG 130 225458 225499 fwd s at	857.584	1
IG 131 225576 225758 fwd f at	5672.14	2
rrlH b0204 s at	13361.4	2
IG 132 228663 228755 fwd f at	3104.3	2
rrfH b0205 s at	16021.6	2
IG 133 228876 228927 fwd s at	539.718	2
aspU b0206 s at	771.553	2
IG 134 229005 229166 fwd at	842.284	0
yafB b0207 at	127.571	2
yafC b0208 at	78.088	2
IG 135 229971 231121 fwd at	938.671	
IG 136 230882 232596 rev at	-0.660851	0
yafD b0209 at	176.147	0
yafE b0210 at	155.715	
IG 137 232550 234797 fwd at	125.067	0
dniR b0211 at	183.337	
IG 138 233956 234026 rev at	247.374	2
gloB b0212 at	134.858	2
yafS b0213 at	237.016	2
rnhA b0214 at	346.344	2
IG 139 235539 236066 fwd at	182.13	2
IG 140 236003 238745 rev at	205.942	2
dnaQ b0215 at	296.547	2
IG 141 236799 236930 fwd at	819.785	2
aspV b0216 s at	959.504	2
IG 142 237008 237334 fwd at	247.01	2
yafT b0217 at	306.801	0
IG 143 238121 240342 fwd at	125.186	
yafU b0218 at	250.339	0
IG 144 239085 239418 rev f at	658.423	2
yafV b0219 at	160.558	2
IG 145 240190 240858 rev at	244.112	0
ykfE b0220 at	196.555	2
IG 146 240817 243542 fwd at	176.026	0
yafH b0221 at	792.869	
IG 147 243340 245064 rev at	125.114	2
gmhA b0222 at	551.778	2
IG 148 244122 244326 fwd at	535.124	2
yafJ b0223 at	467.269	2
yafK b0224 at	413.879	2
IG 149 245095 246711 fwd at	686.047	2
IG 150 245806 245960 rev at	248.311	2
yafQ b0225 at	203.433	2
dinJ b0226 at	317.489	2
IG 151 246503 248357 rev f at	581.588	2
yafL b0227 at	159.84	0
IG 152 247462 247636 fwd at	185.343	0
yafM b0228 at	194.103	2
IG 153 248135 250041 fwd f at	108.107	2
fhiA b0229 at	75.042	0
mbhA b0230 at	722.043	0
IG 154 250098 254258 rev f at	302.986	2
IG 155 250828 250897 fwd at	109.871	
dinP b0231 at	816.527	0
IG 156 251954 252004 fwd at	576.576	2
yafN b0232 at	565.728	
yafO b0233 at	922.873	2
yafP b0234 at	102.85	
IG 157 253162 253466 fwd f at	462.583	0
b0235 at	399.796	0
prfH b0236 at	502.495	0
IG 158 254203 255976 fwd at	153.9	0
pepD b0237 at	752.961	2
IG 159 255717 258268 rev f at	974.996	2
gpt b0238 at	484.832	2
IG 160 256436 256526 fwd at	107.949	0
yafA b0239 at	339.329	2
IG 161 257772 257828 fwd at	137.006	2
crl b0240 at	381.756	2
IG 162 258231 259611 fwd f at	131.656	2
phoE b0241 at	904.732	2
IG 163 259325 262551 rev at	195.538	
proB b0242 at	250.819	2
proA b0243 at	125.914	2
IG 164 261981 262094 fwd at	231.029	2
thrW b0244 f at	962.856	2
IG 165 262171 269465 fwd at	964.968	2
b0245 at	475.271	0
yafW b0246 at	451.464	0
IG 166 263232 263479 rev at	189.727	
ykfG b0247 at	107.737	0
yafX b0248 at	787.022	0
IG 167 264431 264527 rev at	15.328	2
ykfF b0249 at	193.836	2
IG 168 264768 264843 rev at	42.438	0
ykfB b0250 at	137.482	
yafY b0251 at	92.911	2
IG 169 266192 266407 rev at	298.292	0
yafZ b0252 at	106.733	0
IG 170 267245 267320 rev at	935.206	0
ykfA b0253 at	368.363	0
IG 171 268188 268512 rev at	466.741	0
perR b0254 at	177.583	2
IG 172 269407 273324 rev at	270.279	2
yi91a b0255 at	257.304	0
IG 173 270979 271053 fwd at	109.863	2
b0257 at	100.564	2
IG 174 271480 272085 fwd at	970.296	2
ykfC b0258 at	156.967	0
IG 175 273217 274524 fwd at	301.967	0
IG 176 274342 276979 rev at	814.338	2
ykfD b0260 at	121.543	0
yagD b0261 at	425.536	
IG 177 276872 281480 fwd f at	133.362	2
afuC b0262 at	179.717	0
b0263 at	128.707	0
insA 2 b0265 s at	406.443	2
IG 178 279100 279608 rev f at	206.992	2
yagB b0266 at	675.622	2
IG 179 279987 280052 rev f at	762.967	2
yagA b0267 at	175.455	
IG 180 281208 287627 rev at	179.949	0
yagE b0268 at	180.279	2
yagF b0269 at	334.199	2
IG 181 284393 284618 fwd at	304.053	2
yagG b0270 at	283.928	0
yagH b0271 at	210.8	0
IG 182 287624 290723 fwd f at	59.641	0
yagI b0272 at	241.571	0
IG 183 288387 288524 rev at	52.895	2
argF b0273 at	400.949	0
IG 184 289530 289872 rev at	276.631	2
IG 185 290571 291545 rev at	397.263	
yagJ b0276 at	145.503	2
IG 186 291456 302214 fwd f at	212.853	2
yagK b0277 at	479.003	2
IG 187 292173 292443 rev at	294.386	0
yagL b0278 at	463.041	0
yagM b0279 at	945.738	
IG 188 294024 294362 rev at	369.111	2
yagN b0280 at	496.245	2
IG 189 294804 294919 rev at	292.603	2
intF b0281 at	100.687	2
IG 190 296321 296604 rev at	-794.566	0
yagP b0282 at	448.813	2
yagQ b0283 at	92.109	0
yagR b0284 at	141.836	0
yagS b0285 at	149.48	0
yagT b0286 at	705.262	0
IG 191 301798 303076 rev at	204.456	
yagU b0287 at	136.059	2
IG 192 302830 311335 fwd at	397.443	0
ykgJ b0288 at	322.756	
IG 193 303407 303718 rev at	220.478	2
yagV b0289 at	235.674	0
yagW b0290 at	121.496	2
yagX b0291 at	319.429	0
yagY b0292 at	886.768	0
IG 194 309251 309307 rev at	843.373	0
yagZ b0293 at	276.394	0
IG 195 309896 309969 rev at	182.117	0
ykgK b0294 at	370.773	0
IG 196 310561 311737 rev at	44.878	
ykgL b0295 at	275.537	2
IG 197 311564 313580 fwd at	728.436	0
ykgM b0296 at	313.164	0
IG 198 312002 315673 rev f at	410.581	2
eaeH b0297 at	134.332	
ykgA b0300 f at	403.76	2
IG 199 315678 317525 fwd at	11.8	0
IG 200 316394 316949 rev at	981.561	0
ykgB b0301 at	109.195	0
b0302 at	879.937	0
ykgI b0303 at	17.378	0
IG 201 317796 319450 fwd at	133.528	0
IG 202 317807 317899 rev at	402.995	0
ykgC b0304 at	310.918	0
IG 203 319253 323631 rev at	83.763	
ykgD b0305 at	136.669	
IG 204 320306 320831 fwd at	336.088	
ykgE b0306 at	1248.93	2
ykgF b0307 at	254.514	
ykgG b0308 at	292.854	2
b0309 at	-304.883	0
IG 205 323678 328686 fwd at	130.376	0
IG 206 323845 323919 rev at	658.566	0
ykgH b0310 at	531.318	0
IG 207 324589 324800 rev at	139.739	0
betA b0311 at	818.685	0
betB b0312 at	436.605	0
betI b0313 at	269.521	0
IG 208 328559 332724 rev at	192.846	2
betT b0314 at	226.926	0
IG 209 330721 331594 fwd at	136.055	0
yahA b0315 at	184.674	0
IG 210 332684 334503 fwd at	214.285	0
yahB b0316 at	802.103	0
IG 211 333658 333748 rev at	981.788	0
yahC b0317 at	171.796	0
IG 212 334247 344889 rev f at	403.326	0
yahD b0318 at	236.493	0
IG 213 335110 335148 fwd at	277.382	0
yahE b0319 at	181.626	0
yahF b0320 at	330.486	0
yahG b0321 at	179.594	0
yahH b0322 f at	405.749	0
IG 214 339314 339388 fwd at	409.298	0
yahI b0323 at	167.242	0
yahJ b0324 at	1641.99	0
IG 215 341732 342107 fwd at	287.197	0
yahK b0325 at	763.836	
IG 216 343158 343399 fwd at	78.759	0
yahL b0326 at	200.631	0
IG 217 344216 344597 fwd at	176.215	0
yahM b0327 at	184.727	0
IG 218 344874 345707 fwd at	35.455	0
yahN b0328 at	728.305	0
IG 219 345562 346080 rev at	358.388	0
yahO b0329 at	760.473	0
IG 220 345984 347905 fwd at	253.023	0
prpR b0330 at	812.949	0
IG 221 347668 348741 rev at	522.929	0
prpB b0331 at	123.129	
b0332 at	114.553	
IG 222 348797 349235 fwd at	30.339	0
IG 223 349189 357014 rev f at	181.667	0
prpC b0333 at	105.505	0
prpD b0334 at	810.851	0
IG 224 351891 351929 fwd at	165.1	0
prpE b0335 at	340.259	0
IG 225 353817 354145 fwd at	458.248	0
codB b0336 at	225.768	0
codA b0337 at	778.868	
IG 226 356679 358022 fwd f at	588.456	0
cynR b0338 at	198.68	
IG 227 357915 360472 rev at	820.204	0
cynT b0339 at	234.493	
cynS b0340 at	112.72	0
IG 228 359184 359215 fwd at	15.019	0
cynX b0341 at	235.707	0
IG 229 360371 367834 fwd at	153.505	0
lacA b0342 at	131.191	0
IG 230 361085 361149 rev at	-106.322	0
lacY b0343 at	296.008	0
IG 231 362404 362454 rev at	738.979	0
lacZ b0344 at	371.685	
IG 232 365530 365651 rev at	559.868	
lacI b0345 at	111.102	0
IG 233 366735 366810 rev at	842.295	0
mhpR b0346 at	329.191	0
IG 234 367759 376758 rev f at	968.238	2
mhpA b0347 at	121.576	
mhpB b0348 at	143.154	0
mhpC b0349 at	339.326	
mhpD b0350 at	821.157	0
mhpF b0351 at	415.411	
mhpE b0352 at	264.637	0
IG 235 374106 374637 fwd f at	106.716	0
mhpT b0353 at	286.082	0
yaiL b0354 at	562.724	2
IG 236 376536 380529 fwd f at	147.462	2
yaiM b0355 at	130.108	2
IG 237 377593 377685 rev at	223.667	2
adhC b0356 at	981.843	2
IG 238 378796 378829 rev at	710.982	2
yaiN b0357 at	622.803	2
IG 239 379127 379292 rev at	19.983	
yaiO b0358 at	130.393	0
b0359 at	314.056	0
yi21 1 b0360 s at	211.5	2
yi22 1 b0361 s at	373.273	2
b0362 at	159.218	
IG 240 381804 384398 fwd at	765.297	0
yaiP b0363 at	960.237	0
IG 241 383160 383282 rev at	467.733	0
yaiS b0364 at	162.757	0
IG 242 383694 387976 rev at	333.076	0
tauA b0365 at	921.766	0
tauB b0366 at	73.233	
tauC b0367 at	150.049	
tauD b0368 at	779.988	0
IG 243 387871 389474 fwd at	108.853	0
hemB b0369 at	618.945	2
IG 244 388985 389120 rev at	-248.225	0
b0370 at	240.573	0
IG 245 389391 390962 rev f at	204.876	0
yaiT b0371 at	817.742	2
IG 246 390936 392238 fwd at	267.994	0
tra5 1 b0372 s at	134.823	2
b0373 s at	872.704	2
IG 247 392135 394353 rev f at	822.258	
yaiU b0374 at	621.851	0
IG 248 393643 393684 fwd at	185.035	
yaiV b0375 at	113.277	0
yaiH b0376 at	982.564	2
IG 249 394354 395862 fwd at	110.939	
IG 250 395512 398248 rev at	835.126	0
sbmA b0377 at	888.786	0
yaiW b0378 at	232.827	0
IG 251 398191 398684 fwd at	653.731	2
b0379 at	712.887	0
IG 252 398558 399052 rev at	896.788	0
b0380 at	222.313	2
IG 253 399030 400609 fwd at	436.266	0
ddlA b0381 at	299.133	2
IG 254 400148 404058 rev at	209.223	
yaiB b0382 at	436.471	2
IG 255 400871 400901 fwd at	143.185	2
phoA b0383 at	123.32	0
IG 256 402387 402486 fwd at	57.866	0
psiF b0384 at	496.527	2
IG 257 402826 402926 fwd at	390.566	0
yaiC b0385 at	643.863	0
proC b0386 at	296.201	
yaiI b0387 at	239.085	2
IG 258 404869 408331 rev at	436.461	
IG 259 405447 405628 fwd at	272.244	2
aroL b0388 at	268.749	2
IG 260 406154 406202 fwd at	172.866	2
yaiA b0389 at	105.803	2
IG 261 406395 406651 fwd at	708.982	
aroM b0390 at	777.415	2
IG 262 407330 407400 fwd at	1394.61	2
yaiE b0391 at	738.246	2
IG 263 407686 407892 fwd at	123.198	2
b0392 at	844.117	0
IG 264 408175 409229 fwd at	33.518	
yaiD b0393 at	331.225	2
yajF b0394 at	401.12	2
b0395 f at	222.23	2
IG 265 410498 416365 fwd at	399.897	2
araJ b0396 at	359.713	0
IG 266 411706 411830 rev at	913.913	2
sbcC b0397 at	103.854	2
sbcD b0398 at	155.105	2
IG 267 416177 423560 rev at	351.974	
phoB b0399 at	139.262	0
IG 268 417056 417112 fwd at	288.051	2
phoR b0400 at	453.731	0
IG 269 418409 418814 fwd at	202.532	2
brnQ b0401 at	137.563	2
IG 270 420135 420209 fwd at	593.912	0
proY b0402 at	143.301	2
IG 271 421584 421738 fwd at	307.161	0
malZ b0403 at	219.415	2
IG 272 423557 424234 fwd at	161.593	2
yajB b0404 at	484.257	
IG 273 424143 430352 rev at	188.203	2
queA b0405 at	195.585	2
IG 274 425306 425360 fwd at	186.712	2
tgt b0406 at	678.22	2
yajC b0407 at	1205.22	2
secD b0408 at	529.096	2
secF b0409 at	302.774	2
IG 275 429701 429828 fwd at	129.614	2
yajD b0410 at	676.745	2
IG 276 430177 432225 fwd at	95.547	2
tsx b0411 at	1289.18	2
IG 277 431238 431535 rev at	274.09	2
yajI b0412 at	718.578	0
IG 278 432136 436384 rev at	316.677	2
ybaD b0413 at	877.516	2
ribD b0414 at	671.767	2
IG 279 433783 433870 fwd at	1262.09	2
ribH b0415 at	776.332	2
nusB b0416 at	943.914	2
IG 280 434781 434857 fwd at	150.356	2
thiL b0417 at	123.589	2
pgpA b0418 at	303.804	2
IG 281 436332 440772 fwd f at	341.666	2
yajO b0419 at	851.856	2
IG 282 437432 437538 rev at	840.143	2
dxs b0420 at	280.816	2
ispA b0421 at	518.757	2
xseB b0422 at	960.544	2
IG 283 440568 442274 rev at	532.079	2
yajK b0423 at	198.264	2
IG 284 442222 443888 fwd at	437.636	
thiJ b0424 at	995.468	2
apbA b0425 at	366.327	2
IG 285 443740 444525 rev at	486.419	2
yajQ b0426 at	651.579	2
IG 286 444399 453662 fwd at	616.251	2
yajR b0427 at	105.638	0
IG 287 445897 446038 rev at	238.399	2
cyoE b0428 at	799.495	2
cyoD b0429 at	1868.75	2
cyoC b0430 at	1526.02	2
cyoB b0431 at	1853.1	2
cyoA b0432 at	1464.82	2
IG 288 450835 451293 rev at	285.659	
ampG b0433 at	201.761	2
IG 289 452770 452812 rev at	162.451	
yajG b0434 at	831.628	2
IG 290 453494 464075 rev at	497.878	2
bolA b0435 at	291.016	2
IG 291 454014 454356 fwd at	1814.48	2
tig b0436 at	1263.18	2
IG 292 455656 455900 fwd at	1276.44	2
clpP b0437 at	840.583	2
IG 293 456525 456649 fwd at	1341.8	2
clpX b0438 at	866.715	2
IG 294 457925 458111 fwd at	547.925	2
lon b0439 at	599.208	2
IG 295 460467 460674 fwd at	1147.99	2
hupB b0440 at	1540.64	2
IG 296 460948 461138 fwd at	446.054	2
ybaU b0441 at	357.039	2
IG 297 463011 463160 fwd at	133.995	0
ybaV b0442 at	113.13	
IG 298 463533 463625 fwd at	143.094	
ybaW b0443 at	653.454	0
IG 299 464025 466623 fwd at	110.321	0
ybaX b0444 at	444.231	2
IG 300 464772 464835 rev at	158.559	
ybaE b0445 at	436.096	2
IG 301 466537 473524 rev at	210.887	0
cof b0446 at	338.461	
IG 302 467455 467519 fwd at	152.003	0
ybaO b0447 at	103.511	
mdlA b0448 at	356.958	
mdlB b0449 at	248.484	2
IG 303 471642 471821 fwd at	103.434	0
glnK b0450 at	502.539	0
amtB b0451 at	630.326	0
IG 304 473477 474602 fwd at	701.446	0
tesB b0452 at	100.928	
IG 305 474386 475205 rev at	634.618	0
ybaY b0453 at	511.521	0
IG 306 475176 475647 fwd at	154.025	2
ybaZ b0454 at	274.929	2
IG 307 475596 476290 rev at	765.094	0
ffs b0455 at	3070.88	2
IG 308 475786 475895 fwd at	406.091	0
ybaA b0456 at	226.791	2
IG 309 476250 484984 fwd at	779.408	2
ylaB b0457 at	61.417	2
IG 310 477848 478004 rev at	509.239	2
ylaC b0458 at	475.623	2
IG 311 478515 478590 rev at	114.769	2
ylaD b0459 at	222.878	2
IG 312 479143 479313 rev at	299.701	2
