Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0A6J5	1	1	1	1	0	0	1	5	F1	DADA_ECOLI	2.64	2	2	2				F1
P0A6Q6	1	1	1	1	0	1	1	6	F1	FABZ_ECOLI	4.34	2	2	2	2		2.19319885	F1
P0A6X3	1	1	1	1	0	1	1	6	F1	HFQ_ECOLI	25.05	2	2	2	2		46.07581019	F1
P0A6Y8	1	1	1	1	0	1	1	6	F1	DNAK_ECOLI	10.49	2	2	2	2		15.7662626	F1
P0A6Z3	1	1	1	1	0	0	1	5	F1	HTPG_ECOLI	9.48	2	0	0	0			F1
P0A734	1	1	1	1	0	0	1	5	F1	MINE_ECOLI	1.69	2	2	2	2			F1
P0A754	0	1	1	1	0	0	0	3	F1	KEFF_ECOLI			2	2	2			
P0A756	0	1	1	1	0	0	1	4	F1	KEFG_ECOLI			2	2	2			F1
P0A759	1	1	1	1	0	0	1	5	B	NAGB_ECOLI	1.37	2	2	2	2			B
P0A766	0	1	1	1	0	0	1	4	B	RNFA_ECOLI			2	2				B
P0A7B1	1	1	1	1	0	1	1	6	F1	PPK_ECOLI	1.13	2	2	2	2		2.020893684	F1
P0A7B3	0	1	1	1	0	1	1	5	F1	PPNK_ECOLI			2	2	2			F1
P0A7E1	1	1	1	1	0	0	1	5	F1	PYRD_ECOLI	0.53	2	2	2	2			F1
P0A7E5	1	1	1	1	0	0	1	5	B	PYRG_ECOLI	1.31	2	2	2	2			B
P0A7H3	0	1	1	1	0	1	0	4	B	RECO_ECOLI			2	2	2		1.968372918	
P0A7J0	1	1	1	1	0	1	1	6	F1	RIBB_ECOLI	0.54	2	2	2	2		6.223884359	F1
P0A855	1	1	1	1	0	1	1	6	G	TOLB_ECOLI	2.19	2	2	2	2		3.191147538	G
P0A879	0	1	1	1	0	0	1	4	B	TRPB_ECOLI			2	2	2			B
P0A8R7	0	1	1	1	0	0	1	4	B	YCJF_ECOLI			0	0	0			B
P0A8S5	0	1	1	1	0	0	0	3	B	USPB_ECOLI			2	2				
P0A8U0	0	1	1	1	1	1	1	6	F1	SYDP_ECOLI			2	2	2	0		F1
P0A8X2	0	1	1	1	0	0	1	4	G	YCEI_ECOLI			2	2	2			G
P0A8X4	0	1	1	1	0	1	0	4	G	YCCT_ECOLI			2	2	2			
P0A8Z3	0	1	1	1	0	1	1	5	F1	YBGC_ECOLI			2	2	2		6.66723991	F1
P0A901	1	1	1	1	1	0	1	6	I	BLC_ECOLI	0.34	2	2	2	2	0		I
P0A908	1	1	1	1	0	0	1	5	H	MIPA_ECOLI	2.54	2	2	2	2			H
P0A912	1	1	1	1	0	0	1	5	I	PAL_ECOLI	8.69	2	2	2	2			I
P0A917	0	0	1	1	0	0	1	3	H	OMPX_ECOLI				2	2			H
P0A921	1	1	1	1	0	1	1	6	H	PA1_ECOLI	0.59	2	2	2	2		2.852949206	H
P0A924	0	1	1	1	1	0	1	5	B	PGPB_ECOLI			2	2	2	0		B
P0A935	1	1	1	1	0	1	1	6	I	MLTA_ECOLI	0.46	2	2	1	2		4.574332476	I
P0A937	0	1	1	1	1	0	1	5	I	SMPA_ECOLI			2	2	2	0		I
P0A940	1	1	1	1	1	0	1	6	H	YAET_ECOLI	2.46	2	2	2	2	0		H
P0A996	0	1	1	1	0	1	0	4	F1	GLPC_ECOLI			0	0	2			
P0A9C0	1	1	1	1	0	0	0	4	F1	GLPA_ECOLI		2	0	0	2			
P0A9J4	0	1	1	1	0	0	1	4	G	PANE_ECOLI			2	2	2			G
P0A9K7	1	1	1	1	0	0	1	5	F1	PHOU_ECOLI	0.43	2	2	0				F1
P0A9M5	1	1	1	1	0	0	1	5	F1	XGPT_ECOLI	0.49	2	2	2	2			F1
