K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P0ADY7	253771863	"1,72 | 2,33 | 0,82; |  | 0,07;1,23 | 2,33 | 0,49;0,82 | 0,22 | 0,82;0,22 | 1,23 | "	ECBD_0438	RL16_ECOLI	C6EGF3_ECOBD	1.03	1.72	2.33	0.82			0.07	1.23	2.33	0.49	0.82	0.22	0.82	0.22	1.23	
P0A940	253774796	"0,28 | 0,77 | 0,77; |  | 0,19;0,04 | 0,53 | 1,61;0,33 | 2,47 | 0,38;1,70 | 0,64 | 3,00"	ECBD_3442	YAET_ECOLI	C6EAA8_ECOBD	0.98	0.28	0.77	0.77			0.19	0.04	0.53	1.61	0.33	2.47	0.38	1.7	0.64	3
P0A917	253774183	"0,94 | 0,65 | 0,94; |  | 0,16;3,46 | 1,3 | 0,65;0,65 | 1,30 | 0,94;2,20 | 1,71 | 0,94"	ECBD_2809	OMPX_ECOLI	C6EIW8_ECOBD	1.22	0.94	0.65	0.94			0.16	3.46	1.3	0.65	0.65	1.3	0.94	2.2	1.71	0.94
P75780	253774192	"0,48 | 0,60 | 0,80; |  | 0,12; | 0,48 | 0,42;0,42 | 0,66 | 0,37;0,60 | 0,73 | 0,54"	ECBD_2818	FIU_ECOLI	C6EIX7_ECOBD	0.52	0.48	0.6	0.8			0.12		0.48	0.42	0.42	0.66	0.37	0.6	0.73	0.54
P0A7S9	253771878	"5,40 | 3,02 | 5,40; |  | 0,12;1,01 | 1,53 | 1,53;2,19 |  | 2,19;0,59 | 0,26 | "	ECBD_0453	RS13_ECOLI	C6EGG8_ECOBD	2.11	5.4	3.02	5.4			0.12	1.01	1.53	1.53	2.19		2.19	0.59	0.26	
P0A7V8	253771880	"0,49 | 1,90 | 1,90; | 0,11 | 0,19;0,49 | 1,9 | 0,7;1,54 | 0,49 | 1,54; |  | 0,14"	ECBD_0455	RS4_ECOLI	C6EGH0_ECOBD	0.95	0.49	1.9	1.9		0.11	0.19	0.49	1.9	0.7	1.54	0.49	1.54			0.14
P02413	253771875	"5,30 | 4,13 | 4,13; |  | 0,07;2,41 | 4,13 | 1,78;2,41 | 1,78 | 3,18;0,23 | 1,78 | "	ECBD_0450	RL15_ECOLI	C6EGG5_ECOBD	2.61	5.3	4.13	4.13			0.07	2.41	4.13	1.78	2.41	1.78	3.18	0.23	1.78	
P0A7L0	253775387	"1,14 | 0,88 |  ; | 0,05 | 0,22; | 0,88 | ;2,55 |  | 0,88;0,14 |  | "	ECBD_4049	RL1_ECOLI	C6EE35_ECOBD	0.84	1.14	0.88			0.05	0.22		0.88		2.55		0.88	0.14		
P0A9P6	253772002	"0,20 | 0,81 | 0,98; | 0,31 | ;0,10 |  | 0,26"	ECBD_0578	DEAD_ECOLI	C6EH63_ECOBD	0.44	0.2	0.81	0.98		0.31		0.1		0.26						
P02359	253771833	"4,82 | 13,05 | 5,94; |  | 0,75;0,42 | 8,88 | 0,7;1,88 | 1,41 | 3,09; | 0,70 | 0,19"	ECBD_0408	RS7_ECOLI	C6EGC3_ECOBD	3.49	4.82	13.05	5.94			0.75	0.42	8.88	0.7	1.88	1.41	3.09		0.7	0.19
P31224	253774548	"0,09 | 0,41 | 0,33; |  | 0,03; | 0,09 | 0,25; | 0,41 | 0,12;0,15 | 0,06 | 0,62"	ECBD_3194	ACRB_ECOLI	C6EL02_ECOBD	0.23	0.09	0.41	0.33			0.03		0.09	0.25		0.41	0.12	0.15	0.06	0.62
P0A7R5	253771855	"1,16 | 3,66 | 1,79; | 0,38 | ;1,79 | 1,16 | 3,66;0,29 |  | 0,67"	ECBD_0430	RS10_ECOLI	C6EGE5_ECOBD	1.62	1.16	3.66	1.79		0.38		1.79	1.16	3.66	0.29		0.67			
P0A7Z4	253771881	"1,17 | 2,35 | 0,68; | 0,3 | 0,57; | 0,54 | ;0,41 | 0,54 | ; |  | 0,30"	ECBD_0456	RPOA_ECOLI	C6EGH1_ECOBD	0.76	1.17	2.35	0.68		0.3	0.57		0.54		0.41	0.54				0.3
P0A7K2	253775385	"1,09 | 1,09 | 0,63;0,49 | 0,82 | 0,82; |  | 0,28; | 1,09 | 0,63; | 0,27 | "	ECBD_4047	RL7_ECOLI	C6EE33_ECOBD	0.72	1.09	1.09	0.63	0.49	0.82	0.82			0.28		1.09	0.63		0.27	
P0A905	253773400	"1,67 | 1,67 | 2,95; |  | 0,06;2,95 | 2,25 | 2,25;1,19 | 2,25 | 1,67;3,81 | 4,85 | 1,19"	ECBD_2002	SLYB_ECOLI	C6EDK4_ECOBD	2.21	1.67	1.67	2.95			0.06	2.95	2.25	2.25	1.19	2.25	1.67	3.81	4.85	1.19
P0A7V0	253774804	"0,80 | 0,80 | 1,02; | 0,36 | ;0,26 | 1,88 | 0,42;1,02 | 1,02 | ;0,60 | 0,42 | 0,60"	ECBD_3450	RS2_ECOLI	C6EAB6_ECOBD	0.77	0.8	0.8	1.02		0.36		0.26	1.88	0.42	1.02	1.02		0.6	0.42	0.6
P61175	253771861	"3,42 | 6,25 | 10,91; |  | 0,1;0,28 |  | 0,64;1,69 |  | 4,66; | 0,64 | "	ECBD_0436	RL22_ECOLI	C6EGF1_ECOBD	3.18	3.42	6.25	10.91			0.1	0.28		0.64	1.69		4.66		0.64	
P0A7R9	253771879	"1,39 | 4,73 | 1,98; |  | 0,14; | 1,98 | 0,92;0,92 |  | 1,39; | 0,92 | "	ECBD_0454	RS11_ECOLI	C6EGG9_ECOBD	1.6	1.39	4.73	1.98			0.14		1.98	0.92	0.92		1.39		0.92	
P0A7U7	253774945	"2,42 | 3,65 | 3,65; |  | ; |  | 0,36;3,65 | 5,33 | 1,52; | 1,52 | 0,36"	ECBD_3593	RS20_ECOLI	C6EB30_ECOBD	2.5	2.42	3.65	3.65						0.36	3.65	5.33	1.52		1.52	0.36
P0AG67	253774060	"0,17 | 0,69 | 0,52; | 0,11 | ; | 0,11 | 0,05;0,17 | 0,11 | 0,23"	ECBD_2684	RS1_ECOLI	C6EI71_ECOBD	0.24	0.17	0.69	0.52		0.11			0.11	0.05	0.17	0.11	0.23			
P60723	253771857	"1,69 |   |  ;0,76 | 1,03 | ;1,03 |  | 0,76"	ECBD_0432	RL4_ECOLI	C6EGE7_ECOBD	1.05	1.69			0.76	1.03		1.03		0.76						
P15977	253771755	"0,23 | 0,50 | 0,63; | 0,23 | ;0,18 |  | 0,23; |  | 0,04"	ECBD_0329	MALQ_ECOLI	C6EFF8_ECOBD	0.29	0.23	0.5	0.63		0.23		0.18		0.23			0.04			
P0AE06	253774547	"0,25 | 0,83 | 0,83; |  | 0,05;0,08 | 0,35 | 0,25;0,16 | 1,13 | 0,25;0,46 |  | 0,83"	ECBD_3193	ACRA_ECOLI	C6EL01_ECOBD	0.46	0.25	0.83	0.83			0.05	0.08	0.35	0.25	0.16	1.13	0.25	0.46		0.83
P0AG48	253771980	"1,19 | 3,79 | 2,69; | 0,12 | ; |  | 0,3;1,19 |  | ; | 0,30 | "	ECBD_0556	RL21_ECOLI	C6EH41_ECOBD	1.37	1.19	3.79	2.69		0.12				0.3	1.19				0.3	
P0A7W7	253771870	"  | 1,36 | 1,93; | 0,07 | 0,07; | 3,5 | ; |  | 0,54"	ECBD_0445	RS8_ECOLI	C6EGG0_ECOBD	1.25		1.36	1.93		0.07	0.07		3.5				0.54			
P0A912	253774288	"0,39 | 1,27 | 1,27; |  | 0,61;1,68 | 1,27 | 1,68;0,39 | 4,17 | 1,27;1,27 | 5,09 | 0,64"	ECBD_2919	PAL_ECOLI	C6EJJ6_ECOBD	1.62	0.39	1.27	1.27			0.61	1.68	1.27	1.68	0.39	4.17	1.27	1.27	5.09	0.64
P0ACJ8	253771816	"1,20 | 1,20 | 1,87; | 1,52 | ;1,87 |  | 1,20"	ECBD_0391	CRP_ECOLI	C6EGA6_ECOBD	1.48	1.2	1.2	1.87		1.52		1.87		1.2						
P68767	253775117	"0,50 | 0,59 | 0,41; | 0,33 | ;0,33 |  | 0,26"	ECBD_3776	AMPA_ECOLI	C6EC91_ECOBD	0.4	0.5	0.59	0.41		0.33		0.33		0.26						
P21513	253773892	"0,03 | 0,35 | 0,18; | 0,13 | 0,13; | 0,03 | ;0,03 | 0,09 | 0,12;0,09 | 0,03 | 0,12"	ECBD_2516	RNE_ECOLI	C6EHC9_ECOBD	0.11	0.03	0.35	0.18		0.13	0.13		0.03		0.03	0.09	0.12	0.09	0.03	0.12
P62399	253771868	"2,97 | 2,97 | 1,92; | 0,9 | ;4,39 | 2,97 | 0,58;0,85 | 0,36 | 1,51;0,17 |  | "	ECBD_0443	RL5_ECOLI	C6EGF8_ECOBD	1.78	2.97	2.97	1.92		0.9		4.39	2.97	0.58	0.85	0.36	1.51	0.17		
P0AFI2	253772143	"0,08 | 0,41 | 0,41; | 0,21 | ;0,12 |  | 0,17"	ECBD_0720	PARC_ECOLI	C6EHX4_ECOBD	0.23	0.08	0.41	0.41		0.21		0.12		0.17						
P0ABD5	253774788	"0,43 | 0,31 | 0,71;0,09 |  | "	ECBD_3434	ACCA_ECOLI	C6EAA0_ECOBD	0.39	0.43	0.31	0.71	0.09											
P0AG44	253771882	"1,88 | 3,41 | 1,33; | 0,18 | ;0,89 | 1,88 | 0,89; | 0,53 | 1,33; | 0,23 | "	ECBD_0457	RL17_ECOLI	C6EGH2_ECOBD	1.26	1.88	3.41	1.33		0.18		0.89	1.88	0.89		0.53	1.33		0.23	
P0AEU7	253774795	"1,40 | 0,69 | 0,69;0,16 | 0,56 | 0,35;0,19 | 0,69 | 0,19;0,19 | 1,01 | 0,42;0,69 |  | 0,19"	ECBD_3441	SKP_ECOLI	C6EAA7_ECOBD	0.53	1.4	0.69	0.69	0.16	0.56	0.35	0.19	0.69	0.19	0.19	1.01	0.42	0.69		0.19
P0A7B1	253772607	"  | 0,49 | 0,38; | 0,13 | ;0,22 |  | 0,13"	ECBD_1187	PPK_ECOLI	C6EKL0_ECOBD	0.27		0.49	0.38		0.13		0.22		0.13						
P02358	253775175	"0,50 | 2,35 | 1,74; | 0,05 | 0,1; | 1,24 | 0,5;0,50 | 0,50 | 0,83"	ECBD_3834	RS6_ECOLI	C6ECE9_ECOBD	0.83	0.5	2.35	1.74		0.05	0.1		1.24	0.5	0.5	0.5	0.83			
P0AG90	253774607	"  | 0,54 | 0,40; |  | 0,08;0,16 | 0,62 | 1,27;0,33 | 1,27 | 0,62;0,62 | 0,78 | 0,54"	ECBD_3253	SECD_ECOLI	C6ELH6_ECOBD	0.6		0.54	0.4			0.08	0.16	0.62	1.27	0.33	1.27	0.62	0.62	0.78	0.54
P0AFY8	253774339	"0,58 | 1,49 | 1,14; |  | 0,16"	ECBD_2974	SEQA_ECOLI	C6EJP7_ECOBD	0.84	0.58	1.49	1.14			0.16									
P0A698	253775313	"  | 0,32 | 0,10; |  | ; |  | "	ECBD_3974	UVRA_ECOLI	C6ED66_ECOBD	0.21		0.32	0.1												
P33136	253773927	"0,12 | 0,25 | 0,18; | 0,06 | ; | 0,12 | ;0,06 |  | "	ECBD_2551	OPGG_ECOLI	C6EHG4_ECOBD	0.13	0.12	0.25	0.18		0.06			0.12		0.06					
P0A7T7	253775173	"1,68 | 1,68 | 1,68; |  | 0,14;0,39 |  | ;0,93 |  | 1,68"	ECBD_3832	RS18_ECOLI	C6ECE7_ECOBD	1.17	1.68	1.68	1.68			0.14	0.39			0.93		1.68			
P0ABH9	253774088	"0,16 | 0,36 | 0,31; | 0,34 | ; | 0,36 | ;0,31 | 0,08 | 0,16"	ECBD_2712	CLPA_ECOLI	C6EI99_ECOBD	0.26	0.16	0.36	0.31		0.34			0.36		0.31	0.08	0.16			
P0AA10	253771940	"1,16 | 1,16 | 0,47; | 0,13 | 0,34; | 0,78 | ;0,47 |  | 0,78; |  | 0,21"	ECBD_0516	RL13_ECOLI	C6EH01_ECOBD	0.61	1.16	1.16	0.47		0.13	0.34		0.78		0.47		0.78			0.21
P0ACF0	253775370	"0,86 | 1,54 | 2,47;0,29 | 0,29 | 0,54; | 0,36 | 0,36; |  | 0,36"	ECBD_4032	DBHA_ECOLI	C6EE18_ECOBD	0.79	0.86	1.54	2.47	0.29	0.29	0.54		0.36	0.36			0.36			
P0A7X3	253771941	"1,80 | 2,44 | 2,44; |  | 0,08;1,28 | 2,44 | 1,8;1,28 | 0,51 | 2,44; | 0,23 | "	ECBD_0517	RS9_ECOLI	C6EH02_ECOBD	1.52	1.8	2.44	2.44			0.08	1.28	2.44	1.8	1.28	0.51	2.44		0.23	
P0A7K6	253772500	"1,53 | 3,02 | 4,07; | 0,04 | ; | 1,01 | ;0,59 |  | 1,01; | 0,58 | "	ECBD_1080	RL19_ECOLI	C6EJY6_ECOBD	1.48	1.53	3.02	4.07		0.04			1.01		0.59		1.01		0.58	
P77774	253772594	"  | 0,46 | 0,16; |  | 0,08;0,08 | 0,58 | 0,16;0,08 | 0,46 | 0,08;0,16 | 0,08 | 0,58"	ECBD_1174	YFGL_ECOLI	C6EKJ7_ECOBD	0.25		0.46	0.16			0.08	0.08	0.58	0.16	0.08	0.46	0.08	0.16	0.08	0.58
P0ABB0	253775631	"0,26 | 0,59 | 0,41; | 0,22 | 0,22; | 1,67 | 0,5;1,12 | 1,12 | 0,33;1,52 | 0,12 | 0,50"	ECBD_4298	ATPA_ECOLI	C6EG69_ECOBD	0.66	0.26	0.59	0.41		0.22	0.22		1.67	0.5	1.12	1.12	0.33	1.52	0.12	0.5
