K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P0AC02	253772509	"0,12 | 0,40 | 0,40; | 0,1 | 0,1;0,25 | 0,12 | 0,12; | 1,76 | 0,25;0,40 | 0,12 | 0,76"	ECBD_1089	YFIO_ECOLI	C6EJZ5_ECOBD	0.38	0.12	0.4	0.4		0.1	0.1	0.25	0.12	0.12		1.76	0.25	0.4	0.12	0.76
P0A9X4	253771920	" | 0,67 | 0,09; | 0,04 | 0,04; | 0,82 | 0,09;1,16 | 0,98 | 1,16;0,53 |  | 0,82"	ECBD_0496	MREB_ECOLI	C6EGL0_ECOBD	0.58		0.67	0.09		0.04	0.04		0.82	0.09	1.16	0.98	1.16	0.53		0.82
P39406	253775000	 | 0,29 | 	ECBD_3650	RSMC_ECOLI	C6EBK1_ECOBD	0.29		0.29													
P0ABB4	253775633	"  | 0,14 | 0,56; | 1,43 | 0,46;1,01 | 1,43 | 0,77;1,59 | 0,21 | 1,43"	ECBD_4300	ATPB_ECOLI	C6EG71_ECOBD	0.9		0.14	0.56		1.43	0.46	1.01	1.43	0.77	1.59	0.21	1.43			
P0A6Q6	253774793	"0,43 | 0,43 | 1,47; | 0,13 | 0,23; | 0,22 | ;0,72 |  | 0,43"	ECBD_3439	FABZ_ECOLI	C6EAA5_ECOBD	0.51	0.43	0.43	1.47		0.13	0.23		0.22		0.72		0.43			
P0ADZ7	253774608	"0,29 | 0,29 | 0,66; |  | 0,06;0,29 | 0,66 | 0,66;0,66 | 0,66 | 0,66;0,29 | 1,76 | 0,66"	ECBD_3254	YAJC_ECOLI	C6ELH7_ECOBD	0.58	0.29	0.29	0.66			0.06	0.29	0.66	0.66	0.66	0.66	0.66	0.29	1.76	0.66
P0ABT2	253774185	"0,65 | 2,20 | 0,94; | 1,71 | ;0,94 | 11,09 | 3,46;3,46 |  | 2,78"	ECBD_2811	DPS_ECOLI	C6EIX0_ECOBD	3.03	0.65	2.2	0.94		1.71		0.94	11.09	3.46	3.46		2.78			
P0C018	253771872	"  | 4,28 | 1,04; | 0,1 | 0,28;0,27 |  | ; |  | 1,03"	ECBD_0447	RL18_ECOLI	C6EGG2_ECOBD	1.17		4.28	1.04		0.1	0.28	0.27					1.03			
P0ACJ0	253774082	0,63 | 2,70 | 0,92	ECBD_2706	LRP_ECOLI	C6EI93_ECOBD	1.42	0.63	2.7	0.92												
P0C8J8	253772976	"0,07 | 0,14 | 0,22; | 0,04 | 0,09;0,5 | 0,83 | 0,5;0,71 | 0,60 | 0,71;0,50 | 0,31 | 0,31"	ECBD_1562	GATZ_ECOLI	C6EAL5_ECOBD	0.4	0.07	0.14	0.22		0.04	0.09	0.5	0.83	0.5	0.71	0.6	0.71	0.5	0.31	0.31
P0A6P5	253772595	"  | 0,50 | 0,42; | 0,34 | ;0,50 |  | 0,19"	ECBD_1175	ENGA_ECOLI	C6EKJ8_ECOBD	0.39		0.5	0.42		0.34		0.5		0.19						
P76177	253773440	"0,45 | 0,10 | 0,10; | 0,21 | ;0,10 |  | 0,10; |  | 0,10"	ECBD_2042	YDGH_ECOLI	C6EDP4_ECOBD	0.17	0.45	0.1	0.1		0.21		0.1		0.1			0.1			
P0A932	253773987	"0,11 | 0,30 | 0,24; | 0,24 | 0,37;0,11 | 0,30 | 0,05;0,11 | 0,05 | "	ECBD_2611	GFCE_ECOLI	C6EHM4_ECOBD	0.19	0.11	0.3	0.24		0.24	0.37	0.11	0.3	0.05	0.11	0.05				
P0AGJ5	253772519	0,09 | 0,40 | 0,18	ECBD_1099	YFIF_ECOLI	C6EK05_ECOBD	0.22	0.09	0.4	0.18												
P69411	253774776	"  | 0,52 | 0,23; |  | 0,22;0,23 | 0,23 | 0,23;0,23 | 0,88 | 0,52; | 0,23 | 0,52"	ECBD_3422	RCSF_ECOLI	C6EA88_ECOBD	0.37		0.52	0.23			0.22	0.23	0.23	0.23	0.23	0.88	0.52		0.23	0.52
P75818	253774105	"0,62 | 0,62 | 0,18; | 3,66 | 0,67; | 0,38 | ; | 1,24 | 0,18;0,91 | 0,38 | 0,18"	ECBD_2729	YBJP_ECOLI	C6EIB6_ECOBD	0.82	0.62	0.62	0.18		3.66	0.67		0.38			1.24	0.18	0.91	0.38	0.18
P0ABJ9	253774297	"  | 0,18 | 0,12; |  | 0,07;0,39 | 0,25 | 0,64;0,12 | 0,93 | 0,32;0,32 | 0,47 | 0,55"	ECBD_2928	CYDA_ECOLI	C6EJK5_ECOBD	0.36		0.18	0.12			0.07	0.39	0.25	0.64	0.12	0.93	0.32	0.32	0.47	0.55
P0AG24	253771508	"0,04 | 0,27 | 0,18; | 0,04 | ; |  | 0,08"	ECBD_0075	SPOT_ECOLI	C6EDE0_ECOBD	0.12	0.04	0.27	0.18		0.04				0.08						
P0A7S3	253771832	"  | 0,92 | 1,98;0,3 | 0,68 | 0,68; | 0,55 | ; |  | 0,55"	ECBD_0407	RS12_ECOLI	C6EGC2_ECOBD	0.81		0.92	1.98	0.3	0.68	0.68		0.55				0.55			
P77718	253774592	"  | 0,59 | 0,34; | 0,06 | "	ECBD_3238	THII_ECOLI	C6EL46_ECOBD	0.33		0.59	0.34		0.06										
P60785	253772532	" | 0,05 | 0,10;0,09 | 0,09 | 0,3; | 0,61 | ;0,33 | 0,05 | 0,40;0,15 |  | 0,05"	ECBD_1112	LEPA_ECOLI	C6EK18_ECOBD	0.2		0.05	0.1	0.09	0.09	0.3		0.61		0.33	0.05	0.4	0.15		0.05
P0A903	253772631	"0,19 | 0,29 | 0,41; |  | 0,11; | 0,68 | 0,29; | 0,54 | 0,29;0,41 | 0,19 | 0,41"	ECBD_1212	NLPB_ECOLI	C6EKN4_ECOBD	0.35	0.19	0.29	0.41			0.11		0.68	0.29		0.54	0.29	0.41	0.19	0.41
P0ADY3	253771866	"  | 0,56 | 0,56; | 0,19 | ; | 2,05 | ; | 0,25 | 0,56"	ECBD_0441	RL14_ECOLI	C6EGF6_ECOBD	0.7		0.56	0.56		0.19			2.05			0.25	0.56			
P0AA39	253773891	"  | 1,41 | 0,19; | 0,09 | "	ECBD_2515	RLUC_ECOLI	C6EHC8_ECOBD	0.56		1.41	0.19		0.09										
P0AG59	253771869	"0,68 |   | 0,68; | 0,06 | ;0,3 |  | 0,3;0,68 |  | 0,68"	ECBD_0444	RS14_ECOLI	C6EGF9_ECOBD	0.48	0.68		0.68		0.06		0.3		0.3	0.68		0.68			
P0A927	253774604	"0,21 | 0,21 | 0,10;0,42 | 1,39 | ;0,33 | 0,1 | 0,1;0,10 | 0,33 | ;0,21 | 0,10 | 0,33"	ECBD_3250	TSX_ECOLI	C6ELH3_ECOBD	0.3	0.21	0.21	0.1	0.42	1.39		0.33	0.1	0.1	0.1	0.33		0.21	0.1	0.33
P63177	253775195	"  | 0,12 | 0,42; | 0,12 | ;0,26 |  | 0,26"	ECBD_3854	RLMB_ECOLI	C6ECG9_ECOBD	0.24		0.12	0.42		0.12		0.26		0.26						
P0CB39	253775406	"0,10 | 0,21 | 0,21; | 0,32 | ; | 0,1 | 0,62;0,05 | 0,62 | 0,16;0,16 | 0,27 | 0,10"	ECBD_4069	CPTA_ECOLI	C6EE54_ECOBD	0.24	0.1	0.21	0.21		0.32			0.1	0.62	0.05	0.62	0.16	0.16	0.27	0.1
P24228	253771984	"  | 0,20 | 0,36; |  | 0,13; |  | 0,06"	ECBD_0560	DACB_ECOLI	C6EH45_ECOBD	0.19		0.2	0.36			0.13			0.06						
P0AD65	253774379	"  | 0,15 | 0,15;0,37 | 0,27 | 0,37; | 0,05 | 0,15; |  | 0,15; | 0,09 | "	ECBD_3016	PBP2_ECOLI	C6EK58_ECOBD	0.19		0.15	0.15	0.37	0.27	0.37		0.05	0.15			0.15		0.09	
P05055	253772000	"  | 0,13 | 0,13; | 0,28 | ; | 0,28 | 0,04;0,09 |  | 0,23"	ECBD_0576	PNP_ECOLI	C6EH61_ECOBD	0.17		0.13	0.13		0.28			0.28	0.04	0.09		0.23			
P0ACQ4	253775400	0,20 | 0,10 | 0,58	ECBD_4063	OXYR_ECOLI	C6EE48_ECOBD	0.29	0.2	0.1	0.58												
P37765	253773734	"0,21 |   | 0,62;0,10 |  | "	ECBD_2353	RLUB_ECOLI	C6EFW8_ECOBD	0.31	0.21		0.62	0.1											
P36672	253775134	"  | 0,45 | 0,13; |  | 0,08;0,36 | 0,55 | 0,64;0,28 | 0,55 | 0,45;0,55 | 0,28 | 0,45"	ECBD_3793	PTTBC_ECOLI	C6ECA8_ECOBD	0.4		0.45	0.13			0.08	0.36	0.55	0.64	0.28	0.55	0.45	0.55	0.28	0.45
P24554	253774981	"  | 0,29 | 0,14; | 0,29 | ; |  | 0,14"	ECBD_3631	RADA_ECOLI	C6EBI2_ECOBD	0.22		0.29	0.14		0.29				0.14						
P0ADZ4	253771999	"0,34 | 0,34 | 0,34; | 0,15 | 0,15; |  | 0,34; | 0,34 | 0,79; |  | 0,34"	ECBD_0575	RS15_ECOLI	C6EH60_ECOBD	0.35	0.34	0.34	0.34		0.15	0.15			0.34		0.34	0.79			0.34
P0C0V0	253774811	"  | 0,21 | 0,07;0,07 | 0,14 | ;0,07 | 0,14 | ;0,14 |  | "	ECBD_3457	DEGP_ECOLI	C6EAC3_ECOBD	0.12		0.21	0.07	0.07	0.14		0.07	0.14		0.14					
P0A7A7	253775331	"  | 0,15 | 0,19; | 0,29 | 0,18; | 0,28 | 0,23;0,19 |  | ;0,04 | 0,32 | "	ECBD_3992	PLSB_ECOLI	C6EDX9_ECOBD	0.21		0.15	0.19		0.29	0.18		0.28	0.23	0.19			0.04	0.32	
P0A951	253773460	"  | 0,53 | 0,53;0,15 |  | "	ECBD_2062	ATDA_ECOLI	C6EDR4_ECOBD	0.4		0.53	0.53	0.15											
P23830	253772515	"0,13 | 0,13 | 0,20; | 0,89 | 0,53;0,44 | 0,06 | ; | 0,13 | "	ECBD_1095	PSS_ECOLI	C6EK01_ECOBD	0.31	0.13	0.13	0.2		0.89	0.53	0.44	0.06			0.13				
P75829	253774093	0,18 | 0,09 | 0,28	ECBD_2717	YBJX_ECOLI	C6EIA4_ECOBD	0.18	0.18	0.09	0.28												
P0A7N9	253771523	"  | 0,57 |  ; |  | 0,60"	ECBD_0090	RL33_ECOLI	C6EDF5_ECOBD	0.59		0.57				0.6									
P0ADR6	253772337	0,08 | 0,08 | 0,16	ECBD_0916	RLMM_ECOLI	C6EJ60_ECOBD	0.11	0.08	0.08	0.16												
P0A6X3	253775203	"0,36 |   | 0,36; |  | 0,36"	ECBD_3862	HFQ_ECOLI	C6ECV6_ECOBD	0.36	0.36		0.36			0.36									
P76506	253772730	"0,25 | 0,25 | 0,25;0,14 | 0,36 | 0,42;0,4 | 0,4 | 0,25;0,12 | 0,40 | ;0,12 | 0,40 | 0,25"	ECBD_1311	MLAA_ECOLI	C6ELA7_ECOBD	0.29	0.25	0.25	0.25	0.14	0.36	0.42	0.4	0.4	0.25	0.12	0.4		0.12	0.4	0.25
P08622	253774954	"  | 0,58 | 0,17; | 0,26 | ; |  | 0,17"	ECBD_3604	DNAJ_ECOLI	C6EB39_ECOBD	0.3		0.58	0.17		0.26				0.17						
P0AG51	253771874	"  | 1,39 | 4,71; | 0,08 | "	ECBD_0449	RL30_ECOLI	C6EGG4_ECOBD	2.06		1.39	4.71		0.08										
P77330	253774455	"  | 0,32 | 0,75;0,48 | 0,73 | 1,45; |  | 0,32;0,32 | 0,32 | 0,32;0,32 | 0,32 | 0,75"	ECBD_3098	BORD_ECOLI	C6EKD4_ECOBD	0.53		0.32	0.75	0.48	0.73	1.45			0.32	0.32	0.32	0.32	0.32	0.32	0.75
P37650	253771639	"  | 0,05 | 0,05;0,65 | 0,94 | 1,3; | 0,03 | 0,19; | 0,22 | 0,03;0,13 |  | 0,32"	ECBD_0209	BCSC_ECOLI	C6EEF3_ECOBD	0.36		0.05	0.05	0.65	0.94	1.3		0.03	0.19		0.22	0.03	0.13		0.32
P0AFF2	253772699	"  | 0,08 | 0,08; | 0,41 | 0,41; | 0,08 | 0,16; |  | 0,08;0,08 |  | 0,08"	ECBD_1280	NUPC_ECOLI	C6EL76_ECOBD	0.16		0.08	0.08		0.41	0.41		0.08	0.16			0.08	0.08		0.08
P76170	253773461	"0,26 |   | 0,26;0,65 | 0,98 | 1,36;0,26 |  | ; | 0,26 | 0,26;0,26 | 0,26 | 0,26"	ECBD_2063	YNFB_ECOLI	C6EDR5_ECOBD	0.46	0.26		0.26	0.65	0.98	1.36	0.26				0.26	0.26	0.26	0.26	0.26
P0AFF6	253771995	  | 0,12 | 0,19	ECBD_0571	NUSA_ECOLI	C6EH56_ECOBD	0.16		0.12	0.19												
P75864	253774023	"  |   | 0,38; | 0,04 | "	ECBD_2647	RLML_ECOLI	C6EI34_ECOBD	0.21			0.38		0.04										
P0AFI5	253772938	0,10 | 0,10 | 0,10	ECBD_1524	PBP7_ECOLI	C6EAH7_ECOBD	0.1	0.1	0.1	0.1												
P0A6X7	253773333	"0,70 | 0,70 |  ; |  | 0,30"	ECBD_1933	IHFA_ECOLI	C6ECP5_ECOBD	0.57	0.7	0.7				0.3									
P0A7U3	253771860	"0,79 |   | 1,40; | 0,15 | 0,07; |  | 0,32; |  | 0,34"	ECBD_0435	RS19_ECOLI	C6EGF0_ECOBD	0.51	0.79		1.4		0.15	0.07			0.32			0.34			
P0AES4	253772846	  | 0,14 | 0,07	ECBD_1429	GYRA_ECOLI	C6E9X0_ECOBD	0.11		0.14	0.07												
P32680	253775371	  | 0,15 | 0,15	ECBD_4033	YJAG_ECOLI	C6EE19_ECOBD	0.15		0.15	0.15												
P0A908	253773263	"  |   | 0,25; |  | 0,12;0,4 | 0,12 | 0,25;0,25 | 0,57 | 0,25; |  | 0,57"	ECBD_1862	MIPA_ECOLI	C6EC47_ECOBD	0.31			0.25			0.12	0.4	0.12	0.25	0.25	0.57	0.25			0.57
P0AFL6	253772606	"  | 0,25 | 0,18; | 0,32 | "	ECBD_1186	PPX_ECOLI	C6EKK9_ECOBD	0.25		0.25	0.18		0.32										
P0ABC7	253775201	"  | 0,15 | 0,15; |  | 0,24;1,49 | 0,42 | 1,16;0,23 | 0,42 | 0,52;0,15 | 0,52 | 0,42"	ECBD_3860	HFLK_ECOLI	C6ECH5_ECOBD	0.49		0.15	0.15			0.24	1.49	0.42	1.16	0.23	0.42	0.52	0.15	0.52	0.42
P0ACF8	253773765	  | 0,22 | 0,48	ECBD_2385	HNS_ECOLI	C6EGN0_ECOBD	0.35		0.22	0.48												
P0A6Y1	253774059	  | 2,08 | 1,32	ECBD_2683	IHFB_ECOLI	C6EI70_ECOBD	1.7		2.08	1.32												
P27278	253774980	  | 0,07 | 0,14	ECBD_3630	NADR_ECOLI	C6EBI1_ECOBD	0.11		0.07	0.14												
P31827	253773534	"  | 0,07 | 0,04; | 0,3 | ; |  | 0,11; | 0,11 | "	ECBD_2144	YDDB_ECOLI	C6EEM2_ECOBD	0.13		0.07	0.04		0.3				0.11		0.11				
P43329	253773612	"  | 0,11 |  ; |  | 0,02"	ECBD_2227	HRPA_ECOLI	C6EEV0_ECOBD	0.07		0.11				0.02									
P45565	253772824	"  | 0,32 | 0,15; | 0,74 | ;0,15 | 2,48 | 0,52;0,74 |  | "	ECBD_1407	AIS_ECOLI	C6E9U8_ECOBD	0.73		0.32	0.15		0.74		0.15	2.48	0.52	0.74					
P31057	253774838	0,12 | 0,25 |  	ECBD_3485	PANB_ECOLI	C6EAS3_ECOBD	0.19	0.12	0.25													
P76115	253773574	"0,04 | 0,09 |  ; |  | 0,36; | 0,04 | ;0,09 | 0,13 | 0,18"	ECBD_2188	YNCD_ECOLI	C6EER2_ECOBD	0.13	0.04	0.09				0.36		0.04		0.09	0.13	0.18			
P25519	253775202	"  |   | 0,39; | 0,14 | ; | 0,07 | 0,14"	ECBD_3861	HFLX_ECOLI	C6ECH6_ECOBD	0.19			0.39		0.14			0.07	0.14						
P0AFG8	253774858	"  | 0,07 | 0,07; | 0,06 | 0,06; | 0,21 | 0,1; | 0,52 | 0,07;0,34 |  | 0,25"	ECBD_3505	ODP1_ECOLI	C6EAU3_ECOBD	0.18		0.07	0.07		0.06	0.06		0.21	0.1		0.52	0.07	0.34		0.25
P0A9S3	253772980	"  | 0,29 |  ; | 0,09 | 0,04; | 1,13 | ;0,52 | 0,09 | 0,40;0,29 | 0,29 | 0,40"	ECBD_1566	GATD_ECOLI	C6EAL9_ECOBD	0.35		0.29			0.09	0.04		1.13		0.52	0.09	0.4	0.29	0.29	0.4
P03023	253774666	  | 0,18 | 0,09	ECBD_3312	LACI_ECOLI	C6EJI7_ECOBD	0.14		0.18	0.09												
P0AFC3	253772790	"  | 0,20 | 0,45; |  | 0,04;0,45 |  | 0,75;0,45 | 0,75 | 0,45;0,20 | 0,45 | 0,20"	ECBD_1373	NUOA_ECOLI	C6E9R4_ECOBD	0.4		0.2	0.45			0.04	0.45		0.75	0.45	0.75	0.45	0.2	0.45	0.2
P20083	253772132	  |   | 0,25	ECBD_0709	PARE_ECOLI	C6EHW3_ECOBD	0.25			0.25												
P25714	253775660	"  | 0,17 |  ; |  | 0,04; | 0,05 | 0,3;0,05 | 0,30 | 0,05;0,23 | 0,11 | 0,30"	ECBD_4327	OXAA_ECOLI	C6EG98_ECOBD	0.16		0.17				0.04		0.05	0.3	0.05	0.3	0.05	0.23	0.11	0.3
P0ADW3	253771938	"  | 0,23 |  ; | 0,09 | 0,19;1,27 | 1,78 | 1,78;0,51 | 0,85 | 0,85;0,51 | 1,27 | 1,27"	ECBD_0514	YHCB_ECOLI	C6EGZ9_ECOBD	0.88		0.23			0.09	0.19	1.27	1.78	1.78	0.51	0.85	0.85	0.51	1.27	1.27
P77562	253774640	"  | 0,08 | 0,08; | 1,97 | 1,07; | 0,08 | 0,08; | 0,08 | "	ECBD_3286	YAIW_ECOLI	C6ELK9_ECOBD	0.49		0.08	0.08		1.97	1.07		0.08	0.08		0.08				
P0A9A6	253774875	"  | 0,17 |  ;0,42 | 1,41 | 1,88; | 1,03 | 0,17;0,48 | 0,48 | 0,88;0,17 |  | 0,61"	ECBD_3522	FTSZ_ECOLI	C6EAW0_ECOBD	0.7		0.17		0.42	1.41	1.88		1.03	0.17	0.48	0.48	0.88	0.17		0.61
P0ABA0	253775629	"  | 1,04 |  ; |  | 0,05;2,48 | 1,92 | 1,44;1,04 | 7,50 | 1,44;0,43 | 0,71 | 1,92"	ECBD_4296	ATPF_ECOLI	C6EG67_ECOBD	1.82		1.04				0.05	2.48	1.92	1.44	1.04	7.5	1.44	0.43	0.71	1.92
P0AC30	253771709	"  | 0,09 | 0,09; |  | 0,18; |  | 0,09"	ECBD_0279	FTSX_ECOLI	C6EFB2_ECOBD	0.11		0.09	0.09			0.18			0.09						
P60906	253772592	"  | 0,07 | 0,07;0,07 |  | ; | 0,07 | "	ECBD_1172	SYH_ECOLI	C6EKJ5_ECOBD	0.07		0.07	0.07	0.07				0.07							
P10408	253774872	"  | 0,03 | 0,07; | 0,12 | 0,12; | 0,1 | ; | 0,03 | 0,07;0,03 | 0,07 | 0,03"	ECBD_3519	SECA_ECOLI	C6EAV7_ECOBD	0.07		0.03	0.07		0.12	0.12		0.1			0.03	0.07	0.03	0.07	0.03
P36929	253771888	  | 0,14 |  	ECBD_0463	RSMB_ECOLI	C6EGH8_ECOBD	0.14		0.14													
P68187	253775339	"  | 0,08 | 0,08; |  | 0,05; | 0,47 | 0,47;0,26 | 0,17 | 0,17;0,26 |  | "	ECBD_4000	MALK_ECOLI	C6EDY7_ECOBD	0.22		0.08	0.08			0.05		0.47	0.47	0.26	0.17	0.17	0.26		
P67087	253772018	  | 0,11 | 0,11	ECBD_0594	RSMI_ECOLI	C6EH79_ECOBD	0.11		0.11	0.11												
P0A7N4	253773888	"  | 0,56 | 1,42; | 0,06 | ; | 1,42 | "	ECBD_2512	RL32_ECOLI	C6EHC5_ECOBD	0.87		0.56	1.42		0.06			1.42							
P06612	253773729	  | 0,10 |  	ECBD_2348	TOP1_ECOLI	C6EFW3_ECOBD	0.1		0.1													
P0ABA4	253775630	"  | 0,38 |  ; | 0,9 | ;0,17 | 0,17 | 0,17; |  | 0,17"	ECBD_4297	ATPD_ECOLI	C6EG68_ECOBD	0.33		0.38			0.9		0.17	0.17	0.17			0.17			
P09127	253775574	"  |   | 0,25; |  | 0,26;0,16 | 0,08 | 0,35; | 0,45 | ; | 0,08 | 0,25"	ECBD_4239	HEMX_ECOLI	C6EG12_ECOBD	0.24			0.25			0.26	0.16	0.08	0.35		0.45			0.08	0.25
P75876	253774003	  | 0,24 |  	ECBD_2627	RLMI_ECOLI	C6EI14_ECOBD	0.24		0.24													
P0AG63	253771865	"  |   | 0,84; | 0,1 | 0,28; |  | 0,36; |  | "	ECBD_0440	RS17_ECOLI	C6EGF5_ECOBD	0.4			0.84		0.1	0.28			0.36						
P0AGD7	253772496	"  |   | 0,29; | 0,29 | ;0,14 |  | 0,21"	ECBD_1076	SRP54_ECOLI	C6EJY2_ECOBD	0.23			0.29		0.29		0.14		0.21						
P75777	253774202	"  | 0,19 |  ; | 0,19 | ; |  | 0,19"	ECBD_2828	YBHG_ECOLI	C6EIY7_ECOBD	0.19		0.19			0.19				0.19						
P0A7G6	253772446	"  | 0,18 |  ; | 0,11 | 0,11; | 0,65 | ;0,52 |  | 0,28; |  | 0,08"	ECBD_1026	RECA_ECOLI	C6EJT2_ECOBD	0.28		0.18			0.11	0.11		0.65		0.52		0.28			0.08
Q46861	253772147	"  |   | 0,16; | 0,08 | "	ECBD_0724	YGIQ_ECOLI	C6EHX8_ECOBD	0.12			0.16		0.08										
P69797	253773229	"0,20 |   |  ;0,09 | 0,72 | 0,09;0,88 |  | 1,06"	ECBD_1824	PTNAB_ECOLI	C6EC13_ECOBD	0.51	0.2			0.09	0.72	0.09	0.88		1.06						
P29131	253775428	"  | 0,19 |  ;0,04 | 0,2 | 0,33; | 0,09 | ;0,09 |  | ; |  | 0,09"	ECBD_4091	FTSN_ECOLI	C6EE76_ECOBD	0.15		0.19		0.04	0.2	0.33		0.09		0.09					0.09
P0A8X0	253775141	  | 0,16 |  	ECBD_3800	YJGA_ECOLI	C6ECB5_ECOBD	0.16		0.16													
P69831	253772979	"  | 0,14 |  ;0,09 | 0,23 | 0,23;0,3 | 0,39 | 0,22;0,22 | 0,30 | 0,30;0,49 | 0,14 | 0,30"	ECBD_1565	PTKC_ECOLI	C6EAL8_ECOBD	0.26		0.14		0.09	0.23	0.23	0.3	0.39	0.22	0.22	0.3	0.3	0.49	0.14	0.3
P0AEI1	253774355	"  | 0,07 |  ;0,03 | 0,09 | 0,25; | 0,19 | ;0,19 | 0,06 | 0,19;0,07 |  | "	ECBD_2990	MIAB_ECOLI	C6EK34_ECOBD	0.13		0.07		0.03	0.09	0.25		0.19		0.19	0.06	0.19	0.07		
P46118	253773190	  |   | 0,10	ECBD_1785	HEXR_ECOLI	C6EBX4_ECOBD	0.1			0.1												
P0ABV6	253774291	"  | 0,22 |  ; | 0,49 | 1,23;0,22 | 0,22 | 0,22; | 0,22 | ; | 0,22 | "	ECBD_2922	TOLR_ECOLI	C6EJJ9_ECOBD	0.38		0.22			0.49	1.23	0.22	0.22	0.22		0.22			0.22	
P0AES6	253771439	"  |   | 0,07; | 0,18 | ; | 0,2 | ;0,11 |  | 0,20"	ECBD_0004	GYRB_ECOLI	C6ECI0_ECOBD	0.15			0.07		0.18			0.2		0.11		0.2			
P07001	253773441	"  |   | 0,12; | 0,18 | ;0,12 | 0,12 | 0,42; | 0,12 | 0,12; | 0,34 | 0,26"	ECBD_2043	PNTA_ECOLI	C6EDP5_ECOBD	0.2			0.12		0.18		0.12	0.12	0.42		0.12	0.12		0.34	0.26
P0AG14	253773731	"  |   | 0,17; | 0,08 | 0,08"	ECBD_2350	SOHB_ECOLI	C6EFW5_ECOBD	0.11			0.17		0.08	0.08									
P75931	253773908	0,10 |   |  	ECBD_2532	MVIM_ECOLI	C6EHE5_ECOBD	0.1	0.1														
P0A935	253772330	"  | 0,37 |  ;0,55 | 1,39 | 0,79; |  | 0,17; | 0,08 | 0,17"	ECBD_0909	MLTA_ECOLI	C6EJ53_ECOBD	0.5		0.37		0.55	1.39	0.79			0.17		0.08	0.17			
P37690	253771544	  | 0,07 |  	ECBD_0112	YIBP_ECOLI	C6EDH6_ECOBD	0.07		0.07													
P0ADG7	253772598	"  | 0,06 |  ; | 0,06 | "	ECBD_1178	IMDH_ECOLI	C6EKK1_ECOBD	0.06		0.06			0.06										
P27294	253772840	"  | 0,13 |  ; | 0,13 | ; |  | 0,13"	ECBD_1423	INAA_ECOLI	C6E9W4_ECOBD	0.13		0.13			0.13				0.13						
P76445	253772899	"  |   | 0,12;0,45 | 1,11 | 0,45; |  | 0,12; | 0,12 | ; | 0,12 | "	ECBD_1483	YEIU_ECOLI	C6EA23_ECOBD	0.36			0.12	0.45	1.11	0.45			0.12		0.12			0.12	
P23842	253772698	  | 0,04 |  	ECBD_1279	YFEA_ECOLI	C6EL75_ECOBD	0.04		0.04													
P0A850	253774575	"  | 0,30 |  ; | 0,39 | ;0,07 |  | 0,14"	ECBD_3221	TIG_ECOLI	C6EL29_ECOBD	0.23		0.3			0.39		0.07		0.14						
P63883	253772329	  | 0,15 |  	ECBD_0908	AMIC_ECOLI	C6EJ52_ECOBD	0.15		0.15													
P0C0R7	253771987	"  | 0,31 |  ; | 0,14 | ;0,14 |  | "	ECBD_0563	RLME_ECOLI	C6EH48_ECOBD	0.2		0.31			0.14		0.14								
P0AC75	253771526	"  | 0,07 |  ; | 0,14 | 0,31; |  | 0,07; |  | 0,14"	ECBD_0093	KDTA_ECOLI	C6EDF8_ECOBD	0.15		0.07			0.14	0.31			0.07			0.14			
P00550	253771561	"  |   | 0,05; | 0,57 | 0,4;0,1 | 0,27 | 0,33;0,10 | 0,27 | 0,21;0,05 | 0,10 | 0,21"	ECBD_0129	PTM3C_ECOLI	C6EDJ3_ECOBD	0.22			0.05		0.57	0.4	0.1	0.27	0.33	0.1	0.27	0.21	0.05	0.1	0.21
P76422	253772968	  |   | 0,25	ECBD_1554	THID_ECOLI	C6EAK7_ECOBD	0.25			0.25												
P09323	253774348	"  | 0,05 |  ; | 0,11 | 0,18; |  | 0,15; | 0,21 | ;0,15 | 0,10 | 0,05"	ECBD_2983	PTW3C_ECOLI	C6EJQ6_ECOBD	0.13		0.05			0.11	0.18			0.15		0.21		0.15	0.1	0.05
P0AGA2	253771876	"  | 0,09 |  ; | 2,19 | ; |  | 0,22; | 0,09 | 0,09"	ECBD_0451	SECY_ECOLI	C6EGG6_ECOBD	0.54		0.09			2.19				0.22		0.09	0.09			
P0ACL9	253774859	  |   | 0,11	ECBD_3506	PDHR_ECOLI	C6EAU4_ECOBD	0.11			0.11												
P39396	253775025	"  |   | 0,04; | 0,04 | 0,04; | 0,04 | 0,09"	ECBD_3676	YJIY_ECOLI	C6EBM6_ECOBD	0.05			0.04		0.04	0.04		0.04	0.09						
P27247	253773887	  | 0,09 |  	ECBD_2511	PLSX_ECOLI	C6EHC4_ECOBD	0.09		0.09													
P15038	253774008	  |   | 0,09	ECBD_2632	HELD_ECOLI	C6EI19_ECOBD	0.09			0.09												
P06987	253773049	"  |   | 0,08; | 0,17 | "	ECBD_1637	HIS7_ECOLI	C6EB63_ECOBD	0.13			0.08		0.17										
