Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
YIEG_ECOLI	P31466	0	1	1	1	0	0	1	4	B		2	0				B
YCDB_ECOLI	P31545	0	1	1	1	0	0	1	4	G		2	0	0			G
CAIT_ECOLI	P31553	0	1	1	1	0	0	0	3	B		0	0	0			
YAAU_ECOLI	P31679	0	1	1	1	0	0	0	3	B		0	0	0			
YIBI_ECOLI	P32108	0	1	1	1	0	0	0	3	B		0	0	0			
MENA_ECOLI	P32166	0	1	1	1	0	0	1	4	B		0	0				B
PTFB3_ECOLI	P32676	0	1	1	1	1	0	0	4	F1		0	0	0	0		
YJBF_ECOLI	P32687	0	1	1	1	0	0	0	3	I		0	0	0			
YJBH_ECOLI	P32689	0	1	1	1	0	0	0	3	E		0	0	0			
YJCB_ECOLI	P32700	0	1	1	1	0	0	0	3	B		2	0	0			
NRFG_ECOLI	P32712	0	1	1	1	1	0	0	4	I		0	0	0	0		
MDTP_ECOLI	P32714	0	1	1	1	0	0	0	3	I		0	0	0			
PSUT_ECOLI	P33024	0	1	1	1	0	0	0	3	B		0	0	0			
TORC_ECOLI	P33226	0	1	1	1	0	0	1	4	B		0	0	0			B
LLDD_ECOLI	P33232	1	1	1	1	0	1	1	6	B	1	0	0				B
OSMF_ECOLI	P33362	0	1	1	1	0	0	1	4	G		0	0	0			G
PPDA_ECOLI	P33554	0	1	1	1	1	0	0	4	G		0	0	0	0		
YEJE_ECOLI	P33915	1	1	1	1	0	0	1	5	B		0	0	0			B
CCMF_ECOLI	P33927	1	1	1	1	0	0	1	5	B		0	0	0			B
MQO_ECOLI	P33940	1	1	1	1	0	0	1	5	B		2	0	0			B
HOFQ_ECOLI	P34749	0	1	1	1	0	0	0	3	H		0	0	0			
PPDD_ECOLI	P36647	0	1	1	1	1	0	0	4	B		0	0	0	0		
BTUF_ECOLI	P37028	0	1	1	1	0	0	1	4	G		2	1	0			G
YHIN_ECOLI	P37631	0	1	1	1	0	0	0	3	B		2	0	0			
MDTE_ECOLI	P37636	1	1	1	1	0	1	1	6	E	1	0	0	0			E
MDTF_ECOLI	P37637	1	1	1	1	0	0	1	5	B	1	2	0				B
YHJC_ECOLI	P37641	0	1	1	1	0	0	1	4	B		2	0	0			B
GUN_ECOLI	P37651	1	1	1	1	0	0	1	5	G		0	0				G
YIBQ_ECOLI	P37691	0	1	1	1	0	0	1	4	G		2	0				G
NARU_ECOLI	P37758	0	1	1	1	0	0	0	3	B		2	0	1			
YFJD_ECOLI	P37908	1	1	1	1	0	0	1	5	B	1	0	0				B
CUSA_ECOLI	P38054	0	1	1	1	0	0	0	3	B		0	0	0			
