ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
yabJ b0066 at	228.017	0	0.070073
yabK b0067 at	200.757	2	0.0304463
tbpA b0068 at	105.749	2	0.04343
IG 47 75481 75643 rev at	270.972	2	0.034572
yabN b0069 at	500.936	2	0.000761638
IG 48 77300 78847 rev at	739.096	0	0.0790003
yabM b0070 at	134.424	0	0.0957232
IG 49 78800 84190 fwd at	395.858	0	0.995649
leuD b0071 at	118.594	2	0.00188612
leuC b0072 at	315.845	2	0.0391461
leuB b0073 at	217.793	2	0.0480985
leuA b0074 at	228.187	2	0.0044925
IG 50 83530 83621 rev at	95.246	0	0.477354
leuL b0075 at	136.759	2	0.0277665
IG 51 83709 111563 rev at	709.989	2	2,95E-05
leuO b0076 at	572.346	0	0.167138
IG 52 85313 85539 fwd at	321.611	0	0.965428
ilvI b0077 at	108.789	0	0.105738
ilvH b0078 at	204.713	1	0.0558844
fruL b0079 at	524.445	0	0.477354
IG 53 87947 88027 fwd at	1811.04	2	0.000327479
fruR b0080 at	2238.78	2	0.000493549
IG 54 89033 89633 fwd at	539.339	2	0.000493549
yabB b0081 at	1257.14	2	0.000402638
yabC b0082 at	631.16	2	0.0115479
ftsL b0083 at	1368.82	2	0.000603158
ftsI b0084 at	575.759	2	0.0304463
murE b0085 at	789.571	2	0.0133783
murF b0086 at	462.289	2	0.00782678
mraY b0087 at	469.455	2	0.000402638
murD b0088 at	729.403	2	0.000603158
ftsW b0089 at	386.988	2	0.00214285
murG b0090 at	609.13	2	0.000603158
IG 55 100712 100764 fwd at	226.833	2	0.0185547
murC b0091 at	336.4	1	0.0547106
ddlB b0092 at	1626.88	2	0.000892689
ftsQ b0093 at	1064.06	2	0.00260662
ftsA b0094 at	1441.08	2	0.000402638
IG 56 105245 105304 fwd at	5550.38	2	0.000402638
ftsZ b0095 at	2233.19	2	0.00108112
IG 57 106457 106556 fwd at	4019.99	2	0.000327479
lpxC b0096 at	3358.82	2	0.000402638
IG 58 107475 107629 fwd at	1192.53	2	0.000612512
yacA b0097 at	1147.3	2	0.00269283
IG 59 108218 108278 fwd at	269.023	2	0.0115479
secA b0098 at	876.424	2	0.00108112
IG 60 110985 111043 fwd f at	216.504	0	0.999265
mutT b0099 at	214.322	2	0.00622665
IG 61 111434 113443 fwd at	162.289	0	0.128142
b0100 at	281.423	2	0.0234375
yacG b0101 at	422.824	2	0.00288579
yacF b0102 at	351.34	2	0.00214285
yacE b0103 at	432.72	2	0.0133783
IG 62 113220 114406 rev at	109.731	2	0.00269283
guaC b0104 at	477.32	2	0.034572
b0105 at	156.717	2	0.00315926
IG 63 114488 118732 fwd at	885.417	2	0.00015325
hofC b0106 at	889.902	2	0.00852936
hofB b0107 at	274.899	0	0.635055
ppdD b0108 at	193.977	0	0.635055
IG 64 117550 117751 rev at	26.595	0	0.181343
nadC b0109 at	276.098	2	0.0421419
IG 65 118646 120177 rev at	870.005	2	0.0259062
ampD b0110 at	615.797	2	0.00116472
ampE b0111 at	636.608	2	0.000327479
IG 66 120136 122091 fwd at	31.679	0	0.216123
aroP b0112 at	241.397	2	0.00550396
IG 67 121552 129406 rev at	266.894	2	0.00232383
pdhR b0113 at	275.71	2	0.0044925
IG 68 122857 123016 fwd at	394.897	2	0.000327479
aceE b0114 at	2523.25	2	0.000327479
aceF b0115 at	2176.57	2	0.000327479
IG 69 127588 127911 fwd f at	6112.64	2	0.000146526
lpdA b0116 at	2810.93	2	0.000327479
IG 70 129337 131614 fwd at	416.506	2	0.0126105
yacH b0117 at	91.424	0	0.140265
IG 71 131261 134787 rev at	478.076	0	0.384442
acnB b0118 at	6036.59	2	0.000327479
IG 72 134213 134339 fwd at	683.483	2	0.00049077
yacL b0119 at	2528.47	2	0.000327479
IG 73 134751 137082 fwd at	259.479	2	0.00036161
speD b0120 at	1070.2	2	0.00214285
speE b0121 at	1149.66	2	0.00116472
IG 74 136465 136569 rev at	636.973	2	0.00622665
yacC b0122 at	460.865	2	0.000612512
IG 75 137041 138834 rev at	63.289	0	0.89823
yacK b0123 at	550.612	2	0.000402638
IG 76 138634 141418 fwd at	297.087	2	0.0259653
gcd b0124 at	376.856	0	0.48748
IG 77 141226 142007 rev f at	668.392	0	0.1238
hpt b0125 at	858.612	2	0.000327479
IG 78 141968 142778 fwd f at	228.785	2	0.000481329
yadF b0126 at	320.4	2	0.00214285
IG 79 142671 146313 rev at	429.533	2	0.00048066
yadG b0127 at	310.163	2	0.00157146
yadH b0128 at	220.265	2	0.000402638
IG 80 144473 144576 fwd at	139.764	2	0.00049077
yadI b0129 at	166.966	2	0.00320325
IG 81 145018 145080 fwd at	128.684	2	0.0304463
yadE b0130 at	495.135	2	0.0178004
IG 82 146311 146967 fwd at	334.776	0	0.28503
panD b0131 at	437.535	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
IG 83 146695 147943 rev at	202.782	0	0.0679539
yadD b0132 at	313.495	2	0.00157146
IG 84 147871 162059 fwd at	297.496	2	0.000811304
panC b0133 at	340.025	2	0.0277665
panB b0134 at	1078.87	2	0.000327479
IG 85 149602 149714 rev at	322.042	0	0.135974
yadC b0135 at	337.677	0	0.070073
IG 86 150954 151002 rev at	242.058	0	0.0698779
yadK b0136 at	231.183	0	0.304618
yadL b0137 at	429.657	0	0.235169
yadM b0138 at	256.799	0	0.432352
htrE b0139 at	132.264	0	0.537511
IG 87 155427 155460 rev at	0.636452	0	0.976563
ecpD b0140 at	519.041	0	0.818256
IG 88 156202 156298 rev at	383.683	0	0.48748
yadN b0141 at	436.888	0	0.537511
IG 89 156884 157252 rev at	129.345	0	0.28503
folK b0142 at	244.918	2	0.00622665
pcnB b0143 at	907.713	2	0.00049077
IG 90 159094 159185 rev at	1251.32	2	0.00049077
yadB b0144 at	666.217	0	0.135974
IG 91 160113 160148 rev at	606.943	2	0.000244141
dksA b0145 at	1297.15	2	0.000402638
IG 92 160605 160781 rev at	2001.01	2	0.00049077
sfsA b0146 at	1668.57	2	0.000493549
yadP b0147 at	188.3	0	0.167138
IG 93 162041 173601 rev at	828.675	0	0.0710147
hrpB b0148 at	413.59	2	0.0304463
IG 94 164535 164729 fwd at	272.737	2	0.000327479
mrcB b0149 at	310.116	0	0.11649
IG 95 167265 167483 fwd at	200.173	2	0.0304463
fhuA b0150 at	197.242	2	0.0115479
IG 96 169728 169777 fwd at	149.429	2	0.000892689
fhuC b0151 at	326.526	2	0.00320325
fhuD b0152 at	609.644	0	0.0990615
fhuB b0153 at	110.727	2	0.0442012
IG 97 173445 175106 fwd at	245.762	2	3,16E+00
hemL b0154 at	344.261	0	0.135974
IG 98 174883 177000 rev at	717.561	2	1,23E+00
yadQ b0155 at	251.694	2	0.00993898
IG 99 176529 176609 fwd at	2260.71	2	0.00175518
yadR b0156 at	736.806	2	0.000402638
IG 100 176955 179236 fwd at	812.536	2	0.00031633
yadS b0157 at	236.044	0	0.675219
IG 101 177625 177661 rev at	153.083	2	0.0140281
yadT b0158 at	315.226	1	0.0620214
pfs b0159 at	552.152	2	0.00143241
IG 102 179154 183708 rev at	354.169	2	0.000723155
dgt b0160 at	144.029	0	0.0778177
IG 103 180755 180883 fwd at	251.561	2	0.000327479
htrA b0161 at	275.617	2	0.0133783
IG 104 182309 182444 fwd at	307.746	2	0.00188612
yaeG b0162 at	196.992	2	0.00130539
IG 105 183621 189873 fwd at	940.746	2	1,31E-01
yaeH b0163 at	2952.87	2	0.000327479
IG 106 184096 184256 rev at	1262.11	2	0.00049077
yaeI b0164 at	118.379	0	0.235169
b0165 at	394.464	0	0.153911
dapD b0166 at	570.819	2	0.00260662
IG 107 185948 185977 rev at	762.387	2	0.015625
glnD b0167 at	623.001	2	0.00315926
IG 108 188651 188711 rev at	354.963	0	0.181343
map b0168 at	495.271	2	4,58E-04
IG 109 189507 213677 rev f at	141.829	2	3,33E-11
rpsB b0169 at	2091.2	2	0.000327479
IG 110 190600 190856 fwd at	2169.32	2	0.00108112
tsf b0170 at	1766.49	2	0.000327479
IG 111 191709 191854 fwd at	298.857	2	0.00188612
pyrH b0171 at	2051.91	2	0.000327479
IG 112 192581 192871 fwd at	1997.8	2	0.00049077
frr b0172 at	1515.39	2	0.000603158
IG 113 193430 193520 fwd at	1088.39	2	0.00157146
yaeM b0173 at	297.585	2	0.00622665
IG 114 194718 194902 fwd at	462.119	2	0.000327479
yaeS b0174 at	1147.31	2	0.000603158
IG 115 195665 195784 fwd at	869.853	2	0.000327479
cdsA b0175 at	1024.75	2	0.000327479
yaeL b0176 at	1650.4	2	0.000327479
yaeT b0177 at	1910.78	2	0.000402638
IG 116 200361 200481 fwd at	6005.6	2	0.000327479
hlpA b0178 at	4531.15	2	0.000402638
lpxD b0179 at	1504.47	2	0.000327479
IG 117 201997 202100 fwd at	1049.48	2	0.000327479
fabZ b0180 at	2015.06	2	0.000402638
