ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
ybgI b0710 at	820.496	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
ybgJ b0711 at	412.46	2	0.015454
ybgK b0712 at	424.079	2	0.00381521
ybgL b0713 at	381.153	0	0.167138
IG 477 745123 745157 fwd at	553.417	2	0.0078125
nei b0714 at	142.9	0	0.0864242
abrB b0715 at	209.953	1	0.0625767
IG 478 745950 754399 fwd at	118.312	2	0.000867152
IG 479 747038 747143 rev at	331.486	0	0.45478
ybgO b0716 at	127.629	0	0.345472
ybgP b0717 at	440.297	0	0.324822
ybgQ b0718 at	840.717	0	0.165268
IG 480 751402 751451 rev at	289.386	0	0.919434
ybgD b0719 at	20.384	0	0.58986
IG 481 752019 752407 rev at	158.042	2	0.0421419
gltA b0720 at	6619.36	2	0.000327479
IG 482 753692 764375 rev f at	1654.74	2	7,90E-04
sdhC b0721 at	3393.74	2	0.00049077
sdhD b0722 at	4951.75	2	0.000327479
sdhA b0723 at	7200.26	2	0.000327479
sdhB b0724 at	3006.85	2	0.000327479
IG 483 757629 757686 fwd f at	2915.36	2	0.00195313
b0725 at	5255.54	2	0.00073689
sucA b0726 at	8328.7	2	0.000402638
sucB b0727 at	10772.9	2	0.000327479
IG 484 761963 762236 fwd at	11304.2	2	0.000327479
sucC b0728 at	13550	2	0.000327479
sucD b0729 at	4681.93	2	0.000327479
IG 485 764273 765206 fwd at	520.894	2	0.00283359
farR b0730 at	166.826	2	0.015454
IG 486 765099 783104 rev at	102.188	2	5,55E-10
hrsA b0731 at	851.478	0	0.140265
ybgG b0732 at	331.692	0	0.58986
IG 487 769835 770677 fwd at	3768.26	2	0.000327479
cydA b0733 at	7797.51	2	0.000327479
cydB b0734 at	7886.03	2	0.000402638
IG 488 773405 773531 fwd at	3022.02	2	0.000402638
ybgE b0735 at	2145.34	2	0.000327479
IG 489 773826 773974 fwd at	637.963	2	0.0391461
ybgC b0736 at	764.194	2	0.00260662
tolQ b0737 at	534.984	2	0.0115479
tolR b0738 at	437.656	2	0.000892689
IG 490 775501 775564 fwd at	385.648	2	0.00049077
tolA b0739 at	444.292	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 491 776831 776962 fwd at	308.251	2	0.00269283
tolB b0740 at	1589.76	2	0.00320325
IG 492 778256 778289 fwd at	519.828	2	0.00195313
pal b0741 at	3119.12	2	0.000402638
ybgF b0742 at	1913.5	2	0.000327479
IG 493 779613 779776 fwd at	2016.94	2	0.000327479
lysT b0743 s at	8049.38	2	0.000327479
IG 494 779853 779987 fwd at	142.977	2	0.00382454
valT b0744 s at	9213.69	2	0.00049077
lysW b0745 s at	6471.42	2	0.00195313
IG 495 780142 780290 fwd f at	550.53	2	0.000402638
valZ b0746 s at	8552.42	2	0.000976563
lysY b0747 s at	8563.39	2	0.000976563
IG 496 780446 780591 fwd f at	293.664	2	0.00073689
lysZ b0748 s at	7334.35	2	0.000488281
IG 497 780668 780799 fwd at	4565.73	2	0.000244141
lysQ b0749 s at	9224.01	2	0.00390625
IG 498 780876 781307 fwd f at	518.731	0	0.162935
nadA b0750 at	289.273	2	0.00379911
pnuC b0751 at	257.715	2	0.00157146
ybgR b0752 at	225.054	2	0.0239949
IG 499 783109 784855 fwd at	145.222	1	0.0510053
IG 500 784047 784159 rev at	942.179	0	0.153312
b0753 at	217.155	2	0.00379911
IG 501 784541 786065 rev at	120.368	2	8,78E+00
aroG b0754 at	456.239	2	0.0115479
IG 502 785909 793995 fwd at	522.148	2	0.00869245
gpmA b0755 at	1138.3	2	0.000761638
IG 503 786819 787019 rev at	262.579	2	0.00130539
galM b0756 at	639.203	2	0.00852936
galK b0757 at	1204.19	2	0.00550396
galT b0758 at	870.241	2	0.000612512
galE b0759 at	1435.64	2	0.0277665
IG 504 791279 791538 rev at	381.803	0	0.070073
modF b0760 at	159.706	2	0.00852936
IG 505 793012 793078 rev at	385.552	2	0.00049077
modE b0761 at	320.783	0	0.0990615
IG 506 793868 796835 rev at	363.027	2	0.0292435
b0762 at	887.058	2	0.000327479
IG 507 794146 794311 fwd at	213.424	2	0.00108112
modA b0763 at	803.307	2	0.000327479
modB b0764 at	820.085	2	0.00269283
modC b0765 at	431.071	2	0.0304463
ybhA b0766 at	267.218	0	0.216313
IG 508 796836 797808 fwd at	189.297	2	0.000327479
IG 509 797655 798844 rev at	243.216	2	0.00168943
ybhE b0767 at	323.158	2	0.000327479
IG 510 798805 799981 fwd at	354.972	2	0.0235809
ybhD b0768 at	365.353	0	0.135974
IG 511 799862 805220 rev f at	106.984	2	0.0284971
ybhH b0769 at	330.894	0	0.213264
IG 512 801035 801109 fwd at	373.098	0	0.657715
ybhI b0770 at	143.876	0	0.769849
IG 513 802544 802701 fwd f at	0.0878052	0	0.991471
ybhJ b0771 at	139.69	2	0.0133783
IG 514 804988 808566 fwd at	663.317	2	0.00848592
ybhC b0772 at	363.099	2	0.00550396
IG 515 806505 806655 rev at	528.681	2	0.0277665
ybhB b0773 at	101.952	0	0.181343
IG 516 807133 807190 rev at	484.025	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
bioA b0774 at	218.129	0	0.324781
IG 517 808481 814961 rev at	519.663	2	2,86E+00
bioB b0775 at	116.43	2	0.0460356
bioF b0776 at	13.701	0	0.783687
bioC b0777 at	345.906	0	0.424167
bioD b0778 at	494.403	0	0.539438
IG 518 812171 812748 fwd at	621.161	2	0.0304463
uvrB b0779 at	614.775	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 519 814771 816266 fwd f at	136.659	2	2,21E+00
ybhK b0780 at	266.456	2	0.000892689
IG 520 815871 820764 rev at	25.186	2	0.00227641
moaA b0781 at	395.688	0	0.213264
moaB b0782 at	776.738	2	0.00108112
moaC b0783 at	747.156	2	0.0109718
moaD b0784 at	336.887	2	0.00379911
moaE b0785 at	349.611	2	0.0072983
IG 521 818971 819106 fwd at	153.764	0	0.54522
ybhL b0786 at	2134.77	2	0.000603158
IG 522 819812 820015 fwd at	731.834	0	0.213264
ybhM b0787 at	314.248	0	0.197123
IG 523 820730 823852 fwd at	140.461	0	0.13022
ybhN b0788 at	310.911	0	0.388213
ybhO b0789 at	391.651	0	0.366636
ybhP b0790 at	702.422	0	0.0789057
IG 524 823721 824224 rev at	404.712	0	0.304618
ybhQ b0791 at	3109.59	2	0.000493549
ybhR b0792 at	384.051	2	0.000603158
IG 525 824264 830094 fwd at	36.212	0	0.266065
ybhS b0793 at	333.058	2	0.0115479
ybhF b0794 at	361.155	2	0.0133783
b0795 at	879.409	2	0.000612512
ybiH b0796 at	687.046	2	0.000327479
IG 526 829879 831690 rev at	696.107	0	0.0957611
rhlE b0797 at	142.572	0	0.230151
IG 527 831460 832292 fwd at	376.407	2	0.000796351
ybiA b0798 at	322.857	2	0.00459071
IG 528 832174 836887 rev at	142.028	2	0.00644779
dinG b0799 at	633.391	2	0.000327479
ybiB b0800 at	927.035	2	0.000402638
IG 529 835434 835573 fwd at	215.774	2	0.000612512
ybiC b0801 at	931.684	2	0.00130539
IG 530 836660 841473 fwd at	608.671	2	2,55E-02
ybiJ b0802 at	586.5	0	0.0698779
IG 531 837149 837412 rev at	328.708	2	0.000327479
ybiI b0803 at	199.201	2	0.0277665
IG 532 837680 837752 rev at	304.855	2	0.0497698
ybiX b0804 at	129.043	2	0.00852936
b0805 at	202.901	0	0.388782
IG 533 840755 841018 rev at	441.431	2	0.0304463
ybiM b0806 at	725.709	0	0.135974
IG 534 841424 842477 rev at	717.857	2	0.0421419
ybiN b0807 at	397.381	2	0.0304463
ybiO b0808 at	962.263	2	0.0178004
IG 535 842482 849672 fwd at	158.963	2	1,53E-06
IG 536 844839 844963 rev at	764.056	2	0.000488281
glnQ b0809 at	2367.57	2	0.00094359
glnP b0810 at	2577.31	2	0.000402638
IG 537 846343 846480 rev at	2424.72	2	0.00049077
glnH b0811 at	9780.07	2	0.000327479
IG 538 847228 847630 rev at	4194.27	2	0.00188612
dps b0812 at	5997.15	2	0.000327479
IG 539 848135 848432 rev at	422.115	2	0.00928336
ybiF b0813 at	111.419	0	0.0957232
IG 540 849321 850236 rev at	288.786	0	0.834732
ompX b0814 at	2790.66	2	0.000327479
IG 541 850189 851893 fwd at	180.239	0	0.544587
ybiP b0815 at	119.024	2	0.0204441
IG 542 851821 854046 rev at	821.303	2	0.000228101
b0816 at	930.144	0	0.24776
IG 543 852164 852405 fwd at	451.532	2	0.0115479
b0817 at	682.911	2	0.0129214
ybiR b0818 at	297.77	2	0.0497698
IG 544 853989 855185 fwd at	583.633	2	0.00178252
ybiS b0819 at	470.382	2	0.00108112
IG 545 854968 857018 rev at	624.822	2	0.00169512
ybiT b0820 at	386.852	2	0.0072983
IG 546 856779 862792 fwd at	479.754	2	0.00844286
ybiU b0821 at	499.693	0	0.388213
IG 547 858285 858435 rev at	310.719	0	0.477354
b0822 at	48.287	0	0.181343
IG 548 859252 859396 rev at	100.773	0	0.937979
ybiW b0823 at	215.118	0	0.070073
ybiY b0824 at	124.894	0	0.695382
IG 549 862762 863602 rev at	226.617	2	0.0426705
mipB b0825 at	125.51	2	0.015454
IG 550 863528 865790 fwd at	111.922	2	0.0272313
moeB b0826 at	248.191	0	0.127994
moeA b0827 at	636.263	2	0.0109718
IG 551 865588 875932 rev at	595.956	2	0.00130233
ybiK b0828 at	411.435	1	0.0558844
b0829 at	335.994	2	0.00188612
b0830 at	444.363	2	0.0133783
b0831 at	248.716	2	0.015454
b0832 at	176.992	0	0.24776
IG 552 872025 872201 fwd at	12.646	0	0.537511
b0833 at	376.449	0	0.230151
b0834 at	983.058	2	0.0115479
IG 553 875887 877470 fwd at	37.752	0	0.233097
yliG b0835 at	126.657	0	0.167138
IG 554 877259 879076 rev at	721.317	0	0.66336
b0836 at	570.622	0	0.769849
IG 555 877855 877964 fwd at	493.346	2	0.015454
yliI b0837 at	306.523	0	0.0864242
yliJ b0838 at	711.868	2	0.00094359
IG 556 879081 879949 fwd at	167.01	0	0.230151
IG 557 879710 881198 rev at	57.43	0	0.0954021
dacC b0839 at	209.926	2	0.0115479
IG 558 881153 882895 fwd at	513.292	0	0.133787
deoR b0840 at	237.475	2	0.0044925
IG 559 881958 882014 rev at	867.549	2	0.0320196
ybjG b0841 at	261.858	2	0.00315926
IG 560 882612 884168 rev at	934.693	2	0.00192712
cmr b0842 at	135.418	2	0.015454
IG 561 884129 886645 fwd at	323.743	2	0.047965
ybjH b0843 at	144.792	2	0.0480985
IG 562 884454 884538 rev at	930.311	2	0.00782678
b0844 at	159.098	0	0.150145
b0845 at	121.008	0	0.127994
IG 563 886563 887356 rev at	210.678	0	0.147152
b0846 at	413.952	2	0.0115479
IG 564 887183 889311 fwd at	209.653	2	1,86E+00
b0847 at	171.695	0	0.0990615
IG 565 889043 889718 rev at	158.735	2	0.000603158
ybjM b0848 at	109.669	2	0.0480985
IG 566 889690 890135 fwd at	21.047	0	0.213264
grxA b0849 at	135.496	2	0.00379911
IG 567 889977 899066 rev at	680.668	2	0.00521992
ybjC b0850 at	893.566	2	0.000734887
mdaA b0851 at	763.303	2	0.000734887
IG 568 891130 891189 fwd at	520.718	2	0.000327479
rimK b0852 at	348.748	0	0.675219
IG 569 892093 892179 fwd at	124.171	2	0.000327479
ybjN b0853 at	317.783	2	0.000734887
IG 570 892657 893006 fwd at	183.921	2	0.00130539
potF b0854 at	126.501	2	0.0133783
potG b0855 at	72.983	0	0.965428
potH b0856 at	651.109	0	0.213264
potI b0857 at	784.312	0	0.266065
IG 571 897153 897211 fwd at	542.145	0	0.872006
ybjO b0858 at	782.284	2	0.0133783
IG 572 897701 897740 fwd at	201.559	2	0.00529677
ybjF b0859 at	115.997	0	0.127994
IG 573 898869 903815 fwd at	766.443	0	0.930524
artJ b0860 at	160.216	0	0.48748
IG 574 899799 900088 rev at	452.074	0	0.198363
artM b0861 at	201.887	1	0.0620214
artQ b0862 at	214.412	2	0.00175518
artI b0863 at	627.856	2	0.00049077
artP b0864 at	479.269	2	0.000603158
IG 575 902958 903174 rev at	365.472	2	0.00214285
ybjP b0865 at	779.228	2	0.000761638
IG 576 903691 904962 rev at	340.955	0	0.070073
b0866 at	778.989	2	0.00049077
b0867 at	435.206	2	0.00188612
b0868 at	160.087	0	0.070073
IG 577 904967 915695 fwd at	517.898	2	0.000156679
IG 578 906013 906074 rev at	921.334	2	0.00622665
ybjT b0869 at	356.565	2	0.00379911
ybjU b0870 at	682.991	2	0.00049077
IG 579 908518 908553 rev at	362.616	2	0.000244141
poxB b0871 at	214.001	0	0.127994
IG 580 910273 910404 rev at	143.761	0	0.818256
b0872 at	171.855	0	0.140265
ybjW b0873 at	278.247	0	0.48748
IG 581 913044 913180 rev at	0.766454	0	0.654528
ybjE b0874 at	31.305	0	0.318883
IG 582 914129 914574 rev at	985.721	2	0.0277665
aqpZ b0875 at	696.271	0	0.165268
IG 583 915271 917350 rev at	479.289	0	0.611787
ybjD b0876 at	324.775	2	0.015454
ybjX b0877 at	244.217	2	0.0480985
IG 584 917355 918430 fwd at	870.823	2	0.000402638
IG 585 918344 921588 rev at	960.701	2	0.000244845
b0878 at	389.714	0	0.122747
ybjZ b0879 at	411.784	2	0.00108112
IG 586 921517 922135 fwd at	325.502	2	3,85E-01
cspD b0880 at	8156.69	2	0.000327479
IG 587 921814 925106 rev at	174.817	2	1,38E+00
yljA b0881 at	1352.85	2	0.000327479
IG 588 922457 922486 fwd at	126.587	2	0.03125
clpA b0882 at	1171.86	2	0.000402638
IG 589 924764 931817 fwd at	959.848	2	6,95E-01
serW b0883 s at	3934.19	2	0.000327479
IG 590 925195 925447 rev at	206.021	2	0.000734887
infA b0884 at	1763.65	2	0.000612512
IG 591 925667 925950 rev at	845.004	2	0.00175518
aat b0885 at	464.041	0	0.801637
IG 592 926656 926696 rev at	681.332	2	0.000673102
cydC b0886 at	501.183	2	0.00928336
cydD b0887 at	279.692	2	0.0151637
IG 593 930186 930307 rev at	248.688	2	0.0421419
trxB b0888 at	352.431	2	0.0277665
IG 594 931274 944153 rev at	822.674	2	2,00E+00
lrp b0889 at	856.722	2	0.000402638
IG 595 932313 932446 fwd at	603.928	2	0.000402638
ftsK b0890 at	1335	2	0.000603158
IG 596 936437 936591 fwd at	926.374	2	0.00116472
lolA b0891 at	1125.14	2	0.000327479
ycaJ b0892 at	299.694	2	0.000603158
IG 597 938561 938650 fwd at	4029.89	2	0.000327479
serS b0893 at	1225.81	2	0.000402638
IG 598 939944 940268 fwd at	61.432	0	0.153263
dmsA b0894 at	375.835	0	0.388213
dmsB b0895 at	819.153	0	0.345472
dmsC b0896 at	125.087	0	0.0778177
IG 599 944120 945093 fwd at	273.126	0	0.567648
ycaC b0897 at	552.625	2	0.000612512
IG 600 944781 947882 rev at	304.788	2	0.00459071
ycaD b0898 at	170.151	0	0.0957232
b0899 at	850.708	2	0.0133783
IG 601 947883 948890 fwd at	13.391	0	0.818256
ycaN b0900 at	434.282	0	0.364945
IG 602 948792 949562 rev at	380.492	2	0.00978461
ycaK b0901 at	461.276	0	0.832862
IG 603 949482 955984 fwd at	266.212	2	0.0156491
pflA b0902 at	1924.99	2	0.000327479
IG 604 950304 950494 rev at	186.639	2	0.00143241
pflB b0903 at	1808.53	2	0.00049077
focA b0904 at	1193.21	2	0.00049077
IG 605 953690 954094 rev at	193.369	2	0.0267372
ycaO b0905 at	124.965	0	0.122747
IG 606 955865 971844 rev at	58.657	2	1,71E-02
ycaP b0906 at	192.637	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 607 956678 956875 fwd at	206.895	2	0.00320325
serC b0907 at	230.622	2	0.00622665
IG 608 957965 958034 fwd at	159.048	0	0.0864242
aroA b0908 at	330.97	2	0.00529677
IG 609 959319 959462 fwd at	478.593	0	0.801637
ycaL b0909 at	66.078	1	0.0625767
IG 610 960252 960423 fwd at	130.423	2	0.000327479
cmk b0910 at	992.414	2	0.00269283
IG 611 961108 961217 fwd at	4483.46	2	0.00049077
rpsA b0911 at	4299.07	2	0.000402638
IG 612 962892 963050 fwd at	1401.38	2	0.00993898
himD b0912 at	2663.02	2	0.000734887
IG 613 963336 963464 fwd at	726.028	0	0.366636
ycaI b0913 at	130.545	0	0.0957232
IG 614 965808 965843 fwd at	286.679	2	0.000244141
msbA b0914 at	475.085	2	0.00459071
ycaH b0915 at	430.04	2	0.000402638
IG 615 968576 968611 fwd at	176.991	0	0.219482
ycaQ b0916 at	110.907	0	0.304618
IG 616 969845 969895 fwd at	2400.61	2	0.00049077
ycaR b0917 at	1712.83	2	0.00782678
kdsB b0918 at	692.831	2	0.000327479
IG 617 970822 970974 fwd at	954.686	2	0.000327479
b0919 at	778.989	2	0.000493549
ycbC b0920 at	281.584	2	0.0206634
IG 618 971869 972759 fwd at	44.098	0	0.181744
IG 619 972625 983741 rev at	108.739	2	0.000216714
smtA b0921 at	1316.15	2	0.000761638
mukF b0922 at	702.161	2	0.000402638
mukE b0923 at	788.38	2	0.00157146
mukB b0924 at	366.546	2	0.00529677
IG 620 980010 980269 fwd at	193.923	2	0.000327479
ycbB b0925 at	414.986	2	0.0044925
IG 621 982118 982297 fwd at	1624.11	2	0.000327479
ycbK b0926 at	1687.53	2	0.000402638
ycbL b0927 at	825.566	2	0.000892689
IG 622 983521 989844 fwd at	112.593	2	9,93E-04
aspC b0928 at	1650.97	2	0.00049077
IG 623 984933 985116 rev at	448.749	2	0.000402638
ompF b0929 at	14329.6	2	0.000327479
IG 624 986206 986807 rev at	520.989	2	0.000493549
asnS b0930 at	437.003	2	0.0129214
IG 625 988209 988376 rev at	673.794	2	0.00049077
pncB b0931 at	509.363	2	0.000734887
IG 626 989580 992499 rev at	775.411	2	0.0171156
pepN b0932 at	1149	2	0.000327479
IG 627 992458 997081 fwd at	24.773	0	0.147517
ycbE b0933 at	506.041	0	0.41014
ycbM b0934 at	92.567	0	0.254899
ycbN b0935 at	446.001	0	0.51252
ycbO b0936 at	414.197	0	0.165268
ycbP b0937 at	100.653	0	0.318883
IG 628 996736 1005713 rev at	153.917	0	0.998137
ycbQ b0938 at	499.668	1	0.0558844
IG 629 997631 997712 fwd at	16.641	0	0.995507
ycbR b0939 at	755.017	0	0.41014
ycbS b0940 at	104.664	0	0.110449
b0941 at	764.892	0	0.230151
b0942 at	283.797	0	0.254899
b0943 at	977.598	0	0.254899
ycbF b0944 at	176.432	0	0.0698779
IG 630 1003881 1003990 fwd at	640.773	2	0.0267372
pyrD b0945 at	147.564	2	0.0267372
IG 631 1005002 1005138 fwd at	185.911	2	0.0204441
ycbW b0946 at	736.598	2	0.00622665
b0947 at	328.985	2	0.0177324
IG 632 1005718 1007066 fwd at	106.585	2	0.0072983
IG 633 1006824 1015174 rev at	498.097	2	0.00547455
ycbY b0948 at	298.165	2	0.000327479
uup b0949 at	506.081	2	0.0442012
IG 634 1011095 1011223 fwd at	332.112	2	0.000327479
pqiA b0950 at	238.434	2	0.0391461
pqiB b0951 at	253.037	2	0.0072983
ymbA b0952 at	273.728	2	0.0072983
IG 635 1014683 1014937 fwd at	270.905	2	0.00622665
rmf b0953 at	9965.33	2	0.000327479
IG 636 1015106 1017707 fwd at	516.21	2	1,21E-03
fabA b0954 at	875.206	2	0.0277665
IG 637 1015694 1015761 rev at	850.46	2	0.000327479
b0955 at	505.645	2	0.00049077
IG 638 1017523 1018235 rev at	113.909	2	0.0204503
ycbG b0956 at	1940.48	2	0.0044925
IG 639 1018161 1020360 fwd at	322.439	2	2,32E-02
ompA b0957 at	10785.3	2	0.000612512
IG 640 1019277 1019632 rev at	1311.41	2	0.000327479
sulA b0958 at	638.258	2	0.00049077
IG 641 1020143 1020952 rev at	566.822	2	0.00269283
b0959 at	343.788	2	0.0178004
b0960 at	132.774	2	0.0129214
IG 642 1020991 1023693 fwd at	125.448	0	0.304618
yccF b0961 at	143.52	0	0.0789057
IG 643 1023572 1025779 rev at	739.149	0	0.0998524
helD b0962 at	406.249	2	0.000603158
IG 644 1025749 1027087 fwd at	461.737	0	0.149892
mgsA b0963 at	4026.12	2	0.000327479
IG 645 1026248 1026333 rev at	524.457	2	0.034572
b0964 at	123.327	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 646 1026997 1027626 rev at	188.211	2	0.0375977
b0965 at	666.396	2	0.000892689
IG 647 1027583 1029286 fwd at	269.129	2	0.000603158
yccV b0966 at	2132.98	2	0.00116472
b0967 at	279.651	2	0.00116472
IG 648 1029106 1029561 rev at	102.895	2	0.0133783
b0968 at	234.797	0	0.11649
yccK b0969 at	294.601	2	0.00130539
IG 649 1029566 1031361 fwd at	284.172	2	0.0215121
IG 650 1029949 1029981 rev at	313.388	2	0.00195313
yccA b0970 at	2021.94	2	0.00049077
IG 651 1030642 1030847 rev at	338.265	2	0.0206634
serT b0971 at	222.495	2	0.000612512
IG 652 1030936 1041252 rev at	708.942	2	1,08E+00
hyaA b0972 at	899.401	0	0.769849
hyaB b0973 at	142.37	1	0.0625767
hyaC b0974 at	100.301	2	0.00320325
hyaD b0975 at	721.468	0	0.230151
hyaE b0976 at	515.458	0	0.51252
hyaF b0977 at	20.129	0	0.611787
IG 653 1036830 1036962 fwd at	295.839	0	0.969554
appC b0978 at	142.915	1	0.0625767
appB b0979 at	515.546	0	0.345472
IG 654 1039656 1039839 fwd at	217.953	2	0.0133783
appA b0980 at	894.683	0	0.345472
IG 655 1041139 1049249 fwd f at	435.132	2	0.0487428
yccC b0981 at	184.392	2	0.00260662
yccY b0982 at	218.873	0	0.703191
yccZ b0983 at	117.765	0	0.216313
IG 656 1045027 1045071 rev at	0.006772	0	0.968066
ymcA b0984 at	41.02	0	0.432352
ymcB b0985 at	183.288	0	0.51252
ymcC b0986 at	882.738	0	0.153312
IG 657 1048556 1048661 rev at	182.501	0	0.976587
ymcD b0987 at	237.51	2	0.0178004
IG 658 1048986 1050185 rev f at	175.884	2	0.0006321
IG 659 1049754 1050683 fwd at	674.828	2	5,28E+00
cspH b0989 at	122.831	2	0.0391461
IG 660 1050399 1051511 rev at	409.987	0	0.14822
cspG b0990 at	415.398	2	0.000603158
IG 661 1050897 1051069 fwd at	987.348	2	0.0178004
sfa b0991 at	428.312	2	0.0044925
IG 662 1051301 1055483 fwd at	374.406	2	0.00495139
yccM b0992 at	498.581	0	0.413046
IG 663 1052586 1052656 rev at	756.799	2	0.00049077
torS b0993 at	144.107	2	0.0421419
IG 664 1055372 1056484 rev at	414.332	0	0.216313
torT b0994 at	298.584	0	0.859735
torR b0995 at	168.143	2	0.000761638
IG 665 1056513 1057306 fwd at	646.249	0	0.366636
IG 666 1057178 1061772 rev at	210.096	2	0.00363552
torC b0996 at	101.859	0	0.266065
torA b0997 at	529.773	2	0.00928336
torD b0998 at	737.762	2	0.0391461
IG 667 1061622 1063258 fwd at	882.473	0	0.791733
yccD b0999 at	250.515	0	0.110449
cbpA b1000 at	867.577	2	0.000493549
IG 668 1062999 1066086 rev at	113.905	0	0.526119
yccE b1001 at	289.373	1	0.0558844
IG 669 1064516 1064807 fwd at	199.711	0	0.28503
agp b1002 at	3000.42	2	0.000327479
IG 670 1066050 1067140 fwd at	577.768	0	0.579733
yccJ b1003 at	200.55	2	0.0133783
wrbA b1004 at	476.397	2	0.00108112
IG 671 1066932 1067733 rev at	347.762	0	0.241105
ycdF b1005 at	181.651	2	0.0178004
IG 672 1067372 1073464 fwd at	315.632	2	0.0420669
ycdG b1006 at	639.322	0	0.364945
b1007 at	154.862	0	0.194093
IG 673 1069542 1069587 rev at	53.417	2	0.000327479
b1008 at	541.508	0	0.413046
b1009 at	115.438	0	0.611218
b1010 at	253.869	2	0.0442012
b1011 at	115.879	0	0.122747
b1012 at	368.483	0	0.235169
IG 674 1073235 1074142 rev at	434.231	2	0.0239349
ycdC b1013 at	77.894	0	0.477354
IG 675 1074104 1078527 fwd at	954.975	2	0.00238754
putA b1014 at	1087.8	2	0.000761638
IG 676 1078106 1085328 rev f at	394.363	2	0.00368331
putP b1015 at	1640.7	2	0.000327479
IG 677 1080037 1080569 fwd at	177.547	2	0.00269283
b1016 at	435.373	0	0.155448
b1017 at	172.308	0	0.832862
IG 678 1081409 1081465 fwd at	426.777	0	0.388782
ycdO b1018 at	656.053	2	0.0304463
ycdB b1019 at	123.294	0	0.0957232
IG 679 1083871 1084214 fwd f at	100.358	2	0.000561689
phoH b1020 at	353.969	2	0.000493549
IG 680 1085280 1092098 fwd at	75.215	0	0.401809
ycdP b1021 at	152.917	2	0.0204441
ycdQ b1022 at	118.323	2	0.0320196
ycdR b1023 at	520.194	2	0.00782678
ycdS b1024 at	343.749	2	0.00143241
IG 681 1091513 1093497 rev f at	275.864	2	2,84E+00
ycdT b1025 at	185.07	2	0.0178004
IG 682 1093458 1094745 fwd f at	152.506	2	0.00391911
tra5 3 b1026 s at	431.735	0	0.5
IG 683 1094670 1096787 rev f at	353.634	0	0.596315
b1028 at	471.525	0	0.75224
ycdU b1029 at	33.198	2	0.0497698
IG 684 1096053 1096170 fwd at	272.698	0	0.786736
ycdV b1031 s at	184.316	0	0.640625
IG 685 1096604 1097069 fwd f at	978.925	2	0.0320747
IG 686 1096876 1100073 rev at	916.994	2	1,38E-01
ycdW b1033 at	871.751	2	0.000892689
IG 687 1098048 1098101 fwd at	430.043	2	0.000327479
ycdX b1034 at	453.983	2	0.0044925
ycdY b1035 at	306.971	2	0.0115479
IG 688 1099418 1099470 fwd at	224.305	2	0.000327479
ycdZ b1036 at	621.572	2	0.00269283
IG 689 1100011 1103173 fwd at	252.733	0	0.20872
csgG b1037 at	727.341	0	0.150145
csgF b1038 at	111.618	2	0.00157146
csgE b1039 at	502.155	0	0.889551
csgD b1040 at	20.363	0	0.216313
IG 690 1102420 1107006 rev at	164.246	2	0.00881788
csgB b1041 at	633.568	0	0.127994
IG 691 1103630 1103669 fwd at	271.698	2	0.000976563
csgA b1042 at	178.171	0	0.153312
IG 692 1104126 1104183 fwd at	246.276	0	0.165039
csgC b1043 at	170.781	0	0.45478
IG 693 1104517 1104636 fwd at	69.277	0	0.45478
b1044 at	654.996	2	0.0072983
IG 694 1104949 1105042 fwd at	401.145	2	0.015454
b1045 at	769.469	2	0.00214285
ymdC b1046 at	152.337	2	0.000603158
IG 695 1107000 1108557 fwd at	144.078	2	0.0267372
ymdD b1047 at	127.914	2	0.0206634
IG 696 1108165 1113029 rev f at	241.742	2	0.0405715
mdoG b1048 at	1923.87	2	0.000612512
mdoH b1049 at	100.21	2	0.00188612
IG 697 1112630 1112801 fwd at	392.916	2	0.000935716
yceK b1050 at	191.467	2	0.0072983
IG 698 1113030 1116029 fwd at	125.909	2	0.0166344
msyB b1051 at	1105.71	2	0.000892689
b1052 at	138.671	0	0.09375
yceE b1053 at	177.12	2	0.00148832
IG 699 1114714 1114884 rev at	194.366	2	0.00459071
htrB b1054 at	1088.43	2	0.00049077
IG 700 1115806 1117123 rev f at	159.299	2	0.0150384
yceA b1055 at	444.593	2	0.0072983
IG 701 1117083 1124784 fwd at	429.192	2	0.00556038
yceI b1056 at	309.365	2	0.00049077
b1057 at	50.896	0	0.388782
IG 702 1118270 1118529 rev at	183.554	0	0.122747
yceO b1058 at	243.842	0	0.960854
solA b1059 at	138.772	0	0.388782
IG 703 1119810 1119923 rev at	375.775	2	0.00529677
yceP b1060 at	5160.85	2	0.000327479
IG 704 1120179 1120464 rev at	334.524	0	0.181343
dinI b1061 at	212.92	2	0.00175518
IG 705 1120711 1120783 rev at	100.706	1	0.0547106
pyrC b1062 at	478.695	2	0.00130539
IG 706 1121831 1121935 rev at	722.529	2	0.000612512
yceB b1063 at	455.252	2	0.0151637
