Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P07014	1	1	0	1	1	1	5	F1	DHSB_ECOLI	0.4	1.51E+00	3.68E+02	0.33	18.95	9524.82					0.3	0.23	0.88	0.52	 	  	0.26	 	0.12	0.12	 	0.12	0.12			F1
P07021	0	0	0	1	0	0	1	I	YFIB_ECOLI																										
P07102	0	0	0	1	0	0	1	G	PPA_ECOLI																										
P07109	0	0	0	1	0	1	2	F1	HISP_ECOLI																										F1
P07650	1	1	0	1	0	1	4	B	TYPH_ECOLI	2.65	4.48E+02	1.00E+04	0.47	1.33	62.27																				B
P07654	0	0	0	1	0	1	2	B	PSTA_ECOLI																										B
P07821	0	0	1	1	0	1	3	F1	FHUC_ECOLI							0.0046236	462.36																		F1
P07822	0	0	0	1	0	1	2	G	FHUD_ECOLI																										G
P08200	1	1	0	1	0	1	4	B	IDH_ECOLI	2.5	3.15E+02	8.19E+03		77.14	3190.93			19479.77																	B
P08331	1	1	0	1	0	1	4	G	CPDB_ECOLI	0.18	5.09E-01	1.95E+02	0.35	0	19.43				1022.77																G
P08370	0	0	0	1	0	0	1	G	YGDB_ECOLI																										
P08371	0	0	0	1	0	0	1	B	PPDB_ECOLI																										
P08395	0	1	0	1	1	1	4	B	SPPA_ECOLI					0.42	20.37					0.1	 	0.03	 	 	  	0.15	 	0.05	 	 	0.21	0.05			B
P08400	0	0	1	1	0	1	3	B	PHOR_ECOLI							0.0042354	423.54	244.15																	B
P08401	0	0	0	1	0	1	2	B	CREC_ECOLI																										B
P08506	0	1	0	1	1	1	4	F2	DACC_ECOLI					1.61	74.94					0.29	0.07	0.21	0.14	 	  	0.08	 	0.67	 	0.44	  	0.44			F2
P08550	0	0	0	1	0	0	1	B	CVPA_ECOLI																										
P08839	1	1	0	1	1	1	5	F1	PT1_ECOLI	2.23	1.69E+02	5.70E+03	0.5	16.48	627.12			4259.89	12496.93	0.11	 	  	 	 	0.11	 	0.11	  	 						F1
P09152	1	1	1	1	0	1	5	F1	NARG_ECOLI	0.07	1.63E-01	1.01E+02	0.52	2.11	97.41	0.0011744	117.44																		F1
P09348	0	0	0	1	0	0	1	B	MOTA_ECOLI																										
P09391	1	0	0	1	0	1	3	B	GLPG_ECOLI	0.29	9.31E-01	2.78E+02	0.28																						B
P09394	0	1	0	1	0	1	3	G	GLPQ_ECOLI					3.49	158.66				17195.26																G
P09546	1	1	1	1	1	1	6	F1	PUTA_ECOLI	0.35	1.25E+00	3.29E+02	0.37	5.74	257.02	0.0053439	534.39			0.07	 	  	0.07	 	  	0.07									F1
P09549	0	0	1	1	0	1	3	B	DEDD_ECOLI							0.00031834	31.834																		B
P09836	0	0	0	1	0	0	1	B	UHPC_ECOLI																										
P0A6A0	0	0	0	1	0	1	2	B	UBIB_ECOLI																										B
P0A6E9	0	0	1	1	0	0	2	B	BIOD2_ECOLI							0.0012663	126.63																		
P0A6H8	0	0	0	1	1	1	3	B	CLS_ECOLI											0.19	 	  	0.19												B
P0A6J1	0	0	0	1	0	1	2	B	CYSC_ECOLI																										B
P0A6J3	1	0	0	1	0	1	3	B	CYSZ_ECOLI	0.4	1.51E+00	3.68E+02	0.28																						B
P0A6J5	1	1	0	1	1	1	5	F1	DADA_ECOLI	0.11	2.74E-01	1.37E+02		4.88	220					0.38	 	0.62	0.38	 	0.14	 									F1
P0A6Q6	1	1	1	1	1	1	6	F1	FABZ_ECOLI	1.83	6.71E+01	3.33E+03		50.79	2.128	0.10519	10519	801.61		0.51	0.43	0.43	1.47	 	0.13	0.23	 	0.22	 	0.72	  	0.43			F1
P0A6S0	0	0	0	1	1	0	2	I	FLGH_ECOLI											0.32	0.08	0.35	0.58	 	0.46	 	 	  	0.13						
P0A6X3	1	1	1	1	1	1	6	F1	HFQ_ECOLI	2.25	1.77E+02	5.85E+03	0.41	2.16	99.64	1.434	143400			0.36	0.36	   	0.36	 	  	0.36									F1
P0A6Y8	1	1	1	1	1	1	6	F1	DNAK_ECOLI	3.5	3.16E+03	3.12E+04		42.75	1.801	1.0305	103050	13814.81	77953.98	0.15	0.05	  	 	 	0.45	0.05	 	  	0.05						F1
P0A6Z3	1	1	0	1	1	1	5	F1	HTPG_ECOLI	1.49	2.96E+01	2.07E+03		20.13	867.51			2890.97	5017.95	0.08	 	0.09	 	 	  	0.05	 	  	0.09						F1
P0A734	1	1	0	1	0	1	4	F1	MINE_ECOLI	0.83	5.81E+00	8.05E+02	0.32	25.83	1104.73			3289.85	2013.57																F1
P0A754	0	0	0	1	0	0	1	F1	KEFF_ECOLI																										
P0A756	0	0	0	1	0	1	2	F1	KEFG_ECOLI																										F1
P0A759	1	1	0	1	0	1	4	B	NAGB_ECOLI	0.6	2.98E+00	5.46E+02	0.5	3.22	146.75																				B
P0A766	0	0	0	1	0	1	2	B	RNFA_ECOLI																										B
P0A769	0	0	0	1	0	0	1	B	MNTH_ECOLI																										
P0A7B1	0	1	1	1	1	1	5	F1	PPK_ECOLI					0.14	7.02	0.010591	1059.1			0.27	  	0.49	0.38	 	0.13	 	0.22	  	0.13						F1
P0A7B3	0	0	1	1	0	1	3	F1	PPNK_ECOLI							0.006953	695.3																		F1
P0A7E1	1	1	0	1	1	1	5	F1	PYRD_ECOLI	0.15	4.13E-01	1.73E+02		9.96	438.54				3004.38	0.28	0.12	0.59	0.12												F1
P0A7E5	1	1	0	1	1	1	5	B	PYRG_ECOLI	1.23	1.60E+01	1.45E+03		13.03	569.03				3451.84	0.09	 	0.11	 	 	  	0.05	 	0.17	0.05	 	  	0.05			B
P0A7H3	0	0	1	1	0	0	2	B	RECO_ECOLI							0.00011574	11.574																		
P0A7J0	1	1	1	1	0	1	5	F1	RIBB_ECOLI	1.78	5.89E+01	3.09E+03	0.47	4.01	181.53	0.080874	8087.4	935.76	5753.06																F1
P0A855	1	1	1	1	1	1	6	G	TOLB_ECOLI	1.07	1.08E+01	1.15E+03	0.44	6.85	305.07	0.0014268	142.68	762.03	894.92	0.42	0.2	0.65	0.8	 	  	0.07	 	0.74	 	0.15	  	0.32			G
P0A879	0	0	0	1	0	1	2	B	TRPB_ECOLI									4460.49	10035.9																B
P0A8R7	0	0	0	1	1	1	3	B	YCJF_ECOLI											0.08	 	0.08	 	 	  	0.08									B
P0A8S5	0	0	0	1	0	0	1	B	USPB_ECOLI																										
P0A8U0	0	0	1	1	0	1	3	F1	SYDP_ECOLI							0.0057764	577.64																		F1
P0A8X2	1	0	0	1	0	1	3	G	YCEI_ECOLI	0.2	5.85E-01	2.12E+02	0.42																						G
P0A8X4	0	0	1	1	0	0	2	G	YCCT_ECOLI							0.0001377	13.77																		
P0A8Z3	0	0	1	1	0	1	3	F1	YBGC_ECOLI							0.022371	2237.1																		F1
P0A901	0	1	0	1	1	1	4	I	BLC_ECOLI					0.93	44.02					0.59	 	0.59	 												I
P0A908	1	1	0	1	1	1	5	H	MIPA_ECOLI	0.5	2.16E+00	4.53E+02		7.25	322.33					0.31	  	   	0.25	 	  	0.12	0.4	0.12	0.25	0.25	0.57	0.25	 	  	H
