Merge ID	Ishihama2008_fin	Masuda2009_fin2	Taniguchi2010_fin_mmol	PengTable_fin	Thein_MergeMethods	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	CAI	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)	APEX	2D mol/cell	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	Localization
P0AC30	0	1	1	1	1	1	5	B	FTSX_ECOLI					1	42.64	0.011834	1183.4			0.11	  	0.09	0.09	 	  	0.18	 	  	0.09						B
P0AC41	1	1	0	1	1	1	5	F1	DHSA_ECOLI	0.43	1.68E+00	3.92E+02	0.52	13.96	334.59			114.05	3260.07	0.29	 	0.46	0.14	 	0.22	0.28	 	0.56	0.05	0.41	0.05	0.48			F1
P0AC44	0	1	0	1	1	1	4	B	DHSD_ECOLI					315.23	12491.64					0.65	0.21	0.53	0.84	1.03	  	 									B
P0AC55	0	1	0	1	0	0	2	F1	GLNK_ECOLI					30.62	1302.81																				
P0AC75	1	0	1	1	1	1	5	B	KDTA_ECOLI	0.13	3.34E-01	1.53E+02	0.32			0.0042705	427.05			0.15	  	0.07	  	 	0.14	0.31	 	  	0.07	 	  	0.14			B
P0AC98	0	0	0	1	0	1	2	B	YAAH_ECOLI																										B
P0ACB7	0	1	1	1	1	1	5	B	HEMY_ECOLI					1.23	57.72	0.00075754	75.754			0.27	0.15	0.33	0.24	 	0.23	0.51	0.24	0.42	0.42	0.24	0.07	0.24	 	0.15	B
P0ACE0	0	1	0	1	1	1	4	F2	MBHM_ECOLI					0.81	39					0.2	 	0.17	 	0.23	  	 									F2
P0ACJ0	1	1	0	1	1	1	5	B	LRP_ECOLI	1.22	1.57E+01	1.43E+03		11.92	521.98			1974.17		1.42	0.63	2.7	0.92												B
P0ACJ5	0	0	0	1	0	0	1	B	YBAO_ECOLI																										
P0ACN2	0	0	0	1	0	0	1	B	YTFH_ECOLI																										
P0ACS9	0	0	0	1	0	1	2	B	ACRR_ECOLI																										B
P0ACV0	0	0	0	1	0	1	2	B	HTRB_ECOLI																										B
P0ACV2	0	0	0	1	0	0	1	B	DDG_ECOLI																										
P0ACX0	0	0	0	1	0	0	1	B	YDGC_ECOLI																										
P0AD03	0	0	0	1	0	0	1	B	YEBS_ECOLI																										
P0AD12	1	1	0	1	0	1	4	G	YEEZ_ECOLI	0.23	7.01E-01	2.36E+02		2.87	131.26			795.12																	G
P0AD14	0	0	0	1	1	1	3	B	YEHU_ECOLI											0.05	 	0.05	 												B
P0AD17	0	0	0	1	0	0	1	B	YOHC_ECOLI																										
P0AD19	0	0	0	1	0	0	1	B	YOHK_ECOLI																										
P0AD27	0	0	0	1	1	1	3	B	YEJM_ECOLI											0.1	 	  	0.1												B
P0AD30	0	0	0	1	0	1	2	B	YFCA_ECOLI																										B
P0AD59	0	0	0	1	0	0	1	G	IVY_ECOLI									7170.32																	
P0AD65	0	0	0	1	1	1	3	B	PBP2_ECOLI											0.19	  	0.15	0.15	0.37	0.27	0.37	 	0.05	0.15	 	  	0.15	 	0.09	B
P0AD68	0	1	0	1	1	1	4	B	FTSI_ECOLI					0.13	6.53					0.1	 	0.11	0.11	0.05	0.11	 									B
P0AD70	0	0	0	1	0	0	1	G	AMPH_ECOLI																										
P0AD96	1	0	1	1	0	1	4	G	LIVJ_ECOLI	0.45	1.85E+00	4.14E+02				0.0034425	344.25																		G
P0AD99	0	0	0	1	0	1	2	B	BRNQ_ECOLI																										B
P0ADA5	1	1	1	1	1	1	6	I	YAJG_ECOLI	1.5	3.06E+01	2.11E+03	0.45	6.74	300.32	0.0048273	482.73			0.38	 	  	0.06	0.56	  	0.35	 	0.81	 	0.35	0.35	0.16			I
P0ADB1	0	1	0	1	1	1	4	I	OSME_ECOLI					16.78	727.17					2.67	1.67	4.85	4.85	 	1.69	 	 	  	0.28						I
P0ADC6	0	1	0	1	0	1	3	B	LPTG_ECOLI					0.44	21.31																				B
P0ADD2	0	0	0	1	0	0	1	B	YJJB_ECOLI																										
P0ADD5	0	0	0	1	0	0	1	B	YJJP_ECOLI																										
P0ADE4	0	0	0	1	1	1	3	H	YTFM_ECOLI											0.09	 	0.05	0.1	 	0.16	 	0.1	0.05	 						H
P0ADI4	1	0	0	1	0	0	2	F1	ENTB_ECOLI	0.85	6.02E+00	8.21E+02	0.39																						
P0ADK0	1	1	1	1	1	1	6	E	YIAF_ECOLI	0.5	2.16E+00	4.53E+02	0.33	12.34	540	8.46E-05	8.4625			0.15	 	  	0.05	 	  	0.13	 	  	0.13	 	  	0.28			E
P0ADL1	0	0	0	1	0	1	2	B	NEPI_ECOLI																										B
P0ADL3	0	0	0	1	0	1	2	B	YICN_ECOLI																										B
P0ADM4	0	0	0	1	0	1	2	E	YIDQ_ECOLI																										E
P0ADM8	0	0	0	1	0	1	2	B	YIEE_ECOLI																										B
P0ADP2	0	1	0	1	0	1	3	B	YIGI_ECOLI					1.37	64.08																				B
P0ADR0	0	0	0	1	0	0	1	B	YQAA_ECOLI																										
P0ADR2	0	0	0	1	0	0	1	B	YGDD_ECOLI																										
P0ADS6	1	1	1	1	0	1	5	G	YGGE_ECOLI	1.63	4.12E+01	2.51E+03	0.34	34.11	1446.53	0.0012477	124.77																		G
P0ADS9	1	0	0	1	0	1	3	G	YGGN_ECOLI	0.42	1.61E+00	3.82E+02	0.38						862.96																G
P0ADU5	1	1	0	1	0	0	3	G	YGIW_ECOLI	0.5	2.16E+00	4.53E+02		2.73	125.04																				
P0ADV1	0	1	0	1	0	1	3	G	LPTA_ECOLI					1.15	54.08																				G
P0ADV7	1	1	1	1	0	1	5	G	YRBC_ECOLI	1.17	1.37E+01	1.32E+03	0.47	1.25	58.63	0.00094203	94.203	270.52	2173.38																G
P0ADV9	0	0	0	1	0	1	2	B	LPTC_ECOLI																										B
P0ADY1	1	1	0	1	1	1	5	B	PPID_ECOLI	0.73	4.41E+00	6.86E+02		5.38	241.38					0.39	 	  	0.24	 	  	0.1	 	1.12	 	0.33	0.1	0.46			B
P0ADZ7	1	1	1	1	1	1	6	B	YAJC_ECOLI	1.33	2.05E+01	1.68E+03	0.54	30.62	1302.81	1.3695	136950			0.58	0.29	0.29	0.66	 	  	0.06	0.29	0.66	0.66	0.66	0.66	0.66	0.29	1.76	B
P0AE14	0	0	0	1	1	1	3	B	AMPE_ECOLI											0.1	 	0.1	 												B
P0AE28	0	0	0	1	0	1	2	B	AROM_ECOLI																										B
P0AE34	0	0	0	1	1	1	3	B	ARTQ_ECOLI											0.13	0.13	  	 												B
P0AE45	0	1	1	1	1	1	5	B	YTFL_ECOLI					0.31	15.17	0.0076349	763.49			0.12	 	  	0.05	 	  	0.29	 	0.14	 	 	0.07	0.07			B
P0AE74	0	0	0	1	0	0	1	B	CITT_ECOLI																										
P0AE82	0	0	0	1	1	1	3	B	CPXA_ECOLI											0.16	0.25	0.25	0.12	 	0.13	 	 	0.06	 						B
P0AE91	1	1	0	1	0	1	4	G	CREA_ECOLI	0.5	2.16E+00	4.53E+02	0.32	0.87	41.26																				G
P0AE95	0	0	0	1	0	0	1	G	CSGE_ECOLI																										
P0AEA2	0	0	1	1	0	0	2	I	CSGG_ECOLI							0.0011837	118.37																		
P0AEA5	0	0	1	1	0	0	2	B	CYOE_ECOLI							0.0028573	285.73																		
P0AEB2	1	1	1	1	1	1	6	F2	DACA_ECOLI	0.68	3.81E+00	6.29E+02	0.47	8.12	359.76	0.0021441	214.41		1310.42	0.75	0.05	0.21	0.27	 	  	0.15	 	2.63	 	0.77	  	1.2			F2
P0AEB5	0	0	0	1	0	1	2	B	YNAI_ECOLI																										B
P0AEC0	0	0	0	1	0	1	2	B	YOAE_ECOLI																										B
P0AEC3	1	1	1	1	1	1	6	B	ARCB_ECOLI	0.06	1.60E-01	9.99E+01		0.66	31.57	0.021952	2195.2			0.12	 	0.26	0.19	 	0.08	 	 	0.04	 	 	0.04	0.08			B
P0AED0	1	1	0	1	0	1	4	F1	USPA_ECOLI	1.25	1.68E+01	1.49E+03	0.51	30.62	1302.81			3355.84	9396.67																F1
P0AEE1	1	1	1	1	1	1	6	E	DCRB_ECOLI	0.56	2.59E+00	5.04E+02		6.94	308.96	0.0027357	273.57			1.9	1.78	3.18	1.78	 	0.87	 									E
P0AEF8	0	0	0	1	0	1	2	B	DPPB_ECOLI																										B
P0AEG6	1	1	1	1	0	1	5	G	DSBC_ECOLI	1.13	1.23E+01	1.25E+03	0.4	0.47	22.71	0.00042587	42.587	312.01	2652.8																G
P0AEH1	0	0	0	1	0	1	2	B	RSEP_ECOLI																										B
P0AEJ0	0	0	0	1	0	1	2	B	EMRB_ECOLI																										B
P0AEJ4	0	0	0	1	0	1	2	B	ENVZ_ECOLI																										B
P0AEK4	1	1	1	1	1	1	6	F1	FABI_ECOLI	2.82	6.57E+02	1.25E+04	0.6	99	4064.14	0.14585	14585	5184.69	17291.14	0.15	 	0.25	 	0.12	0.12	 	 	0.12	 						F1
P0AEK7	0	0	0	1	0	0	1	B	FDNI_ECOLI																										
P0AEL0	1	0	0	1	0	1	3	B	FDOI_ECOLI	0.4	1.51E+00	3.68E+02	0.37																						B
P0AEL6	0	0	1	1	0	1	3	G	FEPB_ECOLI							0.0035951	359.51																		G
P0AEP3	1	1	0	1	1	1	5	B	GALU_ECOLI	1.08	1.11E+01	1.17E+03	0.4	12.59	550			1351.69	2397.11	0.17	 	0.21	 	0.21	  	 	0.1	  	 						B
P0AEQ3	1	1	0	1	0	1	4	G	GLNH_ECOLI	1	9.00E+00	1.04E+03	0.56	4.82	216.98			2121.26	16396.22																G
P0AER0	0	0	0	1	0	1	2	B	GLPF_ECOLI																										B
P0AER3	0	0	0	1	0	1	2	B	GLTJ_ECOLI																										B
P0AER5	0	0	0	1	0	1	2	B	GLTK_ECOLI																										B
P0AES9	0	1	1	1	0	0	3	G	HDEA_ECOLI					2.16	99.64	0.018774	1877.4		7830.56																
P0AET2	0	0	1	1	0	0	2	G	HDEB_ECOLI							0.0068204	682.04																		
P0AEU0	1	1	1	1	0	1	5	G	HISJ_ECOLI	1	9.00E+00	1.04E+03	0.4	1.15	54.08	0.001017	101.7	8230.56	4282.83																G
P0AEX3	1	0	0	1	0	1	3	B	KGTP_ECOLI	0.43	1.68E+00	3.92E+02	0.24																						B
P0AEX9	1	1	0	1	0	1	4	G	MALE_ECOLI	0.91	7.19E+00	9.10E+02	0.52	12.18	533.01			1857.09	1725.92																G
P0AEY1	0	0	0	1	0	1	2	B	MARC_ECOLI																										B
P0AEY5	1	1	0	1	0	1	4	B	MDAB_ECOLI	0.2	5.85E-01	2.12E+02	0.46	2.51	115.26																				B
P0AEY8	0	0	0	1	0	1	2	B	MDFA_ECOLI																										B
P0AEZ3	1	1	0	1	1	1	5	F1	MIND_ECOLI	1.17	1.37E+01	1.32E+03		14.01	610.48			367.83	5369.52	0.36	 	0.7	 	0.37	0.24	0.37	 	  	0.11						F1
P0AEZ7	0	0	1	1	0	1	3	I	MLTD_ECOLI							0.00031653	31.653																		I
P0AF06	0	0	0	1	0	0	1	B	MOTB_ECOLI																										
P0AF20	0	1	1	1	1	1	5	B	NAGC_ECOLI					0.17	8.47	0.015562	1556.2			0.29	0.15	0.64	0.53	 	0.07	 	 	  	0.07						B
P0AF34	0	0	0	1	0	1	2	B	YIIR_ECOLI																										B
P0AF40	0	0	0	1	0	1	2	B	YIJD_ECOLI																										B
P0AF56	0	0	0	1	0	0	1	G	YJCO_ECOLI																										
P0AF70	0	0	0	1	1	1	3	I	YJEI_ECOLI											0.59	0.25	0.64	0.83	 	  	0.65									I
P0AF80	0	0	0	1	0	0	1	B	YJFL_ECOLI																										
P0AF82	0	0	0	1	0	0	1	G	YJFN_ECOLI																										
P0AFA2	0	0	0	1	0	1	2	B	NARX_ECOLI																										B
P0AFB1	1	1	1	1	0	1	5	I	NLPI_ECOLI	0.15	4.25E-01	1.76E+02		0.36	17.54	0.0018244	182.44																		I
P0AFC3	1	1	1	1	1	1	6	B	NUOA_ECOLI	1	9.00E+00	1.04E+03	0.4	3.64	165.27	0.070659	7065.9			0.4	  	0.2	0.45	 	  	0.04	0.45	  	0.75	0.45	0.75	0.45	0.2	0.45	B
P0AFC7	1	1	1	1	1	1	6	F1	NUOB_ECOLI	1	9.00E+00	1.04E+03	0.45	4.41	199.06	0.019762	1976.2		2652.8	0.72	 	0.14	 	 	0.64	 	 	  	1.38						F1
P0AFD1	1	1	1	1	0	1	5	F1	NUOE_ECOLI	0.6	2.98E+00	5.46E+02	0.45	12.89	563.11	0.040065	4006.5																		F1
P0AFD4	0	1	0	1	1	1	4	B	NUOH_ECOLI					1.31	61.36					0.09	 	  	0.09												B
P0AFD6	0	1	0	1	1	1	4	F1	NUOI_ECOLI					6	276.96					0.25	0.16	  	 	 	0.34	 									F1
P0AFE8	0	0	0	1	0	1	2	B	NUOM_ECOLI																										B
P0AFF0	0	0	0	1	1	1	3	B	NUON_ECOLI											0.06	 	  	0.06	 	0.06	0.06									B
P0AFF2	1	0	0	1	1	1	4	B	NUPC_ECOLI	0.18	5.20E-01	1.98E+02	0.51							0.16	  	0.08	0.08	 	0.41	0.41	 	0.08	0.16	 	  	0.08	0.08	  	B
P0AFG8	1	1	1	1	1	1	6	B	ODP1_ECOLI	2.93	8.47E+02	1.45E+04		47.33	3842.58	0.33982	33982	6045.75	990.8	0.18	  	0.07	0.07	 	0.06	0.06	 	0.21	0.1	 	0.52	0.07	0.34	  	B
P0AFH8	1	0	1	1	0	1	4	G	OSMY_ECOLI	0.71	4.18E+00	6.64E+02	0.45			0.0078877	788.77		4059.1																G
P0AFI2	1	1	1	1	1	1	6	F1	PARC_ECOLI	0.15	4.17E-01	1.74E+02	0.42	0.78	37.12	0.010523	1052.3	338.13		0.23	0.08	0.41	0.41	 	0.21	 	0.12	  	0.17						F1
P0AFI5	0	1	1	1	1	0	4	G	PBP7_ECOLI					0.25	12.32	0.0004419	44.19			0.1	0.1	0.1	0.1												
P0AFJ7	1	1	0	1	0	1	4	B	PITA_ECOLI	0.25	7.78E-01	2.50E+02	0.38	2.98	136.13																				B
P0AFK2	0	0	0	1	0	1	2	B	PNUC_ECOLI																										B
P0AFK4	0	0	0	1	0	1	2	B	POTB_ECOLI																										B
P0AFK6	0	0	0	1	0	1	2	B	POTC_ECOLI																										B
P0AFK9	1	1	0	1	0	1	4	G	POTD_ECOLI	1.64	4.29E+01	2.57E+03	0.46	1.15	54.08			669	862.96																G
P0AFL6	0	1	0	1	1	1	4	F1	PPX_ECOLI					0.22	10.88					0.25	  	0.25	0.18	 	0.32	 									F1
P0AFL9	0	0	0	1	0	0	1	B	PQIA_ECOLI																										
P0AFM2	1	0	0	1	0	1	3	G	PROX_ECOLI	1.45	2.75E+01	1.98E+03	0.44						13168.12																G
P0AFP9	0	0	0	1	0	1	2	B	YBHR_ECOLI																										B
P0AFQ2	0	0	0	1	0	1	2	B	YBHS_ECOLI																										B
P0AFQ5	0	0	1	1	0	0	2	G	RUTC_ECOLI							0.00016763	16.763																		
P0AFS9	0	0	0	0	0	1	1	B	YEBA_ECOLI																										B
P0AFU0	0	0	0	1	0	0	1	B	YEJB_ECOLI																										
P0AFV0	0	0	0	1	0	0	1	B	YIBH_ECOLI																										
P0AFV2	0	0	0	1	0	0	1	B	YHID_ECOLI																										
P0AFV4	0	0	0	1	0	1	2	I	SPR_ECOLI																										I
P0AFX9	1	0	0	1	0	1	3	G	RSEB_ECOLI	0.18	5.20E-01	1.98E+02	0.28						2077.49																G
P0AFY2	0	0	0	1	1	1	3	B	SANA_ECOLI											0.12	 	  	0.12												B
P0AFY6	0	0	0	1	0	1	2	B	SBMA_ECOLI																										B
P0AFY8	1	1	1	1	1	1	6	F1	SEQA_ECOLI	1.11	1.19E+01	1.22E+03	0.34	11.59	507.96	0.026038	2603.8	259.56		0.84	0.58	1.49	1.14	 	  	0.16									F1
P0AFZ7	0	0	0	1	0	1	2	B	TRKH_ECOLI																										B
P0AG00	0	1	0	1	1	1	4	B	WZZE_ECOLI					0.78	37.12				1086.69	0.21	 	0.21	0.29	 	0.27	 	 	  	0.08						B
P0AG27	1	1	1	1	1	1	6	B	YIBN_ECOLI	1	9.00E+00	1.04E+03	0.42	18.31	791.36	0.0087534	875.34			0.76	0.4	0.96	1.5	 	0.48	 	0.48	  	 						B
P0AG71	1	0	1	1	0	1	4	B	RMUC_ECOLI	0.06	1.55E-01	9.79E+01				0.0030663	306.63																		B
P0AG78	0	0	0	1	0	0	1	G	SUBI_ECOLI																										
P0AG80	0	0	1	1	0	1	3	G	UGPB_ECOLI							0.00027521	27.521																		G
P0AG82	1	0	1	1	0	1	4	G	PSTS_ECOLI	0.52	2.34E+00	4.74E+02	0.58			0.016742	1674.2		5785.02																G
P0AG86	1	1	1	1	0	1	5	F1	SECB_ECOLI	1.8	6.21E+01	3.19E+03	0.58	62	2585.84	0.4122	41220	13475.06																	F1
P0AG90	1	1	0	1	1	1	5	B	SECD_ECOLI	0.69	3.89E+00	6.38E+02	0.47	2.73	125.04					0.6	  	0.54	0.4	 	  	0.08	0.16	0.62	1.27	0.33	1.27	0.62	0.62	0.78	B
P0AG93	1	1	0	1	1	1	5	B	SECF_ECOLI	0.22	6.68E-01	2.29E+02	0.42	1.78	83					0.09	 	  	0.08	0.09	  	 									B
P0AG99	0	1	0	1	1	1	4	B	SECG_ECOLI					9	398					0.3	0.3	  	 												B
P0AGA2	1	1	0	1	1	1	5	B	SECY_ECOLI	1.14	1.29E+01	1.28E+03		4.88	220					0.54	  	0.09	  	 	2.19	 	 	  	0.22	 	0.09	0.09			B
P0AGB0	0	1	0	1	0	1	3	B	SERB_ECOLI					0.27	13.27																				B
P0AGB6	1	0	0	1	0	1	3	F1	RPOE_ECOLI	0.22	6.68E-01	2.29E+02	0.26																						F1
P0AGC0	0	0	0	1	0	0	1	B	UHPT_ECOLI																										
P0AGC3	0	1	0	1	0	1	3	G	SLT_ECOLI					0	5.07																				G
P0AGD1	0	0	0	1	0	1	2	G	SODC_ECOLI																										G
P0AGD7	1	1	0	1	1	1	5	F1	SRP54_ECOLI	0.39	1.45E+00	3.59E+02	0.44	7.48	332.24					0.23	  	   	0.29	 	0.29	 	0.14	  	0.21						F1
P0AGF6	1	1	0	1	0	0	3	B	THD2_ECOLI	0.13	3.34E-01	1.53E+02	0.38	1	24.12																				
P0AGH3	0	0	0	1	0	1	2	B	SAPB_ECOLI																										B
P0AGH5	0	0	0	1	0	1	2	B	SAPC_ECOLI																										B
P0AGM0	0	0	0	1	0	0	1	B	YHHT_ECOLI																										
P0AGM5	0	0	0	1	0	1	2	B	SIRB1_ECOLI																										B
P0AGM7	0	1	0	1	0	0	2	B	URAA_ECOLI					1.15	54.08																				
P0AGM9	0	0	0	1	0	0	1	B	YICE_ECOLI																										
P0C066	0	0	0	1	1	1	3	I	MLTC_ECOLI											0.08	0.08	  	 												I
P0C0L7	1	1	0	1	1	1	5	B	PROP_ECOLI	0.36	1.31E+00	3.39E+02	0.34	0.52	25.05					0.12	 	0.15	0.15	 	  	0.06									B
P0C960	0	0	0	1	0	1	2	I	EMTA_ECOLI																										I
P0CB39	1	1	0	1	1	1	5	B	CPTA_ECOLI	0.07	1.79E-01	1.06E+02	0.4	0.53	25.52					0.24	0.1	0.21	0.21	 	0.32	 	 	0.1	0.62	0.05	0.62	0.16	0.16	0.27	B
P10121	1	1	0	1	1	1	5	F1	FTSY_ECOLI	0.57	2.73E+00	5.18E+02	0.44	6.02	269.17					0.06	 	  	0.06												F1
P10346	1	1	0	1	1	1	5	F1	GLNQ_ECOLI	0.33	1.15E+00	3.15E+02	0.46	3.92	177.58				1438.27	0.95	1.21	0.94	0.7												F1
P10378	1	0	1	1	0	1	4	F1	ENTE_ECOLI	0.88	6.50E+00	8.59E+02				0.013405	1340.5																		F1
P10408	1	1	1	1	1	1	6	F1	SECA_ECOLI	0.57	2.73E+00	5.18E+02	0.53	5.17	232.24	0.028944	2894.4	616.88		0.07	  	0.03	0.07	 	0.12	0.12	 	0.1	 	 	0.03	0.07	0.03	0.07	F1
P10423	0	0	0	1	0	0	1	F2	IAP_ECOLI																										
P10441	0	1	1	1	0	1	4	F1	LPXB_ECOLI					0.45	21.78	0.0053436	534.36																		F1
P10905	0	0	0	1	0	1	2	B	UGPA_ECOLI																										B
P10906	0	0	0	1	0	1	2	B	UGPE_ECOLI																										B
P10907	0	0	0	1	0	1	2	F1	UGPC_ECOLI																										F1
P11289	0	0	0	1	0	1	2	I	YFIL_ECOLI																										I
P11349	1	1	1	1	0	1	5	F1	NARH_ECOLI	0.08	2.12E-01	1.17E+02	0.55	1.41	66	0.00043816	43.816																		F1
P11350	0	0	0	1	0	1	2	B	NARI_ECOLI																										B
P11454	1	0	1	1	1	1	5	F1	ENTF_ECOLI	0.45	1.80E+00	4.07E+02				0.012933	1293.3			0.01	  	0.01	  	 	0.01	 									F1
P12008	1	1	0	1	0	1	4	B	AROC_ECOLI	0.23	7.01E-01	2.36E+02		0.33	16.12			290.8	1821.8																B
P12996	1	0	0	1	0	0	2	B	BIOB_ECOLI	0.4	1.51E+00	3.68E+02	0.34					823.28	1757.88																
P13033	0	0	0	1	0	0	1	F1	GLPB_ECOLI										2109.46																
P13518	0	0	1	1	0	1	3	B	YHDA_ECOLI							0.0031104	311.04																		B
P14376	0	0	1	1	1	1	4	B	RCSC_ECOLI							0.0035097	350.97			0.03	 	  	0.03												B
P15877	1	0	0	1	1	1	4	B	DHG_ECOLI	0.52	2.28E+00	4.67E+02	0.41							0.15	 	0.18	0.18	 	  	0.12	 	0.16	 	 	0.16	0.12			B
P15993	0	0	0	1	0	1	2	B	AROP_ECOLI																										B
P16095	1	1	0	1	1	1	5	B	SDHL_ECOLI	0.3	9.95E-01	2.89E+02	0.44	2.55	117.04					0.23	 	0.47	 	0.21	0.14	0.21	 	  	0.14						B
P16430	0	0	0	1	0	0	1	B	HYCD_ECOLI																										
P16431	0	1	1	1	0	0	3	B	HYCE_ECOLI					0.13	6.53	0.00064249	64.249																		
P16676	0	0	0	1	1	1	3	F1	CYSA_ECOLI											0.08	 	  	0.08												F1
P16677	0	0	0	1	0	0	1	F1	PHNC_ECOLI																										
P16678	0	0	1	1	0	0	2	F1	PHNK_ECOLI							0.0068894	688.94																		
P16679	0	0	0	1	0	0	1	F1	PHNL_ECOLI																										
P16682	0	0	1	1	0	0	2	G	PHND_ECOLI							0.0017324	173.24																		
P16700	0	0	0	1	0	1	2	G	CYSP_ECOLI									1329.73																	G
P17334	0	0	0	1	0	0	1	B	PTQC_ECOLI																										
P17443	1	1	1	1	1	1	6	F1	MURG_ECOLI	0.13	3.59E-01	1.60E+02		0.26	12.79	0.0053294	532.94			0.69	0.39	1.68	0.93	 	0.29	 	 	  	0.18						F1
P18200	0	0	0	1	0	0	1	B	PGPA_ECOLI																										
P18390	1	1	0	1	0	0	3	G	YJJA_ECOLI	0.4	1.51E+00	3.68E+02	0.36	0.93	44.02																				
P18392	0	0	0	1	0	1	2	B	RSTB_ECOLI																										B
P18776	0	0	0	1	0	1	2	F2	DMSB_ECOLI																										F2
P18956	0	0	1	1	0	0	2	G	GGT_ECOLI							0.0013207	132.07	330.36																	
P19318	0	0	0	1	0	1	2	F1	NARY_ECOLI																										F1
P19319	0	0	1	1	0	1	3	F1	NARZ_ECOLI							0.00038678	38.678																		F1
P21338	1	0	1	1	0	1	4	G	RNI_ECOLI	0.31	1.03E+00	2.95E+02				0.00060288	60.288																		G
P21345	0	0	0	1	0	1	2	B	GLTP_ECOLI																										B
P21503	0	0	0	1	0	0	1	B	YCAD_ECOLI																										
P21889	1	1	1	1	0	1	5	F1	SYD_ECOLI	1.03	9.75E+00	1.09E+03		9	398	0.071289	7128.9	1675.34																	F1
P21893	0	1	1	1	0	1	4	B	RECJ_ECOLI					0.23	11.36	0.0020851	208.51																		B
P22525	0	0	1	1	0	1	3	B	YCBB_ECOLI							0.0011286	112.86																		B
P22731	0	0	0	1	0	1	2	F1	LIVF_ECOLI																										F1
P23256	0	0	0	1	0	0	1	B	MALY_ECOLI																										
P23524	0	0	1	1	0	0	2	B	GLXK2_ECOLI							0.0010949	109.49																		
P23830	1	1	1	1	1	1	6	F1	PSS_ECOLI	0.15	4.25E-01	1.76E+02	0.35	2.16	99.64	0.036911	3691.1			0.31	0.13	0.13	0.2	 	0.89	0.53	0.44	0.06	 	 	0.13	 			F1
P23837	0	0	1	1	0	1	3	B	PHOQ_ECOLI							0.0027951	279.51																		B
P23843	1	1	0	1	0	1	4	G	OPPA_ECOLI	2.78	6.05E+02	1.20E+04	0.41	11.12	487.98			5256.88	14254.81																G
P23847	1	1	1	1	0	1	5	G	DPPA_ECOLI	0.62	3.16E+00	5.65E+02	0.52	0.58	27.85	0.00011962	11.962	2045.15	35637.02																G
P23865	1	1	0	1	0	1	4	F2	PRC_ECOLI	0.28	9.11E-01	2.74E+02	0.39	2.16	99.64				2365.15																F2
P23878	0	0	0	1	0	1	2	F1	FEPC_ECOLI																										F1
P23886	0	1	1	1	1	1	5	B	CYDC_ECOLI					0.32	15.65	0.0067555	675.55			1.25	 	1.25	 												B
P23894	1	1	1	1	1	1	6	B	HTPX_ECOLI	0.29	9.31E-01	2.78E+02		2.51	115.26	0.0095725	957.25			0.21	 	0.15	0.27												B
P23898	0	0	0	1	0	0	1	I	NLPC_ECOLI																										
P23909	1	1	0	1	1	1	5	B	MUTS_ECOLI	0.05	1.29E-01	8.80E+01		0.45	21.78					0.07	  	0.03	  	 	0.19	 	0.03	  	 	 	  	0.03			B
P23917	1	1	0	1	0	1	4	B	MAK_ECOLI	0.17	4.68E-01	1.86E+02		0.58	27.85																				B
P23930	1	1	0	1	1	1	5	B	LNT_ECOLI	0.17	4.68E-01	1.86E+02		0.26	12.79					2.51	0.59	7.07	2.19	 	  	0.18									B
P24177	0	0	0	1	1	1	3	B	ACRD_ECOLI											0.03	 	0.03	 												B
P24205	1	1	1	1	0	1	5	B	MSBB_ECOLI	0.17	4.68E-01	1.86E+02		0.33	16.12	0.009926	992.6																		B
P24228	0	1	1	1	1	1	5	F2	DACB_ECOLI					0	9.92	0.00049601	49.601			0.19	  	0.2	0.36	 	  	0.13	 	  	0.06						F2
P25522	0	1	1	1	0	1	4	F1	MNME_ECOLI					1.81	83.95	0.067782	6778.2																		F1
P25527	0	0	0	1	0	0	1	B	GABP_ECOLI																										
P25534	0	0	1	1	0	1	3	F1	UBIH_ECOLI							0.0055037	550.37																		F1
P25535	0	0	1	1	0	1	3	B	VISC_ECOLI							0.0095713	957.13																		B
P25714	1	1	0	1	1	1	5	B	OXAA_ECOLI	0.75	4.62E+00	7.04E+02		3.83	173.62					0.16	  	0.17	  	 	  	0.04	 	0.05	0.3	0.05	0.3	0.05	0.23	0.11	B
P25718	0	0	0	1	0	0	1	G	AMY1_ECOLI																										
P25737	0	0	0	1	0	1	2	B	LYSP_ECOLI																										B
P25743	0	0	0	1	0	0	1	B	YCHE_ECOLI																										
P25746	0	1	0	1	0	1	3	F1	HFLD_ECOLI					1.15	54.08																				F1
P26365	0	0	1	1	0	1	3	G	AMIB_ECOLI							0.00015902	15.902																		G
P26458	0	0	0	1	0	0	1	B	APPB_ECOLI																										
P26459	0	0	1	1	0	1	3	B	APPC_ECOLI							0.0012353	123.53																		B
P26647	0	1	0	1	1	1	4	F1	PLSC_ECOLI					1.03	49					0.54	0.29	0.66	0.66												F1
