Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0A9K7	1	1	1	1	0	0	1	5	F1	PHOU_ECOLI	0.43	1	2	0				F1
P0A9M5	1	1	1	1	0	0	1	5	F1	XGPT_ECOLI	0.49	1	2	2	2			F1
P0A9P0	1	1	1	1	0	1	1	6	F1	DLDH_ECOLI	22.38	2	2	2	2			F1
P0A9P4	1	1	1	1	0	0	1	5	G	TRXB_ECOLI	4	2	2	2	2			G
P0A9Q9	1	1	1	1	0	0	1	5	B	DHAS_ECOLI	1.21	1	2	2	2			B
P0A9R7	1	1	1	1	0	0	1	5	F1	FTSE_ECOLI	0.69	1	2	2	2			F1
P0A9U1	0	1	1	1	0	1	1	5	F1	YBHF_ECOLI			2	2	2		0.87566713	F1
P0A9U3	1	1	1	1	0	1	1	6	F1	YBIT_ECOLI	0.39	1	2	2	2		3.250520173	F1
P0A9V1	1	1	1	1	0	0	1	5	F1	LPTB_ECOLI	0.31	1	2	2	2			F1
P0A9W3	1	1	1	1	0	0	1	5	F1	YJJK_ECOLI	2.24	2	2	2	2			F1
P0A9X1	0	1	1	1	0	1	1	5	F1	ZNUC_ECOLI			2	2	2			F1
P0A9X4	1	1	1	1	0	1	1	6	F1	MREB_ECOLI	2.31	2	2	2	2		11.94127538	F1
P0AA53	0	1	1	1	0	0	1	4	B	QMCA_ECOLI			2	2	2			B
P0AA73	0	1	1	1	0	0	1	4	B	YHBE_ECOLI			2	2	2			B
P0AA91	0	1	1	1	0	0	1	4	I	YEAY_ECOLI			2	2	2			I
P0AA93	0	1	1	1	0	0	1	4	B	YPDA_ECOLI			2	2	2			B
P0AA95	0	1	1	1	0	0	1	4	G	YACC_ECOLI			2	2	2			G
P0AAB4	1	1	1	1	0	0	1	5	F1	UBID_ECOLI	2.35	2	2	2	2			F1
P0AAB6	1	1	1	1	0	1	1	6	B	GALF_ECOLI	1.57	1	2	2	2		20.42286656	B
P0AAC4	0	1	1	1	0	0	1	4	B	YBHL_ECOLI			2	2	2			B
P0AAC6	0	1	1	1	0	0	1	4	B	YCCA_ECOLI			2	2	2			B
P0AAD6	1	1	1	1	0	0	1	5	B	SDAC_ECOLI	5.46	2	2	2	2			B
P0AAE0	0	1	1	1	0	0	1	4	B	CYCA_ECOLI			2	2	2			B
P0AAF3	0	1	1	1	0	0	1	4	F1	ARAG_ECOLI			2	0	2			F1
P0AAF6	1	1	1	1	0	1	1	6	F1	ARTP_ECOLI	1.09	1	2	2	2		4.038829609	F1
P0AAG5	0	1	1	1	1	1	1	6	B	MDLB_ECOLI			2	2	2	0	0.339288965	B
P0AAH0	1	1	1	1	0	1	1	6	F1	PSTB_ECOLI	0	0	2	2	2		14.68063249	F1
P0AAH4	0	1	1	1	0	0	1	4	F1	SAPD_ECOLI			2	2	2			F1
P0AAH8	0	1	1	1	0	1	1	5	F1	SAPF_ECOLI			2	2	2		0.552000348	F1
P0AAJ5	1	1	1	1	0	0	1	5	B	FDOH_ECOLI	4	2	2	2	2			B
P0AAJ8	0	1	1	1	0	0	1	4	F2	HYBA_ECOLI			2	2	2			F2
P0AAS0	1	1	1	1	0	0	1	5	B	YLAC_ECOLI	0.51	1	2	2	2			B
P0AAT4	1	1	1	1	0	1	1	6	B	YBDG_ECOLI	0	0	2	2	2		1.392845266	B
P0AAV0	0	1	1	1	0	0	1	4	B	YBGE_ECOLI			2	2	2			B
P0AAX8	1	1	1	1	0	1	1	6	G	YBIS_ECOLI	0.51	1	2	2	2		4.882519782	G
P0AB06	0	1	1	1	0	0	1	4	G	YCBK_ECOLI			2	2	2			G
P0AB10	1	1	1	1	0	1	1	6	E	YMBA_ECOLI	0.24	1	2	2	2			E
P0AB12	0	1	1	1	0	0	1	4	B	YCCF_ECOLI			2	0				B
P0AB24	0	1	1	1	0	1	1	5	G	YCDO_ECOLI			2	2			2.239378212	G
P0AB26	1	1	1	1	0	0	1	5	I	YCEB_ECOLI	0.42	1	2	2	2			I
P0AB38	1	1	1	1	0	0	1	5	I	YCFM_ECOLI	1.15	1	2	2	2			I
P0AB58	1	1	1	1	0	1	1	6	G	YCIM_ECOLI	0.24	1	2	2	0		3.182649139	G
P0AB67	1	1	1	1	0	0	1	5	B	PNTB_ECOLI	0.16	0	2	2				B
P0AB98	1	1	1	1	0	0	1	5	B	ATP6_ECOLI	3.33	2	2	2	2			B
P0ABA6	1	1	1	1	0	1	1	6	F1	ATPG_ECOLI	4.66	2	2	2	2			F1
P0ABB4	1	1	1	1	0	1	1	6	F1	ATPB_ECOLI	3	2	2	2	2			F1
P0ABB8	1	1	1	1	0	1	1	6	B	ATMA_ECOLI	0.11	0	2	2	2		3.779449885	B
P0ABF1	1	1	1	1	0	1	1	6	B	PCNB_ECOLI	1	1	2	2	2		11.3995023	B
P0ABF6	1	1	1	1	1	0	1	6	B	CDD_ECOLI		1	2	2	2	0		B
P0ABF8	0	1	1	1	0	1	1	5	B	PGSA_ECOLI			2	2	2		1.365633334	B
P0ABH0	1	1	1	1	0	1	1	6	F1	FTSA_ECOLI	4.44	2	2	2	2			F1
P0ABI4	1	1	1	1	0	1	1	6	B	CORA_ECOLI	0.75	1	2	0	0		5.366874496	B
