0,15 | 0,33 | 0,24	 | 0,23 | 0,51	0,24 | 0,42 | 0,42	0,24 | 0,07 | 0,24	 | 0,15 | 0,24
0,34 | 1,39 |  	0,16 | 0,08 | 0,35	1,07 | 0,16 | 0,55	0,16 | 1,77 | 0,55	0,34 | 1,39 | 0,55
0,12 | 0,40 | 0,40	 | 0,1 | 0,1	0,25 | 0,12 | 0,12	 | 1,76 | 0,25	0,40 | 0,12 | 0,76
 | 0,67 | 0,09	 | 0,04 | 0,04	 | 0,82 | 0,09	1,16 | 0,98 | 1,16	0,53 |  | 0,82
0,29 | 0,29 | 0,66	 |  | 0,06	0,29 | 0,66 | 0,66	0,66 | 0,66 | 0,66	0,29 | 1,76 | 0,66
0,07 | 0,14 | 0,22	 | 0,04 | 0,09	0,5 | 0,83 | 0,5	0,71 | 0,60 | 0,71	0,50 | 0,31 | 0,31
  | 0,52 | 0,23	 |  | 0,22	0,23 | 0,23 | 0,23	0,23 | 0,88 | 0,52	 | 0,23 | 0,52
0,62 | 0,62 | 0,18	 | 3,66 | 0,67	 | 0,38 | 	 | 1,24 | 0,18	0,91 | 0,38 | 0,18
  | 0,18 | 0,12	 |  | 0,07	0,39 | 0,25 | 0,64	0,12 | 0,93 | 0,32	0,32 | 0,47 | 0,55
 | 0,05 | 0,10	0,09 | 0,09 | 0,3	 | 0,61 | 	0,33 | 0,05 | 0,40	0,15 |  | 0,05
0,19 | 0,29 | 0,41	 |  | 0,11	 | 0,68 | 0,29	 | 0,54 | 0,29	0,41 | 0,19 | 0,41
0,21 | 0,21 | 0,10	0,42 | 1,39 | 	0,33 | 0,1 | 0,1	0,10 | 0,33 | 	0,21 | 0,10 | 0,33
0,10 | 0,21 | 0,21	 | 0,32 | 	 | 0,1 | 0,62	0,05 | 0,62 | 0,16	0,16 | 0,27 | 0,10
  | 0,15 | 0,15	0,37 | 0,27 | 0,37	 | 0,05 | 0,15	 |  | 0,15	 | 0,09 | 
  | 0,45 | 0,13	 |  | 0,08	0,36 | 0,55 | 0,64	0,28 | 0,55 | 0,45	0,55 | 0,28 | 0,45
0,34 | 0,34 | 0,34	 | 0,15 | 0,15	 |  | 0,34	 | 0,34 | 0,79	 |  | 0,34
  | 0,15 | 0,19	 | 0,29 | 0,18	 | 0,28 | 0,23	0,19 |  | 	0,04 | 0,32 | 
0,25 | 0,25 | 0,25	0,14 | 0,36 | 0,42	0,4 | 0,4 | 0,25	0,12 | 0,40 | 	0,12 | 0,40 | 0,25
  | 0,32 | 0,75	0,48 | 0,73 | 1,45	 |  | 0,32	0,32 | 0,32 | 0,32	0,32 | 0,32 | 0,75
  | 0,05 | 0,05	0,65 | 0,94 | 1,3	 | 0,03 | 0,19	 | 0,22 | 0,03	0,13 |  | 0,32
  | 0,08 | 0,08	 | 0,41 | 0,41	 | 0,08 | 0,16	 |  | 0,08	0,08 |  | 0,08
0,26 |   | 0,26	0,65 | 0,98 | 1,36	0,26 |  | 	 | 0,26 | 0,26	0,26 | 0,26 | 0,26
  |   | 0,25	 |  | 0,12	0,4 | 0,12 | 0,25	0,25 | 0,57 | 0,25	 |  | 0,57
  | 0,15 | 0,15	 |  | 0,24	1,49 | 0,42 | 1,16	0,23 | 0,42 | 0,52	0,15 | 0,52 | 0,42
  | 0,07 | 0,07	 | 0,06 | 0,06	 | 0,21 | 0,1	 | 0,52 | 0,07	0,34 |  | 0,25
  | 0,29 |  	 | 0,09 | 0,04	 | 1,13 | 	0,52 | 0,09 | 0,40	0,29 | 0,29 | 0,40
  | 0,20 | 0,45	 |  | 0,04	0,45 |  | 0,75	0,45 | 0,75 | 0,45	0,20 | 0,45 | 0,20
  | 0,17 |  	 |  | 0,04	 | 0,05 | 0,3	0,05 | 0,30 | 0,05	0,23 | 0,11 | 0,30
  | 0,23 |  	 | 0,09 | 0,19	1,27 | 1,78 | 1,78	0,51 | 0,85 | 0,85	0,51 | 1,27 | 1,27
  | 0,17 |  	0,42 | 1,41 | 1,88	 | 1,03 | 0,17	0,48 | 0,48 | 0,88	0,17 |  | 0,61
  | 1,04 |  	 |  | 0,05	2,48 | 1,92 | 1,44	1,04 | 7,50 | 1,44	0,43 | 0,71 | 1,92
  | 0,03 | 0,07	 | 0,12 | 0,12	 | 0,1 | 	 | 0,03 | 0,07	0,03 | 0,07 | 0,03
  | 0,08 | 0,08	 |  | 0,05	 | 0,47 | 0,47	0,26 | 0,17 | 0,17	0,26 |  | 
  |   | 0,25	 |  | 0,26	0,16 | 0,08 | 0,35	 | 0,45 | 	 | 0,08 | 0,25
  | 0,18 |  	 | 0,11 | 0,11	 | 0,65 | 	0,52 |  | 0,28	 |  | 0,08
  | 0,19 |  	0,04 | 0,2 | 0,33	 | 0,09 | 	0,09 |  | 	 |  | 0,09
  | 0,14 |  	0,09 | 0,23 | 0,23	0,3 | 0,39 | 0,22	0,22 | 0,30 | 0,30	0,49 | 0,14 | 0,30
  | 0,07 |  	0,03 | 0,09 | 0,25	 | 0,19 | 	0,19 | 0,06 | 0,19	0,07 |  | 
  | 0,22 |  	 | 0,49 | 1,23	0,22 | 0,22 | 0,22	 | 0,22 | 	 | 0,22 | 
  |   | 0,12	 | 0,18 | 	0,12 | 0,12 | 0,42	 | 0,12 | 0,12	 | 0,34 | 0,26
  |   | 0,12	0,45 | 1,11 | 0,45	 |  | 0,12	 | 0,12 | 	 | 0,12 | 
  |   | 0,05	 | 0,57 | 0,4	0,1 | 0,27 | 0,33	0,10 | 0,27 | 0,21	0,05 | 0,10 | 0,21
  | 0,05 |  	 | 0,11 | 0,18	 |  | 0,15	 | 0,21 | 	0,15 | 0,10 | 0,05
  |   | 0,15	1,69 | 6,25 | 2,45	 | 0,15 | 0,15	 | 0,32 | 0,15	0,07 | 0,07 | 
  | 0,05 |  	 | 0,14 | 0,22	 |  | 0,2	 | 1,22 | 	 |  | 0,10
0,03 |   |  	0,13 | 0,28 | 0,45	 |  | 0,03	 | 0,66 | 	0,47 |  | 0,38
  | 0,13 |  	 | 0,16 | 0,16	 | 0,28 | 0,13	0,13 |  | 0,45	 |  | 0,13
  |  |  	 | 1,04 | 0,27	0,3 | 0,3 | 	 | 0,49 | 0,30	0,30 |  | 0,14
  |   | 0,06	 | 0,56 | 0,25	 | 0,06 | 0,18	 | 0,74 | 	 |  | 0,06
  | 0,03 |  	 | 0,18 | 	 |  | 0,07	 | 0,03 | 	0,03 | 0,03 | 0,07
