ECBD_2383	253773763	1	1	1	1	1	5	1	1	1	1	1	38,0
ECBD_2638	253774014	1	1	1	1	1	5	1	1	1	1	1	22,0
ECBD_2666	253774042	1	1	1	1	1	5	1	1	1	1	1	14,0
ECBD_1968	253773366	1	1	1	1	1	5	1	1	1	1	1	5,0
ECBD_0328	253771754	1		1	1	1	4	1		1	1	1	29,0
ECBD_4257	253775592	1	1	1	1	1	5	1	1	1	1	1	23,0
ECBD_3999	253775338	1	1	1	1	1	5	1	1	1	1	1	11,0
ECBD_0704	253772127	1	1	1	1	1	5	1	1	1	1	1	11,0
ECBD_3831	253775172	1	1	1	1	1	5	1	1	1	1	1	13,0
ECBD_4046	253775384	1	1	1	1	1	5	1	1	1	1	1	26,0
ECBD_2414	253773794	1		1	1	1	4	1		1	1	1	9,0
ECBD_3561	253774914	1	1	1	1	1	5	1	1	1	1	1	18,0
ECBD_4048	253775386	1	1	1	1	1	5	1	1	1	1	1	9,0
ECBD_0434	253771859	1	1	1	1	1	5	1	1	1	1	1	17,0
ECBD_0446	253771871	1	1	1	1	1	5	1	1	1	1	1	10,0
ECBD_4045	253775383	1	1	1	1	1	5	1	1	1	1	1	24,0
ECBD_0448	253771873	1	1	1	1	1	5	1	1	1	1	1	9,0
ECBD_4050	253775388	1	1	1	1	1	5	1	1	1	1	1	6,0
ECBD_0437	253771862	1	1	1	1	1	5	1	1	1	1	1	11,0
ECBD_0438	253771863	1	1	1	1	1	5	1	1	1	1	1	3,0
ECBD_3442	253774796	1	1	1	1	1	5	1	1	1	1	1	22,0
ECBD_2809	253774183	1	1	1	1	1	5	1	1	1	1	1	4,0
ECBD_2818	253774192	1	1	1	1	1	5	1	1	1	1	1	16,0
ECBD_0453	253771878	1	1	1	1	1	5	1	1	1	1	1	9,0
ECBD_0455	253771880	1	1	1	1	1	5	1	1	1	1	1	11,0
ECBD_0450	253771875	1	1	1	1	1	5	1	1	1	1	1	9,0
