Join Name	Files/NonUreaCellEnvelope_1047.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_M_S.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_SFD2.txt
P75800	+			
P76298	+	+		
P76339	+	+		
P76387	+			
P77172	+			
P77306	+			
P77510	+			
Q46901	+			
P0A8Q0	+			
P0AAG5	+			
P0AEP1	+			
P0AFD4	+	+	+	
P76237	+			
P0A6S5	+	+		
P0A8D9	+			
P0A8G6	+	+	+	
P0AAS3	+			
P0AAU2	+			
P0ABM9	+	+		
P0AD42	+	+	+	
P0AEB0	+			
P0AEJ4	+			
P0AEY1	+			
P0AFA7	+	+		
P0AFI9	+	+		
P0AFK4	+			
P0AFV2	+			
P0AFY6	+	+	+	
P0AGH8	+			
P13738	+			
P14176	+	+	+	
P16256	+			
P21365	+	+	+	
P24241	+	+		
P27837	+			
P30149	+			
P39270	+	+		
P39836	+	+		
P42628	+			
P52067	+			
P52094	+	+	+	
P60782	+			
P64572	+			
P67244	+	+		
P67601	+			
P69801	+	+		
P69924	+	+	+	
P75870	+	+		
P75958	+	+	+	
P76630	+			
P77726	+			
Q46824	+			
Q46896	+			
P00363	+	+	+	
P00634	+			
P02918	+	+	+	
P02930	+	+	+	
P02931	+	+	+	
P03004	+	+	+	
P04846	+	+	+	
P05458	+	+	+	
P05825	+	+	+	
P06129	+	+	+	
P06149	+	+	+	
P06282	+	+	+	
P06971	+	+	+	
P07000	+	+	+	
P07024	+	+		
P07109	+	+	+	
P07821	+	+	+	
P08331	+	+	+	
P08506	+	+	+	
P09152	+	+	+	
P09546	+	+	+	
P09551	+	+	+	
P0A6E6	+	+	+	
P0A6Y8	+	+	+	
P0A6Z3	+	+	+	
P0A7A7	+	+	+	
P0A7B1	+	+	+	
P0A7E1	+	+	+	
P0A855	+	+	+	
P0A862	+	+	+	
P0A8K1	+	+	+	
P0A8U0	+	+	+	
P0A901	+			
P0A903	+	+	+	
P0A905	+	+	+	
P0A908	+	+	+	
P0A910	+	+	+	
P0A912	+	+	+	
P0A917	+	+	+	
P0A921	+	+	+	
P0A927	+	+	+	
P0A935	+	+	+	
P0A937	+	+		
P0A940	+	+	+	
P0A9K7	+	+	+	
P0A9P0	+	+	+	
P0A9P4	+	+	+	
P0A9R7	+	+	+	
P0A9V1	+	+	+	
P0AA86	+	+	+	
P0AA91	+	+	+	
P0AAF6	+	+	+	
P0AAH0	+	+	+	
P0AAH4	+	+	+	
P0AAH8	+	+	+	
P0AB10	+	+	+	
P0AB26	+	+	+	
P0AB38	+	+	+	
P0AB58	+	+	+	
P0ABA0	+	+	+	
P0ABA4	+	+	+	
P0ABA6	+	+	+	
P0ABB4	+	+	+	
P0ABC3	+	+	+	
P0ABZ6	+	+	+	
P0AC02	+	+	+	
P0AC41	+	+	+	
P0AC47	+	+	+	
P0ACE0	+	+	+	
P0AD12	+	+	+	
P0AD68	+	+	+	
P0AD96	+	+		
P0ADA3	+	+	+	
P0ADA5	+	+	+	
P0ADB1	+	+	+	
P0ADB7	+	+	+	
P0ADC1	+	+	+	
P0ADE4	+	+	+	
P0ADK0	+	+	+	
P0ADL3	+			
P0ADN6	+	+		
P0ADS6	+	+	+	
P0ADS9	+	+	+	
P0ADV7	+	+	+	
P0ADV9	+	+	+	
P0AE06	+	+	+	
P0AE91	+	+	+	
P0AEB2	+	+	+	
P0AEE1	+	+	+	
P0AEE3	+	+	+	
P0AEG4	+	+	+	
P0AEG6	+	+	+	
P0AEK4	+	+	+	
P0AEQ3	+	+	+	
P0AEU0	+	+	+	
P0AEU7	+	+	+	
P0AEZ3	+	+	+	
P0AF70	+	+		
P0AFB1	+	+	+	
P0AFD6	+	+	+	
P0AFH8	+	+	+	
P0AFI2	+	+	+	
P0AFK9	+	+	+	
P0AFL3	+	+	+	
P0AFM2	+	+	+	
P0AFM6	+	+	+	
P0AFV8	+	+		
P0AFX9	+	+	+	
P0AFY2	+	+	+	
P0AG80	+			
P0AG82	+	+	+	
P0AGC3	+	+	+	
P0AGI8	+	+	+	
P0C066	+			
P0C0V0	+	+	+	
P0C960	+	+		
P0CE48	+			
P10100	+	+	+	
P10121	+	+	+	
P10346	+	+	+	
P10384	+	+	+	
P10408	+	+	+	
P13036	+	+	+	
P14175	+	+	+	
P16700	+	+	+	
P17443	+	+	+	
P17444	+	+	+	
P19926	+	+	+	
P21338	+	+	+	
P23827	+	+	+	
P23830	+	+	+	
P23843	+	+	+	
P23865	+	+	+	
P24228	+	+	+	
P25746	+	+	+	
P25894	+	+	+	
P26648	+	+		
P27303	+	+	+	
P28249	+	+	+	
P28306	+	+	+	
P28635	+	+	+	
P29131	+	+	+	
P30750	+	+	+	
P30859	+	+	+	
P30860	+	+	+	
P31119	+	+	+	
P31433	+	+	+	
P31545	+			
P31554	+	+	+	
P31600	+			
P31827	+			
P32160	+	+	+	
P32176	+	+	+	
P32681	+		+	
P33136	+	+	+	
P33218	+	+	+	
P33363	+	+	+	
P33602	+	+	+	
P36548	+	+	+	
P36649	+	+		
P37194	+		+	
P37615	+			
P37626	+	+	+	
P37648	+	+	+	
P37650	+	+	+	
P37665	+	+	+	
P37690	+	+	+	
P37902	+	+	+	
P39099	+	+	+	
P39265	+			
P39297	+			
P39321	+	+	+	
P40120	+	+	+	
P40710	+	+	+	
P41052	+	+	+	
P45464	+	+	+	
P45523	+	+	+	
P45565	+	+	+	
P45955	+	+	+	
P46022	+	+	+	
P46122	+			
P46130	+	+	+	
P46474	+	+	+	
P52644	+			
P52645	+	+	+	
P60785	+	+	+	
P61320	+	+	+	
P61889	+	+	+	
P63386	+	+	+	
P63883	+	+	+	
P64451	+			
P64596	+	+	+	
P64604	+	+	+	
P65292	+			
P69411	+	+	+	
P69451	+	+	+	
P69776	+	+	+	
P69797	+	+	+	
P69874	+	+	+	
P75777	+	+	+	
P75796	+	+	+	
P75797	+			
P75818	+	+	+	
P75820	+			
P75829	+	+	+	
P75830	+	+	+	
P75853	+			
P75906	+			
P75946	+			
P75957	+	+	+	
P76002	+	+	+	
P76115	+	+	+	
P76116	+	+	+	
P76177	+	+	+	
P76185	+	+	+	
P76193	+	+	+	
P76397	+	+	+	
P76464	+			
P76506	+	+	+	
P76537	+	+	+	
P76578	+	+	+	
P77173	+	+	+	
P77285	+	+	+	
P77330	+	+	+	
P77562	+	+	+	
P77717	+	+	+	
P77774	+	+	+	
P77804	+	+	+	
Q2MB16	+	+	+	
Q46798	+	+	+	
Q46837	+	+	+	
Q47710	+			
P02925	+	+	+	
P0AGI4	+			
P0CE47	+	+	+	
P10907	+	+	+	
P23847	+	+		
P26458	+		+	
P38135	+			
P39172	+		+	
P45766	+			
P46883	+			
P67553	+	+		
P76170	+			
P76223	+			
P76655	+			
P77211	+			
P77737	+	+	+	
P77802	+			
P00350	+	+	+	
P00448	+	+	+	
P00452	+	+	+	
P00490	+	+	+	
P00509	+	+	+	
P00579	+	+	+	
P00722	+	+	+	
P00864	+	+	+	
P00892	+	+	+	
P00934	+	+	+	
P00956	+	+	+	
P00957	+	+	+	
P00959	+	+	+	
P00960	+	+	+	
P00961	+	+	+	
P00962	+	+	+	
P00968	+	+	+	
