Join Name	Files/NonUreaCellEnvelope_1047.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_M_S.txt	Files/Protein Report for 1DG005_L3_SUP_Ecoli_SFD2.txt
P0A9I3		+		
P0A9J0		+	+	
P0A9J4		+	+	
P0A9K1		+	+	
P0A9K3		+	+	
P0A9M0		+	+	
P0A9M5		+	+	
P0A9S7		+		
P0A9T4		+		
P0A9T8		+	+	
P0A9W0		+	+	
P0A9W9		+	+	
P0A9X1		+	+	
P0AA39		+	+	
P0AA97		+	+	
P0AAB4		+	+	
P0AAB6		+	+	
P0AAB8		+		
P0AAC0		+	+	
P0AAC4		+		
P0AAC8		+	+	
P0AAG0		+	+	
P0AAG8		+	+	
P0AAJ5		+	+	
P0AAN1		+	+	
P0AAP3		+	+	
P0AAR3		+	+	
P0AAT9		+	+	
P0AAW1		+	+	
P0AAX8		+	+	
P0AAY6		+	+	
P0AAZ4		+	+	
P0AB06		+	+	
P0AB20		+		
P0AB24		+	+	
P0AB28		+	+	
P0AB83		+	+	
P0ABD3		+		
P0ABD8		+		
P0ABE2		+		
P0ABQ0		+	+	
P0ABR1		+		
P0ABR5		+	+	
P0ABS1		+	+	
P0AC13		+	+	
P0AC16		+		
P0AC59		+	+	
P0AC69		+		
P0AC84		+	+	
P0AC86		+	+	
P0AC92		+	+	
P0ACA3		+	+	
P0ACA7		+		
P0ACC1		+	+	
P0ACC3		+		
P0ACD4		+	+	
P0ACF0		+	+	
P0ACG1		+	+	
P0ACG8		+	+	
P0ACK8		+	+	
P0ACL0		+	+	
P0ACL7		+	+	
P0ACL9		+	+	
P0ACM2		+	+	
P0ACN4		+	+	
P0ACP5		+	+	
P0ACP7		+	+	
P0ACQ0		+	+	
P0ACQ4		+	+	
P0ACR4		+	+	
P0ACR7		+	+	
P0ACR9		+	+	
P0ACS2		+		
P0ACS7		+	+	
P0ACT6		+		
P0ACU0		+	+	
P0ACU2		+	+	
P0ACU7		+	+	
P0ACY3		+		
P0ACZ8		+	+	
P0AD05		+		
P0AD21		+		
P0AD57		+	+	
P0AD99		+		
P0ADA1		+	+	
P0ADE8		+	+	
P0ADF8		+		
P0ADI7		+	+	
P0ADM8		+	+	
P0ADP2		+	+	
P0ADQ2		+	+	
P0ADR8		+	+	
P0ADS2		+	+	
P0ADT5		+	+	
P0ADU2		+		
P0ADV1		+	+	
P0ADX7		+	+	
P0ADX9		+	+	
P0AE01		+	+	
P0AE18		+	+	
P0AE39		+	+	
P0AE48		+	+	
P0AE78		+	+	
P0AEA8		+		
P0AEB5		+	+	
P0AED0		+	+	
P0AEE8		+	+	
P0AEF0		+	+	
P0AEJ2		+	+	
P0AEK0		+	+	
P0AEL6		+	+	
P0AEM0		+	+	
P0AEM4		+		
P0AEN8		+		
P0AEP3		+	+	
P0AER3		+	+	
P0AES0		+		
P0AEU3		+		
P0AEV1		+	+	
P0AEX9		+		
P0AEY5		+	+	
P0AEY8		+		
P0AEZ9		+	+	
P0AF03		+		
P0AF08		+	+	
P0AF10		+		
P0AF24		+	+	
P0AF28		+	+	
P0AF50		+		
P0AFB8		+	+	
P0AFC0		+		
P0AFH0		+	+	
P0AFK2		+		
P0AFP9		+		
P0AFS5		+		
P0AFT5		+	+	
P0AFU4		+	+	
P0AFW0		+	+	
P0AFX0		+	+	
P0AFZ1		+		
P0AG03		+		
P0AG18		+		
P0AG40		+	+	
P0AGA6		+	+	
P0AGB0		+	+	
P0AGD3		+	+	
P0AGF6		+		
P0AGG4		+	+	
P0AGG8		+	+	
P0AGM5		+		
P0C0K3		+	+	
P0C0T5		+		
P0C0U4		+	+	
P0C5W4		+		
P10442		+	+	
P11349		+	+	
P11446		+	+	
P11875		+	+	
P11880		+	+	
P12008		+		
P12281		+	+	
P12282		+		
P12295		+		
P13001		+	+	
P13024		+	+	
P13669		+	+	
P14294		+	+	
P14375		+		
P15005		+		
P15028		+	+	
P15031		+	+	
P15042		+	+	
P15254		+	+	
P15770		+	+	
P16384		+	+	
P16433		+		
P16525		+	+	
P16676		+	+	
P17115		+	+	
P17117		+	+	
P17445		+		
P17846		+	+	
P17854		+	+	
P17888		+	+	
P17993		+	+	
P18196		+	+	
P18335		+	+	
P18775		+	+	
P18843		+	+	
P19319		+	+	
P19624		+	+	
P20083		+	+	
P20605		+		
P21165		+	+	
P21179		+	+	
P21367		+	+	
P21515		+	+	
P21645		+		
P21693		+	+	
P21866		+	+	
P21888		+	+	
P21893		+		
P22106		+	+	
P22188		+	+	
P22255		+	+	
P22256		+	+	
P22524		+	+	
P22525		+	+	
P22634		+	+	
P22731		+		
P22939		+	+	
P23721		+	+	
P23836		+	+	
P23839		+	+	
P23862		+	+	
P23878		+	+	
P23882		+	+	
P23908		+	+	
P24171		+		
P24186		+	+	
P24188		+	+	
P24192		+		
P24193		+	+	
P24202		+	+	
P24230		+	+	
P24251		+	+	
P25397		+	+	
P25534		+	+	
P25535		+	+	
P25553		+	+	
P26612		+		
P26646		+	+	
P27240		+		
P27247		+	+	
P27248		+	+	
P27297		+		
P27305		+		
P27431		+		
P27550		+	+	
P27828		+	+	
P27829		+		
P27848		+	+	
P27862		+	+	
P28246		+		
P28248		+	+	
P28304		+	+	
P28305		+	+	
P28630		+	+	
P28903		+	+	
P29013		+	+	
P29217		+	+	
P29680		+		
P30011		+	+	
P30014		+		
P30126		+		
P30128		+	+	
P30138		+		
P30745		+	+	
P30870		+	+	
P30871		+	+	
P30958		+	+	
P31120		+	+	
P31121		+		
P31142		+	+	
P31466		+		
P31473		+		
P31475		+	+	
P31548		+	+	
P31550		+	+	
P31663		+	+	
P31677		+	+	
P31678		+	+	
P31802		+	+	
P31806		+	+	
P31808		+	+	
P32055		+		
P32099		+	+	
P32131		+	+	
P32141		+	+	
P32144		+	+	
P32173		+	+	
P32664		+	+	
P32668		+		
P32680		+		
P32695		+	+	
P33029		+		
P33030		+	+	
P33195		+	+	
P33221		+		
P33355		+		
P33358		+		
P33360		+		
P33366		+		
P33368		+		
P33643		+		
P33913		+		
P33915		+		
P33931		+		
P33937		+		
P33941		+		
P34209		+	+	
P36659		+	+	
P36673		+	+	
P36680		+	+	
P36767		+		
P36771		+	+	
P36999		+	+	
P37005		+		
P37025		+	+	
P37028		+		
P37128		+		
P37177		+	+	
P37182		+	+	
P37188		+	+	
P37313		+	+	
P37338		+		
P37344		+	+	
P37348		+		
P37440		+	+	
P37597		+		
P37624		+	+	
P37634		+	+	
P37640		+		
P37641		+	+	
P37642		+	+	
P37689		+	+	
P37691		+	+	
P37760		+	+	
P37767		+	+	
P37769		+		
P37773		+	+	
P37903		+	+	
P38489		+	+	
P38506		+	+	
P38521		+		
P39163		+	+	
P39173		+	+	
P39176		+	+	
P39208		+	+	
P39286		+	+	
P39309		+		
P39310		+		
P39325		+	+	
P39334		+		
P39337		+	+	
P39343		+		
P39363		+		
P39375		+		
P39384		+		
P39389		+		
P39406		+	+	
P39411		+	+	
P39451		+	+	
P39452		+		
P40191		+		
P41068		+		
P42596		+	+	
P42597		+	+	
P42632		+		
P42641		+	+	
P42904		+	+	
P43672		+	+	
P45524		+	+	
P45552		+	+	
P45578		+	+	
P45799		+	+	
P46118		+	+	
P46482		+		
P46837		+	+	
P46859		+	+	
P46888		+	+	
P46890		+		
P47737		+		
P50456		+	+	
P50465		+	+	
P51020		+	+	
P51024		+	+	
P52007		+		
P52076		+	+	
P55135		+	+	
P56262		+	+	
P60240		+	+	
P60293		+	+	
P60390		+	+	
P60546		+	+	
P60584		+		
P60651		+		
P60720		+	+	
P61887		+		
P62672		+	+	
P63020		+	+	
P63177		+	+	
P63224		+	+	
P63389		+	+	
P64483		+	+	
P64624		+	+	
P65556		+		
P66817		+	+	
P66948		+	+	
P67080		+	+	
P67660		+	+	
P67662		+	+	
P68567		+		
P68688		+		
P68739		+		
P69222		+	+	
P69228		+	+	
P69503		+	+	
P69741		+	+	
P69853		+		
P69913		+	+	
P71242		+		
P71298		+		
P75728		+	+	
P75745		+	+	
P75746		+	+	
P75782		+	+	
P75801		+		
P75809		+	+	
P75817		+	+	
P75838		+	+	
P75849		+	+	
P75863		+	+	
P75874		+		
P75876		+	+	
P75901		+		
P75913		+	+	
P75914		+		
P75915		+	+	
P75919		+	+	
P76014		+	+	
P76016		+		
P76027		+	+	
P76034		+	+	
P76053		+	+	
P76055		+	+	
P76078		+		
P76245		+	+	
P76250		+		
P76251		+	+	
P76256		+	+	
P76268		+	+	
P76270		+		
P76273		+		
P76290		+	+	
P76340		+	+	
P76346		+	+	
P76399		+	+	
P76422		+	+	
P76491		+	+	
P76502		+	+	
P76535		+	+	
P76558		+	+	
P76594		+	+	
P76621		+		
P76909		+	+	
P77179		+		
P77187		+		
P77258		+	+	
P77300		+		
P77301		+		
P77302		+	+	
P77307		+	+	
P77309		+		
P77348		+		
P77395		+	+	
P77433		+	+	
P77439		+		
P77444		+	+	
P77499		+	+	
P77552		+		
P77559		+	+	
P77611		+	+	
P77625		+	+	
P77649		+	+	
P77730		+		
P77736		+	+	
P77739		+	+	
P77744		+		
P77756		+	+	
P77766		+	+	
P77783		+		
P77808		+		
P80645		+		
Q46800		+		
Q46833		+		
Q46855		+	+	
Q46857		+		
Q46871		+		
Q46877		+		
Q46889		+		
Q46920		+	+	
Q46925		+	+	
Q47141		+	+	
Q47147		+	+	
Q47319		+	+	
Q47622		+	+	
Q57261		+	+	
Q6BEX5		+		
Q6BF16		+	+	
Q9S4W2		+		
P00936			+	
P00946			+	
P08244			+	
P09394			+	
P0A6A3			+	
P0A8P8			+	
P0A9B6			+	
P0AAF3			+	
P0ACB2			+	
P0ACH8			+	
P0ADF6			+	
P0ADK6			+	
P0ADQ5			+	
P0AEF4			+	
P0AGK4			+	
P13016			+	
P13518			+	
P14565			+	
P16919			+	
P18004			+	
P23325			+	
P24200			+	
P24232			+	
P24238			+	
P26365			+	
P27111			+	
P28861			+	
P29208			+	
P31467			+	
P37013			+	
P37051			+	
P37651			+	
P39165			+	
P39199			+	
P42593			+	
P43337			+	
P45804			+	
P51981			+	
P52061			+	
P54746			+	
P67095			+	
P69931			+	
P76038			+	
P76347			+	
P76536			+	
P76562			+	
P77689			+	
P80644			+	
Q00042			+	
Q46786			+	
