Join Name	CommonCore	K12	No files found in	CommonCore Duplicates	K12 Duplicates
P0AED7	1	1	2	1	1	EG10208
P0A6K1	1	1	2	1	1	EG10209
P21693	1	1	2	1	1	EG10210
P0AED9	1	1	2	1	1	EG10211
P24171	1	1	2	1	1	EG10212
P0A6J8	1	1	2	1	1	EG10213
P07862	1	1	2	1	1	EG10214
P0A9P6	1	1	2	1	1	EG10215
P0ABP6	1	1	2	1	1	EG10216
P0A9Q5	1	1	2	1	1	EG10217
P09549	1	1	2	1	1	EG10218
P07650	1	1	2	1	1	EG10219
P0A6K6	1	1	2	1	1	EG10220
P0A6L0	1	1	2	1	1	EG10221
P0ABP8	1	1	2	1	1	EG10222
P0ACK5	1	1	2	1	1	EG10223
P0ABN1	1	1	2	1	1	EG10224
P15723	1	1	2	1	1	EG10225
P0ABS1	1	1	2	1	1	EG10230
P06149	1	1	2	1	1	EG10231
P03004	1	1	2	1	1	EG10235
P0ACB0	1	1	2	1	1	EG10236
P0AEF0	1	1	2	1	1	EG10237
P10443	1	1	2	1	1	EG10238
P0ABS5	1	1	2	1	1	EG10239
P08622	1	1	2	1	1	EG10240
P0A6Y8	1	1	2	1	1	EG10241
P0A988	1	1	2	1	1	EG10242
P03007	1	1	2	1	1	EG10243
P06710	1	1	2	1	1	EG10245
P0AEZ7	1	1	2	1	1	EG10246
P23847	1	1	2	1	1	EG10248
P00926	1	1	2	1	1	EG10249
P08555	1	1	2	1	1	EG10250
P06968	1	1	2	1	1	EG10251
P23827	1	1	2	1	1	EG10255
P0A955	1	1	2	1	1	EG10256
P0ADF6	1	1	2	1	1	EG10257
P0A6P9	1	1	2	1	1	EG10258
P15047	1	1	2	1	1	EG10259
P0ADI4	1	1	2	1	1	EG10260
P0AEJ2	1	1	2	1	1	EG10261
P19925	1	1	2	1	1	EG10262
P10378	1	1	2	1	1	EG10263
P11454	1	1	2	1	1	EG10264
P0A725	1	1	2	1	1	EG10265
P24180	1	1	2	1	1	EG10266
P24181	1	1	2	1	1	EG10267
P10805	1	1	2	1	1	EG10268
P0AEJ4	1	1	2	1	1	EG10269
P06616	1	1	2	1	1	EG10270
P0ABU7	1	1	2	1	1	EG10271
P0ABV2	1	1	2	1	1	EG10272
P0A953	1	1	2	1	1	EG10274
P0ABD8	1	1	2	1	1	EG10275
P24182	1	1	2	1	1	EG10276
P0A6R0	1	1	2	1	1	EG10277
P21151	1	1	2	1	1	EG10278
P21177	1	1	2	1	1	EG10279
P10384	1	1	2	1	1	EG10280
P0A8V6	1	1	2	1	1	EG10281
P0A993	1	1	2	1	1	EG10283
P13024	1	1	2	1	1	EG10284
P13036	1	1	2	1	1	EG10286
P15028	1	1	2	1	1	EG10287
P15030	1	1	2	1	1	EG10288
P15029	1	1	2	1	1	EG10289
P15031	1	1	2	1	1	EG10290
P05825	1	1	2	1	1	EG10293
P0AEL6	1	1	2	1	1	EG10294
P23878	1	1	2	1	1	EG10295
P23876	1	1	2	1	1	EG10296
P23877	1	1	2	1	1	EG10298
P0AGD7	1	1	2	1	1	EG10300
P06971	1	1	2	1	1	EG10302
P06972	1	1	2	1	1	EG10303
P07821	1	1	2	1	1	EG10304
P07822	1	1	2	1	1	EG10305
P16869	1	1	2	1	1	EG10306
P20605	1	1	2	1	1	EG10307
P0ADH7	1	1	2	1	1	EG10312
P21645	1	1	2	1	1	EG10316
P0A6R3	1	1	2	1	1	EG10317
P61949	1	1	2	1	1	EG10318
P06974	1	1	2	1	1	EG10323
P15070	1	1	2	1	1	EG10324
P0A9E5	1	1	2	1	1	EG10325
P0ABQ4	1	1	2	1	1	EG10326
P08192	1	1	2	1	1	EG10327
P24186	1	1	2	1	1	EG10328
P05523	1	1	2	1	1	EG10329
P00363	1	1	2	1	1	EG10330
P0AC47	1	1	2	1	1	EG10331
P0AEN1	1	1	2	1	1	EG10334
P0A805	1	1	2	1	1	EG10335
P20966	1	1	2	1	1	EG10336
P0AEW9	1	1	2	1	1	EG10337
P0ACP1	1	1	2	1	1	EG10338
P0ABH0	1	1	2	1	1	EG10339
P0A9R7	1	1	2	1	1	EG10340
P0AD68	1	1	2	1	1	EG10341
P0ADX9	1	1	2	1	1	EG10343
P0ABG4	1	1	2	1	1	EG10344
P0AC30	1	1	2	1	1	EG10345
P10121	1	1	2	1	1	EG10346
P0A9A6	1	1	2	1	1	EG10347
P11553	1	1	2	1	1	EG10350
P11551	1	1	2	1	1	EG10352
P05042	1	1	2	1	1	EG10358
P0A9A9	1	1	2	1	1	EG10359
P0A6M8	1	1	2	1	1	EG10360
P22256	1	1	2	1	1	EG10361
P09147	1	1	2	1	1	EG10362
P03024	1	1	2	1	1	EG10364
P25748	1	1	2	1	1	EG10365
P0A9B2	1	1	2	1	1	EG10367
P0A9B6	1	1	2	1	1	EG10368
P15877	1	1	2	1	1	EG10369
P62620	1	1	2	1	1	EG10370
P0A6T9	1	1	2	1	1	EG10371
P00370	1	1	2	1	1	EG10372
P18956	1	1	2	1	1	EG10374
P0A6U3	1	1	2	1	1	EG10375
P0A6U5	1	1	2	1	1	EG10376
P0A6U8	1	1	2	1	1	EG10377
P07762	1	1	2	1	1	EG10378
P0A6V1	1	1	2	1	1	EG10379
P0AC86	1	1	2	1	1	EG10380
P15067	1	1	2	1	1	EG10381
P17169	1	1	2	1	1	EG10382
P0A9C5	1	1	2	1	1	EG10383
P0A9Z1	1	1	2	1	1	EG10384
P0AFB8	1	1	2	1	1	EG10385
P0AFB5	1	1	2	1	1	EG10387
P0AEQ6	1	1	2	1	1	EG10388
P10346	1	1	2	1	1	EG10389
P00962	1	1	2	1	1	EG10390
P13035	1	1	2	1	1	EG10394
P0A6V5	1	1	2	1	1	EG10395
P0AER0	1	1	2	1	1	EG10396
P0A6F3	1	1	2	1	1	EG10398
P0ACL0	1	1	2	1	1	EG10400
P08194	1	1	2	1	1	EG10401
P0ABH7	1	1	2	1	1	EG10402
P09831	1	1	2	1	1	EG10403
P09832	1	1	2	1	1	EG10404
P0AER8	1	1	2	1	1	EG10406
P04805	1	1	2	1	1	EG10407
P0A825	1	1	2	1	1	EG10408
P00960	1	1	2	1	1	EG10409
P00961	1	1	2	1	1	EG10410
P25552	1	1	2	1	1	EG10413
P0A6W5	1	1	2	1	1	EG10415
