Join Name	CommonCore	K12	No files found in	CommonCore Duplicates	K12 Duplicates
P0AG93	1	1	2	1	1	EG10940
P0A821	1	1	2	1	1	EG10941
P14081	1	1	2	1	1	EG10942
P16456	1	1	2	1	1	EG10943
P0A9T0	1	1	2	1	1	EG10944
P0AGB0	1	1	2	1	1	EG10945
P23721	1	1	2	1	1	EG10946
P0A8L1	1	1	2	1	1	EG10947
P26616	1	1	2	1	1	EG10948
P0AGC3	1	1	2	1	1	EG10950
P0AGD3	1	1	2	1	1	EG10954
P0AG14	1	1	2	1	1	EG10956
P0ACS2	1	1	2	1	1	EG10957
P0A9E2	1	1	2	1	1	EG10958
P21170	1	1	2	1	1	EG10959
P60651	1	1	2	1	1	EG10960
P21169	1	1	2	1	1	EG10961
P09158	1	1	2	1	1	EG10963
P24169	1	1	2	1	1	EG10964
P60546	1	1	2	1	1	EG10965
P0AG24	1	1	2	1	1	EG10966
P08395	1	1	2	1	1	EG10968
P17115	1	1	2	1	1	EG10973
P15082	1	1	2	1	1	EG10974
P21507	1	1	2	1	1	EG10975
P0AGE0	1	1	2	1	1	EG10976
P0ACA3	1	1	2	1	1	EG10977
P0AFG3	1	1	2	1	1	EG10979
P0AFG6	1	1	2	1	1	EG10980
P0A836	1	1	2	1	1	EG10981
P0AGE9	1	1	2	1	1	EG10982
P0ADG4	1	1	2	1	1	EG10983
P0ABZ6	1	1	2	1	1	EG10985
P05100	1	1	2	1	1	EG10986
P07018	1	1	2	1	1	EG10987
P07017	1	1	2	1	1	EG10988
P0ACQ7	1	1	2	1	1	EG10989
P0AAD8	1	1	2	1	1	EG10991
P07913	1	1	2	1	1	EG10993
P23331	1	1	2	1	1	EG10994
P0AGG2	1	1	2	1	1	EG10995
P0A847	1	1	2	1	1	EG10996
P25522	1	1	2	1	1	EG10997
P0A8M3	1	1	2	1	1	EG11001
P0A884	1	1	2	1	1	EG11002
P0A850	1	1	2	1	1	EG11003
P24555	1	1	2	1	1	EG11004
P23173	1	1	2	1	1	EG11006
P19934	1	1	2	1	1	EG11007
P0A855	1	1	2	1	1	EG11008
P02930	1	1	2	1	1	EG11009
P0ABU9	1	1	2	1	1	EG11010
P0ABV6	1	1	2	1	1	EG11011
P02929	1	1	2	1	1	EG11012
P06612	1	1	2	1	1	EG11013
P14294	1	1	2	1	1	EG11014
P0A858	1	1	2	1	1	EG11015
P05704	1	1	2	1	1	EG11018
P0AGI8	1	1	2	1	1	EG11019
P0AFZ7	1	1	2	1	1	EG11021
P23003	1	1	2	1	1	EG11022
P0A873	1	1	2	1	1	EG11023
P0A879	1	1	2	1	1	EG11025
P00895	1	1	2	1	1	EG11028
P0AA25	1	1	2	1	1	EG11031
P0A9P4	1	1	2	1	1	EG11032
P0A6P1	1	1	2	1	1	EG11033
P02942	1	1	2	1	1	EG11034
P0CE47	1	1	2	1	1	EG11036
P0CE48	1	1	2	1	1	EG11037
P04693	1	1	2	1	1	EG11040
P07604	1	1	2	1	1	EG11042
P0AGJ9	1	1	2	1	1	EG11043
P0AG03	1	1	2	1	1	EG11044
P10907	1	1	2	1	1	EG11048
P0AGA6	1	1	2	1	1	EG11051
P09835	1	1	2	1	1	EG11052
P04152	1	1	2	1	1	EG11056
P0AG11	1	1	2	1	1	EG11057
P12295	1	1	2	1	1	EG11058
P08390	1	1	2	1	1	EG11059
P07024	1	1	2	1	1	EG11060
P0A698	1	1	2	1	1	EG11061
P0A8F8	1	1	2	1	1	EG11062
P0A8G0	1	1	2	1	1	EG11063
P03018	1	1	2	1	1	EG11064
P07118	1	1	2	1	1	EG11067
P09184	1	1	2	1	1	EG11068
P0A8P6	1	1	2	1	1	EG11069
P0A8P8	1	1	2	1	1	EG11071
P04994	1	1	2	1	1	EG11072
P09030	1	1	2	1	1	EG11073
P00944	1	1	2	1	1	EG11074
P09099	1	1	2	1	1	EG11075
P0A9G2	1	1	2	1	1	EG11078
P0AG40	1	1	2	1	1	EG11079
P0AEM0	1	1	2	1	1	EG11080
P62623	1	1	2	1	1	EG11081
P22186	1	1	2	1	1	EG11084
P60390	1	1	2	1	1	EG11085
P0AF12	1	1	2	1	1	EG11090
P0AG76	1	1	2	1	1	EG11094
P0ADZ7	1	1	2	1	1	EG11096
P0A8G9	1	1	2	1	1	EG11098
P0A8B5	1	1	2	1	1	EG11100
P0AEL8	1	1	2	1	1	EG11103
P24077	1	1	2	1	1	EG11104
P0A8Y8	1	1	2	1	1	EG11105
P0A8Z3	1	1	2	1	1	EG11110
P0A968	1	1	2	1	1	EG11111
P0A8P1	1	1	2	1	1	EG11112
P0AAC6	1	1	2	1	1	EG11113
P0AA39	1	1	2	1	1	EG11118
P0A8Z0	1	1	2	1	1	EG11121
P08245	1	1	2	1	1	EG11128
P0A8A4	1	1	2	1	1	EG11132
P23898	1	1	2	1	1	EG11133
P0ACY1	1	1	2	1	1	EG11134
P21369	1	1	2	1	1	EG11135
P0A8A0	1	1	2	1	1	EG11137
P0AD05	1	1	2	1	1	EG11139
P0AED5	1	1	2	1	1	EG11140
P0AA70	1	1	2	1	1	EG11141
P17993	1	1	2	1	1	EG11143
P0AD30	1	1	2	1	1	EG11144
P23842	1	1	2	1	1	EG11145
P23841	1	1	2	1	1	EG11146
P24178	1	1	2	1	1	EG11147
P0AD49	1	1	2	1	1	EG11151
P07021	1	1	2	1	1	EG11152
P0A7X6	1	1	2	1	1	EG11153
P03813	1	1	2	1	1	EG11157
P0AC28	1	1	2	1	1	EG11158
P11667	1	1	2	1	1	EG11159
P0C0S1	1	1	2	1	1	EG11160
P0ADT5	1	1	2	1	1	EG11165
P24197	1	1	2	1	1	EG11166
P0A8H3	1	1	2	1	1	EG11167
P05847	1	1	2	1	1	EG11168
P0AC35	1	1	2	1	1	EG11169
P05852	1	1	2	1	1	EG11171
P11868	1	1	2	1	1	EG11172
P23524	1	1	2	1	1	EG11175
P60340	1	1	2	1	1	EG11177
P0A7G2	1	1	2	1	1	EG11178
P0A8A8	1	1	2	1	1	EG11179
P0A742	1	1	2	1	1	EG11180
P0ADX1	1	1	2	1	1	EG11182
P11557	1	1	2	1	1	EG11183
P24173	1	1	2	1	1	EG11189
P0A6I6	1	1	2	1	1	EG11190
P0C093	1	1	2	1	1	EG11191
P23839	1	1	2	1	1	EG11192
P0AGM9	1	1	2	1	1	EG11194
P25714	1	1	2	1	1	EG11197
P0ACC7	1	1	2	1	1	EG11198
P03817	1	1	2	1	1	EG11199
P0ADP0	1	1	2	1	1	EG11202
P0A6P7	1	1	2	1	1	EG11203
P22634	1	1	2	1	1	EG11204
P08373	1	1	2	1	1	EG11205
P0A8N7	1	1	2	1	1	EG11211
P0AF63	1	1	2	1	1	EG11212
P08368	1	1	2	1	1	EG11218
P0AC53	1	1	2	1	1	EG11221
P04395	1	1	2	1	1	EG11222
P11447	1	1	2	1	1	EG11223
P09151	1	1	2	1	1	EG11226
P24183	1	1	2	1	1	EG11227
P0AAJ3	1	1	2	1	1	EG11228
P0AEK7	1	1	2	1	1	EG11229
P0ACH8	1	1	2	1	1	EG11230
P0A7Q1	1	1	2	1	1	EG11231
P0A7Q6	1	1	2	1	1	EG11232
P25888	1	1	2	1	1	EG11235
P21514	1	1	2	1	1	EG11236
P12994	1	1	2	1	1	EG11238
P21503	1	1	2	1	1	EG11242
P0AAC0	1	1	2	1	1	EG11246
P55135	1	1	2	1	1	EG11247
P0AGM5	1	1	2	1	1	EG11251
P22525	1	1	2	1	1	EG11253
P0A8I8	1	1	2	1	1	EG11254
P0AAT6	1	1	2	1	1	EG11255
P0AAP1	1	1	2	1	1	EG11257
P0AC23	1	1	2	1	1	EG11258
P21499	1	1	2	1	1	EG11259
P22787	1	1	2	1	1	EG11260
P60778	1	1	2	1	1	EG11262
P0A6I0	1	1	2	1	1	EG11265
P11290	1	1	2	1	1	EG11266
P23882	1	1	2	1	1	EG11268
P23367	1	1	2	1	1	EG11281
P0A6Q6	1	1	2	1	1	EG11284
P0AFU4	1	1	2	1	1	EG11285
P23908	1	1	2	1	1	EG11286
P23917	1	1	2	1	1	EG11288
P25747	1	1	2	1	1	EG11290
P25894	1	1	2	1	1	EG11291
P0AG84	1	1	2	1	1	EG11292
P62615	1	1	2	1	1	EG11294
P24554	1	1	2	1	1	EG11296
P25536	1	1	2	1	1	EG11298
P0A9J0	1	1	2	1	1	EG11299
P60716	1	1	2	1	1	EG11306
P25906	1	1	2	1	1	EG11309
P0ABT5	1	1	2	1	1	EG11311
P25531	1	1	2	1	1	EG11312
P0AB89	1	1	2	1	1	EG11314
P26646	1	1	2	1	1	EG11315
P0AAI9	1	1	2	1	1	EG11317
P0AEK2	1	1	2	1	1	EG11318
P0AEP3	1	1	2	1	1	EG11319
P0A8D0	1	1	2	1	1	EG11320
P25539	1	1	2	1	1	EG11321
P61714	1	1	2	1	1	EG11322
P25534	1	1	2	1	1	EG11324
P25516	1	1	2	1	1	EG11325
P25524	1	1	2	1	1	EG11326
P0AA82	1	1	2	1	1	EG11327
P0A9R4	1	1	2	1	1	EG11328
P25526	1	1	2	1	1	EG11329
P25527	1	1	2	1	1	EG11330
P0A7I7	1	1	2	1	1	EG11331
P0A8F0	1	1	2	1	1	EG11332
P25535	1	1	2	1	1	EG11333
P25772	1	1	2	1	1	EG11334
P25736	1	1	2	1	1	EG11336
P25737	1	1	2	1	1	EG11337
P25740	1	1	2	1	1	EG11339
P25742	1	1	2	1	1	EG11341
P25743	1	1	2	1	1	EG11342
P25745	1	1	2	1	1	EG11344
P0A8T5	1	1	2	1	1	EG11346
P25798	1	1	2	1	1	EG11347
P27128	1	1	2	1	1	EG11352
P27129	1	1	2	1	1	EG11353
P27303	1	1	2	1	1	EG11354
P0AEM6	1	1	2	1	1	EG11355
P27296	1	1	2	1	1	EG11357
P0A749	1	1	2	1	1	EG11358
P25960	1	1	2	1	1	EG11359
P27305	1	1	2	1	1	EG11362
P26365	1	1	2	1	1	EG11363
P0ACI0	1	1	2	1	1	EG11366
P0AEC5	1	1	2	1	1	EG11367
P0ABU0	1	1	2	1	1	EG11368
P0AGK1	1	1	2	1	1	EG11370
P68398	1	1	2	1	1	EG11372
P0AGC5	1	1	2	1	1	EG11373
P26281	1	1	2	1	1	EG11374
P77667	1	1	2	1	1	EG11378
P26458	1	1	2	1	1	EG11379
P26459	1	1	2	1	1	EG11380
P0AE08	1	1	2	1	1	EG11384
P35340	1	1	2	1	1	EG11385
P26608	1	1	2	1	1	EG11388
P0AFH8	1	1	2	1	1	EG11391
P0ACU5	1	1	2	1	1	EG11394
P0AAB4	1	1	2	1	1	EG11396
P28904	1	1	2	1	1	EG11402
P0AFL6	1	1	2	1	1	EG11403
P0ABU2	1	1	2	1	1	EG11404
P29018	1	1	2	1	1	EG11405
P0AFU8	1	1	2	1	1	EG11406
P0A6J5	1	1	2	1	1	EG11407
P27300	1	1	2	1	1	EG11409
P27249	1	1	2	1	1	EG11411
P28630	1	1	2	1	1	EG11412
P0ABT2	1	1	2	1	1	EG11415
P28903	1	1	2	1	1	EG11417
P28246	1	1	2	1	1	EG11419
P27111	1	1	2	1	1	EG11421
P27302	1	1	2	1	1	EG11427
P0A744	1	1	2	1	1	EG11433
P27245	1	1	2	1	1	EG11435
P27250	1	1	2	1	1	EG11436
P27247	1	1	2	1	1	EG11437
P0A729	1	1	2	1	1	EG11438
P0AEJ0	1	1	2	1	1	EG11439
P0A6K3	1	1	2	1	1	EG11440
P27298	1	1	2	1	1	EG11441
P27248	1	1	2	1	1	EG11442
P0A7Z0	1	1	2	1	1	EG11443
P27550	1	1	2	1	1	EG11448
P0A8R9	1	1	2	1	1	EG11449
P27828	1	1	2	1	1	EG11451
P27829	1	1	2	1	1	EG11452
P27830	1	1	2	1	1	EG11453
P61887	1	1	2	1	1	EG11454
P27833	1	1	2	1	1	EG11456
P27896	1	1	2	1	1	EG11460
P0ABI4	1	1	2	1	1	EG11463
P27844	1	1	2	1	1	EG11466
P0ADP2	1	1	2	1	1	EG11467
P0AG38	1	1	2	1	1	EG11468
P0AG34	1	1	2	1	1	EG11469
P27848	1	1	2	1	1	EG11470
P0ADP5	1	1	2	1	1	EG11471
P0AG71	1	1	2	1	1	EG11472
P0A887	1	1	2	1	1	EG11473
P0A6A0	1	1	2	1	1	EG11476
P69428	1	1	2	1	1	EG11478
P69423	1	1	2	1	1	EG11479
P27862	1	1	2	1	1	EG11484
P0AFI7	1	1	2	1	1	EG11487
P28303	1	1	2	1	1	EG11491
P28304	1	1	2	1	1	EG11492
P28305	1	1	2	1	1	EG11493
P28306	1	1	2	1	1	EG11494
P0A8T1	1	1	2	1	1	EG11497
P0AA73	1	1	2	1	1	EG11499
P28631	1	1	2	1	1	EG11500
P28634	1	1	2	1	1	EG11503
P28635	1	1	2	1	1	EG11504
P0AAI3	1	1	2	1	1	EG11506
P0C0R7	1	1	2	1	1	EG11507
P0AF03	1	1	2	1	1	EG11511
P29013	1	1	2	1	1	EG11516
P28861	1	1	2	1	1	EG11518
P31802	1	1	2	1	1	EG11527
P0AEK4	1	1	2	1	1	EG11528
P29131	1	1	2	1	1	EG11529
P69451	1	1	2	1	1	EG11530
P0A9H7	1	1	2	1	1	EG11531
P29208	1	1	2	1	1	EG11532
P29217	1	1	2	1	1	EG11537
P0A7E9	1	1	2	1	1	EG11539
P0A8G6	1	1	2	1	1	EG11540
P63183	1	1	2	1	1	EG11541
P0ADA1	1	1	2	1	1	EG11542
P29680	1	1	2	1	1	EG11543
P29744	1	1	2	1	1	EG11545
P30011	1	1	2	1	1	EG11546
P30131	1	1	2	1	1	EG11551
P31120	1	1	2	1	1	EG11553
P30143	1	1	2	1	1	EG11555
P0A870	1	1	2	1	1	EG11556
P0A754	1	1	2	1	1	EG11568
P31554	1	1	2	1	1	EG11569
P31680	1	1	2	1	1	EG11570
P30149	1	1	2	1	1	EG11571
P31550	1	1	2	1	1	EG11574
P30126	1	1	2	1	1	EG11575
P0A6A6	1	1	2	1	1	EG11576
P30125	1	1	2	1	1	EG11577
P30128	1	1	2	1	1	EG11578
P0AEP7	1	1	2	1	1	EG11583
P30147	1	1	2	1	1	EG11584
P30136	1	1	2	1	1	EG11585
P30137	1	1	2	1	1	EG11586
P30138	1	1	2	1	1	EG11587
P60720	1	1	2	1	1	EG11591
P30979	1	1	2	1	1	EG11594
P30745	1	1	2	1	1	EG11595
P0AEZ9	1	1	2	1	1	EG11596
P31142	1	1	2	1	1	EG11600
P30870	1	1	2	1	1	EG11602
P30871	1	1	2	1	1	EG11603
P30852	1	1	2	1	1	EG11604
P0AB55	1	1	2	1	1	EG11607
P0A6H8	1	1	2	1	1	EG11608
P0ACZ4	1	1	2	1	1	EG11609
P30855	1	1	2	1	1	EG11610
P0C0L7	1	1	2	1	1	EG11612
P30845	1	1	2	1	1	EG11613
P30844	1	1	2	1	1	EG11614
P30843	1	1	2	1	1	EG11615
P69937	1	1	2	1	1	EG11616
P30847	1	1	2	1	1	EG11617
P69228	1	1	2	1	1	EG11618
P30958	1	1	2	1	1	EG11619
P30850	1	1	2	1	1	EG11620
P30750	1	1	2	1	1	EG11621
P77265	1	1	2	1	1	EG11622
P30744	1	1	2	1	1	EG11623
P0AAF6	1	1	2	1	1	EG11624
P30859	1	1	2	1	1	EG11625
P0AE34	1	1	2	1	1	EG11626
P0AE30	1	1	2	1	1	EG11627
P30860	1	1	2	1	1	EG11628
P31133	1	1	2	1	1	EG11629
P31134	1	1	2	1	1	EG11630
P31135	1	1	2	1	1	EG11631
P0AFL1	1	1	2	1	1	EG11632
P31122	1	1	2	1	1	EG11636
P0AEY1	1	1	2	1	1	EG11637
P31125	1	1	2	1	1	EG11639
P31126	1	1	2	1	1	EG11640
P31129	1	1	2	1	1	EG11643
P31131	1	1	2	1	1	EG11645
P0ABD5	1	1	2	1	1	EG11647
P30863	1	1	2	1	1	EG11648
P30864	1	1	2	1	1	EG11649
P30866	1	1	2	1	1	EG11651
P0AEE3	1	1	2	1	1	EG11652
P0ABZ1	1	1	2	1	1	EG11654
P31068	1	1	2	1	1	EG11656
P0A9T8	1	1	2	1	1	EG11657
P31064	1	1	2	1	1	EG11660
P0A9K9	1	1	2	1	1	EG11663
P60932	1	1	2	1	1	EG11665
P0A738	1	1	2	1	1	EG11666
Q06065	1	1	2	1	1	EG11668
P76458	1	1	2	1	1	EG11669
P76459	1	1	2	1	1	EG11670
P76461	1	1	2	1	1	EG11672
P0AC16	1	1	2	1	1	EG11673
P60782	1	1	2	1	1	EG11674
P31057	1	1	2	1	1	EG11675
P0A7B8	1	1	2	1	1	EG11676
P31119	1	1	2	1	1	EG11679
P0A9V1	1	1	2	1	1	EG11680
P0AFX0	1	1	2	1	1	EG11681
P69829	1	1	2	1	1	EG11682
P0AGM2	1	1	2	1	1	EG11683
P31436	1	1	2	1	1	EG11687
P0ADL1	1	1	2	1	1	EG11689
P31440	1	1	2	1	1	EG11691
P31442	1	1	2	1	1	EG11693
P0A9C3	1	1	2	1	1	EG11698
P62707	1	1	2	1	1	EG11699
P0A8F4	1	1	2	1	1	EG11701
P32664	1	1	2	1	1	EG11702
P0AE06	1	1	2	1	1	EG11703
P31224	1	1	2	1	1	EG11704
P31449	1	1	2	1	1	EG11707
P31453	1	1	2	1	1	EG11711
P0AA76	1	1	2	1	1	EG11715
Q6BF16	1	1	2	1	1	EG11716
P31460	1	1	2	1	1	EG11718
P31462	1	1	2	1	1	EG11720
P31463	1	1	2	1	1	EG11721
P0AGE6	1	1	2	1	1	EG11723
P31466	1	1	2	1	1	EG11724
P31467	1	1	2	1	1	EG11725
P31474	1	1	2	1	1	EG11732
P31475	1	1	2	1	1	EG11733
P0A9K1	1	1	2	1	1	EG11734
P63228	1	1	2	1	1	EG11736
P31547	1	1	2	1	1	EG11737
P0ACT2	1	1	2	1	1	EG11741
P31826	1	1	2	1	1	EG11742
P31663	1	1	2	1	1	EG11746
P0A790	1	1	2	1	1	EG11747
P31801	1	1	2	1	1	EG11753
P31675	1	1	2	1	1	EG11754
P31660	1	1	2	1	1	EG11756
P0AF67	1	1	2	1	1	EG11757
P31806	1	1	2	1	1	EG11758
P31808	1	1	2	1	1	EG11759
P0ACA1	1	1	2	1	1	EG11762
P0AFV0	1	1	2	1	1	EG11764
P0AGH1	1	1	2	1	1	EG11767
P33667	1	1	2	1	1	EG11768
P0AFE8	1	1	2	1	1	EG11773
P31979	1	1	2	1	1	EG11774
P75736	1	1	2	1	1	EG11776
P0A8I5	1	1	2	1	1	EG11779
P0A832	1	1	2	1	1	EG11782
P0AGJ5	1	1	2	1	1	EG11786
P0AC88	1	1	2	1	1	EG11787
P32055	1	1	2	1	1	EG11788
P0ADR2	1	1	2	1	1	EG11793
P0ADR6	1	1	2	1	1	EG11794
P0A9F6	1	1	2	1	1	EG11795
P0A867	1	1	2	1	1	EG11797
P36646	1	1	2	1	1	EG11798
P0AAJ8	1	1	2	1	1	EG11799
P0ACE0	1	1	2	1	1	EG11801
P37182	1	1	2	1	1	EG11802
P0A703	1	1	2	1	1	EG11804
P0AAM7	1	1	2	1	1	EG11805
P33221	1	1	2	1	1	EG11809
P33195	1	1	2	1	1	EG11810
P33224	1	1	2	1	1	EG11811
P33222	1	1	2	1	1	EG11812
P0A840	1	1	2	1	1	EG11817
P0A8X2	1	1	2	1	1	EG11820
P69681	1	1	2	1	1	EG11821
P37906	1	1	2	1	1	EG11822
P36548	1	1	2	1	1	EG11823
P0AA60	1	1	2	1	1	EG11824
P38134	1	1	2	1	1	EG11826
P32125	1	1	2	1	1	EG11828
P32173	1	1	2	1	1	EG11829
P0C0K3	1	1	2	1	1	EG11831
P32131	1	1	2	1	1	EG11836
P32132	1	1	2	1	1	EG11837
P0ACM9	1	1	2	1	1	EG11838
P32144	1	1	2	1	1	EG11849
P0A8K8	1	1	2	1	1	EG11851
P0A6M4	1	1	2	1	1	EG11852
P0AEL0	1	1	2	1	1	EG11856
P0AAJ5	1	1	2	1	1	EG11857
P32176	1	1	2	1	1	EG11858
P32177	1	1	2	1	1	EG11859
P32157	1	1	2	1	1	EG11870
P32662	1	1	2	1	1	EG11871
P0A8R0	1	1	2	1	1	EG11879
P0A6H5	1	1	2	1	1	EG11881
P25396	1	1	2	1	1	EG11883
P25397	1	1	2	1	1	EG11884
P33136	1	1	2	1	1	EG11885
P0AGG4	1	1	2	1	1	EG11887
P0AGJ7	1	1	2	1	1	EG11888
P33013	1	1	2	1	1	EG11893
P0AA47	1	1	2	1	1	EG11896
P0AGB6	1	1	2	1	1	EG11897
P0A9S5	1	1	2	1	1	EG11904
P32669	1	1	2	1	1	EG11905
P32672	1	1	2	1	1	EG11908
P69816	1	1	2	1	1	EG11909
P32676	1	1	2	1	1	EG11912
P32677	1	1	2	1	1	EG11913
P0AF43	1	1	2	1	1	EG11919
P32689	1	1	2	1	1	EG11926
P68206	1	1	2	1	1	EG11928
P0AC51	1	1	2	1	1	EG11929
P32695	1	1	2	1	1	EG11932
P32701	1	1	2	1	1	EG11938
P0AF52	1	1	2	1	1	EG11939
P32703	1	1	2	1	1	EG11940
P32705	1	1	2	1	1	EG11942
P0AAK7	1	1	2	1	1	EG11946
P32710	1	1	2	1	1	EG11948
P32711	1	1	2	1	1	EG11949
P32712	1	1	2	1	1	EG11950
P0AF56	1	1	2	1	1	EG11951
P32721	1	1	2	1	1	EG11959
P0AG07	1	1	2	1	1	EG11960
P33231	1	1	2	1	1	EG11961
P0ACL7	1	1	2	1	1	EG11962
P33232	1	1	2	1	1	EG11963
P33234	1	1	2	1	1	EG11966
P33235	1	1	2	1	1	EG11967
P0ACS5	1	1	2	1	1	EG11969
P0AC05	1	1	2	1	1	EG11975
P0AC07	1	1	2	1	1	EG11976
P33135	1	1	2	1	1	EG11977
P37744	1	1	2	1	1	EG11978
P37745	1	1	2	1	1	EG11979
P33341	1	1	2	1	1	EG11988
P0AFT5	1	1	2	1	1	EG12006
P0AD14	1	1	2	1	1	EG12007
P33359	1	1	2	1	1	EG12009
P33361	1	1	2	1	1	EG12011
P33363	1	1	2	1	1	EG12013
P0AFI5	1	1	2	1	1	EG12015
P33366	1	1	2	1	1	EG12017
P33371	1	1	2	1	1	EG12022
P0AD19	1	1	2	1	1	EG12024
P33018	1	1	2	1	1	EG12026
P62723	1	1	2	1	1	EG12027
P33021	1	1	2	1	1	EG12029
P33022	1	1	2	1	1	EG12030
P33024	1	1	2	1	1	EG12032
P33026	1	1	2	1	1	EG12034
P0A6N8	1	1	2	1	1	EG12035
P33029	1	1	2	1	1	EG12036
P33913	1	1	2	1	1	EG12037
P0AFU0	1	1	2	1	1	EG12038
P33915	1	1	2	1	1	EG12040
P33916	1	1	2	1	1	EG12041
P0AA43	1	1	2	1	1	EG12044
P0AD27	1	1	2	1	1	EG12049
P0ABM9	1	1	2	1	1	EG12052
P0AA86	1	1	2	1	1	EG12053
P33927	1	1	2	1	1	EG12054
P69490	1	1	2	1	1	EG12055
P0ABM1	1	1	2	1	1	EG12057
P0ABL8	1	1	2	1	1	EG12058
P33931	1	1	2	1	1	EG12059
P0ABL5	1	1	2	1	1	EG12060
P33934	1	1	2	1	1	EG12062
P33937	1	1	2	1	1	EG12067
P0AAL0	1	1	2	1	1	EG12068
P0AB85	1	1	2	1	1	EG12073
P33591	1	1	2	1	1	EG12076
P0AFA9	1	1	2	1	1	EG12077
P33593	1	1	2	1	1	EG12078
P33594	1	1	2	1	1	EG12079
P33596	1	1	2	1	1	EG12080
P0AFC3	1	1	2	1	1	EG12082
P0AFC7	1	1	2	1	1	EG12083
P33599	1	1	2	1	1	EG12084
P0AFD1	1	1	2	1	1	EG12086
P33602	1	1	2	1	1	EG12087
P0AFD4	1	1	2	1	1	EG12088
P0AFD6	1	1	2	1	1	EG12089
P0AFE0	1	1	2	1	1	EG12090
P0AFE4	1	1	2	1	1	EG12091
P33607	1	1	2	1	1	EG12092
P0AFF0	1	1	2	1	1	EG12093
P0AG99	1	1	2	1	1	EG12095
P33644	1	1	2	1	1	EG12097
P33643	1	1	2	1	1	EG12098
P0A6N4	1	1	2	1	1	EG12099
P33570	1	1	2	1	1	EG12100
P33650	1	1	2	1	1	EG12102
P33030	1	1	2	1	1	EG12104
P0ACR4	1	1	2	1	1	EG12105
P36645	1	1	2	1	1	EG12106
P36647	1	1	2	1	1	EG12107
P37013	1	1	2	1	1	EG12108
P0ADA3	1	1	2	1	1	EG12111
P34749	1	1	2	1	1	EG12113
P0A7I4	1	1	2	1	1	EG12114
P0ACS9	1	1	2	1	1	EG12116
P37052	1	1	2	1	1	EG12119
P0AFR0	1	1	2	1	1	EG12120
P0AEV1	1	1	2	1	1	EG12121
P36771	1	1	2	1	1	EG12123
P0AEU0	1	1	2	1	1	EG12124
P52094	1	1	2	1	1	EG12125
P60955	1	1	2	1	1	EG12128
P0A6Z1	1	1	2	1	1	EG12130
P0AAC8	1	1	2	1	1	EG12132
P0AA67	1	1	2	1	1	EG12134
P36554	1	1	2	1	1	EG12136
P40710	1	1	2	1	1	EG12137
P0ACR2	1	1	2	1	1	EG12140
P37597	1	1	2	1	1	EG12141
P0AAD6	1	1	2	1	1	EG12142
P36938	1	1	2	1	1	EG12144
P0A894	1	1	2	1	1	EG12146
P0A9N0	1	1	2	1	1	EG12147
P36561	1	1	2	1	1	EG12150
P36562	1	1	2	1	1	EG12151
P39208	1	1	2	1	1	EG12152
P37758	1	1	2	1	1	EG12153
P0C037	1	1	2	1	1	EG12159
P36929	1	1	2	1	1	EG12163
P0A7A2	1	1	2	1	1	EG12164
P0AB01	1	1	2	1	1	EG12166
P0ACE7	1	1	2	1	1	EG12172
P0ACU7	1	1	2	1	1	EG12176
P69488	1	1	2	1	1	EG12177
P36655	1	1	2	1	1	EG12178
P0A972	1	1	2	1	1	EG12179
P0AC69	1	1	2	1	1	EG12181
Q93K97	1	1	2	1	1	EG12184
P0AEW4	1	1	2	1	1	EG12187
P37177	1	1	2	1	1	EG12188
P36553	1	1	2	1	1	EG12189
P36547	1	1	2	1	1	EG12190
P0AC55	1	1	2	1	1	EG12191
P0A7B3	1	1	2	1	1	EG12192
P36659	1	1	2	1	1	EG12193
P36928	1	1	2	1	1	EG12200
P36673	1	1	2	1	1	EG12202
P0A9Y6	1	1	2	1	1	EG12204
P36999	1	1	2	1	1	EG12207
P37002	1	1	2	1	1	EG12209
P37692	1	1	2	1	1	EG12210
P37617	1	1	2	1	1	EG12215
P0A890	1	1	2	1	1	EG12216
P37619	1	1	2	1	1	EG12217
P37621	1	1	2	1	1	EG12219
P0AGM0	1	1	2	1	1	EG12220
P37623	1	1	2	1	1	EG12221
P37624	1	1	2	1	1	EG12223
P37626	1	1	2	1	1	EG12224
P37631	1	1	2	1	1	EG12229
P0AFJ7	1	1	2	1	1	EG12230
P36837	1	1	2	1	1	EG12232
P68567	1	1	2	1	1	EG12233
P37634	1	1	2	1	1	EG12234
P0AB93	1	1	2	1	1	EG12236
P0AB96	1	1	2	1	1	EG12237
P37636	1	1	2	1	1	EG12240
P37637	1	1	2	1	1	EG12241
P63201	1	1	2	1	1	EG12242
P37639	1	1	2	1	1	EG12243
P37197	1	1	2	1	1	EG12244
P37640	1	1	2	1	1	EG12246
P37641	1	1	2	1	1	EG12247
P37643	1	1	2	1	1	EG12249
P37646	1	1	2	1	1	EG12252
P37647	1	1	2	1	1	EG12253
P37649	1	1	2	1	1	EG12256
P37650	1	1	2	1	1	EG12257
P37651	1	1	2	1	1	EG12258
P37652	1	1	2	1	1	EG12259
P37653	1	1	2	1	1	EG12260
P37661	1	1	2	1	1	EG12267
P37662	1	1	2	1	1	EG12268
P37664	1	1	2	1	1	EG12270
P37665	1	1	2	1	1	EG12271
P37666	1	1	2	1	1	EG12272
P37388	1	1	2	1	1	EG12275
P0AGI4	1	1	2	1	1	EG12276
P37671	1	1	2	1	1	EG12278
