Merge ID	Gevaert2002	Corbin2003	Taoka2004	Butland2005	Lopez2005	Arifuzzaman2006	Ji2006	Zhang2007	Ishihama2008_fin	Iwasaki2009	Masuda2009_fin2	Iwasaki2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P76316	Q9S4X5	P00350	P31119	P60560	P17583	P0A6H8	P45763	emPAI	emPAI-derived copy no/cell (see Figure 2)	C1P619	emPAI Value	Copy number per cell	P00350	Accession
P0ABC7	1	1	1	1	0	1	1	1	1	1	1	1	1	12	B	HFLK_ECOLI	C6ECH5_ECOBD	P0ABC7	P0ABC7	P0ABC7	P0ABC7		P0ABC7	P0ABC7	P0ABC7	1.96E+00	4.27E+02	P0ABC7	1.74	81	P0ABC7	P0ABC7
P0AFM6	0	1	0	0	0	1	0	0	1	1	1	1	1	7	F1	PSPA_ECOLI	C6EFS8_ECOBD		P0AFM6				P0AFM6			6.94E+00	8.92E+02	P0AFM6	1.68	78	P0AFM6	P0AFM6
P0AFN2	0	0	0	0	0	1	0	0	0	1	0	1	1	4	B	PSPC_ECOLI	C6EFS6_ECOBD						P0AFN2					P0AFN2			P0AFN2	P0AFN2
P23857	1	0	1	0	0	1	0	0	0	0	0	1	0	4	G	PSPE_ECOLI	C6EFS4_ECOBD	P23857		P23857			P23857								P23857	
P32696	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	PSPG_ECOLI	C6EDX0_ECOBD						P32696									
P0A927	0	1	1	0	1	0	1	1	1	1	1	1	1	10	H	TSX_ECOLI	C6ELH3_ECOBD		P0A927	P0A927		P0A927		P0A927	P0A927	5.08E+01	2.83E+03	P0A927	17.74	767.47	P0A927	P0A927
P46879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YQGD_ECOLI	C6EIH0_ECOBD															
Q2EEQ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YAHH_ECOLI	C6ELQ8_ECOBD															
P69789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	PTXB_ECOLI	C6ED86_ECOBD															
P0AGC7	0	0	0	0	0	1	0	0	0	1	0	0	1	3	B	SMP_ECOLI	C6EBI4_ECOBD						P0AGC7					P0AGC7				P0AGC7
Q46817	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YGFQ_ECOLI	C6EIM4_ECOBD						Q46817									
P27840	0	0	0	0	0	1	0	0	0	0	0	0	0	1	G	YIGE_ECOLI	C6EFZ9_ECOBD						P27840									
P75936	0	0	0	1	1	0	0	0	0	0	0	0	0	2	F4	FLGD_ECOLI	C6EHD8_ECOBD				P75936	P75936										
P52048	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YGGP_ECOLI	C6EIH8_ECOBD						P52048									
P42626	0	0	0	0	0	0	0	0	0	1	0	0	1	2	B	YHAM_ECOLI	C6EHB4_ECOBD											P42626				P42626
P76147	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YNEF_ECOLI	C6EDW7_ECOBD						P76147									
P28916	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YBFD_ECOLI	C6EJN2_ECOBD						P28916									
P31450	0	0	0	1	0	1	0	0	0	0	0	0	0	2	F1	GLVG_ECOLI	C6ED87_ECOBD				P31450		P31450									
P77481	0	0	0	0	0	1	0	0	0	1	0	0	1	3	F1	YCJV_ECOLI	C6EFR4_ECOBD						P77481					P77481				P77481
P77228	1	0	0	1	0	0	0	0	0	0	0	0	0	2	B	YDFJ_ECOLI	C6EDU3_ECOBD	P77228			P77228											
P76628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YGAY_ECOLI	C6EJU5_ECOBD															
Q46797	0	0	0	1	0	1	0	0	0	0	0	0	0	2	G	YGEQ_ECOLI	C6EIP4_ECOBD				Q46797		Q46797									
P76356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H	YOEA_ECOLI	C6EB78_ECOBD															
P76692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YZGL_ECOLI	C6EFE7_ECOBD															
P36943	0	0	0	0	0	1	0	0	0	1	0	0	0	2	H	EAEH_ECOLI	C6ELT1_ECOBD						P36943					P36943				
P75901	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	EFEU_ECOLI	C6EHJ0_ECOBD															P75901
Q47153	0	0	0	1	0	0	0	0	0	0	0	0	0	1	B	FHIA_ECOLI	C6EA58_ECOBD				Q47153											
P75684	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YAGP_ECOLI	C6EA41_ECOBD						P75684									
P77199	0	0	0	0	0	1	0	0	0	0	0	0	0	1	H	YAIT_ECOLI	C6ELL4_ECOBD						P77199									
P33669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YBBD_ECOLI	C6EKW4_ECOBD															
P32051	0	0	0	0	0	1	0	0	0	0	0	0	0	1	E	YDEK_ECOLI	C6EEK8_ECOBD						P32051									
P52137	0	0	0	1	0	0	0	0	0	0	0	0	0	1	B	YFJV_ECOLI	C6EEI2_ECOBD				P52137											
Q46833	0	0	0	1	0	1	0	0	0	0	0	0	1	3	B	YGHE_ECOLI	C6EIE1_ECOBD				Q46833		Q46833									Q46833
P45766	0	0	0	0	0	0	0	1	0	0	0	0	0	1	G	YHDW_ECOLI	C6EGJ1_ECOBD								P45766							
P33924	0	0	0	1	0	1	0	0	0	0	0	0	1	3	H	YEJO_ECOLI	C6EA08_ECOBD				P33924		P33924									P33924
P39347	0	0	0	0	0	1	0	0	1	0	0	0	0	2	B	INTB_ECOLI	C6EC81_ECOBD						P39347			2.92E-01	1.41E+02					
P28917	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YDCC_ECOLI	C6EEQ4_ECOBD						P28917									
P28912	0	0	0	0	0	1	0	0	0	0	0	0	0	1	B	YHHI_ECOLI	C6EEK0_ECOBD						P28912									
P00363	1	1	1	1	1	0	1	1	1	1	1	1	1	12	F1	FRDA_ECOLI	C6ECW9_ECOBD	P00363	P00363	P00363	P00363	P00363		P00363	P00363	2.41E-01	1.27E+02	P00363	5.47	245.29	P00363	P00363
P00393	1	1	1	0	0	1	1	1	1	1	1	1	1	11	F1	DHNA_ECOLI	C6EGY3_ECOBD	P00393	P00393	P00393			P00393	P00393	P00393	3.22E+00	5.71E+02	P00393	4.74	213.48	P00393	P00393
P00550	1	1	1	1	1	0	1	1	0	1	1	1	1	11	B	PTM3C_ECOLI	C6EDJ3_ECOBD	P00550	P00550	P00550	P00550	P00550		P00550	P00550			P00550	1.21	56.81	P00550	P00550
P00561	1	1	1	1	1	1	0	0	1	1	1	1	1	11	F1	AK1H_ECOLI	C6EBG7_ECOBD	P00561	P00561	P00561	P00561	P00561	P00561			6.80E+00	8.81E+02	P00561	1	28.78	P00561	P00561
P00803	0	0	1	0	0	0	1	1	0	1	1	1	1	7	B	LEP_ECOLI	C6EK19_ECOBD			P00803				P00803	P00803			P00803	0.72	34.35	P00803	P00803
P00804	0	0	0	0	0	0	0	0	0	1	0	0	1	2	B	LSPA_ECOLI	C6EB26_ECOBD											P00804				P00804
P00805	1	0	1	0	1	1	0	0	0	1	1	1	0	7	G	ASPG2_ECOLI	C6EIF4_ECOBD	P00805		P00805		P00805	P00805					P00805	1.24	58.18	P00805	
P00811	0	0	0	0	0	0	0	0	1	0	1	1	1	4	G	AMPC_ECOLI	C6ECX3_ECOBD									3.11E-01	1.47E+02		0.21	10	P00811	P00811
P00904	0	1	0	0	1	0	0	1	0	0	0	1	0	4	F1	TRPG_ECOLI	C6EFX3_ECOBD		P00904			P00904			P00904						P00904	
P02916	0	0	0	0	0	1	1	0	0	1	1	1	0	5	B	MALF_ECOLI	C6EDZ0_ECOBD						P02916	P02916				P02916	1	24.12	P02916	
P02918	1	1	1	0	1	1	1	0	1	1	0	1	1	10	B	PBPA_ECOLI	C6EFI0_ECOBD	P02918	P02918	P02918		P02918	P02918	P02918		1.10E-01	8.04E+01	P02918			P02918	P02918
P02920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	LACY_ECOLI	C6ELN7_ECOBD															
P02924	1	0	1	0	1	1	0	0	1	0	0	1	0	6	G	ARAF_ECOLI	C6EBF9_ECOBD	P02924		P02924		P02924	P02924			2.74E-01	1.37E+02				P02924	
P02925	1	1	1	1	1	1	0	0	1	1	1	1	1	11	G	RBSB_ECOLI	C6EG51_ECOBD	P02925	P02925	P02925	P02925	P02925	P02925			1.18E+02	4.63E+03	P02925	8	346.01	P02925	P02925
P02930	1	1	1	0	1	0	1	1	1	1	1	1	1	11	H	TOLC_ECOLI	C6EHV8_ECOBD	P02930	P02930	P02930		P02930		P02930	P02930	6.85E+00	8.85E+02	P02930	12.04	527.07	P02930	P02930
P02931	1	1	1	0	1	1	1	1	1	1	1	1	1	12	H	OMPF_ECOLI	C6EI53_ECOBD	P02931	P02931	P02931		P02931	P02931	P02931	P02931	1.23E+01	1.25E+03	P02931	37.75	1595.96	P02931	P02931
P02932	0	0	0	1	0	1	1	0	0	1	1	0	0	5	H	PHOE_ECOLI	C6EA44_ECOBD				P02932		P02932	P02932				P02932	0.26	12.79		
P02943	0	1	1	0	1	0	1	0	1	1	1	1	0	8	H	LAMB_ECOLI	C6EDY6_ECOBD		P02943	P02943		P02943		P02943		5.40E-01	2.02E+02	P02943	2.31	106.35	P02943	
P03959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	ATKA_ECOLI	C6EJN6_ECOBD															
P03961	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	ATKC_ECOLI	C6EJN8_ECOBD															P03961
P04816	0	1	0	0	1	1	0	0	1	0	0	1	0	5	G	LIVK_ECOLI	C6EFB6_ECOBD		P04816			P04816	P04816			1.93E+00	4.24E+02				P04816	
P04825	0	1	1	1	0	1	1	0	1	1	1	1	1	10	F1	AMPN_ECOLI	C6EI50_ECOBD		P04825	P04825	P04825		P04825	P04825		6.26E+00	8.40E+02	P04825	3.12	142.33	P04825	P04825
P04968	0	1	1	1	0	1	0	0	0	0	0	1	1	6	B	THD1_ECOLI	C6EG39_ECOBD		P04968	P04968	P04968		P04968								P04968	P04968
P04983	1	0	1	0	0	1	1	0	0	1	1	1	1	8	F1	RBSA_ECOLI	C6EG53_ECOBD	P04983		P04983			P04983	P04983				P04983	0.28	13.75	P04983	P04983
P05050	0	0	0	1	0	0	0	0	0	0	0	1	0	2	B	ALKB_ECOLI	C6E9Y7_ECOBD				P05050										P05050	
P05458	1	1	1	0	1	1	0	0	0	0	0	1	1	7	G	PTRA_ECOLI	C6EJ48_ECOBD	P05458	P05458	P05458		P05458	P05458								P05458	P05458
P05824	0	0	0	1	0	1	0	0	0	0	0	0	0	2	B	RECN_ECOLI	C6EJX7_ECOBD				P05824		P05824									
P06136	0	0	0	0	0	1	1	0	0	1	0	1	1	5	B	FTSQ_ECOLI	C6EAW2_ECOBD						P06136	P06136				P06136			P06136	P06136
P06149	1	1	1	0	0	1	1	1	1	1	1	1	1	11	F1	DLD_ECOLI	C6EAH8_ECOBD	P06149	P06149	P06149			P06149	P06149	P06149	1.45E-01	9.43E+01	P06149	0.78	37.12	P06149	P06149
P06282	0	0	1	0	0	1	1	1	0	1	0	1	1	7	B	CDH_ECOLI	C6EEY0_ECOBD			P06282			P06282	P06282	P06282			P06282			P06282	P06282
P06611	0	0	0	0	0	1	0	0	0	1	0	1	1	4	F1	BTUD_ECOLI	C6ECP8_ECOBD						P06611					P06611			P06611	P06611
P06616	0	0	1	1	0	1	0	0	0	1	1	1	1	7	F1	ERA_ECOLI	C6EK21_ECOBD			P06616	P06616		P06616					P06616	1.96	90.69	P06616	P06616
P06709	0	0	0	1	0	1	0	0	0	0	1	1	1	5	B	BIRA_ECOLI	C6EE41_ECOBD				P06709		P06709						0.27	13.27	P06709	P06709
P07000	0	0	0	0	0	1	0	0	0	0	0	1	1	3	F1	PLDB_ECOLI	C6EF86_ECOBD						P07000								P07000	P07000
P07001	1	1	1	1	0	0	1	1	1	1	1	1	1	11	B	PNTA_ECOLI	C6EDP5_ECOBD	P07001	P07001	P07001	P07001			P07001	P07001	3.89E-01	1.67E+02	P07001	0.58	27.85	P07001	P07001
P07003	1	1	1	0	0	1	0	0	1	1	1	1	1	9	F1	POXB_ECOLI	C6EIB0_ECOBD	P07003	P07003	P07003			P07003			2.33E-01	1.24E+02	P07003	0.29	14.22	P07003	P07003
P07014	1	1	1	0	1	1	1	1	1	1	1	1	1	12	F1	DHSB_ECOLI	C6EJL3_ECOBD	P07014	P07014	P07014		P07014	P07014	P07014	P07014	1.51E+00	3.68E+02	P07014	18.95	9524.82	P07014	P07014
P07021	0	0	0	1	0	0	0	0	0	0	0	0	0	1	I	YFIB_ECOLI	C6EJY7_ECOBD				P07021											
P07102	0	0	0	0	0	1	0	0	0	0	0	1	0	2	G	PPA_ECOLI	C6EHM7_ECOBD						P07102								P07102	
P07109	0	1	1	0	0	1	1	1	0	0	0	1	1	7	F1	HISP_ECOLI	C6ELE7_ECOBD		P07109	P07109			P07109	P07109	P07109						P07109	P07109
P07650	1	1	1	0	0	1	0	1	1	1	1	1	1	10	B	TYPH_ECOLI	C6EBI9_ECOBD	P07650	P07650	P07650			P07650		P07650	4.48E+02	1.00E+04	P07650	1.33	62.27	P07650	P07650
P07654	0	0	0	0	0	1	0	0	0	1	0	0	1	3	B	PSTA_ECOLI	C6EG77_ECOBD						P07654					P07654				P07654
P07821	0	0	0	0	0	1	0	0	0	0	0	1	1	3	F1	FHUC_ECOLI	C6EAD3_ECOBD						P07821								P07821	P07821
P07822	0	0	0	0	0	0	0	0	0	0	0	1	1	2	G	FHUD_ECOLI	C6EAD2_ECOBD														P07822	P07822
P08200	1	1	1	0	1	0	1	0	1	1	1	1	1	10	B	IDH_ECOLI	C6EGV5_ECOBD	P08200	P08200	P08200		P08200		P08200		3.15E+02	8.19E+03	P08200	77.14	3190.93	P08200	P08200
P08331	0	1	1	1	1	1	0	0	1	0	1	1	1	9	G	CPDB_ECOLI	C6ECD1_ECOBD		P08331	P08331	P08331	P08331	P08331			5.09E-01	1.95E+02		0	19.43	P08331	P08331
P08370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G	YGDB_ECOLI	C6EJ45_ECOBD															
P08371	1	0	0	0	0	1	0	0	0	0	0	1	0	3	B	PPDB_ECOLI	C6EJ44_ECOBD	P08371					P08371								P08371	
P08395	1	1	0	0	1	1	1	1	0	1	1	1	1	10	B	SPPA_ECOLI	C6ECJ1_ECOBD	P08395	P08395			P08395	P08395	P08395	P08395			P08395	0.42	20.37	P08395	P08395
P08400	0	0	0	1	0	1	1	0	0	1	0	1	1	6	B	PHOR_ECOLI	C6ELI4_ECOBD				P08400		P08400	P08400				P08400			P08400	P08400
P08401	0	0	0	1	0	1	0	0	0	1	0	1	1	5	B	CREC_ECOLI	C6EBH2_ECOBD				P08401		P08401					P08401			P08401	P08401
P08506	1	1	1	0	0	1	1	1	0	1	1	1	1	10	F2	DACC_ECOLI	C6EIU4_ECOBD	P08506	P08506	P08506			P08506	P08506	P08506			P08506	1.61	74.94	P08506	P08506
P08550	0	0	0	1	0	0	0	0	0	0	0	1	0	2	B	CVPA_ECOLI	C6ELE0_ECOBD				P08550										P08550	
P08839	1	1	1	1	1	1	0	0	1	1	1	1	1	11	F1	PT1_ECOLI	C6EL61_ECOBD	P08839	P08839	P08839	P08839	P08839	P08839			1.69E+02	5.70E+03	P08839	16.48	627.12	P08839	P08839
P09152	1	0	1	1	0	1	0	1	1	1	1	1	1	10	F1	NARG_ECOLI	C6EGN9_ECOBD	P09152		P09152	P09152		P09152		P09152	1.63E-01	1.01E+02	P09152	2.11	97.41	P09152	P09152
P09348	0	0	0	1	0	1	0	1	0	0	0	0	0	3	B	MOTA_ECOLI	C6EBT7_ECOBD				P09348		P09348		P09348							
P09391	0	0	0	0	0	0	1	1	1	1	0	0	1	5	B	GLPG_ECOLI	C6EFF0_ECOBD							P09391	P09391	9.31E-01	2.78E+02	P09391				P09391
P09394	1	1	1	0	1	1	0	0	0	0	1	1	1	8	G	GLPQ_ECOLI	C6E9W2_ECOBD	P09394	P09394	P09394		P09394	P09394						3.49	158.66	P09394	P09394
P09546	1	1	1	1	1	1	0	1	1	1	1	1	1	12	F1	PUTA_ECOLI	C6EHJ3_ECOBD	P09546	P09546	P09546	P09546	P09546	P09546		P09546	1.25E+00	3.29E+02	P09546	5.74	257.02	P09546	P09546
P09549	0	0	1	0	0	0	0	1	0	1	0	1	1	5	B	DEDD_ECOLI	C6ELD9_ECOBD			P09549					P09549			P09549			P09549	P09549
P09836	0	0	0	0	0	0	0	0	0	1	0	0	0	1	B	UHPC_ECOLI	C6EDA2_ECOBD											P09836				
P0A6A0	0	0	0	1	0	1	0	0	0	1	0	1	1	5	B	UBIB_ECOLI	C6EF61_ECOBD				P0A6A0		P0A6A0					P0A6A0			P0A6A0	P0A6A0
P0A6E9	0	0	0	1	0	0	0	0	0	1	0	1	0	3	B	BIOD2_ECOLI	C6EDQ5_ECOBD				P0A6E9							P0A6E9			P0A6E9	
P0A6H8	1	1	0	0	0	0	1	1	0	1	0	1	1	7	B	CLS_ECOLI	C6EFY7_ECOBD	P0A6H8	P0A6H8					P0A6H8	P0A6H8			P0A6H8			P0A6H8	P0A6H8
P0A6J1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	B	CYSC_ECOLI	C6EJB7_ECOBD		P0A6J1													P0A6J1
P0A6J3	1	0	0	0	0	0	0	1	1	1	0	1	1	6	B	CYSZ_ECOLI	C6EL65_ECOBD	P0A6J3							P0A6J3	1.51E+00	3.68E+02	P0A6J3			P0A6J3	P0A6J3
P0A6J5	0	1	1	0	1	1	0	1	1	1	1	1	1	10	F1	DADA_ECOLI	C6EGS8_ECOBD		P0A6J5	P0A6J5		P0A6J5	P0A6J5		P0A6J5	2.74E-01	1.37E+02	P0A6J5	4.88	220	P0A6J5	P0A6J5
P0A6Q6	1	0	1	1	1	1	0	0	1	1	1	1	1	10	F1	FABZ_ECOLI	C6EAA5_ECOBD	P0A6Q6		P0A6Q6	P0A6Q6	P0A6Q6	P0A6Q6			6.71E+01	3.33E+03	P0A6Q6	50.79	2.128	P0A6Q6	P0A6Q6
P0A6S0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I	FLGH_ECOLI	C6EHD4_ECOBD															
P0A6X3	0	0	0	1	0	1	0	0	1	0	1	1	1	6	F1	HFQ_ECOLI	C6ECV6_ECOBD				P0A6X3		P0A6X3			1.77E+02	5.85E+03		2.16	99.64	P0A6X3	P0A6X3
P0A6Y8	1	1	1	1	1	1	1	1	1	1	1	1	1	13	F1	DNAK_ECOLI	C6EB40_ECOBD	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	P0A6Y8	3.16E+03	3.12E+04	P0A6Y8	42.75	1.801	P0A6Y8	P0A6Y8
P0A6Z3	1	1	1	1	1	1	1	0	1	1	1	1	1	12	F1	HTPG_ECOLI	C6EKZ1_ECOBD	P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3	P0A6Z3		2.96E+01	2.07E+03	P0A6Z3	20.13	867.51	P0A6Z3	P0A6Z3
P0A734	1	1	1	0	1	1	1	0	1	1	1	1	1	11	F1	MINE_ECOLI	C6EGU2_ECOBD	P0A734	P0A734	P0A734		P0A734	P0A734	P0A734		5.81E+00	8.05E+02	P0A734	25.83	1104.73	P0A734	P0A734
P0A754	0	0	1	1	0	1	0	0	0	0	0	1	0	4	F1	KEFF_ECOLI	C6EB07_ECOBD			P0A754	P0A754		P0A754								P0A754	
P0A756	0	0	0	0	0	0	0	0	0	0	0	1	1	2	F1	KEFG_ECOLI	C6EGB2_ECOBD														P0A756	P0A756
P0A759	1	1	1	0	0	1	1	0	1	1	1	1	1	10	B	NAGB_ECOLI	C6EJQ7_ECOBD	P0A759	P0A759	P0A759			P0A759	P0A759		2.98E+00	5.46E+02	P0A759	3.22	146.75	P0A759	P0A759
P0A766	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	RNFA_ECOLI	C6EDL9_ECOBD															P0A766
P0A769	0	0	0	1	0	0	0	0	0	1	0	0	0	2	B	MNTH_ECOLI	C6EL77_ECOBD				P0A769							P0A769				
P0A7B1	0	1	1	1	0	1	1	0	0	1	1	1	1	9	F1	PPK_ECOLI	C6EKL0_ECOBD		P0A7B1	P0A7B1	P0A7B1		P0A7B1	P0A7B1				P0A7B1	0.14	7.02	P0A7B1	P0A7B1
P0A7B3	0	0	0	1	0	0	0	0	0	0	0	1	1	3	F1	PPNK_ECOLI	C6EJX8_ECOBD				P0A7B3										P0A7B3	P0A7B3
P0A7E1	0	1	1	1	1	1	1	1	1	1	1	1	1	12	F1	PYRD_ECOLI	C6EI37_ECOBD		P0A7E1	P0A7E1	P0A7E1	P0A7E1	P0A7E1	P0A7E1	P0A7E1	4.13E-01	1.73E+02	P0A7E1	9.96	438.54	P0A7E1	P0A7E1
P0A7E5	1	1	1	0	1	1	1	0	1	1	1	1	1	11	B	PYRG_ECOLI	C6EJ92_ECOBD	P0A7E5	P0A7E5	P0A7E5		P0A7E5	P0A7E5	P0A7E5		1.60E+01	1.45E+03	P0A7E5	13.03	569.03	P0A7E5	P0A7E5
P0A7H3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B	RECO_ECOLI	C6EK22_ECOBD														P0A7H3	
P0A7J0	0	1	1	1	1	1	0	0	1	1	1	1	1	10	F1	RIBB_ECOLI	C6EHV2_ECOBD		P0A7J0	P0A7J0	P0A7J0	P0A7J0	P0A7J0			5.89E+01	3.09E+03	P0A7J0	4.01	181.53	P0A7J0	P0A7J0
P0A855	1	1	1	0	1	0	1	1	1	1	1	1	1	11	G	TOLB_ECOLI	C6EJJ7_ECOBD	P0A855	P0A855	P0A855		P0A855		P0A855	P0A855	1.08E+01	1.15E+03	P0A855	6.85	305.07	P0A855	P0A855
P0A879	0	1	1	0	1	1	1	0	0	1	0	1	1	8	B	TRPB_ECOLI	C6EFX5_ECOBD		P0A879	P0A879		P0A879	P0A879	P0A879				P0A879			P0A879	P0A879
P0A8R7	0	1	1	1	0	0	0	1	0	1	0	1	1	7	B	YCJF_ECOLI	C6EFR0_ECOBD		P0A8R7	P0A8R7	P0A8R7				P0A8R7			P0A8R7			P0A8R7	P0A8R7
P0A8S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	USPB_ECOLI	C6EEJ1_ECOBD															
P0A8U0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	F1	SYDP_ECOLI	C6EJ79_ECOBD														P0A8U0	P0A8U0
P0A8X2	0	1	1	0	0	0	0	0	1	0	0	1	1	5	G	YCEI_ECOLI	C6EHF7_ECOBD		P0A8X2	P0A8X2						5.85E-01	2.12E+02				P0A8X2	P0A8X2
P0A8X4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G	YCCT_ECOLI	C6EI17_ECOBD															
P0A8Z3	0	0	0	1	0	1	0	0	0	0	0	1	1	4	F1	YBGC_ECOLI	C6EJK1_ECOBD				P0A8Z3		P0A8Z3								P0A8Z3	P0A8Z3
P0A901	0	1	0	0	0	1	1	0	0	1	1	1	1	7	I	BLC_ECOLI	C6ECX4_ECOBD		P0A901				P0A901	P0A901				P0A901	0.93	44.02	P0A901	P0A901
P0A908	1	1	1	0	1	1	1	0	1	1	1	1	1	11	H	MIPA_ECOLI	C6EC47_ECOBD	P0A908	P0A908	P0A908		P0A908	P0A908	P0A908		2.16E+00	4.53E+02	P0A908	7.25	322.33	P0A908	P0A908
P0A912	0	1	1	0	1	1	1	1	1	1	1	1	1	11	I	PAL_ECOLI	C6EJJ6_ECOBD		P0A912	P0A912		P0A912	P0A912	P0A912	P0A912	1.38E+02	5.06E+03	P0A912	4.34	196	P0A912	P0A912
P0A917	1	0	0	1	1	0	1	1	1	1	0	0	1	8	H	OMPX_ECOLI	C6EIW8_ECOBD	P0A917			P0A917	P0A917		P0A917	P0A917	3.16E+03	3.12E+04	P0A917				P0A917
P0A921	0	0	0	0	0	1	1	0	0	1	1	0	1	5	H	PA1_ECOLI	C6EF90_ECOBD						P0A921	P0A921				P0A921	0.64	30.64		P0A921
P0A924	0	0	0	0	0	1	1	1	0	1	0	0	1	5	B	PGPB_ECOLI	C6EFV6_ECOBD						P0A924	P0A924	P0A924			P0A924				P0A924
P0A930	0	0	1	0	0	1	0	0	0	0	0	1	0	3	I	WZA_ECOLI	C6EAP5_ECOBD			P0A930			P0A930								P0A930	
P0A935	0	0	1	0	0	0	1	0	1	1	1	1	1	7	I	MLTA_ECOLI	C6EJ53_ECOBD			P0A935				P0A935		1.28E+00	3.33E+02	P0A935	1.07	50.43	P0A935	P0A935
P0A937	0	0	0	0	0	0	1	1	1	1	0	1	1	6	I	SMPA_ECOLI	C6EJX6_ECOBD							P0A937	P0A937	9.00E+00	1.04E+03	P0A937			P0A937	P0A937
P0A940	1	1	1	0	1	1	1	1	1	1	1	1	1	12	H	YAET_ECOLI	C6EAA8_ECOBD	P0A940	P0A940	P0A940		P0A940	P0A940	P0A940	P0A940	9.00E+00	1.04E+03	P0A940	4.36	196.87	P0A940	P0A940
