Merge ID	Orbi detected	Non Orbi detected	# Identified	
P0AAF3	1	1	2	ARAG_ECOLI
P0AAF6	1	1	2	ARTP_ECOLI
P0AAG5	1	1	2	MDLB_ECOLI
P0AAH0	1	1	2	PSTB_ECOLI
P0AAH4	1	1	2	SAPD_ECOLI
P0AAH8	1	1	2	SAPF_ECOLI
P0AAJ1	0	1	1	YNFG_ECOLI
P0AAJ5	1	1	2	FDOH_ECOLI
P0AAJ8	1	1	2	HYBA_ECOLI
P0AAK7	1	0	1	NRFC_ECOLI
P0AAL3	1	1	2	NAPG_ECOLI
P0AAL6	0	1	1	YDHY_ECOLI
P0AAM1	1	1	2	CYBH_ECOLI
P0AAP1	0	0	0	ADRA_ECOLI
P0AAP7	0	0	0	YAIY_ECOLI
P0AAQ0	0	1	1	YAIZ_ECOLI
P0AAS0	1	1	2	YLAC_ECOLI
P0AAT4	1	1	2	YBDG_ECOLI
P0AAV0	0	1	1	YBGE_ECOLI
P0AAX6	0	0	0	MCBA_ECOLI
P0AAX8	1	1	2	YBIS_ECOLI
P0AAY4	0	0	0	YBJH_ECOLI
P0AAZ0	0	1	1	YBJO_ECOLI
P0AB06	1	0	1	YCBK_ECOLI
P0AB10	1	1	2	YMBA_ECOLI
P0AB12	1	1	2	YCCF_ECOLI
P0AB24	1	1	2	YCDO_ECOLI
P0AB26	1	1	2	YCEB_ECOLI
P0AB38	1	1	2	YCFM_ECOLI
P0AB40	0	0	0	BHSA_ECOLI
P0AB58	1	1	2	YCIM_ECOLI
P0AB67	1	1	2	PNTB_ECOLI
P0AB85	1	0	1	APBE_ECOLI
P0AB98	1	1	2	ATP6_ECOLI
P0ABA6	1	1	2	ATPG_ECOLI
P0ABB4	1	1	2	ATPB_ECOLI
P0ABB8	1	1	2	ATMA_ECOLI
P0ABF1	1	1	2	PCNB_ECOLI
P0ABF6	1	1	2	CDD_ECOLI
P0ABF8	1	1	2	PGSA_ECOLI
P0ABG1	0	0	0	CDSA_ECOLI
P0ABH0	1	1	2	FTSA_ECOLI
P0ABH4	0	0	0	MRED_ECOLI
P0ABI4	1	1	2	CORA_ECOLI
P0ABI8	1	1	2	CYOB_ECOLI
P0ABJ1	1	1	2	CYOA_ECOLI
P0ABJ3	0	1	1	CYOC_ECOLI
P0ABJ6	0	1	1	CYOD_ECOLI
P0ABJ9	1	1	2	CYDA_ECOLI
P0ABK7	1	0	1	CSGB_ECOLI
P0ABK9	1	1	2	NRFA_ECOLI
P0ABL3	0	0	0	NAPB_ECOLI
P0ABL5	1	1	2	NAPC_ECOLI
P0ABM9	1	1	2	CCMH_ECOLI
P0ABS5	1	1	2	PRIM_ECOLI
P0ABT8	0	0	0	YIJE_ECOLI
P0ABU7	1	1	2	EXBB_ECOLI
P0ABU9	1	1	2	TOLQ_ECOLI
P0ABV2	1	1	2	EXBD_ECOLI
P0ABV6	1	1	2	TOLR_ECOLI
P0ABW9	0	1	1	FLGB_ECOLI
P0ABX2	1	1	2	FLGC_ECOLI
P0ABX5	1	1	2	FLGG_ECOLI
P0ABZ4	1	1	2	KDSC_ECOLI
P0AC02	1	1	2	YFIO_ECOLI
P0AC23	1	1	2	FOCA_ECOLI
P0AC26	0	0	0	NIRC_ECOLI
P0AC30	1	1	2	FTSX_ECOLI
P0AC41	1	1	2	DHSA_ECOLI
P0AC44	1	1	2	DHSD_ECOLI
P0AC55	1	1	2	GLNK_ECOLI
P0AC75	1	1	2	KDTA_ECOLI
P0AC98	0	0	0	YAAH_ECOLI
P0ACB7	1	1	2	HEMY_ECOLI
P0ACE0	1	1	2	MBHM_ECOLI
P0ACJ0	1	1	2	LRP_ECOLI
P0ACJ5	0	1	1	YBAO_ECOLI
P0ACN2	0	0	0	YTFH_ECOLI
P0ACS9	1	1	2	ACRR_ECOLI
P0ACV0	1	1	2	HTRB_ECOLI
P0ACV2	1	1	2	DDG_ECOLI
P0ACX0	0	0	0	YDGC_ECOLI
P0AD03	0	1	1	YEBS_ECOLI
P0AD12	1	1	2	YEEZ_ECOLI
P0AD14	1	0	1	YEHU_ECOLI
P0AD17	1	0	1	YOHC_ECOLI
P0AD19	0	0	0	YOHK_ECOLI
P0AD27	1	1	2	YEJM_ECOLI
P0AD30	1	1	2	YFCA_ECOLI
P0AD59	0	1	1	IVY_ECOLI
P0AD65	1	1	2	PBP2_ECOLI
P0AD68	1	1	2	FTSI_ECOLI
P0AD70	1	1	2	AMPH_ECOLI
P0AD96	1	1	2	LIVJ_ECOLI
P0AD99	1	1	2	BRNQ_ECOLI
P0ADA5	1	1	2	YAJG_ECOLI
P0ADB1	1	1	2	OSME_ECOLI
P0ADC6	1	1	2	LPTG_ECOLI
P0ADD2	0	0	0	YJJB_ECOLI
P0ADD5	0	1	1	YJJP_ECOLI
P0ADE4	1	1	2	YTFM_ECOLI
P0ADI4	1	1	2	ENTB_ECOLI
P0ADK0	1	1	2	YIAF_ECOLI
P0ADL1	0	0	0	NEPI_ECOLI
P0ADL3	1	1	2	YICN_ECOLI
P0ADM4	1	1	2	YIDQ_ECOLI
P0ADM8	1	1	2	YIEE_ECOLI
P0ADP2	1	1	2	YIGI_ECOLI
P0ADR0	0	0	0	YQAA_ECOLI
P0ADR2	0	0	0	YGDD_ECOLI
P0ADS6	1	1	2	YGGE_ECOLI
P0ADS9	1	1	2	YGGN_ECOLI
P0ADU5	1	1	2	YGIW_ECOLI
P0ADV1	1	1	2	LPTA_ECOLI
P0ADV7	1	1	2	YRBC_ECOLI
P0ADV9	1	1	2	LPTC_ECOLI
P0ADY1	1	1	2	PPID_ECOLI
P0ADZ7	1	1	2	YAJC_ECOLI
P0AE14	1	1	2	AMPE_ECOLI
P0AE28	0	0	0	AROM_ECOLI
P0AE34	1	1	2	ARTQ_ECOLI
P0AE45	1	1	2	YTFL_ECOLI
P0AE74	0	0	0	CITT_ECOLI
P0AE82	1	1	2	CPXA_ECOLI
P0AE91	1	1	2	CREA_ECOLI
P0AE95	0	0	0	CSGE_ECOLI
P0AEA2	0	1	1	CSGG_ECOLI
P0AEA5	0	1	1	CYOE_ECOLI
P0AEB2	1	1	2	DACA_ECOLI
P0AEB5	1	1	2	YNAI_ECOLI
P0AEC0	1	1	2	YOAE_ECOLI
P0AEC3	1	1	2	ARCB_ECOLI
P0AED0	1	1	2	USPA_ECOLI
P0AEE1	1	1	2	DCRB_ECOLI
P0AEF8	1	1	2	DPPB_ECOLI
P0AEG6	1	1	2	DSBC_ECOLI
P0AEH1	1	1	2	RSEP_ECOLI
P0AEJ0	0	0	0	EMRB_ECOLI
P0AEJ4	1	1	2	ENVZ_ECOLI
P0AEK4	1	1	2	FABI_ECOLI
P0AEK7	0	1	1	FDNI_ECOLI
P0AEL0	1	1	2	FDOI_ECOLI
P0AEL6	1	1	2	FEPB_ECOLI
P0AEP3	1	1	2	GALU_ECOLI
P0AEQ3	1	1	2	GLNH_ECOLI
P0AER0	1	1	2	GLPF_ECOLI
P0AER3	1	1	2	GLTJ_ECOLI
P0AER5	1	0	1	GLTK_ECOLI
P0AES9	1	1	2	HDEA_ECOLI
P0AET2	1	1	2	HDEB_ECOLI
P0AEU0	1	1	2	HISJ_ECOLI
P0AEX3	1	1	2	KGTP_ECOLI
P0AEX9	1	1	2	MALE_ECOLI
P0AEY1	0	1	1	MARC_ECOLI
P0AEY5	1	1	2	MDAB_ECOLI
P0AEY8	0	1	1	MDFA_ECOLI
P0AEZ3	1	1	2	MIND_ECOLI
P0AEZ7	0	1	1	MLTD_ECOLI
P0AF06	1	1	2	MOTB_ECOLI
P0AF20	1	1	2	NAGC_ECOLI
P0AF34	0	0	0	YIIR_ECOLI
P0AF40	1	0	1	YIJD_ECOLI
P0AF56	0	0	0	YJCO_ECOLI
P0AF70	1	1	2	YJEI_ECOLI
P0AF80	0	0	0	YJFL_ECOLI
P0AF82	0	1	1	YJFN_ECOLI
P0AFA2	1	1	2	NARX_ECOLI
P0AFB1	1	1	2	NLPI_ECOLI
P0AFC3	1	1	2	NUOA_ECOLI
P0AFC7	1	1	2	NUOB_ECOLI
P0AFD1	1	1	2	NUOE_ECOLI
P0AFD4	1	1	2	NUOH_ECOLI
P0AFD6	1	1	2	NUOI_ECOLI
P0AFE8	1	1	2	NUOM_ECOLI
P0AFF0	1	1	2	NUON_ECOLI
P0AFF2	1	0	1	NUPC_ECOLI
P0AFG8	1	1	2	ODP1_ECOLI
P0AFH8	1	1	2	OSMY_ECOLI
P0AFI2	1	1	2	PARC_ECOLI
P0AFI5	1	1	2	PBP7_ECOLI
P0AFJ7	1	1	2	PITA_ECOLI
P0AFK2	1	1	2	PNUC_ECOLI
P0AFK4	1	0	1	POTB_ECOLI
P0AFK6	1	1	2	POTC_ECOLI
P0AFK9	1	1	2	POTD_ECOLI
P0AFL6	1	1	2	PPX_ECOLI
P0AFL9	1	1	2	PQIA_ECOLI
P0AFM2	1	1	2	PROX_ECOLI
P0AFP9	1	1	2	YBHR_ECOLI
P0AFQ2	1	1	2	YBHS_ECOLI
P0AFQ5	0	0	0	RUTC_ECOLI
P0AFS9	1	1	2	YEBA_ECOLI
P0AFU0	1	0	1	YEJB_ECOLI
P0AFV0	0	0	0	YIBH_ECOLI
P0AFV2	1	1	2	YHID_ECOLI
P0AFV4	1	1	2	SPR_ECOLI
P0AFX9	1	1	2	RSEB_ECOLI
P0AFY2	1	1	2	SANA_ECOLI
P0AFY6	1	1	2	SBMA_ECOLI
P0AFY8	1	1	2	SEQA_ECOLI
P0AFZ7	1	1	2	TRKH_ECOLI
P0AG00	1	1	2	WZZE_ECOLI
P0AG27	1	1	2	YIBN_ECOLI
P0AG71	1	1	2	RMUC_ECOLI
P0AG78	0	1	1	SUBI_ECOLI
P0AG80	1	1	2	UGPB_ECOLI
P0AG82	1	1	2	PSTS_ECOLI
P0AG86	1	1	2	SECB_ECOLI
P0AG90	1	1	2	SECD_ECOLI
P0AG93	1	1	2	SECF_ECOLI
P0AG99	1	1	2	SECG_ECOLI
P0AGA2	1	1	2	SECY_ECOLI
P0AGB0	1	1	2	SERB_ECOLI
P0AGB6	1	1	2	RPOE_ECOLI
P0AGC0	0	1	1	UHPT_ECOLI
P0AGC3	1	1	2	SLT_ECOLI
P0AGD1	1	1	2	SODC_ECOLI
P0AGD7	1	1	2	SRP54_ECOLI
P0AGF6	1	1	2	THD2_ECOLI
P0AGH3	1	0	1	SAPB_ECOLI
P0AGH5	1	1	2	SAPC_ECOLI
P0AGM0	1	0	1	YHHT_ECOLI
P0AGM5	0	1	1	SIRB1_ECOLI
P0AGM7	1	1	2	URAA_ECOLI
P0AGM9	0	0	0	YICE_ECOLI
P0C066	1	1	2	MLTC_ECOLI
P0C0L7	1	1	2	PROP_ECOLI
P0C960	1	1	2	EMTA_ECOLI
P0CB39	1	1	2	CPTA_ECOLI
P10121	1	1	2	FTSY_ECOLI
P10346	1	1	2	GLNQ_ECOLI
P10378	0	1	1	ENTE_ECOLI
P10408	1	1	2	SECA_ECOLI
P10423	0	0	0	IAP_ECOLI
P10441	1	1	2	LPXB_ECOLI
P10905	0	0	0	UGPA_ECOLI
P10906	1	0	1	UGPE_ECOLI
P10907	1	1	2	UGPC_ECOLI
P11289	1	0	1	YFIL_ECOLI
P11349	1	1	2	NARH_ECOLI
P11350	1	1	2	NARI_ECOLI
P11454	1	1	2	ENTF_ECOLI
P12008	1	1	2	AROC_ECOLI
P12996	0	1	1	BIOB_ECOLI
P13033	1	1	2	GLPB_ECOLI
P13518	1	1	2	YHDA_ECOLI
P14376	1	1	2	RCSC_ECOLI
P15877	1	1	2	DHG_ECOLI
P15993	1	1	2	AROP_ECOLI
P16095	1	1	2	SDHL_ECOLI
P16430	0	0	0	HYCD_ECOLI
P16431	1	1	2	HYCE_ECOLI
P16676	1	1	2	CYSA_ECOLI
P16677	1	0	1	PHNC_ECOLI
P16678	0	1	1	PHNK_ECOLI
P16679	0	1	1	PHNL_ECOLI
P16682	0	1	1	PHND_ECOLI
P16700	1	1	2	CYSP_ECOLI
P17334	0	1	1	PTQC_ECOLI
P17443	1	1	2	MURG_ECOLI
P18200	0	0	0	PGPA_ECOLI
P18390	1	1	2	YJJA_ECOLI
P18392	1	1	2	RSTB_ECOLI
P18776	1	1	2	DMSB_ECOLI
P18956	0	1	1	GGT_ECOLI
P19318	1	1	2	NARY_ECOLI
P19319	1	1	2	NARZ_ECOLI
P21338	1	1	2	RNI_ECOLI
P21345	1	0	1	GLTP_ECOLI
P21503	0	0	0	YCAD_ECOLI
P21889	1	1	2	SYD_ECOLI
P21893	1	1	2	RECJ_ECOLI
P22525	1	1	2	YCBB_ECOLI
P22731	1	1	2	LIVF_ECOLI
P23256	0	1	1	MALY_ECOLI
P23524	0	1	1	GLXK2_ECOLI
P23830	1	1	2	PSS_ECOLI
P23837	1	1	2	PHOQ_ECOLI
P23843	1	1	2	OPPA_ECOLI
P23847	1	1	2	DPPA_ECOLI
P23865	1	1	2	PRC_ECOLI
P23878	1	1	2	FEPC_ECOLI
