Entry Name A	Entry Name B	Accession A	Accession B	Satus
PPB_ECOLI	IF2_ECOLI	P00634	P0A705	C
LSPA_ECOLI	DAPD_ECOLI	P00804	P0A9D8	C
DCDA_ECOLI	TIG_ECOLI	P00861	P0A850	C
CAPP_ECOLI	RL28_ECOLI	P00864	P0A7M2	C
AROH_ECOLI	CH60_ECOLI	P00887	P0A6F5	C
ILVG_ECOLI	RPOC_ECOLI	P00892	P0A8T7	C
ILVG_ECOLI	RS2_ECOLI	P00892	P0A7V0	C
ILVG_ECOLI	RS4_ECOLI	P00892	P0A7V8	C
ILVG_ECOLI	RS5_ECOLI	P00892	P0A7W1	C
ILVG_ECOLI	RS6_ECOLI	P00892	P02358	C
ILVG_ECOLI	RS7_ECOLI	P00892	P02359	C
ILVG_ECOLI	RS13_ECOLI	P00892	P0A7S9	C
ILVG_ECOLI	RS18_ECOLI	P00892	P0A7T7	C
ILVG_ECOLI	RL3_ECOLI	P00892	P60438	C
ILVG_ECOLI	RL2_ECOLI	P00892	P60422	C
ILVG_ECOLI	RL4_ECOLI	P00892	P60723	C
ILVG_ECOLI	RL6_ECOLI	P00892	P0AG55	C
ILVG_ECOLI	RL13_ECOLI	P00892	P0AA10	C
ILVG_ECOLI	RL14_ECOLI	P00892	P0ADY3	C
ILVG_ECOLI	RL15_ECOLI	P00892	P02413	C
ILVG_ECOLI	RL22_ECOLI	P00892	P61175	C
ILVG_ECOLI	IF2_ECOLI	P00892	P0A705	C
ILVG_ECOLI	SPOT_ECOLI	P00892	P0AG24	C
ILVG_ECOLI	RNR_ECOLI	P00892	P21499	C
ILVG_ECOLI	SRMB_ECOLI	P00892	P21507	C
ILVG_ECOLI	DEAD_ECOLI	P00892	P0A9P6	C
ILVG_ECOLI	ACCA_ECOLI	P00892	P0ABD5	C
ILVG_ECOLI	HRPA_ECOLI	P00892	P43329	C
ILVI_ECOLI	CH60_ECOLI	P00893	P0A6F5	C
THRC_ECOLI	OTSA_ECOLI	P00934	P31677	C
MANA_ECOLI	PBPA_ECOLI	P00946	P02918	C
SYW_ECOLI	SYW_ECOLI	P00954	P00954	C
SYW_ECOLI	RS5_ECOLI	P00954	P0A7W1	C
SYW_ECOLI	RL13_ECOLI	P00954	P0AA10	C
SYA_ECOLI	SYA_ECOLI	P00957	P00957	C
SYA_ECOLI	RS2_ECOLI	P00957	P0A7V0	C
SYA_ECOLI	TOP1_ECOLI	P00957	P06612	C
SYA_ECOLI	GLMS_ECOLI	P00957	P17169	C
SYA_ECOLI	ARPA_ECOLI	P00957	P23325	C
SYA_ECOLI	RLUB_ECOLI	P00957	P37765	C
SYA_ECOLI	YDFR_ECOLI	P00957	P76160	C
SYGA_ECOLI	SYGA_ECOLI	P00960	P00960	C
SYGA_ECOLI	RS2_ECOLI	P00960	P0A7V0	C
SYGA_ECOLI	RS3_ECOLI	P00960	P0A7V3	C
SYGA_ECOLI	RS5_ECOLI	P00960	P0A7W1	C
SYGA_ECOLI	RS13_ECOLI	P00960	P0A7S9	C
SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3	C
SYGA_ECOLI	RL4_ECOLI	P00960	P60723	C
SYGA_ECOLI	RL6_ECOLI	P00960	P0AG55	C
SYGA_ECOLI	RL19_ECOLI	P00960	P0A7K6	C
SYGA_ECOLI	RL22_ECOLI	P00960	P61175	C
SYGA_ECOLI	METK_ECOLI	P00960	P0A817	C
SYGA_ECOLI	DNAJ_ECOLI	P00960	P08622	C
SYGA_ECOLI	EFTU1_ECOLI	P00960	P0CE47	C
SYGA_ECOLI	RL28_ECOLI	P00960	P0A7M2	C
SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3	C
SYGA_ECOLI	YBGI_ECOLI	P00960	P0AFP6	C
SYGA_ECOLI	RL21_ECOLI	P00960	P0AG48	C
SYGA_ECOLI	PRC_ECOLI	P00960	P23865	C
SYGA_ECOLI	LLDD_ECOLI	P00960	P33232	C
SYGA_ECOLI	RL4_ECOLI	P00960	P60723	C
SYGB_ECOLI	SYGB_ECOLI	P00961	P00961	C
SYGB_ECOLI	GYRA_ECOLI	P00961	P0AES4	C
SYGB_ECOLI	CH60_ECOLI	P00961	P0A6F5	C
SYGB_ECOLI	NRDR_ECOLI	P00961	P0A8D0	C
SYGB_ECOLI	CSIE_ECOLI	P00961	P54901	C
SYQ_ECOLI	SYQ_ECOLI	P00962	P00962	C
SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5	C
SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5	C
ASNA_ECOLI	ASNA_ECOLI	P00963	P00963	C
CARB_ECOLI	CARB_ECOLI	P00968	P00968	C
CARB_ECOLI	TIG_ECOLI	P00968	P0A850	C
CARB_ECOLI	CYSI_ECOLI	P00968	P17846	C
CARB_ECOLI	CYSJ_ECOLI	P00968	P38038	C
RS6_ECOLI	RS5_ECOLI	P02358	P0A7W1	C
RS6_ECOLI	RS21_ECOLI	P02358	P68679	C
RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8	C
RS6_ECOLI	IF3_ECOLI	P02358	P0A707	C
RS6_ECOLI	UVRD_ECOLI	P02358	P03018	C
RS6_ECOLI	FIMB_ECOLI	P02358	P0ADH5	C
RS6_ECOLI	RF2_ECOLI	P02358	P07012	C
RS6_ECOLI	IHFB_ECOLI	P02358	P0A6Y1	C
RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8	C
RS6_ECOLI	RPPH_ECOLI	P02358	P0A776	C
RS6_ECOLI	PGK_ECOLI	P02358	P0A799	C
RS6_ECOLI	YACL_ECOLI	P02358	P0A8E5	C
RS6_ECOLI	UVRC_ECOLI	P02358	P0A8G0	C
RS6_ECOLI	TRMB_ECOLI	P02358	P0A8I5	C
RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8	C
RS6_ECOLI	RPOB_ECOLI	P02358	P0A8V2	C
RS6_ECOLI	YFBU_ECOLI	P02358	P0A8W8	C
RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6	C
RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4	C
RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6	C
RS6_ECOLI	RLUC_ECOLI	P02358	P0AA39	C
RS6_ECOLI	CLPA_ECOLI	P02358	P0ABH9	C
RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2	C
RS6_ECOLI	EXBB_ECOLI	P02358	P0ABU7	C
RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4	C
RS6_ECOLI	YGGE_ECOLI	P02358	P0ADS6	C
RS6_ECOLI	NUSG_ECOLI	P02358	P0AFG0	C
RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5	C
RS6_ECOLI	YHBY_ECOLI	P02358	P0AGK4	C
RS6_ECOLI	HTPG_ECOLI	P02358	P0A6Z3	C
RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4	C
RS6_ECOLI	SELB_ECOLI	P02358	P14081	C
RS6_ECOLI	CLPP_ECOLI	P02358	P0A6G7	C
RS6_ECOLI	RNR_ECOLI	P02358	P21499	C
RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6	C
RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8	C
RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2	C
RS6_ECOLI	HOLE_ECOLI	P02358	P0ABS8	C
RS6_ECOLI	IBPA_ECOLI	P02358	P0C054	C
RS6_ECOLI	NFI_ECOLI	P02358	P68739	C
RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5	C
RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6	C
RS6_ECOLI	YEFI_ECOLI	P02358	P37751	C
RS6_ECOLI	RLUB_ECOLI	P02358	P37765	C
RS6_ECOLI	YBCJ_ECOLI	P02358	P0AAS7	C
RS6_ECOLI	TORZ_ECOLI	P02358	P46923	C
RS6_ECOLI	GMHB_ECOLI	P02358	P63228	C
RS6_ECOLI	YQJI_ECOLI	P02358	P64588	C
RS6_ECOLI	CSRA_ECOLI	P02358	P69913	C
RS6_ECOLI	YBHK_ECOLI	P02358	P75767	C
RS6_ECOLI	RLMI_ECOLI	P02358	P75876	C
RS6_ECOLI	DCYD_ECOLI	P02358	P76316	C
RS6_ECOLI	YFFS_ECOLI	P02358	P76550	C
RS6_ECOLI	GTRB_ECOLI	P02358	P77293	C
RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4	C
RS7_ECOLI	RPOD_ECOLI	P02359	P00579	C
RS7_ECOLI	DBHB_ECOLI	P02359	P0ACF4	C
RS7_ECOLI	RS5_ECOLI	P02359	P0A7W1	C
RS7_ECOLI	RL4_ECOLI	P02359	P60723	C
RS7_ECOLI	RL7_ECOLI	P02359	P0A7K2	C
RS7_ECOLI	ACP_ECOLI	P02359	P0A6A8	C
RS7_ECOLI	PRIM_ECOLI	P02359	P0ABS5	C
RS7_ECOLI	IF3_ECOLI	P02359	P0A707	C
RS7_ECOLI	NUSA_ECOLI	P02359	P0AFF6	C
RS7_ECOLI	RIMP_ECOLI	P02359	P0A8A8	C
RS7_ECOLI	FIMB_ECOLI	P02359	P0ADH5	C
RS7_ECOLI	PNP_ECOLI	P02359	P05055	C
RS7_ECOLI	RNPA_ECOLI	P02359	P0A7Y8	C
RS7_ECOLI	LON_ECOLI	P02359	P0A9M0	C
RS7_ECOLI	RPOZ_ECOLI	P02359	P0A800	C
RS7_ECOLI	GRPE_ECOLI	P02359	P09372	C
RS7_ECOLI	FTSE_ECOLI	P02359	P0A9R7	C
RS7_ECOLI	SELB_ECOLI	P02359	P14081	C
RS7_ECOLI	SYK2_ECOLI	P02359	P0A8N5	C
RS7_ECOLI	CSPA_ECOLI	P02359	P0A9X9	C
RS7_ECOLI	CLPA_ECOLI	P02359	P0ABH9	C
RS7_ECOLI	ICLR_ECOLI	P02359	P16528	C
RS7_ECOLI	NUSG_ECOLI	P02359	P0AFG0	C
RS7_ECOLI	IPYR_ECOLI	P02359	P0A7A9	C
RS7_ECOLI	KDSA_ECOLI	P02359	P0A715	C
RS7_ECOLI	FABA_ECOLI	P02359	P0A6Q3	C
RS7_ECOLI	CLPP_ECOLI	P02359	P0A6G7	C
RS7_ECOLI	RNE_ECOLI	P02359	P21513	C
RS7_ECOLI	LPXD_ECOLI	P02359	P21645	C
RS7_ECOLI	FABZ_ECOLI	P02359	P0A6Q6	C
RS7_ECOLI	DEAD_ECOLI	P02359	P0A9P6	C
RS7_ECOLI	PSS_ECOLI	P02359	P23830	C
RS7_ECOLI	HYPC_ECOLI	P02359	P0AAM3	C
RS7_ECOLI	RCSA_ECOLI	P02359	P69405	C
RS7_ECOLI	HFQ_ECOLI	P02359	P0A6X3	C
RS7_ECOLI	MNME_ECOLI	P02359	P25522	C
RS7_ECOLI	SSPB_ECOLI	P02359	P0AFZ3	C
RS7_ECOLI	FTSH_ECOLI	P02359	P0AAI3	C
RS7_ECOLI	IBPA_ECOLI	P02359	P0C054	C
RS7_ECOLI	PYRH_ECOLI	P02359	P0A7E9	C
RS7_ECOLI	MOAA_ECOLI	P02359	P30745	C
RS7_ECOLI	HSLU_ECOLI	P02359	P0A6H5	C
RS7_ECOLI	NFI_ECOLI	P02359	P68739	C
RS7_ECOLI	AIDB_ECOLI	P02359	P33224	C
RS7_ECOLI	HSCB_ECOLI	P02359	P0A6L9	C
RS7_ECOLI	RSGA_ECOLI	P02359	P39286	C
RS7_ECOLI	RLMB_ECOLI	P02359	P63177	C
RS7_ECOLI	YHBY_ECOLI	P02359	P0AGK4	C
RS7_ECOLI	HSLR_ECOLI	P02359	P0ACG8	C
RS7_ECOLI	HSLO_ECOLI	P02359	P0A6Y5	C
RS7_ECOLI	YBJX_ECOLI	P02359	P75829	C
RS7_ECOLI	YDCP_ECOLI	P02359	P76104	C
RS7_ECOLI	YDIH_ECOLI	P02359	P64476	C
RS7_ECOLI	PHOL_ECOLI	P02359	P0A9K3	C
RL15_ECOLI	RPOA_ECOLI	P02413	P0A7Z4	C
RL15_ECOLI	RL23_ECOLI	P02413	P0ADZ0	C
RL15_ECOLI	RL27_ECOLI	P02413	P0A7L8	C
RL15_ECOLI	ACP_ECOLI	P02413	P0A6A8	C
RL15_ECOLI	NUSA_ECOLI	P02413	P0AFF6	C
RL15_ECOLI	PNP_ECOLI	P02413	P05055	C
RL15_ECOLI	RNPA_ECOLI	P02413	P0A7Y8	C
RL15_ECOLI	IHFB_ECOLI	P02413	P0A6Y1	C
RL15_ECOLI	HFQ_ECOLI	P02413	P0A6X3	C
RL15_ECOLI	IF3_ECOLI	P02413	P0A707	C
RL15_ECOLI	PYRH_ECOLI	P02413	P0A7E9	C
RL15_ECOLI	RNPA_ECOLI	P02413	P0A7Y8	C
RL15_ECOLI	TIG_ECOLI	P02413	P0A850	C
RL15_ECOLI	PHOL_ECOLI	P02413	P0A9K3	C
RL15_ECOLI	YJGF_ECOLI	P02413	P0AF93	C
RL15_ECOLI	SKP_ECOLI	P02413	P0AEU7	C
RL15_ECOLI	SELB_ECOLI	P02413	P14081	C
RL15_ECOLI	SRLR_ECOLI	P02413	P15082	C
RL15_ECOLI	SPOT_ECOLI	P02413	P0AG24	C
RL15_ECOLI	MAK_ECOLI	P02413	P23917	C
RL15_ECOLI	ADIA_ECOLI	P02413	P28629	C
RL15_ECOLI	RLUB_ECOLI	P02413	P37765	C
RL15_ECOLI	CSRA_ECOLI	P02413	P69913	C
RL15_ECOLI	YBJX_ECOLI	P02413	P75829	C
RL15_ECOLI	YNCE_ECOLI	P02413	P76116	C
RL15_ECOLI	DCYD_ECOLI	P02413	P76316	C
RL15_ECOLI	PHOL_ECOLI	P02413	P0A9K3	C
RL15_ECOLI	YGFU_ECOLI	P02413	Q46821	C
RL15_ECOLI	RPPH_ECOLI	P02413	P0A776	C
PBPA_ECOLI	6PGD_ECOLI	P02918	P00350	C
PBPA_ECOLI	RL15_ECOLI	P02918	P02413	C
PBPA_ECOLI	PFLB_ECOLI	P02918	P09373	C
PBPA_ECOLI	EFG_ECOLI	P02918	P0A6M8	C
PBPA_ECOLI	EFTU1_ECOLI	P02918	P0CE47	C
PBPA_ECOLI	EFTS_ECOLI	P02918	P0A6P1	C
PBPA_ECOLI	ENO_ECOLI	P02918	P0A6P9	C
PBPA_ECOLI	PGK_ECOLI	P02918	P0A799	C
PBPA_ECOLI	RL11_ECOLI	P02918	P0A7J7	C
PBPA_ECOLI	RL19_ECOLI	P02918	P0A7K6	C
PBPA_ECOLI	RL29_ECOLI	P02918	P0A7M6	C
PBPA_ECOLI	RL9_ECOLI	P02918	P0A7R1	C
PBPA_ECOLI	RS11_ECOLI	P02918	P0A7R9	C
PBPA_ECOLI	RS16_ECOLI	P02918	P0A7T3	C
PBPA_ECOLI	RS19_ECOLI	P02918	P0A7U3	C
PBPA_ECOLI	GLYA_ECOLI	P02918	P0A825	C
PBPA_ECOLI	FUR_ECOLI	P02918	P0A9A9	C
PBPA_ECOLI	G3P1_ECOLI	P02918	P0A9B2	C
PBPA_ECOLI	CSPC_ECOLI	P02918	P0A9Y6	C
PBPA_ECOLI	USPD_ECOLI	P02918	P0AAB8	C
PBPA_ECOLI	YCCJ_ECOLI	P02918	P0AB14	C
PBPA_ECOLI	DBHA_ECOLI	P02918	P0ACF0	C
PBPA_ECOLI	YFCZ_ECOLI	P02918	P0AD33	C
PBPA_ECOLI	RL16_ECOLI	P02918	P0ADY7	C
PBPA_ECOLI	FABG_ECOLI	P02918	P0AEK2	C
PBPA_ECOLI	RISA_ECOLI	P02918	P0AFU8	C
PBPA_ECOLI	RS1_ECOLI	P02918	P0AG67	C
PBPA_ECOLI	RL18_ECOLI	P02918	P0C018	C
PBPA_ECOLI	OSMC_ECOLI	P02918	P0C0L2	C
PBPA_ECOLI	KATG_ECOLI	P02918	P13029	C
PBPA_ECOLI	GLMS_ECOLI	P02918	P17169	C
PBPA_ECOLI	PGM_ECOLI	P02918	P36938	C
PBPA_ECOLI	RL5_ECOLI	P02918	P62399	C
PBPA_ECOLI	RL25_ECOLI	P02918	P68919	C
PBPB_ECOLI	TALB_ECOLI	P02919	P0A870	C
PBPB_ECOLI	HEM2_ECOLI	P02919	P0ACB2	C
PBPB_ECOLI	DBHA_ECOLI	P02919	P0ACF0	C
PBPB_ECOLI	PPSA_ECOLI	P02919	P23538	C
