ID interactor A_ID interactor B	ID interactor A	ID interactor B
P0A6Q6_P0A7V3	P0A6Q6	P0A7V3
P33594_P0A7V3	P33594	P0A7V3
P0A7A7_P0A7V3	P0A7A7	P0A7V3
P23830_P0A7V3	P23830	P0A7V3
P0A6Q6_P0A7V8	P0A6Q6	P0A7V8
P33594_P0A7V8	P33594	P0A7V8
P23830_P0A7V8	P23830	P0A7V8
P21513_P0A7V8	P21513	P0A7V8
P03004_P0A7W1	P03004	P0A7W1
P0AGD7_P0A7W1	P0AGD7	P0A7W1
P0A6X3_P0A7W1	P0A6X3	P0A7W1
P0A7A7_P0A7W1	P0A7A7	P0A7W1
P75829_P0A7W1	P75829	P0A7W1
P0A9X1_P0A7W1	P0A9X1	P0A7W1
P0A6X3_P02358	P0A6X3	P02358
P60785_P02358	P60785	P02358
P21513_P02358	P21513	P02358
P25522_P02358	P25522	P02358
P75829_P02358	P75829	P02358
P36879_P02358	P36879	P02358
P0A6X3_P02358	P0A6X3	P02358
P03004_P02359	P03004	P02359
P0A6Z3_P02359	P0A6Z3	P02359
P60785_P02359	P60785	P02359
P33594_P02359	P33594	P02359
P0A6A8_P0A7W7	P0A6A8	P0A7W7
P03004_P0A7X3	P03004	P0A7X3
P0A7A7_P0A7X3	P0A7A7	P0A7X3
P03004_P0A7R5	P03004	P0A7R5
P0AEK4_P0A7R5	P0AEK4	P0A7R5
P0A9R7_P0A7R5	P0A9R7	P0A7R5
P0A9A6_P0A7R5	P0A9A6	P0A7R5
P21513_P0A7R5	P21513	P0A7R5
P25522_P0A7R5	P25522	P0A7R5
P0AGD7_P0A7R9	P0AGD7	P0A7R9
P0A6X3_P0A7S9	P0A6X3	P0A7S9
P75829_P0A7S9	P75829	P0A7S9
P03004_P0AG59	P03004	P0AG59
P25522_P0AG59	P25522	P0AG59
P0A6X3_P0A7T3	P0A6X3	P0A7T3
P0A6X3_P0A7T7	P0A6X3	P0A7T7
P75829_P0A7U3	P75829	P0A7U3
P21513_P0A7U7	P21513	P0A7U7
P75829_P0A7U7	P75829	P0A7U7
P23830_P68679	P23830	P68679
P0A6Q6_P0A7L0	P0A6Q6	P0A7L0
P77499_P0A7L0	P77499	P0A7L0
P0A7A7_P60438	P0A7A7	P60438
P23830_P60438	P23830	P60438
P75829_P60438	P75829	P60438
P33916_P60438	P33916	P60438
P03004_P60422	P03004	P60422
P0A6Q6_P60422	P0A6Q6	P60422
P21513_P60422	P21513	P60422
P0A8Z3_P60422	P0A8Z3	P60422
P75829_P60422	P75829	P60422
P03004_P60723	P03004	P60723
P0A6Y8_P60723	P0A6Y8	P60723
P10408_P60723	P10408	P60723
P0A9X1_P60723	P0A9X1	P60723
P0A6Q6_P62399	P0A6Q6	P62399
P75829_P62399	P75829	P62399
P0A6Y8_P0AG55	P0A6Y8	P0AG55
P0ABH0_P0A7K2	P0ABH0	P0A7K2
P0A6X3_P0A7K2	P0A6X3	P0A7K2
P0A7A7_P0A7K2	P0A7A7	P0A7K2
P23830_P0A7K2	P23830	P0A7K2
P21513_P0A7K2	P21513	P0A7K2
P10408_P0A7K2	P10408	P0A7K2
P0A9X1_P0A7K2	P0A9X1	P0A7K2
P63386_P0A7K2	P63386	P0A7K2
P0A6Q6_P0A7J3	P0A6Q6	P0A7J3
P0AGD7_P0A7J3	P0AGD7	P0A7J3
P0ABH0_P0A7J7	P0ABH0	P0A7J7
P0A6Q6_P0AA10	P0A6Q6	P0AA10
P17443_P0AA10	P17443	P0AA10
P0AFI2_P0AA10	P0AFI2	P0AA10
P03004_P02413	P03004	P02413
P0A6X3_P02413	P0A6X3	P02413
P0A7A7_P02413	P0A7A7	P02413
P0A6A8_P02413	P0A6A8	P02413
P36879_P02413	P36879	P02413
P0A8Z3_P02413	P0A8Z3	P02413
P0ABA6_P02413	P0ABA6	P02413
P03004_P0ADY7	P03004	P0ADY7
P0A7A7_P0A7R1	P0A7A7	P0A7R1
P75829_P0A7R1	P75829	P0A7R1
P0A6Q6_P0A7K6	P0A6Q6	P0A7K6
P0A6X3_P0A7K6	P0A6X3	P0A7K6
P06993_P0A7K6	P06993	P0A7K6
P0A7A7_P0A7K6	P0A7A7	P0A7K6
P75829_P0A7K6	P75829	P0A7K6
P0ABH0_P0A7L3	P0ABH0	P0A7L3
P75829_P0A7L3	P75829	P0A7L3
P0A6X3_P0AG48	P0A6X3	P0AG48
P21513_P0AG48	P21513	P0AG48
P75829_P0AG48	P75829	P0AG48
P0AGD7_P0AG48	P0AGD7	P0AG48
P0A9R7_P61175	P0A9R7	P61175
P0A6X3_P61175	P0A6X3	P61175
P25522_P61175	P25522	P61175
P23830_P0ADZ0	P23830	P0ADZ0
P21513_P0ADZ0	P21513	P0ADZ0
P10408_P0ADZ0	P10408	P0ADZ0
P0AGD7_P0ADZ0	P0AGD7	P0ADZ0
P03004_P60624	P03004	P60624
P0A6X3_P60624	P0A6X3	P60624
P0A7A7_P60624	P0A7A7	P60624
P75829_P60624	P75829	P60624
P03004_P0A7M2	P03004	P0A7M2
P69797_P0A7M2	P69797	P0A7M2
P0A6Z3_P0A7M6	P0A6Z3	P0A7M6
P75829_P0A7M6	P75829	P0A7M6
P17443_P0A7N9	P17443	P0A7N9
P0AFI2_P0A7N9	P0AFI2	P0A7N9
P0A7A7_P0A7N9	P0A7A7	P0A7N9
P25522_P0A7N9	P25522	P0A7N9
P0A6A8_P0A6A8	P0A6A8	P0A6A8
P19925_P0A6A8	P19925	P0A6A8
P0A953_P0A6A8	P0A953	P0A6A8
P0A6R0_P0A6A8	P0A6R0	P0A6A8
P0ACF4_P0A6A8	P0ACF4	P0A6A8
P21645_P0A6A8	P21645	P0A6A8
P0AG40_P0A6A8	P0AG40	P0A6A8
P02413_P0A6A8	P02413	P0A6A8
P61175_P0A6A8	P61175	P0A6A8
P0A7M2_P0A6A8	P0A7M2	P0A6A8
P02358_P0A6A8	P02358	P0A6A8
P02359_P0A6A8	P02359	P0A6A8
P0A7S9_P0A6A8	P0A7S9	P0A6A8
P10408_P0A6A8	P10408	P0A6A8
P0AGK4_P0A6A8	P0AGK4	P0A6A8
P0ADQ2_P0A6A8	P0ADQ2	P0A6A8
P0A8P8_P0A6A8	P0A8P8	P0A6A8
P0A6B7_P0A6A8	P0A6B7	P0A6A8
P68187_P68187	P68187	P68187
P06993_P68187	P06993	P68187
P0AES4_P68187	P0AES4	P68187
P0C054_P68187	P0C054	P68187
P0A9X4_P68187	P0A9X4	P68187
P68187_P02916	P68187	P02916
P21889_P02918	P21889	P02918
P37349_P02918	P37349	P02918
P61889_P02918	P61889	P02918
P69783_P02920	P69783	P02920
P10408_P0A910	P10408	P0A910
P03004_P02990	P03004	P02990
P0A6Q6_P02990	P0A6Q6	P02990
P0ABH0_P02990	P0ABH0	P02990
P0A9A6_P02990	P0A9A6	P02990
