P23830	PSS_ECOLI	PSS_ECOLI_F1
P23878	FEPC_ECOLI	FEPC_ECOLI_F1
P25522	MNME_ECOLI	MNME_ECOLI_F1
P25534	UBIH_ECOLI	UBIH_ECOLI_F1
P25746	HFLD_ECOLI	HFLD_ECOLI_F1
P26647	PLSC_ECOLI	PLSC_ECOLI_F1
P27278	NADR_ECOLI	NADR_ECOLI_F1
P30750	METN_ECOLI	METN_ECOLI_F1
P31134	POTG_ECOLI	POTG_ECOLI_F1
P31979	NUOF_ECOLI	NUOF_ECOLI_F1
P32670	PTFX2_ECOLI	PTFX2_ECOLI_F1
P32676	PTFB3_ECOLI	PTFB3_ECOLI_F1
P33360	YEHX_ECOLI	YEHX_ECOLI_F1
P33593	NIKD_ECOLI	NIKD_ECOLI_F1
P33594	NIKE_ECOLI	NIKE_ECOLI_F1
P33599	NUOCD_ECOLI	NUOCD_ECOLI_F1
P33602	NUOG_ECOLI	NUOG_ECOLI_F1
P33916	YEJF_ECOLI	YEJF_ECOLI_F1
P36879	YADG_ECOLI	YADG_ECOLI_F1
P36881	YADI_ECOLI	YADI_ECOLI_F1
P37177	PT1P_ECOLI	PT1P_ECOLI_F1
P37313	DPPF_ECOLI	DPPF_ECOLI_F1
P38135	FADK_ECOLI	FADK_ECOLI_F1
P39405	FHUF_ECOLI	FHUF_ECOLI_F1
P43341	LPXH_ECOLI	LPXH_ECOLI_F1
P45769	YHDZ_ECOLI	YHDZ_ECOLI_F1
P50456	MLC_ECOLI	MLC_ECOLI_F1
P60785	LEPA_ECOLI	LEPA_ECOLI_F1
P61889	MDH_ECOLI	MDH_ECOLI_F1
P63386	MLAF_ECOLI	MLAF_ECOLI_F1
P63389	YHES_ECOLI	YHES_ECOLI_F1
P68187	MALK_ECOLI	MALK_ECOLI_F1
P68644	FIXC_ECOLI	FIXC_ECOLI_F1
P69451	LCFA_ECOLI	LCFA_ECOLI_F1
P69783	PTGA_ECOLI	PTGA_ECOLI_F1
P69791	PTQA_ECOLI	PTQA_ECOLI_F1
P69829	PTSN_ECOLI	PTSN_ECOLI_F1
P69853	DMSD_ECOLI	DMSD_ECOLI_F1
P69874	POTA_ECOLI	POTA_ECOLI_F1
P69931	HDA_ECOLI	HDA_ECOLI_F1
P75796	GSIA_ECOLI	GSIA_ECOLI_F1
P75829	YBJX_ECOLI	YBJX_ECOLI_F1
P75957	LOLD_ECOLI	LOLD_ECOLI_F1
P76010	YCGR_ECOLI	YCGR_ECOLI_F1
P76027	OPPD_ECOLI	OPPD_ECOLI_F1
P76346	MTFA_ECOLI	MTFA_ECOLI_F1
P77223	RNFB_ECOLI	RNFB_ECOLI_F1
P77279	YBBL_ECOLI	YBBL_ECOLI_F1
P77444	SUFS_ECOLI	SUFS_ECOLI_F1
P77499	SUFC_ECOLI	SUFC_ECOLI_F1
P77509	YPHE_ECOLI	YPHE_ECOLI_F1
P77522	SUFB_ECOLI	SUFB_ECOLI_F1
P77689	SUFD_ECOLI	SUFD_ECOLI_F1
P77737	OPPF_ECOLI	OPPF_ECOLI_F1
Q46845	YGHU_ECOLI	YGHU_ECOLI_F1
P03004	DNAA_ECOLI	DNAA_ECOLI_F1
P05706	PTHA_ECOLI	PTHA_ECOLI_F1
