ID interactor A	ID interactor B
P02359	P0AFF6
P02359	P0ADH5
P02359	P0ACG8
P02359	P0ACF4
P02359	P0ABS5
P02359	P0A9M0
P02359	P0A9K3
P02359	P0A8A8
P02359	P0A800
P02359	P0A7Y8
P02359	P0A7W1
P02359	P0A7K2
P02359	P0A707
P02359	P0A6Y5
P02359	P0A6A8
P02359	P09372
P02359	P05055
P02359	P00579
P02367	P69222
P02367	P0AGJ5
P02367	P33224
P02367	P0ACN4
P02367	P0AA10
P02367	P0A8G0
P02367	P0A8E5
P02367	P0A7N4
P02367	P0A6Y5
P02367	P02359
P02413	Q46930
P02413	Q46821
P02413	P76316
P02413	P76116
P02413	P75829
P02413	P69913
P02413	P37765
P02413	P28629
P02413	P23917
P02413	P17580
P02413	P15082
P02413	P14081
P02413	P11457
P02413	P0AFF6
P02413	P0AF93
P02413	P0ADZ0
P02413	P0A9K3
P02413	P0A9K3
P02413	P0A850
P02413	P0A7Z4
P02413	P0A7Y8
P02413	P0A7Y8
P02413	P0A7L8
P02413	P0A7E9
P02413	P0A707
P02413	P0A6Y1
P02413	P0A6X3
P02413	P0A6A8
P02413	P05055
P02916	P07622
P02918	P68919
P02918	P64581
P02918	P62399
P02918	P36938
P02918	P17169
P02918	P13029
P02918	P0C0L2
P02918	P0C018
P02918	P0AG67
P02918	P0AFU8
P02918	P0AEK2
P02918	P0AEH5
P02918	P0ADY7
P02918	P0AD33
P02918	P0ACF0
P02918	P0AB14
P02918	P0AAB8
P02918	P0A9Y6
P02918	P0A9B2
P02918	P0A9A9
P02918	P0A8G6
P02918	P0A825
P02918	P0A7U3
P02918	P0A7T3
P02918	P0A7R9
P02918	P0A7R1
P02918	P0A7M6
P02918	P0A7K6
P02918	P0A7J7
P02918	P0A799
P02918	P0A6P9
P02918	P0A6P1
P02918	P0A6N1
P02918	P0A6M8
P02918	P09373
P02918	P02413
P02918	P00350
P02919	P23538
P02919	P0ACF0
P02919	P0ACB2
P02919	P0A870
P02920	P02920
P02921	P36979
P02925	P00956
P02929	P0A7R5
P02929	P0A7J3
P02930	P31224
P02930	P31223
P02930	P02930
P02931	P19934
P02931	P02931
P02932	P36979
P02932	P11457
P02932	P0ADQ7
P02932	P02932
P02942	P36979
P02943	P19935
P02943	P02943
P02990	P77645
P02990	P76594
P02990	P76257
P02990	P76251
P02990	P75829
P02990	P63284
P02990	P45527
P02990	P45393
P02990	P43329
P02990	P39408
P02990	P39286
P02990	P37345
P02990	P37188
P02990	P36979
P02990	P36950
P02990	P36857
P02990	P36659
P02990	P0A6L9
P02990	P33995
P02990	P31120
P02990	P31059
P02990	P30977
P02990	P30745
P02990	P29745
P02990	P29464
P02990	P28909
P02990	P28692
P02990	P25540
P02990	P25521
P02990	P24194
P02990	P23839
P02990	P21893
P02990	P21513
P02990	P20625
P02990	P19245
P02990	P17580
P02990	P17579
P02990	P15038
P02990	P14825
P02990	P13445
P02990	P10443
P02990	P10408
P02990	P10115
P02990	P0AGE0
P02990	P0AGD7
P02990	P0AG30
P02990	P0AFF6
P02990	P0AES4
P02990	P0ADN0
P02990	P0A8V2
P02990	P0A8A4
P02990	P0A817
P02990	P0A812
P02990	P0A7W1
P02990	P0A7A7
P02990	P0A6Y8
P02990	P0A6P1
P02990	P09372
P02990	P09152
P02990	P06616
P02990	P04951
P02990	P02990
P02990	P00956
P02990	P00582
P03004	P60723
P03004	P60624
P03004	P60422
P03004	P21889
P03004	P18843
P03004	P0AG59
P03004	P0AG59
P03004	P0ADY7
P03004	P0ADY7
P03004	P0ADY3
P03004	P0A7X3
P03004	P0A7W1
P03004	P0A7V8
P03004	P0A7R5
P03004	P0A7M2
P03004	P08622
P03004	P03005
P03004	P03004
P03004	P02990
P03004	P02413
P03004	P02359
P03005	P77732
P03005	P60723
P03005	P39264
P03005	P10121
P03005	P0AFG8
P03005	P0AEF0
P03005	P0ADZ0
P03005	P0ABS5
P03005	P0A7V0
P03005	P0A7L0
P03005	P07696
P03005	P06710
P03005	P03005
P03005	P02990
P03005	P02413
P03005	P00561
P03007	P76195
P03007	P0A9Y6
P03007	P30178
P03007	P28632
P03007	P10443
P03007	P0AGE0
P03007	P0ABS8
P03007	P0AB98
P03007	P0AA10
P03007	P0A7N9
P03007	P0A7N9
P03007	P0A7L0
P03007	P03007
P03007	P02990
P03018	Q46812
P03018	P61175
P03018	P60438
P03018	P43671
P03018	P42902
P03018	P30867
P03018	P30750
P03018	P23909
P03018	P23367
P03018	P11028
P03018	P10408
P03018	P0AFG8
P03018	P0ADZ0
P03018	P0ACK2
P03018	P0ACF4
P03018	P0ACF0
P03018	P0AA10
P03018	P0A9K3
P03018	P0A8F8
P03018	P0A7V0
P03018	P0A7M6
P03018	P08531
P03018	P03018
P03018	P02359
P03023	P03023
P03024	P21893
P03024	P0ACF0
P03024	P03024
P03030	P39299
P03032	P03032
P03813	P77788
P03819	P19245
P03819	P0A6G7
P03819	P03819
P03827	P03827
P03841	P03841
P03842	P67910
P03842	P0AAH0
P03842	P0A7G6
P03842	P0A7G6
P03842	P0A6N1
P03842	P03842
P03842	P02990
P04036	P29012
P04036	P0AEZ3
P04036	P07650
P04079	P04079
P04128	P46923
P04128	P39385
P04128	P17952
P04128	P0AGB0
P04128	P0AEA5
P04128	P0ACV4
P04128	P0ABI8
P04128	P04128
P04128	P00968
P04273	P0A6F5
P04335	P69783
P04335	P28634
P04391	P04391
P04395	P04395
P04425	P04425
P04805	P76160
P04805	P0A6P9
P04805	P04805
P04805	P00957
P04825	P77329
P04825	P19318
P04825	P0AB46
P04825	P0A6F5
P04825	P04825
P04825	P03018
P04949	Q47153
P04951	P77741
P04951	P76189
P04951	P60723
P04951	P37095
P04951	P17579
P04951	P0AG67
P04951	P0AFU2
P04951	P0AD01
P04951	P0ACF4
P04951	P0A7K2
P04951	P0A7A9
P04951	P0A6Y8
P04951	P0A6N1
P04951	P08622
P04951	P04951
P04968	P21202
P04968	P13029
P04968	P0ABZ6
P04968	P04968
P04993	P14294
P04993	P0AG40
P04993	P0AFG8
P04993	P0A6F9
P04993	P08394
P04993	P07648
P04993	P04993
P04994	P76168
P04994	P0AD03
P04994	P04994
P04995	P28905
P04995	P21893
P04995	P0AGE0
P04995	P0AGE0
P05020	P05020
P05041	P00903
P05042	P0AG59
P05050	P0ADW6
P05050	P0ABA6
P05055	P77781
P05055	P61175
P05055	P60723
P05055	P60723
P05055	P60624
P05055	P60624
P05055	P0A9Y6
P05055	P29209
P05055	P25521
P05055	P24229
P05055	P22188
P05055	P21513
P05055	P13685
P05055	P0C054
P05055	P0AG48
P05055	P0AG44
P05055	P0AG44
P05055	P0ADZ4
P05055	P0ACF0
P05055	P0AAS7
P05055	P0AA10
P05055	P0AA10
P05055	P0A9Y6
P05055	P0A9X4
P05055	P0A8E5
P05055	P0A8E5
P05055	P0A817
P05055	P0A7Y8
P05055	P0A7W1
P05055	P0A7V8
P05055	P0A7V3
P05055	P0A7V3
P05055	P0A7T7
P05055	P0A7T7
P05055	P0A7S9
P05055	P0A7R1
P05055	P0A7L0
P05055	P0A7G6
P05055	P0A799
P05055	P0A6X3
P05055	P05055
P05100	P0A8L1
P05100	P0A7W1
P05100	P0A7M6
P05100	P05100
P05637	P68919
P05637	P21513
P05637	P0AG59
P05637	P0ACF8
P05637	P0ACF0
P05637	P0AB14
P05637	P0A9B2
P05637	P0A8J2
P05637	P0A7W7
P05637	P0A7U7
P05637	P0A7K6
P05637	P0A7J3
P05637	P0A6N4
P05637	P06987
P05704	P05704
P05707	P77735
P05707	P05707
P05719	P60723
P05719	P37631
P05719	P0ACF0
P05719	P08956
P05791	P39405
P05791	P30750
P05804	P75830
P05824	P76104
P05824	P05824
P05825	P94739
P05825	P05825
