ID interactor A	ID interactor B
P02342	P00892
P02341	P00892
P02384	P00892
P02389	P00892
P02418	P00892
P02392	P00892
P02414	P00892
P02416	P00892
P02419	P00892
P02420	P00892
P02421	P00892
P02422	P00892
P02425	P00892
P02428	P00892
P00575	P00892
P02349	P00892
P02352	P00892
P02370	P00892
P02372	P00892
P02378	P00892
P75864	P00892
P37765	P00892
P33635	P00892
P36564	P00892
P75966	P00892
Q46930	P00892
P42550	P00892
P00893	P00893
P52644	P00893
P0AFI7	P00893
P0A7R1	P00893
P0A7M2	P00893
P0AG67	P00893
P00894	P00894
P0ADM8	P00894
P05041	P00903
P00907	P00907
P00913	P00913
P00914	P00914
P08142	P00923
P00928	P00932
P37647	P00934
P38104	P00934
P0AET2	P00934
P0ACF8	P00934
P0A7M2	P00934
P00935	P00935
P0A6N1	P00944
P00946	P00946
P18196	P00946
P75864	P00946
P00951	P00951
P04475	P00951
P00954	P00954
P02423	P00954
P02351	P00954
P00955	P00955
P08324	P00955
P02386	P00955
P02418	P00955
P02410	P00955
P02420	P00955
P02364	P00955
P02369	P00955
P02370	P00955
P77558	P00955
P42550	P00955
P23839	P00955
P00956	P00956
P02925	P00956
P02990	P00956
P77734	P00956
P0AE18	P00956
P00957	P00957
P04475	P00957
P0A6N1	P00957
P04805	P00957
P0AG80	P00959
P00960	P00960
P02410	P00960
P02414	P00960
P02422	P00960
P02428	P00960
P13519	P00960
P18843	P00960
P62399	P00960
P0AG55	P00960
P0AA10	P00960
P0ADY7	P00960
P0A7K6	P00960
P0A7S9	P00960
P00961	P00961
P06982	P00961
P11457	P00961
P0A8D0	P00961
P21774	P00962
P00962	P00962
P21645	P00962
P00963	P00963
P0A836	P00963
P00907	P00968
P00968	P00968
P21346	P00968
P0A6F1	P00968
P0A7R5	P00968
P04128	P00968
P30015	P00968
P15027	P02339
P04995	P02339
P02339	P02339
P07376	P02339
P10443	P02339
P28905	P02339
P28632	P02339
P28689	P02339
P08177	P02339
P20083	P02339
P21893	P02339
P75697	P02339
P04475	P02339
P09097	P02339
P02342	P02339
P00490	P02339
P46022	P02339
P31061	P02339
P02386	P02339
P02388	P02339
P02420	P02339
P02423	P02339
P02425	P02339
P02436	P02339
P00574	P02339
P00577	P02339
P02354	P02339
P02364	P02339
P10408	P02339
P30856	P02339
P25522	P02339
P02990	P02339
P77398	P02339
P33635	P02339
P27854	P02339
P02342	P02341
P02341	P02341
P15277	P02341
P23304	P02341
P10485	P02341
P11028	P02341
P06984	P02341
P11457	P02341
P08936	P02341
P10484	P02341
P02386	P02341
P00574	P02341
P02359	P02341
P04951	P02341
P32679	P02341
P29464	P02341
P30856	P02341
P32052	P02341
P19675	P02341
P03018	P02341
P39299	P02341
P02342	P02342
P24245	P02342
P36997	P02342
P23304	P02342
P08756	P02342
P08936	P02342
P04475	P02342
P00490	P02342
P15977	P02342
P00574	P02342
P17579	P02342
P17443	P02342
P32679	P02342
P05055	P02342
P06277	P02342
P00575	P02342
P00577	P02342
P32052	P02342
P19675	P02342
P07025	P02342
P03018	P02342
P21499	P02342
P75707	P02342
P77734	P02342
P45571	P02342
P77349	P02342
P75829	P02342
Q46930	P02342
P33371	P02342
P03024	P02342
P02351	P02349
P36659	P02349
P15716	P02349
P36997	P02349
P23304	P02349
P29132	P02349
P25521	P02349
P04951	P02349
P29464	P02349
P06277	P02349
P00574	P02349
P02356	P02349
P22563	P02349
P32052	P02349
P17580	P02349
P00955	P02349
P22257	P02349
P45567	P02349
P45571	P02349
P77349	P02349
P37765	P02349
P36979	P02349
Q46930	P02349
P31805	P02349
P39286	P02349
P39299	P02349
P02392	P02351
P02352	P02351
P00957	P02351
P77254	P02351
P23892	P02351
P15716	P02351
P19245	P02351
P24245	P02351
Q47130	P02351
P03005	P02351
P18391	P02351
P21774	P02351
P07019	P02351
P11028	P02351
P10115	P02351
P28692	P02351
P06138	P02351
P17114	P02351
P00960	P02351
P30128	P02351
P06982	P02351
P25521	P02351
P08936	P02351
P28905	P02351
P28689	P02351
P43329	P02351
P33232	P02351
P07682	P02351
P21645	P02351
P07906	P02351
P22523	P02351
P28909	P02351
P17952	P02351
P20083	P02351
P00482	P02351
P17288	P02351
P07012	P02351
P42184	P02351
P23932	P02351
P25739	P02351
P25539	P02351
P21513	P02351
P06277	P02351
P08374	P02351
P08577	P02351
P17580	P02351
P25522	P02351
P00955	P02351
P14294	P02351
P03018	P02351
P21499	P02351
P37175	P02351
P45571	P02351
P77319	P02351
P75829	P02351
P00892	P02351
P36979	P02351
P36540	P02351
Q46930	P02351
P09160	P02351
P32049	P02351
P37195	P02351
P31473	P02351
P39299	P02351
P45748	P02351
P45803	P02351
P02354	P02352
P77254	P02352
P06709	P02352
P36996	P02352
P24245	P02352
P11876	P02352
P21774	P02352
P04742	P02352
P00960	P02352
P08177	P02352
P33594	P02352
P03003	P02352
P16921	P02352
P00482	P02352
P05055	P02352
P42184	P02352
P23830	P02352
P14374	P02352
P24229	P02352
P00575	P02352
P17580	P02352
P06612	P02352
P21499	P02352
P45571	P02352
P76316	P02352
