	ID interactor A	ID interactor B
CCA_ECOLI	P06961	P0A8V2
CYSB_ECOLI	P0A9F3	P0A8V2
MUTL_ECOLI	P23367	P0A8V2
RHSE_ECOLI	P24211	P0A8V2
RL2_ECOLI	P60422	P0A8V2
RL4_ECOLI	P60723	P0A8V2
RL11_ECOLI	P0A7J7	P0A8V2
RL33_ECOLI	P0A7N9	P0A8V2
RS20_ECOLI	P0A7U7	P0A8V2
RS21_ECOLI	P68679	P0A8V2
TORR_ECOLI	P38684	P0A8V2
YACL_ECOLI	P0A8E5	P0A8V2
SSB_ECOLI	P0AGE0	P0A8V2
SSPA_ECOLI	P0ACA3	P0A8V2
TGT_ECOLI	P0A847	P0A8V2
TOP1_ECOLI	P06612	P0A8V2
YBHK_ECOLI	P75767	P0A8V2
GCP_ECOLI	P05852	P0A8V2
DCTR_ECOLI	P37195	P0A8V2
YICC_ECOLI	P23839	P0A8V2
BGLG_ECOLI	P11989	P0A8T7
RPOB_ECOLI	P0A8V2	P0A8T7
RPOD_ECOLI	P00579	P0A8T7
RPOA_ECOLI	P0A7Z4	P0A8T7
NUSA_ECOLI	P0AFF6	P0A8T7
FLIA_ECOLI	P0AEM6	P0A8T7
RSD_ECOLI	P0AFX4	P0A8T7
KAD_ECOLI	P69441	P0A8T7
FIS_ECOLI	P0A6R3	P0A8T7
G3P1_ECOLI	P0A9B2	P0A8T7
RAPA_ECOLI	P60240	P0A8T7
HNS_ECOLI	P0ACF8	P0A8T7
HOLD_ECOLI	P28632	P0A8T7
SYK2_ECOLI	P0A8N5	P0A8T7
NUSG_ECOLI	P0AFG0	P0A8T7
DPO1_ECOLI	P00582	P0A8T7
RL4_ECOLI	P60723	P0A8T7
RPOC_ECOLI	P0A8T7	P0A8T7
FLXA_ECOLI	P77609	P0A8T7
HEM3_ECOLI	P06983	P0A8T7
PHSM_ECOLI	P00490	P0A8T7
RL2_ECOLI	P60422	P0A8T7
RL3_ECOLI	P60438	P0A8T7
RL9_ECOLI	P0A7R1	P0A8T7
RL17_ECOLI	P0AG44	P0A8T7
RL22_ECOLI	P61175	P0A8T7
RS3_ECOLI	P0A7V3	P0A8T7
RS4_ECOLI	P0A7V8	P0A8T7
RS5_ECOLI	P0A7W1	P0A8T7
RPOS_ECOLI	P13445	P0A8T7
SPOT_ECOLI	P0AG24	P0A8T7
USG_ECOLI	P08390	P0A8T7
YBCJ_ECOLI	P0AAS7	P0A8T7
ILVG_ECOLI	P00892	P0A8T7
DCTR_ECOLI	P37195	P0A8T7
RSD_ECOLI	P0AFX4	P00579
MELR_ECOLI	P0ACH8	P00579
RPOA_ECOLI	P0A7Z4	P00579
RPOD_ECOLI	P00579	P00579
RPOB_ECOLI	P0A8V2	P00579
ADA_ECOLI	P06134	P00579
CEDA_ECOLI	P0AE60	P00579
IF2_ECOLI	P0A705	P00579
PEPB_ECOLI	P37095	P00579
RL1_ECOLI	P0A7L0	P00579
RL7_ECOLI	P0A7K2	P00579
