	ID interactor A	ID interactor B
AIDB_ECOLI	P33224	P0A7U7
APAH_ECOLI	P05637	P0A7U7
CSPC_ECOLI	P0A9Y6	P0A7U7
RPPH_ECOLI	P0A776	P0A7U7
PANB_ECOLI	P31057	P0A7U7
PGK_ECOLI	P0A799	P0A7U7
PROQ_ECOLI	P45577	P0A7U7
RLUB_ECOLI	P37765	P0A7U7
RNG_ECOLI	P0A9J0	P0A7U7
RNPA_ECOLI	P0A7Y8	P0A7U7
RPOA_ECOLI	P0A7Z4	P0A7U7
RPOZ_ECOLI	P0A800	P0A7U7
YACL_ECOLI	P0A8E5	P0A7U7
YDIZ_ECOLI	P64479	P0A7U7
DCYD_ECOLI	P76316	P0A7U7
YFBR_ECOLI	P76491	P0A7U7
YFIQ_ECOLI	P76594	P0A7U7
YJJU_ECOLI	P39407	P0A7U7
YQJI_ECOLI	P64588	P0A7U7
RNR_ECOLI	P21499	P0A7U7
CSPD_ECOLI	P0A968	P0A7U7
DEAD_ECOLI	P0A9P6	P0A7U7
ULAR_ECOLI	P0A9W0	P0A7U7
TIG_ECOLI	P0A850	P0A7V0
YIBL_ECOLI	P0ADK8	P0A7V3
INSQ_ECOLI	P76102	P0A7V3
TOP3_ECOLI	P14294	P0A7V3
CSRA_ECOLI	P69913	P0A7V3
GLTD_ECOLI	P09832	P0A7V3
LPXD_ECOLI	P21645	P0A7V3
NUSG_ECOLI	P0AFG0	P0A7V3
PYRH_ECOLI	P0A7E9	P0A7V3
RLUB_ECOLI	P37765	P0A7V3
YBCJ_ECOLI	P0AAS7	P0A7V3
PHOL_ECOLI	P0A9K3	P0A7V3
DCYD_ECOLI	P76316	P0A7V3
DCM_ECOLI	P0AED9	P0A7V3
YDII_ECOLI	P77781	P0A7V3
YFFS_ECOLI	P76550	P0A7V3
YQJI_ECOLI	P64588	P0A7V3
NPD_ECOLI	P75960	P0A7V3
DNAJ_ECOLI	P08622	P0A7V3
HRPA_ECOLI	P43329	P0A7V3
ISPA_ECOLI	P22939	P0A7V3
NUSA_ECOLI	P0AFF6	P0A7V3
PARE_ECOLI	P20083	P0A7V3
PHOP_ECOLI	P23836	P0A7V3
PNP_ECOLI	P05055	P0A7V3
RNH_ECOLI	P0A7Y4	P0A7V3
RNR_ECOLI	P21499	P0A7V3
RL4_ECOLI	P60723	P0A7V3
SPOT_ECOLI	P0AG24	P0A7V3
DEAD_ECOLI	P0A9P6	P0A7V3
RNPA_ECOLI	P0A7Y8	P0A7V3
ULAR_ECOLI	P0A9W0	P0A7V3
UVRC_ECOLI	P0A8G0	P0A7V3
RLMN_ECOLI	P36979	P0A7V3
YFIF_ECOLI	P0AGJ5	P0A7V3
RPOA_ECOLI	P0A7Z4	P0A7V3
RPPH_ECOLI	P0A776	P0A7V8
CSRA_ECOLI	P69913	P0A7V8
RHLB_ECOLI	P0A8J8	P0A7V8
SELB_ECOLI	P14081	P0A7V8
UVRC_ECOLI	P0A8G0	P0A7V8
YACL_ECOLI	P0A8E5	P0A7V8
WBBJ_ECOLI	P37750	P0A7V8
YFBU_ECOLI	P0A8W8	P0A7V8
AIDB_ECOLI	P33224	P0A7V8
NPD_ECOLI	P75960	P0A7V8
CSIE_ECOLI	P54901	P0A7V8
MUKB_ECOLI	P22523	P0A7V8
NUSA_ECOLI	P0AFF6	P0A7V8
PARE_ECOLI	P20083	P0A7V8
SPOT_ECOLI	P0AG24	P0A7V8
CSPC_ECOLI	P0A9Y6	P0A7V8
CSPD_ECOLI	P0A968	P0A7V8
DEAD_ECOLI	P0A9P6	P0A7V8
RLUC_ECOLI	P0AA39	P0A7V8
ULAR_ECOLI	P0A9W0	P0A7V8
YFIF_ECOLI	P0AGJ5	P0A7V8
RPOA_ECOLI	P0A7Z4	P0A7V8
TIG_ECOLI	P0A850	P0A7W1
YDII_ECOLI	P77781	P0A7W7
APAH_ECOLI	P05637	P0A7W7
FDHF_ECOLI	P07658	P0A7W7
GMHB_ECOLI	P63228	P0A7W7
ICLR_ECOLI	P16528	P0A7W7
NUSG_ECOLI	P0AFG0	P0A7W7
P5CR_ECOLI	P0A9L8	P0A7W7
RLMI_ECOLI	P75876	P0A7W7
YFIF_ECOLI	P0AGJ5	P0A7W7
IF3_ECOLI	P0A707	P0A7W7
UVRC_ECOLI	P0A8G0	P0A7W7
YFIF_ECOLI	P0AGJ5	P0A7X3
GLTD_ECOLI	P09832	P0A7X3
DCYD_ECOLI	P76316	P0A7X3
YEEX_ECOLI	P0A8M6	P0A7X3
DEAD_ECOLI	P0A9P6	P0A7X3
IF3_ECOLI	P0A707	P0A7X3
RNPA_ECOLI	P0A7Y8	P0A7X3
TIG_ECOLI	P0A850	P0A7X3
YMDB_ECOLI	P0A8D6	P0A7Y0
TOP1_ECOLI	P06612	P0A7Y4
RS9_ECOLI	P0A7X3	P0A7Y4
RS20_ECOLI	P0A7U7	P0A7Y4
NUDG_ECOLI	P77788	P0A7Y4
SSB_ECOLI	P0AGE0	P0A7Y4
RLUB_ECOLI	P37765	P0A7Y8
RL13_ECOLI	P0AA10	P0A7Y8
DBHA_ECOLI	P0ACF0	P0A7Y8
RL7_ECOLI	P0A7K2	P0A7Y8
RL14_ECOLI	P0ADY3	P0A7Y8
RL16_ECOLI	P0ADY7	P0A7Y8
RL17_ECOLI	P0AG44	P0A7Y8
RL18_ECOLI	P0C018	P0A7Y8
RL24_ECOLI	P60624	P0A7Y8
RL28_ECOLI	P0A7M2	P0A7Y8
RL29_ECOLI	P0A7M6	P0A7Y8
RS15_ECOLI	P0ADZ4	P0A7Y8
RS21_ECOLI	P68679	P0A7Y8
YHBY_ECOLI	P0AGK4	P0A7Y8
CLPA_ECOLI	P0ABH9	P0A7Y8
DEAD_ECOLI	P0A9P6	P0A7Y8
PNP_ECOLI	P05055	P0A7Y8
RLUC_ECOLI	P0AA39	P0A7Y8
RL4_ECOLI	P60723	P0A7Y8
RS4_ECOLI	P0A7V8	P0A7Y8
RS8_ECOLI	P0A7W7	P0A7Y8
RL6_ECOLI	P0AG55	P0A7Y8
RL15_ECOLI	P02413	P0A7Y8
RS18_ECOLI	P0A7T7	P0A7Y8
TPIS_ECOLI	P0A858	P0A7Z4
SSB_ECOLI	P0AGE0	P0A7Z4
RS10_ECOLI	P0A7R5	P0A7Z4
G3P1_ECOLI	P0A9B2	P0A7Z4
KDGR_ECOLI	P76268	P0A7Z4
NFI_ECOLI	P68739	P0A7Z4
RL23_ECOLI	P0ADZ0	P0A7Z4
RL24_ECOLI	P60624	P0A7Z4
RL27_ECOLI	P0A7L8	P0A7Z4
RL28_ECOLI	P0A7M2	P0A7Z4
RL33_ECOLI	P0A7N9	P0A7Z4
RS14_ECOLI	P0AG59	P0A7Z4
RS21_ECOLI	P68679	P0A7Z4
YEBR_ECOLI	P76270	P0A7Z4
YEEX_ECOLI	P0A8M6	P0A7Z4
YQHD_ECOLI	Q46856	P0A7Z4
RL1_ECOLI	P0A7L0	P0A7Z4
RS1_ECOLI	P0AG67	P0A7Z4
CEDA_ECOLI	P0AE60	P0A7Z4
RAPA_ECOLI	P60240	P0A7Z4
NUSG_ECOLI	P0AFG0	P0A7Z4
RL13_ECOLI	P0AA10	P0A7Z4
RPOC_ECOLI	P0A8T7	P0A7Z4
RPOZ_ECOLI	P0A800	P0A7Z4
TOP1_ECOLI	P06612	P0A7Z4
YACL_ECOLI	P0A8E5	P0A7Z4
DBHA_ECOLI	P0ACF0	P0A7Z4
RS16_ECOLI	P0A7T3	P0A7Z4
THIG_ECOLI	P30139	P0A800
RAPA_ECOLI	P60240	P0A800
NUSG_ECOLI	P0AFG0	P0A800
RL7_ECOLI	P0A7K2	P0A800
TIG_ECOLI	P0A850	P0A800
RPOB_ECOLI	P0A8V2	P0A800
NUSA_ECOLI	P0AFF6	P0A800
PHOL_ECOLI	P0A9K3	P0A809
NFI_ECOLI	P68739	P0A809
YGFT_ECOLI	Q46820	P0A809
DNAJ_ECOLI	P08622	P0A812
CH10_ECOLI	P0A6F9	P0A812
CLPB_ECOLI	P63284	P0A812
CHER_ECOLI	P07364	P0A812
YODC_ECOLI	P64517	P0A817
GCP_ECOLI	P05852	P0A817
IBPA_ECOLI	P0C054	P0A817
DXS_ECOLI	P77488	P0A817
GYRA_ECOLI	P0AES4	P0A817
HSCB_ECOLI	P0A6L9	P0A817
IF1_ECOLI	P69222	P0A817
FLIT_ECOLI	P0ABY2	P0A817
FLII_ECOLI	P52612	P0A817
PROA_ECOLI	P07004	P0A823
ASSY_ECOLI	P0A6E4	P0A825
RS1_ECOLI	P0AG67	P0A832
SGBH_ECOLI	P37678	P0A832
RL13_ECOLI	P0AA10	P0A832
YEEX_ECOLI	P0A8M6	P0A832
TGT_ECOLI	P0A847	P0A832
CLPA_ECOLI	P0ABH9	P0A832
PHSM_ECOLI	P00490	P0A832
DBHB_ECOLI	P0ACF4	P0A832
SUCD_ECOLI	P0AGE9	P0A836
LEU1_ECOLI	P09151	P0A836
AHPC_ECOLI	P0AE08	P0A836
CLPB_ECOLI	P63284	P0A836
DPS_ECOLI	P0ABT2	P0A836
ENO_ECOLI	P0A6P9	P0A836
DCEB_ECOLI	P69910	P0A836
METE_ECOLI	P25665	P0A836
MIAB_ECOLI	P0AEI1	P0A836
PFLB_ECOLI	P09373	P0A836
RS1_ECOLI	P0AG67	P0A836
RS18_ECOLI	P0A7T7	P0A836
RS19_ECOLI	P0A7U3	P0A836
YAIL_ECOLI	P51024	P0A836
GRCA_ECOLI	P68066	P0A836
RF3_ECOLI	P0A7I4	P0A847
RL4_ECOLI	P60723	P0A847
RL7_ECOLI	P0A7K2	P0A847
RL20_ECOLI	P0A7L3	P0A847
RL28_ECOLI	P0A7M2	P0A847
RS14_ECOLI	P0AG59	P0A847
DEAD_ECOLI	P0A9P6	P0A847
RL2_ECOLI	P60422	P0A847
YFIF_ECOLI	P0AGJ5	P0A847
RL13_ECOLI	P0AA10	P0A847
RL19_ECOLI	P0A7K6	P0A847
RLUB_ECOLI	P37765	P0A847
RL1_ECOLI	P0A7L0	P0A847
RL28_ECOLI	P0A7M2	P0A850
HYPC_ECOLI	P0AAM3	P0A850
AAT_ECOLI	P00509	P0A850
GLNE_ECOLI	P30870	P0A850
P5CR_ECOLI	P0A9L8	P0A850
RL29_ECOLI	P0A7M6	P0A850
RLMF_ECOLI	P75782	P0A850
YFCB_ECOLI	P39199	P0A850
METK_ECOLI	P0A817	P0A850
YJEK_ECOLI	P39280	P0A850
RL14_ECOLI	P0ADY3	P0A850
RL6_ECOLI	P0AG55	P0A850
RS3_ECOLI	P0A7V3	P0A850
RL17_ECOLI	P0AG44	P0A850
RL22_ECOLI	P61175	P0A850
RS10_ECOLI	P0A7R5	P0A850
RS19_ECOLI	P0A7U3	P0A850
TRMA_ECOLI	P23003	P0A850
AVTA_ECOLI	P09053	P0A850
GLK_ECOLI	P0A6V8	P0A850
FTNA_ECOLI	P0A998	P0A850
ASNB_ECOLI	P22106	P0A850
THGA_ECOLI	P07464	P0A850
ARGD_ECOLI	P18335	P0A850
PDXH_ECOLI	P0AFI7	P0A850
MAA_ECOLI	P77791	P0A850
RNC_ECOLI	P0A7Y0	P0A850
KITH_ECOLI	P23331	P0A850
CARB_ECOLI	P00968	P0A850
YFIF_ECOLI	P0AGJ5	P0A850
RL15_ECOLI	P02413	P0A850
FRUR_ECOLI	P0ACP1	P0A850
RS11_ECOLI	P0A7R9	P0A850
RL5_ECOLI	P62399	P0A850
RL7_ECOLI	P0A7K2	P0A850
YEBC_ECOLI	P0A8A0	P0A855
SYK2_ECOLI	P0A8N5	P0A858
DPO3A_ECOLI	P10443	P0A858
RLMN_ECOLI	P36979	P0A858
HYPC_ECOLI	P0AAM3	P0A858
PFLB_ECOLI	P09373	P0A858
GRCA_ECOLI	P68066	P0A858
GLDA_ECOLI	P0A9S5	P0A867
YCIF_ECOLI	P21362	P0A867
LEUC_ECOLI	P0A6A6	P0A870
PPSA_ECOLI	P23538	P0A870
DPO3A_ECOLI	P10443	P0A873
HOLA_ECOLI	P28630	P0A873
HOLD_ECOLI	P28632	P0A873
PUUR_ECOLI	P0A9U6	P0A877
RAVA_ECOLI	P31473	P0A890
RL7_ECOLI	P0A7K2	P0A890
RPOB_ECOLI	P0A8V2	P0A890
YJEE_ECOLI	P0AF67	P0A890
ISCS_ECOLI	P0A6B7	P0A890
RS14_ECOLI	P0AG59	P0A894
PUUE_ECOLI	P50457	P0A8A0
THTM_ECOLI	P31142	P0A8A0
P5CR_ECOLI	P0A9L8	P0A8A0
RLUD_ECOLI	P33643	P0A8A4
CSPD_ECOLI	P0A968	P0A8A4
RSGA_ECOLI	P39286	P0A8A4
RS3_ECOLI	P0A7V3	P0A8A8
RL23_ECOLI	P0ADZ0	P0A8B2
RL28_ECOLI	P0A7M2	P0A8B2
DEAD_ECOLI	P0A9P6	P0A8B5
YCHN_ECOLI	P0AB52	P0A8B5
RL2_ECOLI	P60422	P0A8E5
CRP_ECOLI	P0ACJ8	P0A8E5
PNP_ECOLI	P05055	P0A8E5
RL17_ECOLI	P0AG44	P0A8E5
RL28_ECOLI	P0A7M2	P0A8E5
RS1_ECOLI	P0AG67	P0A8E5
RS3_ECOLI	P0A7V3	P0A8E5
RS6_ECOLI	P02358	P0A8E5
RS11_ECOLI	P0A7R9	P0A8E5
RS14_ECOLI	P0AG59	P0A8E5
RS21_ECOLI	P68679	P0A8E5
RSUA_ECOLI	P0AA43	P0A8E5
ARNA_ECOLI	P77398	P0A8E5
YQJI_ECOLI	P64588	P0A8E5
RPOB_ECOLI	P0A8V2	P0A8E5
RPOC_ECOLI	P0A8T7	P0A8E5
RPOZ_ECOLI	P0A800	P0A8E5
TORD_ECOLI	P36662	P0A8E7
SUCC_ECOLI	P0A836	P0A8F0
HNS_ECOLI	P0ACF8	P0A8F8
DBHA_ECOLI	P0ACF0	P0A8F8
NFI_ECOLI	P68739	P0A8F8
RL20_ECOLI	P0A7L3	P0A8G0
RL21_ECOLI	P0AG48	P0A8G0
RL28_ECOLI	P0A7M2	P0A8G0
RS15_ECOLI	P0ADZ4	P0A8G0
RS19_ECOLI	P0A7U3	P0A8G0
YHBY_ECOLI	P0AGK4	P0A8G0
RL2_ECOLI	P60422	P0A8G0
RL19_ECOLI	P0A7K6	P0A8G0
RS6_ECOLI	P02358	P0A8G0
RS14_ECOLI	P0AG59	P0A8G0
RS20_ECOLI	P0A7U7	P0A8G0
DPO3B_ECOLI	P0A988	P0A8G6
SYK2_ECOLI	P0A8N5	P0A8G6
HYBD_ECOLI	P37182	P0A8G6
MUKB_ECOLI	P22523	P0A8G9
KDGR_ECOLI	P76268	P0A8G9
YJDJ_ECOLI	P39274	P0A8G9
RIMP_ECOLI	P0A8A8	P0A8H6
YBCJ_ECOLI	P0AAS7	P0A8H6
RS6_ECOLI	P02358	P0A8I5
RL5_ECOLI	P62399	P0A8I5
SYQ_ECOLI	P00962	P0A8I5
DEAD_ECOLI	P0A9P6	P0A8I5
RL13_ECOLI	P0AA10	P0A8I5
RLML_ECOLI	P75864	P0A8I5
RS3_ECOLI	P0A7V3	P0A8I5
RS4_ECOLI	P0A7V8	P0A8I5
SRMB_ECOLI	P21507	P0A8I5
YFIF_ECOLI	P0AGJ5	P0A8I5
FLGM_ECOLI	P0AEM4	P0A8I5
GPH_ECOLI	P32662	P0A8I5
APAH_ECOLI	P05637	P0A8J2
RL19_ECOLI	P0A7K6	P0A8J8
CSRA_ECOLI	P69913	P0A8J8
RL13_ECOLI	P0AA10	P0A8J8
RS6_ECOLI	P02358	P0A8J8
RS19_ECOLI	P0A7U3	P0A8J8
RS20_ECOLI	P0A7U7	P0A8J8
YFBU_ECOLI	P0A8W8	P0A8J8
RL9_ECOLI	P0A7R1	P0A8J8
SPOT_ECOLI	P0AG24	P0A8J8
YBCJ_ECOLI	P0AAS7	P0A8J8
SYK2_ECOLI	P0A8N5	P0A8L1
RECF_ECOLI	P0A7H0	P0A8L1
GLSA1_ECOLI	P77454	P0A8L7
YDFG_ECOLI	P39831	P0A8L7
TYSY_ECOLI	P0A884	P0A8M3
RL19_ECOLI	P0A7K6	P0A8M3
RPE_ECOLI	P0AG07	P0A8M3
DCYD_ECOLI	P76316	P0A8M6
LON_ECOLI	P0A9M0	P0A8M6
HLDD_ECOLI	P67910	P0A8M6
RNR_ECOLI	P21499	P0A8M6
RL2_ECOLI	P60422	P0A8M6
RL9_ECOLI	P0A7R1	P0A8M6
RL13_ECOLI	P0AA10	P0A8M6
RL17_ECOLI	P0AG44	P0A8M6
RS3_ECOLI	P0A7V3	P0A8M6
RS4_ECOLI	P0A7V8	P0A8M6
RS14_ECOLI	P0AG59	P0A8M6
RS18_ECOLI	P0A7T7	P0A8M6
RLML_ECOLI	P75864	P0A8M6
RLUB_ECOLI	P37765	P0A8M6
RPOD_ECOLI	P00579	P0A8M6
RLMI_ECOLI	P75876	P0A8M6
ACCA_ECOLI	P0ABD5	P0A8M6
HRPA_ECOLI	P43329	P0A8M6
LPXD_ECOLI	P21645	P0A8M6
PHSM_ECOLI	P00490	P0A8M6
PDXH_ECOLI	P0AFI7	P0A8M6
RL14_ECOLI	P0ADY3	P0A8M6
RL16_ECOLI	P0ADY7	P0A8M6
RL18_ECOLI	P0C018	P0A8M6
RL20_ECOLI	P0A7L3	P0A8M6
RL21_ECOLI	P0AG48	P0A8M6
RL28_ECOLI	P0A7M2	P0A8M6
RL29_ECOLI	P0A7M6	P0A8M6
RS8_ECOLI	P0A7W7	P0A8M6
RS10_ECOLI	P0A7R5	P0A8M6
RS19_ECOLI	P0A7U3	P0A8M6
RS20_ECOLI	P0A7U7	P0A8M6
TIG_ECOLI	P0A850	P0A8M6
RIMP_ECOLI	P0A8A8	P0A8M6
YHIR_ECOLI	P37634	P0A8M6
YCAO_ECOLI	P75838	P0A8M6
YPDF_ECOLI	P76524	P0A8N3
PDXJ_ECOLI	P0A794	P0A8N3
PLSX_ECOLI	P27247	P0A8N3
UCPA_ECOLI	P37440	P0A8N3
FADJ_ECOLI	P77399	P0A8N3
YBAZ_ECOLI	P0AFP2	P0A8N3
TDCD_ECOLI	P11868	P0A8N3
FDHD_ECOLI	P32177	P0A8N5
DPS_ECOLI	P0ABT2	P0A8N5
ENO_ECOLI	P0A6P9	P0A8N5
CYSK_ECOLI	P0ABK5	P0A8N5
RL25_ECOLI	P68919	P0A8N5
YAGJ_ECOLI	P77169	P0A8N5
YFCZ_ECOLI	P0AD33	P0A8N5
ADHE_ECOLI	P0A9Q7	P0A8N5
DCEB_ECOLI	P69910	P0A8N5
PGK_ECOLI	P0A799	P0A8N5
HLDD_ECOLI	P67910	P0A8N5
TNAA_ECOLI	P0A853	P0A8N5
AMPA_ECOLI	P68767	P0A8N5
SYK1_ECOLI	P0A8N3	P0A8N5
RF1_ECOLI	P0A7I0	P0A8Q0
CLPA_ECOLI	P0ABH9	P0A8Q6
YFIF_ECOLI	P0AGJ5	P0A8R0
RSUA_ECOLI	P0AA43	P0A8R7
CSPE_ECOLI	P0A972	P0A8R7
DHAK_ECOLI	P76015	P0A8R7
CH10_ECOLI	P0A6F9	P0A8R7
DBHA_ECOLI	P0ACF0	P0A8R7
RL7_ECOLI	P0A7K2	P0A8R7
RS16_ECOLI	P0A7T3	P0A8R7
CH10_ECOLI	P0A6F9	P0A8S1
FLHD_ECOLI	P0A8S9	P0A8S9
FLIT_ECOLI	P0ABY2	P0A8S9
NIFJ_ECOLI	P52647	P0A8S9
FLIA_ECOLI	P0AEM6	P0A8S9
RCSB_ECOLI	P69407	P0A8T1
CHEZ_ECOLI	P0A9H9	P0A8T5
YGFB_ECOLI	P0A8C4	P0A8T7
DBHA_ECOLI	P0ACF0	P0A8T7
RL16_ECOLI	P0ADY7	P0A8T7
PHSM_ECOLI	P00490	P0A8T7
G3P1_ECOLI	P0A9B2	P0A8T7
KDGR_ECOLI	P76268	P0A8T7
YEEX_ECOLI	P0A8M6	P0A8T7
CEDA_ECOLI	P0AE60	P0A8T7
RPOB_ECOLI	P0A8V2	P0A8T7
RS4_ECOLI	P0A7V8	P0A8T7
RPOZ_ECOLI	P0A800	P0A8T7
CH10_ECOLI	P0A6F9	P0A8U2
NUSA_ECOLI	P0AFF6	P0A8U6
CEDA_ECOLI	P0AE60	P0A8U6
TORR_ECOLI	P38684	P0A8V2
RS10_ECOLI	P0A7R5	P0A8V2
TOP1_ECOLI	P06612	P0A8V2
G3P1_ECOLI	P0A9B2	P0A8V2
RS6_ECOLI	P02358	P0A8V2
RS14_ECOLI	P0AG59	P0A8V2
RS20_ECOLI	P0A7U7	P0A8V2
RS21_ECOLI	P68679	P0A8V2
YEEX_ECOLI	P0A8M6	P0A8V2
YFFS_ECOLI	P76550	P0A8V2
YIFE_ECOLI	P0ADN2	P0A8V2
RHO_ECOLI	P0AG30	P0A8V2
CEDA_ECOLI	P0AE60	P0A8V2
NUSA_ECOLI	P0AFF6	P0A8V2
RPOA_ECOLI	P0A7Z4	P0A8V2
NUSG_ECOLI	P0AFG0	P0A8V2
RPOD_ECOLI	P00579	P0A8V2
RPOS_ECOLI	P13445	P0A8V2
RAPA_ECOLI	P60240	P0A8V2
RL28_ECOLI	P0A7M2	P0A8W8
DEAD_ECOLI	P0A9P6	P0A8W8
HDFR_ECOLI	P0A8R9	P0A8W8
DBHA_ECOLI	P0ACF0	P0A8W8
PDXH_ECOLI	P0AFI7	P0A8W8
RNR_ECOLI	P21499	P0A8W8
RL16_ECOLI	P0ADY7	P0A8W8
RL29_ECOLI	P0A7M6	P0A8W8
RS3_ECOLI	P0A7V3	P0A8W8
RS6_ECOLI	P02358	P0A8W8
RS14_ECOLI	P0AG59	P0A8W8
RS19_ECOLI	P0A7U3	P0A8W8
RS20_ECOLI	P0A7U7	P0A8W8
PHOL_ECOLI	P0A9K3	P0A8W8
YEEX_ECOLI	P0A8M6	P0A8W8
CINAL_ECOLI	P77808	P0A8W8
YFBR_ECOLI	P76491	P0A8W8
YFIF_ECOLI	P0AGJ5	P0A8W8
YIBL_ECOLI	P0ADK8	P0A8W8
CSPC_ECOLI	P0A9Y6	P0A8X0
RL1_ECOLI	P0A7L0	P0A8X0
RL19_ECOLI	P0A7K6	P0A8X0
YJJX_ECOLI	P39411	P0A8Y3
CH60_ECOLI	P0A6F5	P0A8Y5
COAD_ECOLI	P0A6I6	P0A8Z0
RL23_ECOLI	P0ADZ0	P0A8Z3
RL2_ECOLI	P60422	P0A8Z3
RL9_ECOLI	P0A7R1	P0A8Z3
RS18_ECOLI	P0A7T7	P0A8Z3
RS20_ECOLI	P0A7U7	P0A8Z3
RS4_ECOLI	P0A7V8	P0A8Z3
ADHE_ECOLI	P0A9Q7	P0A901
AHPC_ECOLI	P0AE08	P0A901
ASPA_ECOLI	P0AC38	P0A901
DCEB_ECOLI	P69910	P0A901
LUXS_ECOLI	P45578	P0A901
PFLB_ECOLI	P09373	P0A901
PGK_ECOLI	P0A799	P0A901
PTHP_ECOLI	P0AA04	P0A901
RL1_ECOLI	P0A7L0	P0A901
RL2_ECOLI	P60422	P0A901
RL16_ECOLI	P0ADY7	P0A901
RL28_ECOLI	P0A7M2	P0A901
RS1_ECOLI	P0AG67	P0A901
RS3_ECOLI	P0A7V3	P0A901
RS14_ECOLI	P0AG59	P0A901
TIG_ECOLI	P0A850	P0A901
YFCZ_ECOLI	P0AD33	P0A901
YGIF_ECOLI	P30871	P0A910
CLPB_ECOLI	P63284	P0A910
RL9_ECOLI	P0A7R1	P0A910
RL23_ECOLI	P0ADZ0	P0A910
RS14_ECOLI	P0AG59	P0A910
YBGI_ECOLI	P0AFP6	P0A910
RAVA_ECOLI	P31473	P0A910
ALDA_ECOLI	P25553	P0A940
EDD_ECOLI	P0ADF6	P0A940
FOLD_ECOLI	P24186	P0A940
YEDN_ECOLI	P76321	P0A940
EFG_ECOLI	P0A6M8	P0A944
GLPK_ECOLI	P0A6F3	P0A944
SYK2_ECOLI	P0A8N5	P0A944
RPOA_ECOLI	P0A7Z4	P0A944
TIG_ECOLI	P0A850	P0A944
EFTS_ECOLI	P0A6P1	P0A944
UDP_ECOLI	P12758	P0A944
GRCA_ECOLI	P68066	P0A944
FKBX_ECOLI	P0AEM0	P0A955
PARE_ECOLI	P20083	P0A964
CSPE_ECOLI	P0A972	P0A968
DDLA_ECOLI	P0A6J8	P0A968
RS14_ECOLI	P0AG59	P0A968
RS13_ECOLI	P0A7S9	P0A968
RLML_ECOLI	P75864	P0A968
CSPC_ECOLI	P0A9Y6	P0A968
RL1_ECOLI	P0A7L0	P0A968
RS10_ECOLI	P0A7R5	P0A968
RHO_ECOLI	P0AG30	P0A968
RLUB_ECOLI	P37765	P0A968
RS1_ECOLI	P0AG67	P0A968
RS3_ECOLI	P0A7V3	P0A968
DCUR_ECOLI	P0AD01	P0A972
RLUB_ECOLI	P37765	P0A972
RL1_ECOLI	P0A7L0	P0A972
RL4_ECOLI	P60723	P0A972
DBHA_ECOLI	P0ACF0	P0A972
CLPA_ECOLI	P0ABH9	P0A972
DEAD_ECOLI	P0A9P6	P0A972
HRPA_ECOLI	P43329	P0A972
RNR_ECOLI	P21499	P0A972
RL2_ECOLI	P60422	P0A972
RS4_ECOLI	P0A7V8	P0A972
CSPB_ECOLI	P36995	P0A972
CSPB_ECOLI	P36995	P0A978
CSPE_ECOLI	P0A972	P0A986
HOLA_ECOLI	P28630	P0A988
YIFE_ECOLI	P0ADN2	P0A988
YJJX_ECOLI	P39411	P0A988
YGHA_ECOLI	P0AG84	P0A988
YAJQ_ECOLI	P0A8E7	P0A988
GLDA_ECOLI	P0A9S5	P0A988
DKSA_ECOLI	P0ABS1	P0A988
YEBR_ECOLI	P76270	P0A988
SYK2_ECOLI	P0A8N5	P0A988
RPE_ECOLI	P0AG07	P0A988
CYAY_ECOLI	P27838	P0A988
YIEF_ECOLI	P0AGE6	P0A988
DPO3A_ECOLI	P10443	P0A988
RP5M_ECOLI	P0AFX0	P0A988
YOAB_ECOLI	P0AEB7	P0A988
NDK_ECOLI	P0A763	P0A988
YDHR_ECOLI	P0ACX3	P0A988
CSRA_ECOLI	P69913	P0A988
P5CR_ECOLI	P0A9L8	P0A988
CISY_ECOLI	P0ABH7	P0A988
IRAP_ECOLI	P0AAN9	P0A988
YJHP_ECOLI	P39367	P0A988
CSPE_ECOLI	P0A972	P0A988
GLRX2_ECOLI	P0AC59	P0A988
DPO3B_ECOLI	P0A988	P0A988
CH10_ECOLI	P0A6F9	P0A988
DPO3X_ECOLI	P06710	P0A988
OBG_ECOLI	P42641	P0A991
YBBN_ECOLI	P77395	P0A991
RS3_ECOLI	P0A7V3	P0A996
SLYD_ECOLI	P0A9K9	P0A996
TIG_ECOLI	P0A850	P0A996
HLDD_ECOLI	P67910	P0A996
YIBA_ECOLI	P0ADK6	P0A996
IBPA_ECOLI	P0C054	P0A9A6
GATY_ECOLI	P0C8J6	P0A9A6
ALDB_ECOLI	P37685	P0A9A9
YACL_ECOLI	P0A8E5	P0A9A9
AK2H_ECOLI	P00562	P0A9B2
APAH_ECOLI	P05637	P0A9B2
FABA_ECOLI	P0A6Q3	P0A9B2
FLII_ECOLI	P52612	P0A9B2
RPOD_ECOLI	P00579	P0A9B2
HELD_ECOLI	P15038	P0A9B2
HYPF_ECOLI	P30131	P0A9B2
OGT_ECOLI	P0AFH0	P0A9B2
P5CR_ECOLI	P0A9L8	P0A9B2
RSGA_ECOLI	P39286	P0A9B2
TKT2_ECOLI	P33570	P0A9B2
YACL_ECOLI	P0A8E5	P0A9B2
TUSA_ECOLI	P0A890	P0A9B2
YJEE_ECOLI	P0AF67	P0A9B2
SYK2_ECOLI	P0A8N5	P0A9B2
RIMI_ECOLI	P0A944	P0A9B2
YGFA_ECOLI	P0AC28	P0A9C3
