Merge ID	Cellular Component	Biological Process
P03819	(plasma+membrane)	(transmembrane+transport)
P52600	(plasma+membrane)	(transmembrane+transport::transport)
P45759	(cytoplasm::intracellular)	(transport)
P0AFI9	(plasma+membrane)	(transport)
P37653	(plasma+membrane)	
P45751	(plasma+membrane)	
P0A6Y8__1	(cytoplasm::plasma+membrane)	(protein+folding)
P0AB98	(plasma+membrane)	
P0A6Y8__2	(cytoplasm::plasma+membrane)	(protein+folding)
P02359	(ribosome)	(translation)
P0AFI2	(chromosome::cytoplasm)	(chromosome+segregation)
P37662	(plasma+membrane)	(transmembrane+transport::transport)
P0AD99	(plasma+membrane)	
P69330	(cytoplasm)	
Q46861	(cellular_component)	
P17802	(intracellular)	
P45748	(cytoplasm)	(ribosome+biogenesis)
P10902	(cytoplasm)	
P37645	(plasma+membrane)	
P37642	(plasma+membrane)	(transport)
P37649	(plasma+membrane)	(signal+transduction)
P39263	(plasma+membrane)	
P17410	(intracellular)	
P22524	(cytoplasm)	(cell+cycle::cell+division::chromosome+segregation)
P22523	(cytoplasm)	(cell+cycle::cell+division::chromosome+segregation)
P39265	(intracellular)	(transport)
P0AFJ5	(cytoplasm)	(transport)
P37647	(cytoplasm)	
P76055	(cytoplasm)	
P18392	(plasma+membrane)	(signal+transduction)
P37652	(plasma+membrane)	
P37651	(extracellular+region)	(carbohydrate+metabolic+process)
P0AB93	(plasma+membrane)	
P09833	(plasma+membrane)	(transport)
P10908	(cytoplasm)	(lipid+metabolic+process)
Q46877	(cytoplasm)	(transport)
P10907	(plasma+membrane)	
P60293	(cytoplasm)	(cell+cycle::cell+division::chromosome+segregation)
P76461	(cytoplasm)	(lipid+metabolic+process)
P77308	(plasma+membrane)	(transport)
P0A9W0	(cytoplasm::intracellular)	
P14294	(chromosome)	(DNA+metabolic+process)
P17444	(plasma+membrane)	(response+to+stress)
P0AB77	(cytoplasm)	(biosynthetic+process)
P0AFG3	(cytosol)	
P76045	(plasma+membrane)	(transport)
P36673	(intracellular)	
P17443	(plasma+membrane)	(cell+cycle::cell+division)
P27302	(cytoplasm)	
P0AFG8	(cytosol)	
P0A9X9	(cytoplasm)	
P0AB83	(intracellular)	
P0A6A8	(cytoplasm)	
P77580	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P0A9X1	(plasma+membrane)	(transport)
P69503	(cytosol)	
P0A6A3	(cytosol)	
P0A6A0	(plasma+membrane)	
P45768	(plasma+membrane)	(transport)
P45769	(plasma+membrane)	(transport)
P52612	(cytoplasm)	(biosynthetic+process::transport)
P22333	(cytoplasm)	
P18133	(cytoplasm)	
P52613	(plasma+membrane)	(transport)
P76034	(intracellular)	
P37669	(plasma+membrane)	
P37666	(cytoplasm)	
P0ACV2	(plasma+membrane)	
P76037	(plasma+membrane)	(transmembrane+transport)
P0ACV0	(plasma+membrane)	(response+to+stress)
P0C058	(cytoplasm)	
P37665	(plasma+membrane)	
P0AD65	(plasma+membrane)	
P36659	(cytoplasm)	(protein+folding)
P0C054	(cytoplasm)	
P0A6B7	(cytoplasm)	
P61175	(ribosome)	(translation)
P67910	(cytosol)	(carbohydrate+metabolic+process::response+to+stress)
P76440	(cytoplasm)	
P0A9Y6	(cytoplasm)	
P42632	(cytoplasm)	(carbohydrate+metabolic+process)
P16684	(intracellular)	
P23522	(cytoplasm)	
P00363	(cytoplasm)	(transport)
P0ADU2	(cytoplasm)	
P0AE67	(cytoplasm)	
P75750	(plasma+membrane)	(transport)
P75949	(cytoplasm)	(cell+cycle::cell+division)
P0A6U3	(cytoplasm)	
P0A763	(cytoplasm)	
P0A9J4	(cytoplasm)	
P23930	(plasma+membrane)	
P0A9J6	(cytoplasm)	
P0ABM1	(plasma+membrane)	(transport)
P0A9J8	(cytoplasm)	
P0A6U5	(cytoplasm)	
P32714	(plasma+membrane)	
P00370	(cytoplasm)	
P0ABM9	(plasma+membrane)	
P32715	(plasma+membrane)	
P16676	(plasma+membrane)	(transport)
P16677	(plasma+membrane)	
P42641	(cytosol)	(chromosome+segregation)
P09152	(plasma+membrane)	(transport)
P06996	(plasma+membrane)	(transport)
P09158	(cytosol)	
P69741	(plasma+membrane)	
P75742	(plasma+membrane)	
P75958	(protein+complex)	
P43533	(cytoplasm)	
P0A9I1	(cytoplasm)	
P45539	(plasma+membrane)	(transmembrane+transport::transport)
P32721	(plasma+membrane)	(transport)
P0ADW3	(plasma+membrane)	
P0A9I5	(cytoplasm)	
P0A9J0__2	(cytoplasm::cytoskeleton)	(cell+cycle::cell+division)
P69367	(plasma+membrane)	(transmembrane+transport::transport)
P45531	(cytoplasm)	
P0A9J0__1	(cytoplasm::cytoskeleton)	(cell+cycle::cell+division)
P37617	(plasma+membrane)	
P52143	(plasma+membrane)	(cell+adhesion)
P75961	(plasma+membrane)	
P33602	(cytoplasm::plasma+membrane)	
P0AFL6	(plasma+membrane)	
P0A9M0	(cytoplasm)	(response+to+stress)
P0ADS2	(cytoplasm)	(cell+cycle::cell+division)
P69776	(plasma+membrane)	
P0A9L8	(cytoplasm)	
P69783	(cytosol)	(transport)
P0A786	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P00547	(cytoplasm)	
P37624	(plasma+membrane)	(transport)
P0A9L5	(cytoplasm)	(protein+folding)
P0A6W5	(cytoplasm)	
P0AFL9	(plasma+membrane)	
P61889	(cytoplasm::cytosol)	
P39161	(intracellular)	
P0ABK2	(plasma+membrane)	(transport)
P77044	(cytoplasm)	
P05100	(plasma+membrane)	
P0ABK5	(cytosol)	
P22188	(cytoplasm)	(biosynthetic+process::cell+cycle::cell+division)
P0A9L3	(cytosol)	(protein+folding)
P37640	(intracellular)	
P31600	(plasma+membrane)	
P0AFK0	(cytoplasm)	
P17169	(cytosol)	
P0A9K9	(cytoplasm)	(protein+maturation)
P0A6V5	(cytoplasm)	
P0A6V8	(cytoplasm)	
P09378	(cytoplasm::intracellular)	
P09377	(cytoplasm::intracellular)	
P37636	(plasma+membrane)	(transport)
P0A9K3	(cytoplasm)	
P0AFK6	(plasma+membrane)	
P09373	(cytoplasm)	(carbohydrate+metabolic+process)
P37639	(intracellular)	
P0ABL8	(plasma+membrane)	
P0ABL5	(plasma+membrane)	(transport)
P76503	(cytoplasm)	(lipid+metabolic+process::transport)
P76502	(cytoplasm)	(protein+modification+process)
P69795	(cytoplasm)	(transport)
P69797	(cytoplasm::plasma+membrane)	(transport)
P75793	(cytoplasm)	
P39830	(plasma+membrane)	(transmembrane+transport::transport)
P09127	(plasma+membrane)	
P75794	(cytoplasm)	
P76506	(plasma+membrane)	
P0AC30	(plasma+membrane)	(cell+cycle)
P0A6Y1	(chromosome)	
P75798	(plasma+membrane)	(transport)
P77031	(plasma+membrane)	(transmembrane+transport)
P29745	(cytoplasm)	
P29744	(extracellular+region)	
P75905	(plasma+membrane)	
P0A6Y5	(cytoplasm)	(protein+folding)
P0AC23	(plasma+membrane)	
P75782	(cytoplasm)	
P0AG24	(cytoplasm)	
P0AE30	(plasma+membrane)	(transport)
P75780	(plasma+membrane)	(transport)
P0A9N4	(cytoplasm)	(carbohydrate+metabolic+process)
P06136	(plasma+membrane)	(cell+cycle)
P75785	(plasma+membrane)	
P0ADR6	(cytoplasm)	
P0ABS1	(cytoplasm)	
P0A790	(cytoplasm)	
P06134	(intracellular)	
P0AE34	(plasma+membrane)	(transport)
P36767	(cytoplasm)	
P0AFQ2	(plasma+membrane)	(transport)
P0AG20	(cytoplasm)	
P76773	(plasma+membrane)	(transport)
P09394	(cytoplasm)	(lipid+metabolic+process)
P0A9M8	(cytoplasm)	
P0A794	(cytosol)	
P0AC33	(cytosol)	(generation+of+precursor+metabolites+and+energy)
P0A796	(cytoplasm)	
O32528	(plasma+membrane)	
P0A9M5	(cytosol::plasma+membrane)	
P0AC38	(cytosol)	
P31825	(cytoplasm)	
P69791	(cytoplasm)	(transport)
P39838	(plasma+membrane)	(signal+transduction)
P0A799	(cytoplasm)	
P0A9Q5	(cytosol)	
P0A9Q7	(cytosol)	
P0A9Q1	(cytoplasm::intracellular)	
P31658	(cytosol)	(response+to+stress)
P0AG14	(plasma+membrane)	
P0AFP6	(cytoplasm)	
P0AE08	(cytoplasm::cytosol)	
P24169	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P0AE06	(plasma+membrane)	(transport)
P24171	(cytoplasm)	
P0A6Z3__2	(cytosol::plasma+membrane)	(protein+folding)
P0A6Z3__1	(cytosol::plasma+membrane)	(protein+folding)
P45804	(plasma+membrane)	
P24177	(plasma+membrane)	
P36979	(cytoplasm)	
P0A9P9	(cytoplasm)	
P42624	(cytoplasm)	
P0A9P0	(cytoplasm::cytosol::plasma+membrane)	
P46888	(cytoplasm)	(response+to+stress)
P46889	(plasma+membrane)	(cell+cycle::cell+division::chromosome+segregation)
P00582	(cytoplasm)	
P32705	(plasma+membrane)	(transmembrane+transport::transport)
P68919	(ribosome)	(translation)
P0ABP8	(cytosol)	
P77615	(intracellular)	
P32701	(plasma+membrane)	
P0ABP6	(plasma+membrane)	
P06149	(plasma+membrane)	(transmembrane+transport)
P39199	(intracellular)	
P23721	(cytoplasm)	
P15977	(cytoplasm)	(carbohydrate+metabolic+process)
P0A9B2	(cytosol)	
P04949	(extracellular+region)	
P0A6M4	(cytoplasm)	
P0A9B6	(cytoplasm)	
P0A6L7	(cytoplasm)	
P0ABE9	(cytoplasm)	
P36929	(cytoplasm)	
P64564	(plasma+membrane)	
P0A6L2	(cytosol)	
P0A9A2	(cytoplasm)	
P0A6L0	(cytosol)	
P0A9A6	(cytoplasm::protein+complex)	(cell+cycle::cell+division)
P24181	(plasma+membrane)	(cell+cycle::cell+division::transport)
P0A6L4	(cytoplasm)	
P24183	(cytoplasm)	
P0ABF6	(cytosol)	
P0A9A9	(cytoplasm)	
P0ABF8	(plasma+membrane)	
P0AFU2	(plasma+membrane)	(transmembrane+transport::transport)
P0A6K6	(cytoplasm)	
P63386	(plasma+membrane)	
P0AFU4	(intracellular)	
P30011	(cytoplasm)	
P0AG67	(cytoplasm::ribosome)	(translation)
Q93K97	(cytosol)	
P27298	(cytoplasm)	
P36938	(cytoplasm)	
Q47706	(plasma+membrane)	(transport)
P55140	(plasma+membrane)	
P04968	(cytoplasm)	
P64530	(cytoplasm)	
P15373	(cytoplasm)	
P0A707	(cytoplasm)	(translation)
P63177	(cytoplasm)	
P0ADK8	(cytoplasm)	
P0A705	(cytoplasm::intracellular)	(translation)
P0AG55	(ribosome)	(translation)
P0AFT2	(plasma+membrane)	(transport)
P0AG51	(ribosome)	(translation)
P0ABC3	(plasma+membrane)	
P46837	(cytoplasm)	
P04951	(cytoplasm)	
P0A9C0	(plasma+membrane)	
P43341	(cytoplasm)	
P67826	(cytoplasm)	
P0A9C9	(cytoplasm)	(carbohydrate+metabolic+process)
P0A9C3	(cytoplasm)	
P0A9C5	(cytosol)	
P0AG44	(ribosome)	(translation)
P10442	(cytoplasm)	
P10443	(cytoplasm)	
P0A6M8	(cytoplasm)	(translation)
P15770	(cytoplasm)	
P0AG48	(ribosome)	(translation)
P0ADI9	(plasma+membrane)	
P0A9F9	(cytoplasm)	
P00926	(cytoplasm)	
P45563	(cytoplasm)	
P0A6Q6	(cytoplasm)	
P0A9F6	(cytoplasm)	
P0ABI4	(plasma+membrane)	(transmembrane+transport::transport)
P21693	(cytoplasm)	
P0A9F1	(cytoplasm)	
P37002	(plasma+membrane)	
P38134	(plasma+membrane)	
P06971	(plasma+membrane)	(transport)
P0A720	(cytoplasm)	
P0A6Q3	(cytoplasm)	
P0A9F3	(cytoplasm)	
P06972	(plasma+membrane)	(transport)
P0A722	(cytoplasm)	
P69910	(cytosol)	
P06968	(cytosol)	
Q47155	(cytoplasm)	
P0A6P5	(cytoplasm)	(ribosome+biogenesis)
P0A715	(cytosol)	
P0A9E5	(cytoplasm::intracellular)	
P60785	(plasma+membrane)	
Q47151	(plasma+membrane)	
P0A6P9	(cytoskeleton::cytosol::extracellular+region)	
P69908	(cytosol)	
P0A717	(cytoplasm)	
P07464	(cytoplasm)	
Q47538	(plasma+membrane)	(transport)
P0A9E2	(cytoplasm::intracellular)	
P0A6P1	(cytoplasm)	(translation)
P06959	(cytoplasm)	
P21889	(cytosol)	(translation)
P0ABJ9	(plasma+membrane)	(transport)
P75995	(cytoplasm)	
P39398	(plasma+membrane)	(transmembrane+transport)
P45544	(intracellular)	
P0ABG4	(plasma+membrane)	(cell+cycle::cell+division)
P0AFY2	(plasma+membrane)	
P45546	(plasma+membrane)	
P0A6S7	(cytoplasm)	(carbohydrate+metabolic+process)
P16659	(cytosol)	(translation)
P0ADG7	(cytosol)	
P0A749	(cytoplasm)	(cell+cycle::cell+division)
P0A9H9	(cytoplasm)	
P39396	(plasma+membrane)	
P0ADG4	(cytoplasm)	
P06993	(intracellular)	(carbohydrate+metabolic+process)
P06992	(cytoplasm)	
P0A9H5	(cytoplasm)	
P0A9H3	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P45549	(cytoplasm)	
P0A9H1	(cytoplasm)	
P0A6S0	(plasma+membrane)	
P06989	(cytoplasm)	
P06987	(cytoplasm)	
P75736	(cytoplasm)	
P08204	(cytoplasm)	
P0AFX7	(plasma+membrane)	
P0ABG7	(plasma+membrane)	(cell+cycle)
P0AFX4	(cytoplasm)	
P0AG90	(plasma+membrane)	
P25889	(cytoplasm)	
P77806	(cytoplasm)	(biosynthetic+process)
P69922	(cytosol)	
P0A9G6	(cytoplasm)	
P77804	(plasma+membrane)	
P0A6R0	(cytoplasm)	
P14407	(cytosol)	(generation+of+precursor+metabolites+and+energy)
P0A9G2	(cytoplasm)	
P10408	(cytoplasm::plasma+membrane)	(protein+targeting)
P06974	(plasma+membrane)	
P0AG86	(cytoplasm)	(protein+targeting)
P0ABH7	(cytosol)	
Q47129	(intracellular)	
P21177		(lipid+metabolic+process)
P33362		(transport)
P27127		(biosynthetic+process)
P33360		(transport)
P07822		(transport)
P52647		(transport)
P76216		(response+to+stress)
P76217		(response+to+stress)
P0AGB3		(response+to+stress)
P76214		(response+to+stress)
P0AGB6		(response+to+stress)
P76215		(response+to+stress)
P33342		(protein+folding)
P33343		(cell+adhesion)
P27836		(biosynthetic+process)
P66817		(carbohydrate+metabolic+process)
P76108		(transport)
P37329		(transport)
P60624		(translation)
P0ADZ4		(translation)
P68644		(transport)
Q46905		(transport)
P0ACC3		(protein+maturation)
P76128		(transport)
P33595		(transport)
P77398		(biosynthetic+process)
P0A6H1		(protein+folding::response+to+stress)
P0A7L3		(translation)
P77245		(carbohydrate+metabolic+process)
P77249		(protein+folding)
P38097		(signal+transduction)
P00887		(biosynthetic+process)
P18196		(cell+cycle)
P77279		(transport)
P77277		(cell+cycle)
P0A7J7		(translation)
P77269		(transport)
P76134		(protein+maturation)
P0A6K3		(translation)
P0A7K2		(translation)
P33363		(carbohydrate+metabolic+process)
P0ABY4		(transport)
P56256		(transport)
P39305		(carbohydrate+metabolic+process)
P30859		(transport)
P39304		(carbohydrate+metabolic+process)
P0A9R4		(transport)
P06610		(transport)
P11454		(biosynthetic+process::transport)
P05041		(biosynthetic+process)
P0AEB2		(cell+division)
P16700		(transport)
P39407		(lipid+metabolic+process)
P30860		(transport)
P0A9S7		(transport)
P02924		(transport)
P77536		(transport)
P33128		(protein+folding::response+to+stress)
P02925		(transport)
P33937		(transport)
P76472		(carbohydrate+metabolic+process)
P0C0U4		(protein+modification+process::translation)
P0AGK8		(response+to+stress)
P76584		(carbohydrate+metabolic+process)
P50456		(carbohydrate+metabolic+process)
P33136		(carbohydrate+metabolic+process)
P0AA25		(transport)
P03813		(cellular+amino+acid+metabolic+process)
P31574		(transport)
P0A9U3		(transport)
P0A9U1		(transport)
P76081		(transport)
P23485		(transport)
P31434		(carbohydrate+metabolic+process)
P22787		(photosynthesis)
P76083		(lipid+metabolic+process)
P0AEE5		(transport)
P45756		(transport)
P77599		(protein+folding)
P02358		(translation)
P76459		(lipid+metabolic+process)
P0AD96		(transport)
P76458		(lipid+metabolic+process)
P76316		(response+to+stress::sulfur+compound+metabolic+process)
P77319		(response+to+stress)
P0AC59		(transport)
P71237		(biosynthetic+process)
P23917		(carbohydrate+metabolic+process)
P37646		(cell+motility)
P39264		(cell+adhesion)
P0C0V0		(protein+folding)
P0AB91		(biosynthetic+process)
P37794		(carbohydrate+metabolic+process)
P0A9W3		(transport)
P68688		(transport)
P0AEG4		(protein+folding)
P0AEG6		(protein+folding)
P31666		(carbohydrate+metabolic+process)
P0ABW0		(transport)
P17445		(response+to+stress)
P27303		(transport)
P32662		(carbohydrate+metabolic+process)
P37678		(carbohydrate+metabolic+process)
P71243		(biosynthetic+process)
P06720		(carbohydrate+metabolic+process)
P22731		(transport)
P0A9X4		(cell+morphogenesis)
P77467		(lipid+metabolic+process)
P00393		(transport)
P68679		(translation)
P06864		(carbohydrate+metabolic+process)
P77463		(transport)
P45761		(transport)
P30748		(sulfur+compound+metabolic+process)
P76347		(cell+adhesion)
P76042		(transport)
P0AAV4		(protein+folding)
P76041		(carbohydrate+metabolic+process)
P77570		(carbohydrate+metabolic+process)
P0AD68		(cell+cycle::cell+division)
P41443		(transport)
P0AC65		(transport)
P0AEJ2		(transport)
P77173		(cell+cycle)
P0AEJ6		(cellular+amino+acid+metabolic+process)
P16679		(transport)
P45523		(protein+folding)
P75746		(carbohydrate+metabolic+process)
P75749		(protein+folding)
P75959		(carbohydrate+metabolic+process)
P37028		(transport)
P23256		(biosynthetic+process)
P39177		(response+to+stress)
P24240		(carbohydrate+metabolic+process)
P13458		(DNA+metabolic+process)
P0A898		(translation)
P39173		(carbohydrate+metabolic+process)
P0AEL3		(transport)
P0AEL6		(transport)
P0AD49		(response+to+stress)
P10378		(transport)
P24228		(cell+cycle)
P0AAK4		(transport)
P00490		(carbohydrate+metabolic+process)
P0AAK7		(transport)
P39163		(transport)
P0ABK9		(transport)
P0A7W7		(translation)
P0A8H6		(ribosome+biogenesis)
Q46787		(response+to+stress)
P0AE56		(transport)
P0AE60		(cell+cycle)
P0ABL1		(transport)
P0A7V8		(translation)
P0A772		(protein+modification+process)
P58034		(cell+division)
P0A7V0		(translation)
P0A7V3		(translation)
P0AAL3		(transport)
P0AFR0		(lipid+metabolic+process)
P0AEM0		(protein+folding)
P0AC41		(transport)
P0AE37		(response+to+stress)
P0A8N0		(cell+division)
P0AAN3		(protein+complex+assembly::protein+maturation)
P0AAN1		(protein+maturation)
P0AEM9		(transport)
P0A6X3		(response+to+stress)
P23481		(transport)
P31827		(transport)
P38036		(transport)
P23484		(transport)
P36879		(transport)
P38038		(transport)
P24175		(carbohydrate+metabolic+process)
P0A6Z1		(protein+folding)
P0AG07		(carbohydrate+metabolic+process)
P46890		(transport)
P37197		(transport)
P77154		(carbohydrate+metabolic+process)
P0A8B5		(response+to+stress)
P0A7Q1		(translation)
P24193		(protein+maturation)
P0A6L9		(protein+folding)
P0AG78		(transport)
P0AG76		(DNA+metabolic+process)
P46859		(carbohydrate+metabolic+process)
P43329		(mRNA+processing)
P18776		(transport)
P42907		(carbohydrate+metabolic+process)
P63389		(transport)
P0AAB6		(biosynthetic+process)
P0AF24		(carbohydrate+metabolic+process)
P15067		(carbohydrate+metabolic+process)
P15028		(transport)
P0AEU0		(transport)
P08245		(translation)
P0AG59		(translation)
P15038		(signal+transduction)
P16432		(transport)
P23882		(biosynthetic+process::translation)
P60566		(transport)
P25740		(biosynthetic+process)
P54746		(carbohydrate+metabolic+process)
P15047		(transport)
P32057		(biosynthetic+process)
P0A7U3		(translation)
Q47622		(transport)
P0A7U7		(translation)
P37903		(response+to+stress)
P75856		(protein+folding)
P0ADI4		(biosynthetic+process::transport)
P0ABJ1		(transport)
P0A7T3		(translation)
P0AFZ3		(response+to+stress)
Q47537		(transport)
P45545		(biosynthetic+process)
P42914		(protein+folding)
P42912		(carbohydrate+metabolic+process)
P00903		(biosynthetic+process)
P0A843		(transport)
P0A7S3		(translation)
P45548		(catabolic+process)
P0A7S9		(translation)
P08191		(cell+adhesion)
P32138		(carbohydrate+metabolic+process)
P19636		(cellular+amino+acid+metabolic+process)
P32139		(carbohydrate+metabolic+process)
P0ABH0		(cell+cycle::cell+division)
P0A734		(cell+cycle)
P63020		(protein+maturation)
P0A7R5		(translation)
P0A7R9		(translation)
P32152		(transport)
P04816		(transport)
P08189		(cell+adhesion)
P0AG82		(response+to+stress::transport)
