Merge ID	Cellular Component	Biological Process
P39328	(plasma+membrane)	
P0A910	(plasma+membrane)	(transport)
P14377	(plasma+membrane)	(signal+transduction)
P61949	(cytoplasm)	(transport)
P39902	(cytoplasm)	
P39343	(intracellular)	
P0AED5	(cytoplasm::intracellular)	
P33135	(plasma+membrane)	(protein+targeting)
P0AED0	(cytoplasm)	(response+to+stress)
P0ABZ1	(plasma+membrane)	
P77221	(plasma+membrane)	
P76175	(plasma+membrane)	(transmembrane+transport::transport)
P0AGL7	(cytoplasm)	
P0A8Q3	(plasma+membrane)	
P0A921	(plasma+membrane)	(lipid+metabolic+process)
P05055__2	(cytosol::mitochondrion)	(response+to+stress)
P05055__1	(cytosol::mitochondrion)	(response+to+stress)
P0A8Q0	(plasma+membrane)	
P76387	(plasma+membrane)	
P60872	(plasma+membrane)	(transport)
P71229	(intracellular)	
P30750	(plasma+membrane)	(transport)
P31680	(plasma+membrane)	(protein+folding)
P14175	(plasma+membrane)	(transport)
P0A6S5__1	(cytosol::plasma+membrane)	(cell+cycle::cell+division)
P0A6S5__2	(cytosol::plasma+membrane)	(cell+cycle::cell+division)
P17952	(cytoplasm)	(biosynthetic+process::cell+cycle::cell+division)
P13036	(plasma+membrane)	(transport)
P0AGE9	(cytoplasm)	
P0A8V2	(cytoplasm)	
P13035	(cytoplasm)	
P0A972	(cytoplasm)	
P13039	(cytoplasm)	
P03960	(plasma+membrane)	
P0AC53	(cytoplasm)	(carbohydrate+metabolic+process)
P0A978	(cytoplasm)	(response+to+stress)
P36547	(intracellular)	
P06616__1	(cytoplasm::intracellular::plasma+membrane)	(ribosome+biogenesis)
P36548	(extracellular+region)	
P06616__2	(cytoplasm::intracellular::plasma+membrane)	(ribosome+biogenesis)
P0AA47	(plasma+membrane)	(transmembrane+transport::transport)
P39361	(intracellular)	
P0AEF4	(cytoplasm)	
P68767	(cytoplasm::intracellular)	
P71238	(plasma+membrane)	
P0ABT2	(cytoplasm)	(response+to+stress)
P77444	(cytoplasm)	
P0AEF8	(plasma+membrane)	
P0AA49	(plasma+membrane)	(transmembrane+transport::transport)
P10805	(intracellular)	
P13033	(plasma+membrane)	
P24207	(plasma+membrane)	(transmembrane+transport::transport)
P13024	(cytoplasm)	(protein+maturation)
P11880	(cytoplasm)	(biosynthetic+process::cell+cycle::cell+division)
P22259	(cytoplasm)	
P24205	(plasma+membrane)	
P0A8W0	(intracellular)	
P0A7D1	(cytoplasm)	(translation)
P09372__2	(cytoplasm::mitochondrion)	(protein+folding)
P13029	(cytosol)	
P09372__1	(cytoplasm::mitochondrion)	(protein+folding)
P22255	(cytoplasm::plasma+membrane)	
P0AC44	(plasma+membrane)	(transport)
P0ABS5	(cytoplasm)	
P0A988	(cytosol)	
P76197	(plasma+membrane)	(transmembrane+transport::transport)
P0AGF6	(cytoplasm)	
