Old Uniprot Acc	New Uniprot Acc
P22188	P22188
P24225	P0AC73
P0AEW1	P0AEW1
P64602	P64602
P24207	P24207
P0A840	P0A840
P14175	P14175
P55135	P55135
P43329	P43329
P18133	P18133
P09159	P0A7F6
P18197	P0AEZ3
P0A800	P0A800
P19933	P0AER8
P0AFW4	P0AFW4
P22256	P22256
P0ABV2	P0ABV2
P77482	P0A8E7
P19776	P19776
P77318	P77318
P21891	P0A8P8
P03019	P0A9E5
P02358	P02358
P16688	P16688
P02901	P0A6A8
P36676	P0ACS5
P22939	P22939
P05702	P62552
P38038	P38038
P75720	P64435
P04995	P04995
P23853	P0AFM6
P39407	P39407
P22565	P62623
P23891	P0AAE8
P68767	P68767
P0AG59	P0AG59
P77570	P77570
P76046	P76046
P0AA43	P0AA43
Q46848	P64574
P75700	P77199
P38521	P38521
P21165	P21165
P45471	P67762
P0A894	P0A894
P15716	P0ABH9
Q46833	Q46833
P30864	P30864
P10446	P69054
P0A8T1	P0A8T1
P03005	P0ACB0
P06964	P0ACN7
P69931	P69931
P75790	P0A9U3
P0A7M2	P0A7M2
P05020	P05020
P0A8W8	P0A8W8
P46889	P46889
P30147	P30147
P39398	P39398
P30148	P0A870
P24211	P24211
P06612	P06612
P26607	P0AEC5
P76243	P76243
P09376	P0C0V0
P0A972	P0A972
P64479	P64479
P0AFK0	P0AFK0
P31434	P31434
P0AD65	P0AD65
P00832	P0A6E6
P39362	P39362
P21156	P21156
P37182	P37182
P42903	P0C8K0
P33363	P33363
P36663	P62617
P00373	P0A9L8
P39178	P61316
P15039	P0ACP7
P52097	P52097
P17112	P0A6U3
P23845	P23845
P25522	P25522
P0A794	P0A794
Q46889	Q46889
P02990	P02990
P10115	P0A9R7
P0C0L9	P0C0L9
P0A832	P0A832
P0AC86	P0AC86
P0ACU7	P0ACU7
P0A6Y1	P0A6Y1
P02351	P0A7V0
P45577	P45577
P0AD01	P0AD01
P0AEX9	P0AEX9
P0ACX3	P0ACX3
P00882	P0A6L0
P0AEI4	P0AEI4
P23003	P23003
P07639	P07639
P09155	P09155
P28244	P0A6D5
P37623	P37623
P11165	P0ABY7
P37641	P37641
P23304	P0A9P6
P06720	P06720
P0ACS5	P0ACS5
P31461	P0ADM6
P76407	P76407
P07176	P0A912
P10026	P10026
P11604	P0AB71
P31217	P62707
P0AFH8	P0AFH8
P76192	P76192
P08867	P62558
P08839	P08839
P19934	P19934
P04968	P04968
P09743	P0ABP8
P23721	P23721
P0AFP6	P0AFP6
P0A9Y6	P0A9Y6
P06998	P0A796
P11458	P11458
P37187	P69828
P03032	P0A881
P32153	P32153
Q46911	Q46911
P46022	P46022
P61320	P61320
P02349	P0AG67
P33591	P33591
P77658	P77658
P52598	P52598
P0AC55	P0AC55
P39290	P63177
Q46939	Q46939
P25529	P0AET8
P29012	P29012
Q47675	P60472
P0ADN2	P0ADN2
P77499	P77499
P76119	P76119
Q9SCY2	Q9SCY2
P0A6S7	P0A6S7
P0A853	P0A853
P25665	P25665
P08245	P08245
P00928	P0A877
P28637	P0A8T1
P02426	P68919
P75819	P0A8C1
P0A6S0	P0A6S0
P06739	P06739
P0A9S5	P0A9S5
P24172	P0ADK6
P77791	P77791
P75697	P75697
P0AA10	P0AA10
P0A6Z1	P0A6Z1
P22995	P22995
P0A814	P0A814
P39319	P0AE45
P0AFL6	P0AFL6
P69432	P69432
P0A6J5	P0A6J5
P37095	P37095
P38506	P38506
P0AG48	P0AG48
P0ABG4	P0ABG4
P09030	P09030
P77294	P77294
P0ABB8	P0ABB8
P63224	P63224
P0AE67	P0AE67
P64616	P64616
P0AB71	P0AB71
P19675	P0A847
P32134	P32134
P0ABB0	P0ABB0
P32681	P32681
P08622	P08622
P77804	P77804
P00510	P0AB80
P0A776	P0A776
P14081	P14081
P77400	P77400
P08400	P08400
P07395	P07395
Q47152	Q47152
P39271	P0AD01
P37344	P37344
P37908	P37908
P02372	P0A7T3
P75825	P75825
P0ADE8	P0ADE8
P31677	P31677
P0ACC7	P0ACC7
P28903	P28903
P60785	P60785
P08177	P0A9M0
P75797	P75797
P32125	P32125
P30178	P30178
P41076	P0AAG3
P0A6E6	P0A6E6
P0AB40	P0AB40
P45504	P0AEQ1
P31061	P31061
P26427	P0AE08
P16918	P16918
P39280	P39280
P0ABF6	P0ABF6
P33353	P33353
P21363	P21363
P13031	P0AC86
P18391	P0A6Q3
P0AG40	P0AG40
P61517	P61517
P37653	P37653
Q59431	P0ACT6
P76179	P64467
P06609	P06609
P23483	P0A9I3
P39291	P0AF76
P76016	P76016
P64588	P64588
P64540	P64540
P75966	P75966
P08999	P0A8Z3
P0AAJ1	P0AAJ1
P06709	P06709
P36658	P0AFY8
P37181	P0ACE0
Q04230	Q04230
P53554	P53554
P07013	P07013
P30854	P0ACZ4
P0AC75	P0AC75
P00470	P0A884
P0ADW3	P0ADW3
P69380	P69380
P28689	P0ABS8
P61889	P61889
P27511	P0A6T5
P0AF96	P0AF96
P64499	P64499
P28638	P28638
P05824	P05824
P36857	P61517
P52054	P67080
P0A6W5	P0A6W5
P62768	P62768
P36938	P36938
P77329	P77329
P0ADV5	P0ADV5
P08336	P0AE82
P28302	P69910
P77375	P77375
P77689	P77689
Q659Z5	Q659Z5
P24181	P24181
P75978	P75978
P09625	P0A9P4
P24991	P0AEG4
P77688	P77688
P0ACB0	P0ACB0
Q47523	Q47523
P76257	P76257
P30017	P0ACG1
P15043	P15043
P0AEM6	P0AEM6
P0ADZ0	P0ADZ0
P45753	P45753
P0ABJ6	P0ABJ6
P15877	P15877
P23849	P23849
P06977	P0A9B2
P33129	P33129
P77444	P77444
P0AAB6	P0AAB6
P50465	P50465
P36979	P36979
P22187	P0AEN4
P0A8H8	P0A8H8
P27245	P27245
P0A6F1	P0A6F1
P0ADX5	P0ADX5
P33635	P0AGJ5
P39161	P39161
P29745	P29745
P0ADQ7	P0ADQ7
P37195	P37195
P0AE85	P0AE85
P31802	P31802
P45847	P0AFR4
P33233	P0ACL7
P39304	P39304
P36997	P0A972
P0AF52	P0AF52
P02919	P02919
P07650	P07650
P77717	P77717
P27247	P27247
P0A7K2	P0A7K2
P0AAH0	P0AAH0
P39370	P39370
P08373	P08373
P0A8A0	P0A8A0
P02666	P02666
P0ABE2	P0ABE2
P31223	P0AE06
P77561	P77561
P76513	P76513
Q46811	Q46811
P0ABC3	P0ABC3
P75862	P75862
O65938	P69428
P24239	P0A814
Q9LXX5	Q9LXX5
P52648	P0A9X1
P07004	P07004
P76037	P76037
P33925	P0ABM9
P46186	P0AFX9
P17113	P0A6U5
P07118	P07118
P0A6C1	P0A6C1
P0ADK6	P0ADK6
P32159	P69380
P23844	P0A6J8
P0A9A6	P0A9A6
P0A9J8	P0A9J8
P13458	P13458
P0AFB1	P0AFB1
Q54149	P0AEF4
P76398	P76398
P0AGB6	P0AGB6
P16456	P16456
P75941	P0A6S3
P45955	P45955
P06968	P06968
P03809	P0ACI6
P36683	P36683
P0AGG4	P0AGG4
P33668	P33668
P05042	P05042
P54745	P54745
P37767	P37767
P0A8A2	P0A8A2
P68066	P68066
P02392	P0A7K2
P13685	P0ABF1
P0A9R4	P0A9R4
P42604	P42604
P25894	P25894
P69506	P69506
P31552	P31552
Q46891	Q46891
P75838	P75838
P31663	P31663
P00963	P00963
P76213	P76213
P11244	P0AER0
P08331	P08331
P0AEL8	P0AEL8
P69488	P69488
P30870	P30870
P18595	P60390
P24253	P0A6P7
P02387	P60422
P0C0V0	P0C0V0
P02931	P02931
P0ADY1	P0ADY1
P23484	P23484
P09377	P09377
P71311	P71311
P13479	P13479
P77574	P0ADI0
P11036	P0ACQ7
P62707	P62707
P17445	P17445
P03841	P03841
P43529	P43529
P0A8V2	P0A8V2
P25397	P25397
P80645	P80645
P25553	P25553
P23917	P23917
P45548	P45548
P00452	P00452
P77439	P77439
P37163	P0AF90
P06616	P06616
P09372	P09372
P10902	P10902
P0A7B1	P0A7B1
P23867	P0A742
P52006	P52006
P06136	P06136
P11028	P0A6R3
P22634	P22634
P0AFG0	P0AFG0
P0AFX7	P0AFX7
P76148	P76148
P48838	P60844
P32661	P0AG07
P16659	P16659
P19494	P0ACJ0
P45395	P45395
P76197	P76197
P10121	P10121
P77172	P77172
P0A6K6	P0A6K6
P52613	P52613
P16676	P16676
P23538	P23538
P0AFG3	P0AFG3
P32664	P32664
P76321	P76321
P06972	P06972
P0A8M3	P0A8M3
P0A917	P0A917
P0AES4	P0AES4
P76049	P76049
P00886	P0AB91
P12996	P12996
P05100	P05100
P30847	P30847
P02371	P0ADZ4
P11555	P0AEN8
P28305	P28305
P0A9T4	P0A9T4
P60390	P60390
P77730	P77730
P19318	P19318
P0AG11	P0AG11
P0A991	P0A991
P0AD33	P0AD33
P0ACP1	P0ACP1
P16702	P0AEB0
P15032	P15032
P29464	P0A7E9
P00954	P00954
P0A8R0	P0A8R0
A0R561	A0R561
P64463	P64463
P00934	P00934
P31448	P31448
P62620	P62620
P11666	P0C0S1
P23837	P23837
P00855	P0AB98
P39177	P39177
P33596	P33596
P0ADA3	P0ADA3
P07017	P07017
P0A9N8	P0A9N8
P00907	P0A6F1
P05848	P0AAT6
P08401	P08401
P0A998	P0A998
P76136	P76136
P0A890	P0A890
P0AGE6	P0AGE6
P37175	P0AAR3
P23895	P23895
P33636	P0AGG4
P26612	P26612
P64581	P64581
P08203	P08203
P0ABA6	P0ABA6
P0A7U7	P0A7U7
P24255	P24255
P0A9J0	P0A9J0
P60932	P60932
P38106	P0AFX7
P03843	P0A8A8
P08391	P0AG40
P0A870	P0A870
P0A7B3	P0A7B3
P76316	P76316
P03023	P03023
P80063	P69908
P76938	P76938
P04475	P0A6Y8
P76550	P76550
P75829	P75829
P76116	P76116
Q46890	Q46890
P76474	P76474
P0A9K9	P0A9K9
P08504	P08504
P0A836	P0A836
P39332	P39332
P0AG55	P0AG55
P54986	P0ACJ5
P39300	P39300
P45539	P45539
P43675	P0AES0
P16174	P0A805
P0A7D7	P0A7D7
P19396	P0AGJ2
P27128	P27128
P39408	P39408
P45528	P67087
P0A8C1	P0A8C1
P78067	P78067
P06958	P0AFG8
P00574	P0A7Z4
P0A6Y8	P0A6Y8
P37634	P37634
P54901	P54901
P0AFP9	P0AFP9
Q9R8E4	Q9R8E4
P0ABY2	P0ABY2
P33938	P0A9I5
P76281	P0AEK0
P39376	P39376
P76092	P76092
P77148	P77148
P23909	P23909
P04804	P60906
P0A8C4	P0A8C4
P02942	P02942
P00364	P0AC47
P22586	P22586
P63020	P63020
P0A7D4	P0A7D4
P0A8G6	P0A8G6
P32177	P32177
P09151	P09151
P32705	P32705
P33226	P33226
P45751	P45751
P15277	P0A9X9
P17802	P17802
P09158	P09158
P02410	P0AA10
P10907	P10907
P21892	P0AEG6
P77748	P77748
P0A6F5	P0A6F5
P18035	P18035
P77522	P77522
P27862	P27862
P76554	P65643
P76217	P76217
P39272	P0AEC8
P71238	P71238
P03025	P0AA16
P45803	P0A6Y5
P75897	P75897
P45579	P45579
P17577	P0A8B5
P15723	P15723
P0A7Z4	P0A7Z4
P06984	P0A6X7
P0AEC3	P0AEC3
P36659	P36659
P76389	P76389
P75691	P75691
P00575	P0A8V2
P00391	P0A9P0
P42190	P42190
P0A805	P0A805
P23931	P0AEZ7
P39345	P0A9P9
P00831	P0ABA4
Q46925	Q46925
P0A6L9	P0A6L9
P76008	P76008
P02419	P0C018
P09168	P0AFH0
P31455	P31455
P36654	P69488
P32691	P68206
P37686	P37686
P63235	P63235
P0A9I5	P0A9I5
P60240	P60240
P0ABU7	P0ABU7
P77333	P77333
P0A6S3	P0A6S3
P77609	P77609
P02914	P68187
P0ACF4	P0ACF4
P05797	P0A7Y0
P0A8S9	P0A8S9
P07364	P07364
P76143	P76143
P07028	P0A8G0
P76227	P76227
P38504	P0AC55
P25526	P25526
P07014	P07014
P23859	P0AFK6
P19926	P19926
P0AFH2	P0AFH2
P26459	P26459
P33366	P33366
P06611	P06611
P0AG80	P0AG80
P69783	P69783
P12282	P12282
P0ACC3	P0ACC3
P42912	P42912
P17117	P17117
P36996	P0A9Y6
P0AG24	P0AG24
P31059	P0A7B8
P32698	P0AF48
P31600	P31600
P75961	P75961
P16916	P16916
P27838	P27838
P0A6X3	P0A6X3
P25739	P0AB89
P75713	P75713
P46923	P46923
P33361	P33361
P77646	P0CI31
P0ADM6	P0ADM6
P69503	P69503
P00478	P0A7F3
P08402	P0AFJ5
P24196	P0ADT5
P76655	P76655
P33348	P33348
P46474	P46474
Q47083	Q47083
P76541	P76541
P0ABS8	P0ABS8
P52037	P52037
P21168	P0ACP1
P0ADQ2	P0ADQ2
P0A763	P0A763
P75946	P75946
P52605	P52605
P39172	P39172
P31806	P31806
P0AF93	P0AF93
P64610	P64610
P03033	P0A7C2
P03815	P63284
Q47130	P0A978
P33018	P33018
P76492	P0A8W8
P05827	P05827
P06711	P0A9C5
P75989	P75989
P37019	P37019
P39274	P39274
P52137	P52137
P00891	P0ABH7
P39336	P39336
P0AAW1	P0AAW1
P33928	P69490
P28632	P28632
P0A9F1	P0A9F1
P13580	P0A6X1
P33195	P33195
P0A825	P0A825
P10486	P10486
P14900	P14900
P0AG07	P0AG07
P29014	P0AFL6
P67430	P67430
P64519	P64519
Q46877	Q46877
P16926	P16926
P11648	P68767
P0AGE9	P0AGE9
P77279	P77279
P45527	P45527
P77739	P77739
P0A6J8	P0A6J8
P77788	P77788
P37902	P37902
P24234	P60546
P62617	P62617
P21179	P21179
P11447	P11447
P02341	P0ACF4
P37682	P37682
P0A8D6	P0A8D6
P27305	P27305
P31574	P31574
P76417	P76417
P16921	P0AFG0
P0A6K3	P0A6K3
P0AE18	P0AE18
P61316	P61316
P21170	P21170
P29013	P29013
P07018	P07018
P76633	P76633
P0ACS2	P0ACS2
P0AG84	P0AG84
P30977	P0A8J4
P15035	P0ABG7
P71295	P0A991
P15300	P0AF18
P02425	P60624
P65367	P65367
P37345	P0A720
P0A9Q7	P0A9Q7
P32680	P32680
P02388	P60723
P32165	P0A8R0
P23482	P23482
P25742	P25742
P46482	P46482
P37024	P37024
P76270	P76270
P30746	P0AEZ9
P0ADG7	P0ADG7
P0A9B2	P0A9B2
P21151	P21151
P05833	P05833
P32670	P32670
Q46802	Q46802
P0A717	P0A717
P77656	P77656
P31667	P31667
P08192	P08192
P0A6V8	P0A6V8
P19935	P0A855
Q47319	Q47319
P0A6M8	P0A6M8
P0AAG3	P0AAG3
P46003	P46003
P0A8F8	P0A8F8
P26608	P26608
P02436	P0A7N9
P64467	P64467
P21155	P0A7D7
P77169	P77169
Q57451	P0AEV9
P27859	P27859
P76235	P76235
P02352	P0A7V3
P02408	P0A7J3
P41069	P41069
P0A7N4	P0A7N4
P18033	P18033
P23854	P0AFM9
P10089	P10089
P77756	P77756
P77265	P77265
P36664	P0A840
P31549	P31549
P10177	P0A955
Q46896	Q46896
P80668	P80668
P0AEN8	P0AEN8
P77781	P77781
P31224	P31224
P21166	P0AFZ7
P0AES6	P0AES6
P0AB77	P0AB77
P10443	P10443
P02359	P02359
P0C8J6	P0C8J6
P0A7U3	P0A7U3
P10484	P10484
P03004	P03004
P10445	P0AC44
P23882	P23882
P13519	P0A9X4
P08337	P08337
P25716	P0AEK2
P76193	P76193
P24223	P0A794
P30140	P30140
P25521	P0A6X3
P06721	P06721
P15038	P15038
P15070	P15070
P11904	P11904
P0AFF6	P0AFF6
P0A6A0	P0A6A0
P76072	P76072
P02934	P0A910
P0ABD3	P0ABD3
P25539	P25539
P15047	P15047
P0ACI0	P0ACI0
P36950	P0ACE7
P07459	P0AGE9
P0A940	P0A940
P0A8L7	P0A8L7
P21367	P21367
P0A8X0	P0A8X0
P08083	P08083
Q47012	P0A8V0
P09424	P09424
P37185	P0AAM7
P05804	P05804
P33666	P33666
P75835	P75835
P32170	P32170
P33371	P33371
P0AEB2	P0AEB2
P0A7W7	P0A7W7
P23843	P23843
P64423	P64423
P0A7Q6	P0A7Q6
P04273	P04273
P07003	P07003
P37662	P37662
P0A707	P0A707
P08193	P0A9Q5
P37047	P37047
P32484	P0ACR4
P37905	P69681
P08846	P0AFZ5
P60293	P60293
P04825	P04825
P45476	P0ADW6
P77147	P77147
P08690	P08690
P33995	P0A894
P10378	P10378
P32665	P0A9S5
P0A8B2	P0A8B2
P75884	P75884
P05053	P69786
P0A9L5	P0A9L5
P11457	P0AEU7
P23875	P0A6I6
P76194	P76194
P52062	P52062
P0A6H1	P0A6H1
P0AF06	P0AF06
P33128	P33128
P15288	P15288
P02918	P02918
P36567	P60293
P77681	P77681
P00580	P0AGB3
P33924	P33924
P08716	P08716
P33920	P33920
P24237	P0A8A0
P24199	P0A7J0
P77302	P77302
P42184	P42184
P45768	P45768
P23869	P23869
P0AE78	P0AE78
P32704	P32704
P39396	P39396
P77808	P77808
P77274	P0ACX5
P06983	P06983
P37647	P37647
P76084	P76084
P02356	P0A7W1
P62066	P62066
P76484	P76484
P0ABM9	P0ABM9
P52647	P52647
P02366	P0A7R9
P13024	P13024
P77734	P0ACN4
P04391	P04391
P0A6Z3	P0A6Z3
P0AC88	P0AC88
P69913	P69913
P31222	P69829
Q46812	Q46812
P20625	P0AB83
P76100	P76100
P31666	P31666
P00824	P0ABB4
P18392	P18392
P29208	P29208
P18783	P0ABU7
P14294	P14294
P14497	P14497
P31219	P0A9T8
P27300	P27300
P20082	P0AFI2
P03034	P03034
P32132	P32132
P0ABQ4	P0ABQ4
P0ACE7	P0ACE7
P69739	P69739
P17582	P0ABE9
P77504	P77504
P39342	P39342
P0ACG1	P0ACG1
P75954	P75954
P0AAR0	P0AAR0
P77374	P77374
P00647	P0A7Y4
P52084	P0AEH5
P81760	P81760
P31599	P0AFA5
P37745	P37745
P69910	P69910
P32718	P32718
P38134	P38134
P19245	P0A6G7
P16703	P16703
P25534	P25534
P37191	P0C8J8
P08837	P69783
P0ADN0	P0ADN0
P06710	P06710
P24229	P0A8J8
P37351	P37351
P09551	P09551
P0A8A8	P0A8A8
P06217	P0ACK5
P0ABH9	P0ABH9
P0A6N4	P0A6N4
P17580	P0AG24
P07023	P07023
P31577	P0A754
P76015	P76015
P77338	P77338
Q46851	Q46851
P27251	P0A6K3
P0A898	P0A898
P62399	P62399
P24554	P24554
P32697	P0AE22
P0AEM0	P0AEM0
P0ADT5	P0ADT5
P0AED5	P0AED5
P22257	P0A850
P31828	P31828
P77044	P77044
P68679	P68679
P02414	P0ADY7
P76558	P76558
P0A7E1	P0A7E1
P0A734	P0A734
P77212	P77212
P39182	P0AEU0
P06864	P06864
P0AB52	P0AB52
P77488	P77488
P0A9M8	P0A9M8
P75967	P75967
P0AEU7	P0AEU7
P39100	P0A9D2
P33138	P0A6H1
P33020	P33020
P04790	P0A858
P37330	P37330
P28904	P28904
P0ABJ3	P0ABJ3
P45691	P67662
P0C018	P0C018
Q46796	Q46796
P77529	P77529
P0AFP2	P0AFP2
P21507	P21507
P02428	P0A7M2
P39453	P39453
P17288	P0A7A9
P0AG63	P0AG63
P08956	P08956
P45532	P45532
P39306	P39306
P0A6D0	P0A6D0
P0ACY9	P0ACY9
Q46903	P65870
P0A7Y0	P0A7Y0
P0A7L0	P0A7L0
P76069	P76069
P62538	P62538
P63389	P63389
P45470	P45470
P76256	P76256
P45578	P45578
P68187	P68187
P77470	P0A6W0
P0A7S9	P0A7S9
Q46906	Q46906
P76043	P76043
P78093	P0AFI0
P24230	P24230
P36645	P36645
P15298	P0ABE2
P18472	P18472
P00955	P0A8M3
P33899	P0AGJ7
P19624	P19624
P77285	P77285
P00914	P00914
P24247	P0AF12
P25663	P0AFZ3
P16525	P16525
P32148	P0ADQ2
P21346	P0A6W5
P24177	P24177
P76538	P76538
P71237	P71237
P17242	P0A8M0
P75957	P75957
P18775	P18775
P0AFW2	P0AFW2
P75830	P75830
P0A9A9	P0A9A9
P27433	P62620
P12295	P12295
P30747	P0A738
P0AAD4	P0AAD4
P75863	P75863
P62615	P62615
P69441	P69441
P56262	P56262
P77611	P77611
P27307	P0ACU5
P0AAN9	P0AAN9
P39386	P39386
P38104	P38104
P03844	P0AGA2
P04128	P04128
P02437	P0A7P5
P37652	P37652
P0A8I5	P0A8I5
P0AEF4	P0AEF4
P08576	P0A809
P23836	P23836
P09832	P09832
P77559	P77559
P16920	P0AG96
P75767	P75767
P0A9L8	P0A9L8
P52106	P52106
P33918	P0AA43
P00887	P00887
P69828	P69828
P65292	P65292
P19930	P19930
P00634	P00634
P00962	P00962
P75792	P75792
P37642	P37642
P0A817	P0A817
P0AFN2	P0AFN2
P02930	P02930
P0A9L3	P0A9L3
P30844	P30844
P76102	P76102
P21362	P21362
P13652	P0ABF6
P28249	P28249
P36655	P36655
P13518	P13518
P31450	P31450
P77409	P77409
P37610	P37610
P0A705	P0A705
P0AE08	P0AE08
P29018	P29018
P33232	P33232
P06989	P06989
P76361	P76361
P39333	P39333
P0ABP8	P0ABP8
P63228	P63228
P10413	P0A6Z3
P38035	P38035
P17334	P17334
P0A731	P0A731
P27239	P0AD37
P60716	P60716
P21202	P0ABZ6
P36879	P36879
P0AAX8	P0AAX8
P33930	P0ABL8
P75750	P75750
P39159	P0A9L5
P02923	P0ABS5
P77743	P77743
P02996	P0A6M8
P0A8E7	P0A8E7
P0A7N9	P0A7N9
P42550	P0AGK4
P0A855	P0A855
P18273	P0A823
P0AC59	P0AC59
P0A968	P0A968
P0A8P8	P0A8P8
P02925	P02925
P76297	P76297
P28688	P0A7B1
P0AD03	P0AD03
P0ACV4	P0ACV4
P50457	P50457
P77173	P77173
P23874	P23874
P10122	P0AC30
P36546	P0A917
P0ADP0	P0ADP0
P0A9S1	P0A9S1
P0ABV6	P0ABV6
P36540	P0A6L9
P04287	P0AEB2
P02421	P0A7L3
P75809	P75809
P02390	P0AG55
P75990	P75990
P77627	P77627
P24201	P0ACR9
Q47150	Q47150
P11096	P0ABK5
