Old Uniprot Acc	New Uniprot Acc
P08202	P08202
P10904	P0AG80
P0A7H0	P0A7H0
P07648	P07648
P37617	P37617
P11875	P11875
P0A7X3	P0A7X3
P0ABJ1	P0ABJ1
P46130	P46130
P42588	P42588
P09053	P09053
P36651	Q93K97
P77727	P0A959
P18776	P18776
P64517	P64517
P0ADI0	P0ADI0
P77182	P77182
P31571	P60584
P07604	P07604
P0ABX8	P0ABX8
P0ACF0	P0ACF0
P0A7G6	P0A7G6
P37665	P37665
P0AA53	P0AA53
P33998	P0A7I4
P0A769	P0A769
P43533	P43533
P32689	P32689
P07330	P07330
P13669	P13669
P60560	P60560
P00453	P69924
P68739	P68739
P21338	P21338
P00804	P00804
P37346	P0AFQ7
P45771	P45771
P25524	P25524
Q46839	Q46839
P0A6X7	P0A6X7
P25748	P25748
P17888	P17888
P46853	P46853
P77558	P0ACC9
P02435	P0A7N4
P36541	P0A6Z1
P76160	P76160
P24202	P24202
P33594	P33594
P0ABK5	P0ABK5
P03016	P0A7H0
P0A6F9	P0A6F9
P55756	P0AAP3
P75860	P75860
P38051	P38051
P76223	P76223
P78083	P0AAB6
P08205	P0A6C5
P36673	P36673
P12758	P12758
P0AB14	P0AB14
P0A9D8	P0A9D8
P23887	P0A998
P0AFH0	P0AFH0
P75742	P75742
P08859	P0A6F3
P76174	P69853
P16528	P16528
P06138	P0A9A6
P17335	P69791
P00913	P0A853
P39316	P0ACN2
P15069	P15069
P76114	P76114
P08374	P0A800
P0AFD1	P0AFD1
P25887	P0AG84
P02427	P0A7L8
P15977	P15977
P04286	P0AD68
P03822	P0A8A4
P0AFJ5	P0AFJ5
P0A7E9	P0A7E9
P75965	P0AEI6
P76065	P76065
P28307	P28307
P00946	P00946
P0A7L8	P0A7L8
P38489	P38489
P25888	P25888
P0A8S1	P0A8S1
P0ACD4	P0ACD4
P00923	P0AC33
P76205	P76205
P0ADF6	P0ADF6
P36564	P0ADK8
P80449	P0AC19
P54711	P0ABR9
P0ABQ0	P0ABQ0
P0AAE2	P0AAE2
P09160	P0AC28
P11721	P0ACQ4
P24224	P24224
P22938	P0A8G9
P0A6B7	P0A6B7
P28905	P28905
P76586	P76586
P76268	P76268
P39903	P0A746
P0AGG8	P0AGG8
P32168	P0A6H5
P76334	P76334
P09373	P09373
P38684	P38684
P0AFR0	P0AFR0
P76503	P76503
P07906	P0AE18
P04742	P0ADH5
P0AC28	P0AC28
P0ABS1	P0ABS1
P0ADZ7	P0ADZ7
P36767	P36767
P75942	P75942
P76082	P76082
P0AFA2	P0AFA2
Q47677	P0AC84
P37765	P37765
P42641	P42641
P0A6A6	P0A6A6
P0A809	P0A809
P0A7S3	P0A7S3
P08936	P0ACF8
P76195	P64476
P03813	P03813
P0A7Y8	P0A7Y8
P0AF48	P0AF48
P76211	P0AE60
P24191	P0AAM3
P37309	P37309
P0AB18	P0AB18
P00956	P00956
P42631	P0AGL2
P45393	P63386
P31129	P31129
P46859	P46859
P12638	P0A6C1
P0A6D3	P0A6D3
P0ABT5	P0ABT5
P16244	P0AE88
P00393	P00393
P02367	P0A7S3
P03021	P0A9E0
P0A873	P0A873
P14375	P14375
P0A7M6	P0A7M6
P00379	P0ABQ4
P45426	P0A761
P23839	P23839
P23256	P23256
P13457	P0AG76
P0C054	P0C054
P32674	P32674
P37349	P37349
P46837	P46837
P28910	P0A6Z6
P37013	P37013
P36929	P36929
P18784	P0ABV2
P0AGM5	P0AGM5
P0A812	P0A812
P28692	P0C0R7
P39277	P39277
P08338	P0A8U6
P17952	P17952
P0AAJ3	P0AAJ3
P33646	P0AEY3
P0A6K1	P0A6K1
P22538	P0ACS2
P02420	P0A7K6
P76085	P76085
P37655	P37655
P75906	P75906
P08398	P0A7E5
P0ACA7	P0ACA7
P19931	P19931
P76028	P0A8L7
P77737	P77737
Q8KLS0	Q8KLS0
P19319	P19319
P02413	P02413
P08756	P0A6Y1
P52083	P0ADU5
P0A884	P0A884
P76251	P76251
P21513	P21513
P76004	P76004
P14926	P0A953
P0AAR3	P0AAR3
P16070	P16070
P30139	P30139
P24209	P62615
P0AAM3	P0AAM3
P23328	P0A821
P00475	P0AEE8
P05707	P05707
P27249	P27249
P0A8J8	P0A8J8
P0A7C6	P0A7C6
P09980	P09980
P37338	P37338
P41066	P41066
P23305	P23305
P0AB10	P0AB10
P0ABS5	P0ABS5
P30850	P30850
P0AF20	P0AF20
O50190	O50190
P60752	P60752
P0AEC5	P0AEC5
P16687	P16687
P76177	P76177
P05826	P0A9Z1
P00864	P00864
P02995	P0A705
P39838	P39838
P24941	P24941
P77698	P77698
P32147	P0A6M4
P22525	P22525
P45465	P45465
P33135	P33135
P24183	P24183
P77509	P77509
