ID interactor A_ID interactor B	ID interactor A	ID interactor B
P0AEK4_P0A988	P0AEK4	P0A988
P0A8N5_P0A988	P0A8N5	P0A988
P0A7A9_P0A988	P0A7A9	P0A988
P21599_P0A988	P21599	P0A988
P0A8E7_P0A988	P0A8E7	P0A988
P0AFX0_P0A988	P0AFX0	P0A988
P0A6V1_P0A6V1	P0A6V1	P0A6V1
P0A705_P00634	P0A705	P00634
P0A944_P00634	P0A944	P00634
P21893_P0A7Y4	P21893	P0A7Y4
P0A7Y4_P0A7Y4	P0A7Y4	P0A7Y4
P0AFG8_P0A7Y4	P0AFG8	P0A7Y4
P06959_P0A7Y4	P06959	P0A7Y4
P0ACF0_P0A7Y4	P0ACF0	P0A7Y4
P0A9P0_P0A7Y4	P0A9P0	P0A7Y4
P00490_P0A7Y4	P00490	P0A7Y4
P15043_P0A7Y4	P15043	P0A7Y4
P60422_P0A7Y4	P60422	P0A7Y4
P0A7M2_P0A7Y4	P0A7M2	P0A7Y4
P0A7V3_P0A7Y4	P0A7V3	P0A7Y4
P0A7X3_P0A7Y4	P0A7X3	P0A7Y4
P0AG59_P0A7Y4	P0AG59	P0A7Y4
P0A7U7_P0A7Y4	P0A7U7	P0A7Y4
P0AGE0_P0A7Y4	P0AGE0	P0A7Y4
P06612_P0A7Y4	P06612	P0A7Y4
P0A9M2_P00804	P0A9M2	P00804
P00816_P00816	P00816	P00816
P15038_P0ABB4	P15038	P0ABB4
P0A8V2_P0ABB4	P0A8V2	P0ABB4
P0ADZ0_P0ABA6	P0ADZ0	P0ABA6
P00861_P00861	P00861	P00861
P0A8N5_P00861	P0A8N5	P00861
P32053_P00864	P32053	P00864
P33195_P00864	P33195	P00864
P37330_P00864	P37330	P00864
P0A6L0_P0A6L0	P0A6L0	P0A6L0
P0A6F5_P0AB91	P0A6F5	P0AB91
P0AB91_P0AB91	P0AB91	P0AB91
P00888_P00888	P00888	P00888
P0ABH7_P0ABH7	P0ABH7	P0ABH7
P0A968_P00892	P0A968	P00892
P00892_P00892	P00892	P00892
P0AFG8_P00892	P0AFG8	P00892
P06959_P00892	P06959	P00892
P33224_P00892	P33224	P00892
P0ACF0_P00892	P0ACF0	P00892
P0ACF4_P00892	P0ACF4	P00892
P0A7L0_P00892	P0A7L0	P00892
P62399_P00892	P62399	P00892
P0A7R1_P00892	P0A7R1	P00892
P0A7K2_P00892	P0A7K2	P00892
P0ADY7_P00892	P0ADY7	P00892
P0AG44_P00892	P0AG44	P00892
P0C018_P00892	P0C018	P00892
P0A7K6_P00892	P0A7K6	P00892
P0A7L3_P00892	P0A7L3	P00892
P0AG48_P00892	P0AG48	P00892
P60624_P00892	P60624	P00892
P0A7M2_P00892	P0A7M2	P00892
P0A8V2_P00892	P0A8V2	P00892
P0AG67_P00892	P0AG67	P00892
P0A7V3_P00892	P0A7V3	P00892
P0AG59_P00892	P0AG59	P00892
P0A7T3_P00892	P0A7T3	P00892
P0A7U7_P00892	P0A7U7	P00892
P75864_P00892	P75864	P00892
P37765_P00892	P37765	P00892
P0AGJ5_P00892	P0AGJ5	P00892
P0ADK8_P00892	P0ADK8	P00892
P75966_P00892	P75966	P00892
P0A776_P00892	P0A776	P00892
P0AGK4_P00892	P0AGK4	P00892
P00893_P00893	P00893	P00893
P52644_P00893	P52644	P00893
P0AFI7_P00893	P0AFI7	P00893
P0A7R1_P00893	P0A7R1	P00893
P0A7M2_P00893	P0A7M2	P00893
P0AG67_P00893	P0AG67	P00893
P00894_P00894	P00894	P00894
P0ADM8_P00894	P0ADM8	P00894
P05041_P00903	P05041	P00903
P0A6F1_P0A6F1	P0A6F1	P0A6F1
P0A853_P0A853	P0A853	P0A853
P00914_P00914	P00914	P00914
P08142_P0AC33	P08142	P0AC33
P0A877_P0A879	P0A877	P0A879
P37647_P00934	P37647	P00934
P38104_P00934	P38104	P00934
P0AET2_P00934	P0AET2	P00934
P0ACF8_P00934	P0ACF8	P00934
P0A7M2_P00934	P0A7M2	P00934
P00935_P00935	P00935	P00935
P0CE47_P00944	P0CE47	P00944
P00946_P00946	P00946	P00946
P18196_P00946	P18196	P00946
P75864_P00946	P75864	P00946
P0AGJ9_P0AGJ9	P0AGJ9	P0AGJ9
P0A6Y8_P0AGJ9	P0A6Y8	P0AGJ9
P00954_P00954	P00954	P00954
P61175_P00954	P61175	P00954
P0A7V0_P00954	P0A7V0	P00954
P0A8M3_P0A8M3	P0A8M3	P0A8M3
P0A6P9_P0A8M3	P0A6P9	P0A8M3
P60438_P0A8M3	P60438	P0A8M3
P0A7R1_P0A8M3	P0A7R1	P0A8M3
P0AA10_P0A8M3	P0AA10	P0A8M3
P0A7K6_P0A8M3	P0A7K6	P0A8M3
P0A7R5_P0A8M3	P0A7R5	P0A8M3
P0A7S9_P0A8M3	P0A7S9	P0A8M3
P0AG59_P0A8M3	P0AG59	P0A8M3
P0ACC9_P0A8M3	P0ACC9	P0A8M3
P0AGK4_P0A8M3	P0AGK4	P0A8M3
P23839_P0A8M3	P23839	P0A8M3
P00956_P00956	P00956	P00956
P02925_P00956	P02925	P00956
P02990_P00956	P02990	P00956
P0ACN4_P00956	P0ACN4	P00956
P0AE18_P00956	P0AE18	P00956
P00957_P00957	P00957	P00957
P0A6Y8_P00957	P0A6Y8	P00957
P0CE47_P00957	P0CE47	P00957
P04805_P00957	P04805	P00957
P0AG80_P00959	P0AG80	P00959
P00960_P00960	P00960	P00960
P0AA10_P00960	P0AA10	P00960
P0ADY7_P00960	P0ADY7	P00960
P0AG48_P00960	P0AG48	P00960
P0A7M2_P00960	P0A7M2	P00960
P0A9X4_P00960	P0A9X4	P00960
P18843_P00960	P18843	P00960
P62399_P00960	P62399	P00960
P0AG55_P00960	P0AG55	P00960
P0AA10_P00960	P0AA10	P00960
P0ADY7_P00960	P0ADY7	P00960
P0A7K6_P00960	P0A7K6	P00960
P0A7S9_P00960	P0A7S9	P00960
P00961_P00961	P00961	P00961
P0AES6_P00961	P0AES6	P00961
P0AEU7_P00961	P0AEU7	P00961
P0A8D0_P00961	P0A8D0	P00961
P0A6Q6_P00962	P0A6Q6	P00962
P00962_P00962	P00962	P00962
P21645_P00962	P21645	P00962
P00963_P00963	P00963	P00963
P0A836_P00963	P0A836	P00963
P0A6F1_P00968	P0A6F1	P00968
P00968_P00968	P00968	P00968
P0A6W5_P00968	P0A6W5	P00968
P0A6F1_P00968	P0A6F1	P00968
P0A7R5_P00968	P0A7R5	P00968
P04128_P00968	P04128	P00968
P30015_P00968	P30015	P00968
P0A7H3_P0AGE0	P0A7H3	P0AGE0
P04995_P0AGE0	P04995	P0AGE0
P0AGE0_P0AGE0	P0AGE0	P0AGE0
P07376_P0AGE0	P07376	P0AGE0
P10443_P0AGE0	P10443	P0AGE0
P28905_P0AGE0	P28905	P0AGE0
P28632_P0AGE0	P28632	P0AGE0
P0ABS8_P0AGE0	P0ABS8	P0AGE0
P0A9M0_P0AGE0	P0A9M0	P0AGE0
P20083_P0AGE0	P20083	P0AGE0
P21893_P0AGE0	P21893	P0AGE0
P75697_P0AGE0	P75697	P0AGE0
P0A6Y8_P0AGE0	P0A6Y8	P0AGE0
P0AES4_P0AGE0	P0AES4	P0AGE0
P0ACF0_P0AGE0	P0ACF0	P0AGE0
P00490_P0AGE0	P00490	P0AGE0
P46022_P0AGE0	P46022	P0AGE0
P31061_P0AGE0	P31061	P0AGE0
P60438_P0AGE0	P60438	P0AGE0
P60723_P0AGE0	P60723	P0AGE0
P0A7K6_P0AGE0	P0A7K6	P0AGE0
P61175_P0AGE0	P61175	P0AGE0
P60624_P0AGE0	P60624	P0AGE0
P0A7N9_P0AGE0	P0A7N9	P0AGE0
P0A7Z4_P0AGE0	P0A7Z4	P0AGE0
P0A8T7_P0AGE0	P0A8T7	P0AGE0
P0A7V8_P0AGE0	P0A7V8	P0AGE0
P0A7R5_P0AGE0	P0A7R5	P0AGE0
P10408_P0AGE0	P10408	P0AGE0
P0A9K9_P0AGE0	P0A9K9	P0AGE0
P25522_P0AGE0	P25522	P0AGE0
P02990_P0AGE0	P02990	P0AGE0
P77398_P0AGE0	P77398	P0AGE0
P0AGJ5_P0AGE0	P0AGJ5	P0AGE0
P0A6A0_P0AGE0	P0A6A0	P0AGE0
P0ACF0_P0ACF4	P0ACF0	P0ACF4
P0ACF4_P0ACF4	P0ACF4	P0ACF4
P0A9X9_P0ACF4	P0A9X9	P0ACF4
P0A9P6_P0ACF4	P0A9P6	P0ACF4
P10485_P0ACF4	P10485	P0ACF4
P0A6R3_P0ACF4	P0A6R3	P0ACF4
P0A6X7_P0ACF4	P0A6X7	P0ACF4
P0AEU7_P0ACF4	P0AEU7	P0ACF4
P0ACF8_P0ACF4	P0ACF8	P0ACF4
P10484_P0ACF4	P10484	P0ACF4
P60438_P0ACF4	P60438	P0ACF4
P0A7Z4_P0ACF4	P0A7Z4	P0ACF4
P02359_P0ACF4	P02359	P0ACF4
P04951_P0ACF4	P04951	P0ACF4
P68739_P0ACF4	P68739	P0ACF4
P0A7E9_P0ACF4	P0A7E9	P0ACF4
P0A9K9_P0ACF4	P0A9K9	P0ACF4
P0A832_P0ACF4	P0A832	P0ACF4
P0A847_P0ACF4	P0A847	P0ACF4
P03018_P0ACF4	P03018	P0ACF4
P0A9W0_P0ACF4	P0A9W0	P0ACF4
P0ACF0_P0ACF0	P0ACF0	P0ACF0
P0A968_P0ACF0	P0A968	P0ACF0
P0A972_P0ACF0	P0A972	P0ACF0
P0A9P6_P0ACF0	P0A9P6	P0ACF0
P0A6Y1_P0ACF0	P0A6Y1	P0ACF0
P0ACF8_P0ACF0	P0ACF8	P0ACF0
P0A6Y8_P0ACF0	P0A6Y8	P0ACF0
P00490_P0ACF0	P00490	P0ACF0
P15977_P0ACF0	P15977	P0ACF0
P0A7Z4_P0ACF0	P0A7Z4	P0ACF0
P0A715_P0ACF0	P0A715	P0ACF0
P17443_P0ACF0	P17443	P0ACF0
P68739_P0ACF0	P68739	P0ACF0
P05055_P0ACF0	P05055	P0ACF0
P0A7Y8_P0ACF0	P0A7Y8	P0ACF0
P0A8V2_P0ACF0	P0A8V2	P0ACF0
P0A8T7_P0ACF0	P0A8T7	P0ACF0
P0A832_P0ACF0	P0A832	P0ACF0
P0A847_P0ACF0	P0A847	P0ACF0
P0A8F8_P0ACF0	P0A8F8	P0ACF0
P03018_P0ACF0	P03018	P0ACF0
P21499_P0ACF0	P21499	P0ACF0
P0AFP2_P0ACF0	P0AFP2	P0ACF0
P0ACN4_P0ACF0	P0ACN4	P0ACF0
P0AAS7_P0ACF0	P0AAS7	P0ACF0
P0A9K3_P0ACF0	P0A9K3	P0ACF0
P75829_P0ACF0	P75829	P0ACF0
P0A776_P0ACF0	P0A776	P0ACF0
P33371_P0ACF0	P33371	P0ACF0
P03024_P0ACF0	P03024	P0ACF0
P0A7V0_P0AG67	P0A7V0	P0AG67
P36659_P0AG67	P36659	P0AG67
P0ABH9_P0AG67	P0ABH9	P0AG67
P0A972_P0AG67	P0A972	P0AG67
P0A9P6_P0AG67	P0A9P6	P0AG67
P0AEK4_P0AG67	P0AEK4	P0AG67
P0A6X3_P0AG67	P0A6X3	P0AG67
P04951_P0AG67	P04951	P0AG67
P0A7E9_P0AG67	P0A7E9	P0AG67
P0A7Y8_P0AG67	P0A7Y8	P0AG67
P0A7Z4_P0AG67	P0A7Z4	P0AG67
P0A7W1_P0AG67	P0A7W1	P0AG67
P0AEM0_P0AG67	P0AEM0	P0AG67
P0A832_P0AG67	P0A832	P0AG67
P0AG24_P0AG67	P0AG24	P0AG67
P0A8M3_P0AG67	P0A8M3	P0AG67
P0A850_P0AG67	P0A850	P0AG67
P0A8E5_P0AG67	P0A8E5	P0AG67
P0AAS7_P0AG67	P0AAS7	P0AG67
P0A9K3_P0AG67	P0A9K3	P0AG67
P37765_P0AG67	P37765	P0AG67
P36979_P0AG67	P36979	P0AG67
P0A776_P0AG67	P0A776	P0AG67
P0AF67_P0AG67	P0AF67	P0AG67
P39286_P0AG67	P39286	P0AG67
P0A9W0_P0AG67	P0A9W0	P0AG67
P0A7K2_P0A7V0	P0A7K2	P0A7V0
P0A7V3_P0A7V0	P0A7V3	P0A7V0
P00957_P0A7V0	P00957	P0A7V0
P0A6P5_P0A7V0	P0A6P5	P0A7V0
P0A9H3_P0A7V0	P0A9H3	P0A7V0
P0ABH9_P0A7V0	P0ABH9	P0A7V0
P0A6G7_P0A7V0	P0A6G7	P0A7V0
P0A968_P0A7V0	P0A968	P0A7V0
P0A978_P0A7V0	P0A978	P0A7V0
P0ACB0_P0A7V0	P0ACB0	P0A7V0
P0A6Q3_P0A7V0	P0A6Q3	P0A7V0
P0A6Q6_P0A7V0	P0A6Q6	P0A7V0
P0AGD7_P0A7V0	P0AGD7	P0A7V0
P0A6R3_P0A7V0	P0A6R3	P0A7V0
P0A9R7_P0A7V0	P0A9R7	P0A7V0
P0C0R7_P0A7V0	P0C0R7	P0A7V0
P0A9A6_P0A7V0	P0A9A6	P0A7V0
P0ACC7_P0A7V0	P0ACC7	P0A7V0
P00960_P0A7V0	P00960	P0A7V0
P30128_P0A7V0	P30128	P0A7V0
P0AES6_P0A7V0	P0AES6	P0A7V0
P0A6X3_P0A7V0	P0A6X3	P0A7V0
P0ACF8_P0A7V0	P0ACF8	P0A7V0
P28905_P0A7V0	P28905	P0A7V0
P0ABS8_P0A7V0	P0ABS8	P0A7V0
P43329_P0A7V0	P43329	P0A7V0
P33232_P0A7V0	P33232	P0A7V0
P60785_P0A7V0	P60785	P0A7V0
P21645_P0A7V0	P21645	P0A7V0
P0AE18_P0A7V0	P0AE18	P0A7V0
P22523_P0A7V0	P22523	P0A7V0
P0A749_P0A7V0	P0A749	P0A7V0
P17952_P0A7V0	P17952	P0A7V0
P20083_P0A7V0	P20083	P0A7V0
P0A7A7_P0A7V0	P0A7A7	P0A7V0
P0A7A9_P0A7V0	P0A7A9	P0A7V0
P07012_P0A7V0	P07012	P0A7V0
P42184_P0A7V0	P42184	P0A7V0
P0A7D1_P0A7V0	P0A7D1	P0A7V0
P0AB89_P0A7V0	P0AB89	P0A7V0
P25539_P0A7V0	P25539	P0A7V0
P21513_P0A7V0	P21513	P0A7V0
P0A7Y8_P0A7V0	P0A7Y8	P0A7V0
P0A800_P0A7V0	P0A800	P0A7V0
P0A812_P0A7V0	P0A812	P0A7V0
