Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B	Satus
RPOD_A	G3P1_A	RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2	C
RPOD_A	RPOZ_A	RPOD_ECOLI	RPOZ_ECOLI	P00579	P0A800	C
RPOD_A	RHAS_A	RPOD_ECOLI	RHAS_ECOLI	P00579	P09377	C
RPOD_A	RHAR_A	RPOD_ECOLI	RHAR_ECOLI	P00579	P09378	C
RPOD_A	IF2_A	RPOD_ECOLI	IF2_ECOLI	P00579	P0A705	C
RPOD_A	RL1_A	RPOD_ECOLI	RL1_ECOLI	P00579	P0A7L0	C
RPOD_A	YEEX_A	RPOD_ECOLI	YEEX_ECOLI	P00579	P0A8M6	C
RPOD_A	RPOB_A	RPOD_ECOLI	RPOB_ECOLI	P00579	P0A8V2	C
RPOD_A	G3P1_A	RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2	C
RPOD_A	RS1_A	RPOD_ECOLI	RS1_ECOLI	P00579	P0AG67	C
RPOD_A	ACCA_A	RPOD_ECOLI	ACCA_ECOLI	P00579	P0ABD5	C
RPOD_A	RL4_A	RPOD_ECOLI	RL4_ECOLI	P00579	P60723	C
RPOD_A	HSCC_A	RPOD_ECOLI	HSCC_ECOLI	P00579	P77319	C
DPO1_A	RPOA_A	DPO1_ECOLI	RPOA_ECOLI	P00582	P0A7Z4	C
DPO1_A	RPOB_A	DPO1_ECOLI	RPOB_ECOLI	P00582	P0A8V2	C
DPO1_A	RPOC_A	DPO1_ECOLI	RPOC_ECOLI	P00582	P0A8T7	C
DPO1_A	DPO1_A	DPO1_ECOLI	DPO1_ECOLI	P00582	P00582	C
DPO1_A	RL4_A	DPO1_ECOLI	RL4_ECOLI	P00582	P60723	C
DPO1_A	RL7_A	DPO1_ECOLI	RL7_ECOLI	P00582	P0A7K2	C
DPO1_A	RF2_A	DPO1_ECOLI	RF2_ECOLI	P00582	P07012	C
DPO1_A	EFTU1_F1	DPO1_ECOLI	EFTU1_ECOLI	P00582	P0CE47	C
DPO1_A	FIS_A	DPO1_ECOLI	FIS_ECOLI	P00582	P0A6R3	C
DPO1_A	DBHA_A	DPO1_ECOLI	DBHA_ECOLI	P00582	P0ACF0	C
DPO1_A	DBHB_A	DPO1_ECOLI	DBHB_ECOLI	P00582	P0ACF4	C
DPO1_A	RCSB_A	DPO1_ECOLI	RCSB_ECOLI	P00582	P69407	C
DPO1_A	YIDX_I	DPO1_ECOLI	YIDX_ECOLI	P00582	P0ADM6	C
DPO1_A	YDBA_H	DPO1_ECOLI	YDBA_ECOLI	P00582	P33666	C
DPO1_A	KDGR_A	DPO1_ECOLI	KDGR_ECOLI	P00582	P76268	C
PPB_G	IF2_A	PPB_ECOLI	IF2_ECOLI	P00634	P0A705	C
LSPA_B	DAPD_A	LSPA_ECOLI	DAPD_ECOLI	P00804	P0A9D8	C
DCDA_A	TIG_A	DCDA_ECOLI	TIG_ECOLI	P00861	P0A850	C
CAPP_A	RL28_A	CAPP_ECOLI	RL28_ECOLI	P00864	P0A7M2	C
AROH_A	CH60_A	AROH_ECOLI	CH60_ECOLI	P00887	P0A6F5	C
ILVG_A	RPOC_A	ILVG_ECOLI	RPOC_ECOLI	P00892	P0A8T7	C
ILVG_A	RS2_A	ILVG_ECOLI	RS2_ECOLI	P00892	P0A7V0	C
ILVG_A	RS4_A	ILVG_ECOLI	RS4_ECOLI	P00892	P0A7V8	C
ILVG_A	RS5_A	ILVG_ECOLI	RS5_ECOLI	P00892	P0A7W1	C
ILVG_A	RS6_A	ILVG_ECOLI	RS6_ECOLI	P00892	P02358	C
ILVG_A	RS7_A	ILVG_ECOLI	RS7_ECOLI	P00892	P02359	C
ILVG_A	RS13_A	ILVG_ECOLI	RS13_ECOLI	P00892	P0A7S9	C
ILVG_A	RS18_A	ILVG_ECOLI	RS18_ECOLI	P00892	P0A7T7	C
ILVG_A	RL3_A	ILVG_ECOLI	RL3_ECOLI	P00892	P60438	C
ILVG_A	RL2_A	ILVG_ECOLI	RL2_ECOLI	P00892	P60422	C
