Accession (UNIPROT)	ID interactor A	ID interactor B
P0A8T7	P0A9X4	P0A8T7
P0A8T7	P0AFG0	P0A8T7
P0A8T7	P00582	P0A8T7
P0A8T7	P60723	P0A8T7
P0A8T7	P0A8T7	P0A8T7
P0A8T7	P77609	P0A8T7
P0A8T7	P0AC23	P0A8T7
P0A8T7	P06983	P0A8T7
P0A8T7	P00490	P0A8T7
P0A8T7	P60422	P0A8T7
P0A8T7	P60438	P0A8T7
P0A8T7	P0A7R1	P0A8T7
P0A8T7	P0AG44	P0A8T7
P0A8T7	P61175	P0A8T7
P0A8T7	P0A7V3	P0A8T7
P0A8T7	P0A7V8	P0A8T7
P0A8T7	P0A7W1	P0A8T7
P0A8T7	P13445	P0A8T7
P0A8T7	P0AG24	P0A8T7
P0A8T7	P08390	P0A8T7
P0A8T7	P0AAS7	P0A8T7
P0A8T7	P75829	P0A8T7
P0A8T7	P00892	P0A8T7
P0A8T7	P37195	P0A8T7
P00579	P0AFX4	P00579
P00579	P0ACH8	P00579
P00579	P0A7Z4	P00579
P00579	P00579	P00579
P00579	P0A8V2	P00579
P00579	P06134	P00579
P00579	P0AE60	P00579
P00579	P0A705	P00579
P00579	P37095	P00579
P00579	P0A7L0	P00579
P00579	P0A7K2	P00579
P00579	P0AG48	P00579
P00579	P0AG67	P00579
P00579	P0A7V0	P00579
P00579	P0A7V3	P00579
P00579	P0A7V8	P00579
P00579	P02359	P00579
P00579	P0A8M6	P00579
P00579	P08504	P00579
P00579	P76268	P00579
P00579	P0AG30	P00579
P00579	P0A7K2	P00579
P00579	P0A7K6	P00579
P00579	P0AG48	P00579
P00579	P0A7M2	P00579
P00579	P0AE60	P00579
P00579	P0A7Z4	P00579
P00579	P0AFF6	P00579
P00579	P0A8T7	P00579
P00579	P0A800	P00579
P0A8V2	P0A8V2	P0AGB3
P0A7K2	P0A7K2	P0AGB3
P0A7Z4	P0A7Z4	P0AGB3
P0A8T7	P0A8T7	P0AGB3
P0A7V8	P0A7V8	P0AGB3
P00582	P0ACF4	P00582
P00582	P00582	P00582
P00582	P06959	P00582
P00582	P77182	P00582
P00582	P0A6R3	P00582
P00582	P0ACF8	P00582
P00582	P43329	P00582
P00582	P0ACF0	P00582
P00582	P0A9P0	P00582
P00582	P00490	P00582
P00582	P0A817	P00582
P00582	P11880	P00582
P00582	P0AA10	P00582
P00582	P0A7M2	P00582
P00582	P0A7V0	P00582
P00582	P0A9K9	P00582
P00582	P02990	P00582
P00582	P0ACI0	P00582
P00582	P0ADM6	P00582
P00582	P76550	P00582
P00582	P0A9W3	P00582
P00582	P0A715	P00582
P00582	P0A817	P00582
P00582	P0A7Z4	P00582
P10443	P10443	P0A988
P21599	P21599	P0A988
P0A705	P0A705	P00634
P0AFG8	P0AFG8	P0A7Y4
P0ACF0	P0ACF0	P0A7Y4
P00490	P00490	P0A7Y4
P60422	P60422	P0A7Y4
P0A7M2	P0A7M2	P0A7Y4
P0A7V3	P0A7V3	P0A7Y4
